Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,13_browser.md,13_browser.md,458,344,0,114,0
Markdown,12_language.md,12_language.md,911,701,0,210,0
Markdown,05_higher_order.md,05_higher_order.md,919,697,0,222,0
Markdown,16_game.md,16_game.md,1466,1139,0,327,0
Markdown,01_values.md,01_values.md,690,514,0,176,0
Markdown,18_http.md,18_http.md,1429,1093,0,336,0
Markdown,15_event.md,15_event.md,1145,888,0,257,0
Markdown,14_dom.md,14_dom.md,1201,903,0,298,0
Markdown,README.md,README.md,53,37,0,16,0
Makefile,Makefile,Makefile,83,61,0,22,2
Markdown,00_intro.md,00_intro.md,517,403,0,114,0
gitignore,.gitignore,.gitignore,32,32,0,0,0
JavaScript,src/markdown.js,markdown.js,177,145,3,29,65
Markdown,21_skillsharing.md,21_skillsharing.md,1124,885,0,239,0
JSON,package.json,package.json,30,30,0,0,0
Markdown,20_node.md,20_node.md,1229,936,0,293,0
Markdown,06_object.md,06_object.md,1255,955,0,300,0
Markdown,17_canvas.md,17_canvas.md,1521,1156,0,365,0
Markdown,03_functions.md,03_functions.md,1111,849,0,262,0
Markdown,07_robot.md,07_robot.md,706,538,0,168,0
JavaScript,src/render_latex.js,render_latex.js,217,213,0,4,11
JavaScript,src/extract_hints.js,extract_hints.js,24,20,0,4,6
Markdown,02_program_structure.md,02_program_structure.md,1080,817,0,263,0
Markdown,10_modules.md,10_modules.md,868,656,0,212,0
JavaScript,src/generate_epub_toc.js,generate_epub_toc.js,25,23,0,2,0
JavaScript,src/run_tests.js,run_tests.js,272,257,3,12,31
JavaScript,src/render_html.js,render_html.js,188,183,0,5,14
HTML,src/chapter.html,chapter.html,35,31,0,4,0
Markdown,11_async.md,11_async.md,1413,1092,0,321,0
Markdown,19_paint.md,19_paint.md,1387,1099,0,288,0
JavaScript,src/pseudo_json.js,pseudo_json.js,102,92,0,10,54
CSS,epub/style.css,style.css,166,136,1,29,0
XML,epub/META-INF/container.xml,container.xml,6,6,0,0,0
HTML,src/epub_chapter.html,epub_chapter.html,14,14,0,0,0
HTML,html/empty.html,empty.html,1,1,0,0,0
Markdown,08_error.md,08_error.md,953,735,0,218,0
Markdown,04_data.md,04_data.md,1658,1260,0,398,0
JavaScript,src/transform.js,transform.js,125,110,2,13,90
SVG,img/linked-list.svg,linked-list.svg,13,13,0,0,0
SVG,img/cos_sin.svg,cos_sin.svg,11,11,0,0,0
SVG,img/controlflow-loop.svg,controlflow-loop.svg,147,145,1,1,0
SVG,img/control-io.svg,control-io.svg,10,10,0,0,0
JavaScript,src/check_links.js,check_links.js,28,24,0,4,10
SVG,img/rabbits.svg,rabbits.svg,13,13,0,0,0
SVG,img/re_slow.svg,re_slow.svg,175,175,0,0,0
JavaScript,src/chapter_info.js,chapter_info.js,212,193,3,16,35
SVG,img/mirror.svg,mirror.svg,11,11,0,0,0
SVG,img/pizza-squirrel.svg,pizza-squirrel.svg,18,18,0,0,0
JavaScript,src/add_images_to_epub.js,add_images_to_epub.js,25,23,0,2,7
JavaScript,src/build_code.js,build_code.js,29,25,0,4,6
Shell,pdf/build.sh,build.sh,7,7,0,0,1
SVG,img/controlflow-if.svg,controlflow-if.svg,155,153,1,1,0
JavaScript,src/varify.js,varify.js,62,59,0,3,40
SVG,img/unicycle.svg,unicycle.svg,277,275,1,1,0
HTML,html/backers3.html,backers3.html,802,798,0,4,0
HTML,html/author.html,author.html,10,8,0,2,0
JavaScript,code/packages_chapter_10.js,packages_chapter_10.js,507,313,139,55,81
SVG,img/controlflow-else.svg,controlflow-else.svg,175,173,1,1,0
SVG,img/controlflow-nested-if.svg,controlflow-nested-if.svg,175,173,1,1,0
SVG,img/game-grid.svg,game-grid.svg,2,2,0,0,0
Markdown,09_regexp.md,09_regexp.md,1429,1090,0,339,0
SVG,img/syntax_tree.svg,syntax_tree.svg,11,11,0,0,0
Plain Text,html/author.txt,author.txt,1,1,0,0,0
SVG,img/transform.svg,transform.svg,11,11,0,0,0
HTML,html/index.html,index.html,147,124,0,23,0
JSON,html/author.json,author.json,5,5,0,0,0
SVG,img/re_pigchickens.svg,re_pigchickens.svg,307,307,0,0,0
SVG,img/flood-grid.svg,flood-grid.svg,2,2,0,0,0
SVG,img/html-boxes.svg,html-boxes.svg,23,23,0,0,0
SVG,img/controlflow-straight.svg,controlflow-straight.svg,81,79,1,1,0
JSON,html/example/bert.json,bert.json,4,4,0,0,0
SVG,img/html-links.svg,html-links.svg,25,25,0,0,0
HTML,html/example/message.html,message.html,35,28,0,7,0
JSON,html/example/fruit.json,fruit.json,3,3,0,0,0
XML,html/example/fruit.xml,fruit.xml,5,5,0,0,0
CSS,html/css/ejs.css,ejs.css,461,385,1,75,0
JSON,html/example/suzie.json,suzie.json,5,5,0,0,0
JSON,html/example/muriel.json,muriel.json,3,3,0,0,0
Plain Text,html/example/data.txt,data.txt,1,1,0,0,0
HTML,html/example/submit.html,submit.html,22,16,0,6,0
CSS,html/css/paint.css,paint.css,13,13,0,0,0
CSS,html/css/game.css,game.css,24,21,0,3,0
JavaScript,html/js/sandbox.js,sandbox.js,642,581,3,58,191
HTML,html/errata.html,errata.html,117,84,0,33,0
SVG,img/re_number.svg,re_number.svg,72,58,0,14,0
JavaScript,html/js/ejs.js,ejs.js,242,223,1,18,80
SVG,img/line-grid.svg,line-grid.svg,2,2,0,0,0
JavaScript,html/js/code.js,code.js,217,207,0,10,28
SVG,img/html-tree.svg,html-tree.svg,36,36,0,0,0
JavaScript,code/squareworker.js,squareworker.js,3,3,0,0,0
JavaScript,code/hello.js,hello.js,1,1,0,0,0
HTML,html/backers.html,backers.html,3687,3220,0,467,0
License,code/LICENSE,LICENSE,19,16,0,3,0
HTML,code/index.html,index.html,66,55,0,11,0
JavaScript,code/journal.js,journal.js,99,96,2,1,10
JavaScript,code/animatevillage.js,animatevillage.js,128,109,1,18,15
JavaScript,code/crow-tech.js,crow-tech.js,136,120,3,13,46
JavaScript,code/load.js,load.js,9,4,4,1,1
JavaScript,code/draw_layout.js,draw_layout.js,103,65,25,13,5
JavaScript,code/intro.js,intro.js,28,25,0,3,10
JavaScript,code/levels.js,levels.js,178,177,0,1,10
JavaScript,code/scripts.js,scripts.js,1123,1118,3,2,10
HTML,code/solutions/17_1_shapes.html,17_1_shapes.html,66,60,0,6,0
HTML,code/solutions/16_1_game_over.html,16_1_game_over.html,29,26,0,3,0
JavaScript,code/solutions/05_4_dominant_writing_direction.js,05_4_dominant_writing_direction.js,15,10,2,3,3
JavaScript,code/solutions/18_1_content_negotiation.js,18_1_content_negotiation.js,14,12,0,2,1
JavaScript,code/solutions/05_1_flattening.js,05_1_flattening.js,4,2,1,1,0
HTML,code/solutions/14_2_elements_by_tag_name.html,14_2_elements_by_tag_name.html,33,28,0,5,0
JavaScript,code/solutions/22_1_pathfinding.js,22_1_pathfinding.js,21,17,2,2,6
JavaScript,code/solutions/05_2_your_own_loop.js,05_2_your_own_loop.js,10,6,3,1,1
HTML,code/solutions/15_3_tabs.html,15_3_tabs.html,33,29,0,4,0
HTML,code/solutions/19_3_circles.html,19_3_circles.html,34,31,0,3,0
JavaScript,code/solutions/07_1_measuring_a_robot.js,07_1_measuring_a_robot.js,21,19,0,2,4
JavaScript,code/solutions/09_3_numbers_again.js,09_3_numbers_again.js,16,13,2,1,4
JavaScript,code/solutions/22_2_timing.js,22_2_timing.js,20,19,0,1,6
JavaScript,code/solutions/21_2_comment_field_resets.js,21_2_comment_field_resets.js,76,69,2,5,13
HTML,code/solutions/19_4_proper_lines.html,19_4_proper_lines.html,49,44,0,5,0
HTML,code/solutions/16_3_a_monster.html,16_3_a_monster.html,62,50,0,12,0
JavaScript,code/solutions/03_3_bean_counting.js,03_3_bean_counting.js,18,14,2,2,3
JavaScript,code/solutions/08_1_retry.js,08_1_retry.js,23,19,1,3,4
HTML,code/solutions/14_3_the_cats_hat.html,14_3_the_cats_hat.html,27,22,0,5,0
JavaScript,code/solutions/02_2_fizzbuzz.js,02_2_fizzbuzz.js,6,6,0,0,6
JavaScript,code/solutions/07_3_persistent_group.js,07_3_persistent_group.js,32,23,3,6,2
JavaScript,code/solutions/09_2_quoting_style.js,09_2_quoting_style.js,5,4,0,1,0
JavaScript,code/solutions/04_2_reversing_an_array.js,04_2_reversing_an_array.js,23,19,2,2,2
JavaScript,code/solutions/04_3_a_list.js,04_3_a_list.js,34,26,4,4,7
JavaScript,code/solutions/06_3_iterable_groups.js,06_3_iterable_groups.js,56,45,3,8,5
HTML,code/solutions/18_2_a_javascript_workbench.html,18_2_a_javascript_workbench.html,18,16,0,2,0
HTML,code/solutions/16_2_pausing_the_game.html,16_2_pausing_the_game.html,93,84,0,9,0
JavaScript,code/solutions/07_2_robot_efficiency.js,07_2_robot_efficiency.js,26,19,4,3,5
JavaScript,code/solutions/02_3_chessboard.js,02_3_chessboard.js,16,13,0,3,5
JavaScript,code/solutions/12_1_arrays.js,12_1_arrays.js,17,13,1,3,0
JavaScript,code/solutions/02_1_looping_a_triangle.js,02_1_looping_a_triangle.js,2,2,0,0,1
