Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,23,17,0,6,0
Gradle,build.gradle,build.gradle,58,43,5,10,0
gitignore,.gitignore,.gitignore,16,13,2,1,0
Markdown,README.md,README.md,275,196,0,79,0
XML,pom.xml,pom.xml,193,176,0,17,0
YAML,.github/workflows/pipeline.yml,pipeline.yml,74,64,6,4,0
JSON,src/test/resources/jsonpointer-testdoc.json,jsonpointer-testdoc.json,28,28,0,0,0
JSON,src/test/resources/Issue537.json,Issue537.json,189,189,0,0,0
XML,src/test/resources/Issue537.xml,Issue537.xml,169,164,5,0,0
Java,src/main/java/org/json/JSONPropertyName.java,JSONPropertyName.java,47,12,31,4,0
Java,src/main/java/org/json/JSONPropertyIgnore.java,JSONPropertyIgnore.java,43,10,29,4,0
Java,src/main/java/org/json/JSONException.java,JSONException.java,69,13,50,6,0
Java,src/main/java/org/json/Property.java,Property.java,75,28,43,4,7
Java,src/main/java/org/json/CDL.java,CDL.java,287,235,49,3,5
Java,src/main/java/org/json/CookieList.java,CookieList.java,86,31,51,4,4
Java,src/main/java/org/json/JSONStringer.java,JSONStringer.java,79,11,64,4,1
Java,src/test/java/org/json/junit/EnumTest.java,EnumTest.java,453,261,117,75,28
Java,src/test/java/org/json/junit/JSONTokenerTest.java,JSONTokenerTest.java,336,234,77,25,19
Java,src/main/java/org/json/JSONPointer.java,JSONPointer.java,295,138,136,21,27
Java,src/main/java/org/json/JSONTokener.java,JSONTokener.java,531,333,162,36,47
Java,src/main/java/org/json/JSONPointerException.java,JSONPointerException.java,45,10,30,5,0
Java,src/main/java/org/json/HTTP.java,HTTP.java,162,62,85,15,14
Java,src/test/java/org/json/junit/CookieTest.java,CookieTest.java,262,149,98,15,0
Java,src/main/java/org/json/XMLTokener.java,XMLTokener.java,416,267,117,32,55
Java,src/test/java/org/json/junit/data/MyEnumField.java,MyEnumField.java,28,23,3,2,0
Java,src/main/java/org/json/XML.java,XML.java,860,791,53,16,2
Java,src/main/java/org/json/XMLParserConfiguration.java,XMLParserConfiguration.java,286,90,174,22,0
Java,src/test/java/org/json/junit/data/Singleton.java,Singleton.java,91,56,25,10,17
Java,src/test/java/org/json/junit/data/BrokenToString.java,BrokenToString.java,13,7,5,1,0
Java,src/test/java/org/json/junit/data/MyNumber.java,MyNumber.java,97,57,29,11,12
Java,src/test/java/org/json/junit/JSONArrayTest.java,JSONArrayTest.java,1257,893,233,131,76
Java,src/test/java/org/json/junit/data/StringsResourceBundle.java,StringsResourceBundle.java,19,14,3,2,0
Java,src/test/java/org/json/junit/data/MyBeanCustomNameInterface.java,MyBeanCustomNameInterface.java,11,9,0,2,0
Java,src/main/java/org/json/JSONArray.java,JSONArray.java,1704,647,961,96,129
Java,src/test/java/org/json/junit/data/GenericBean.java,GenericBean.java,79,47,19,13,0
Java,src/test/java/org/json/junit/data/MyBeanCustomNameSubClass.java,MyBeanCustomNameSubClass.java,32,23,7,2,0
Java,src/test/java/org/json/junit/data/MyNumberContainer.java,MyNumberContainer.java,13,5,7,1,0
Java,src/test/java/org/json/junit/data/MyBigNumberBean.java,MyBigNumberBean.java,11,6,3,2,0
Java,src/test/java/org/json/junit/data/Fraction.java,Fraction.java,180,103,55,22,22
Java,src/main/java/org/json/HTTPTokener.java,HTTPTokener.java,77,34,38,5,3
Java,src/test/java/org/json/junit/data/MyBean.java,MyBean.java,16,11,3,2,0
Java,src/test/java/org/json/junit/data/MyEnum.java,MyEnum.java,10,6,3,1,0
Java,src/test/java/org/json/junit/data/MyEnumClass.java,MyEnumClass.java,22,17,3,2,0
Java,src/test/java/org/json/junit/data/SingletonEnum.java,SingletonEnum.java,62,23,31,8,0
Java,src/test/java/org/json/junit/data/MyLocaleBean.java,MyLocaleBean.java,12,11,0,1,0
Java,src/test/java/org/json/junit/data/MyJsonString.java,MyJsonString.java,14,8,3,3,0
Java,src/test/java/org/json/junit/Util.java,Util.java,120,53,59,8,12
Java,src/main/java/org/json/JSONWriter.java,JSONWriter.java,414,185,202,27,55
Java,src/test/java/org/json/junit/data/WeirdList.java,WeirdList.java,68,26,34,8,0
Java,src/test/java/org/json/junit/JSONStringTest.java,JSONStringTest.java,405,265,69,71,0
Java,src/test/java/org/json/junit/data/ExceptionalBean.java,ExceptionalBean.java,66,27,31,8,0
Java,src/main/java/org/json/XMLXsiTypeConverter.java,XMLXsiTypeConverter.java,66,4,61,1,0
Java,src/test/java/org/json/junit/data/MyPublicClass.java,MyPublicClass.java,10,6,3,1,0
Java,src/test/java/org/json/junit/JSONObjectLocaleTest.java,JSONObjectLocaleTest.java,80,22,50,8,0
Java,src/main/java/org/json/Cookie.java,Cookie.java,224,116,91,17,47
Java,src/test/java/org/json/junit/data/MyBeanCustomName.java,MyBeanCustomName.java,20,15,3,2,0
Java,src/test/java/org/json/junit/data/GenericBeanInt.java,GenericBeanInt.java,69,26,34,9,0
Java,src/main/java/org/json/JSONString.java,JSONString.java,43,4,37,2,0
Java,src/test/java/org/json/junit/JSONStringerTest.java,JSONStringerTest.java,377,286,70,21,7
Java,src/test/java/org/json/junit/HTTPTest.java,HTTPTest.java,220,131,75,14,0
Java,src/main/java/org/json/JSONML.java,JSONML.java,542,302,190,50,120
Java,src/test/java/org/json/junit/CookieListTest.java,CookieListTest.java,210,113,81,16,5
Java,src/test/java/org/json/junit/CDLTest.java,CDLTest.java,324,185,105,34,2
Java,src/test/java/org/json/junit/JSONPointerTest.java,JSONPointerTest.java,384,303,41,40,5
Java,src/test/java/org/json/junit/JSONMLTest.java,JSONMLTest.java,856,538,280,38,0
Java,src/test/java/org/json/junit/PropertyTest.java,PropertyTest.java,122,60,45,17,2
Java,src/test/java/org/json/junit/XMLConfigurationTest.java,XMLConfigurationTest.java,986,661,248,77,15
Java,src/test/java/org/json/junit/XMLTest.java,XMLTest.java,1071,736,246,89,19
Java,src/main/java/org/json/JSONObject.java,JSONObject.java,2601,1434,1047,120,221
Java,src/test/java/org/json/junit/JSONObjectTest.java,JSONObjectTest.java,3211,2312,667,232,134
