Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
XML,.idea/encodings.xml,encodings.xml,6,6,0,0,0
Markdown,README.md,README.md,256,206,0,50,0
HTML,.idea/description.html,description.html,1,1,0,0,0
XML,.idea/workspace.xml,workspace.xml,139,139,0,0,0
Markdown,docs/high-availability/hystrix-semphore-isolation.md,hystrix-semphore-isolation.md,103,75,0,28,0
XML,.idea/checkstyle-idea.xml,checkstyle-idea.xml,16,16,0,0,0
XML,.idea/misc.xml,misc.xml,9,9,0,0,0
XML,.idea/vcs.xml,vcs.xml,6,6,0,0,0
XML,.idea/modules.xml,modules.xml,8,8,0,0,0
XML,.idea/compiler.xml,compiler.xml,23,22,0,1,0
Markdown,docs/high-concurrency/mq-time-delay-and-expired-failure.md,mq-time-delay-and-expired-failure.md,32,22,0,10,0
Markdown,docs/high-availability/hystrix-execution-isolation.md,hystrix-execution-isolation.md,106,72,0,34,0
Markdown,docs/high-availability/hystrix-request-cache.md,hystrix-request-cache.md,200,154,0,46,0
XML,.idea/inspectionProfiles/Project_Default.xml,Project_Default.xml,36,36,0,0,0
Markdown,docs/high-concurrency/mysql-read-write-separation.md,mysql-read-write-separation.md,41,28,0,13,0
Markdown,docs/high-availability/hystrix-thread-pool-current-limiting.md,hystrix-thread-pool-current-limiting.md,163,129,0,34,0
Markdown,docs/high-concurrency/redis-consistence.md,redis-consistence.md,91,50,0,41,0
Markdown,docs/high-availability/e-commerce-website-detail-page-architecture.md,e-commerce-website-detail-page-architecture.md,40,25,0,15,0
Markdown,docs/high-availability/hystrix-introduction.md,hystrix-introduction.md,48,31,0,17,0
Markdown,docs/high-availability/hystrix-fallback.md,hystrix-fallback.md,125,91,0,34,0
Markdown,docs/distributed-system/work-interface-idempotence.md,work-interface-idempotence.md,17,7,0,10,0
Markdown,docs/distributed-system/dubbo-vs-springCloud.md,dubbo-vs-springCloud.md,46,20,0,26,0
Markdown,docs/high-availability/hystrix-thread-pool-isolation.md,hystrix-thread-pool-isolation.md,115,90,0,25,0
Markdown,docs/high-concurrency/how-to-ensure-the-reliable-transmission-of-messages.md,how-to-ensure-the-reliable-transmission-of-messages.md,91,58,0,33,0
Markdown,docs/high-concurrency/why-mq.md,why-mq.md,107,66,0,41,0
Markdown,docs/high-availability/hystrix-timeout.md,hystrix-timeout.md,103,79,0,24,0
Markdown,docs/high-availability/hystrix-process.md,hystrix-process.md,160,115,0,45,0
Markdown,docs/high-concurrency/redis-cas.md,redis-cas.md,16,10,0,6,0
Markdown,docs/high-availability/hystrix-circuit-breaker.md,hystrix-circuit-breaker.md,181,129,0,52,0
Markdown,docs/high-availability/README.md,README.md,1,1,0,0,0
Markdown,docs/high-concurrency/redis-expiration-policies-and-lru.md,redis-expiration-policies-and-lru.md,71,51,0,20,0
Markdown,docs/high-concurrency/database-shard-method.md,database-shard-method.md,36,21,0,15,0
Markdown,docs/high-concurrency/redis-caching-avalanche-and-caching-penetration.md,redis-caching-avalanche-and-caching-penetration.md,47,30,0,17,0
Markdown,docs/high-concurrency/mq-interview.md,mq-interview.md,69,35,0,34,0
Markdown,docs/distributed-system/work-redis-distribute-lock.md,work-redis-distribute-lock.md,2,1,0,1,0
Markdown,docs/high-concurrency/database-shard.md,database-shard.md,105,62,0,43,0
Markdown,docs/distributed-system/distributed-design.md,distributed-design.md,118,58,0,60,0
Markdown,docs/distributed-system/Dubbo-SpringCloud-experience.md,Dubbo-SpringCloud-experience.md,9,5,0,4,0
Markdown,docs/distributed-system/dubbo-augmentability.md,dubbo-augmentability.md,25,11,0,14,0
Markdown,docs/distributed-system/work-eventual-consistency.md,work-eventual-consistency.md,2,1,0,1,0
Markdown,docs/distributed-system/work-register.md,work-register.md,13,9,0,4,0
Markdown,docs/distributed-system/BAT-interview-fire.md,BAT-interview-fire.md,61,32,0,29,0
Markdown,docs/distributed-system/dubbo-serialization-protocol.md,dubbo-serialization-protocol.md,73,45,0,28,0
Markdown,docs/distributed-system/registration-center-optimize.md,registration-center-optimize.md,6,4,0,2,0
Markdown,docs/distributed-system/zookeeper-distribute-lock-optimize.md,zookeeper-distribute-lock-optimize.md,12,5,0,7,0
Markdown,docs/distributed-system/service-register-gateway-router.md,service-register-gateway-router.md,12,5,0,7,0
Markdown,docs/distributed-system/21-day-course-instructions.md,21-day-course-instructions.md,171,84,0,87,0
Markdown,docs/distributed-system/tcc-framework-principle.md,tcc-framework-principle.md,4,2,0,2,0
Markdown,docs/distributed-system/request-retry.md,request-retry.md,16,7,0,9,0
Markdown,docs/high-concurrency/redis-production-environment.md,redis-production-environment.md,20,12,0,8,0
Markdown,docs/distributed-system/gateway-model-selection.md,gateway-model-selection.md,40,21,0,19,0
Markdown,docs/distributed-system/distributed-system-interview.md,distributed-system-interview.md,30,23,0,7,0
Markdown,docs/distributed-system/work-distributed-transaction.md,work-distributed-transaction.md,7,3,0,4,0
Markdown,docs/distributed-system/register-production-optimize.md,register-production-optimize.md,34,16,0,18,0
Markdown,docs/distributed-system/rpc-design.md,rpc-design.md,59,28,0,31,0
Markdown,docs/distributed-system/zookeeper-distribute-lock-split-brain.md,zookeeper-distribute-lock-split-brain.md,6,3,0,3,0
Markdown,docs/distributed-system/springCloud-study-theory.md,springCloud-study-theory.md,41,20,0,21,0
Markdown,docs/distributed-system/distributed-lock-taobao-and-jingdong.md,distributed-lock-taobao-and-jingdong.md,6,2,0,4,0
Markdown,docs/distributed-system/why-dubbo.md,why-dubbo.md,57,32,0,25,0
Markdown,docs/distributed-system/distributed-transaction.md,distributed-transaction.md,92,60,0,32,0
Markdown,docs/high-concurrency/how-to-ensure-high-concurrency-and-high-availability-of-redis.md,how-to-ensure-high-concurrency-and-high-availability-of-redis.md,20,13,0,7,0
Markdown,docs/distributed-system/redis-distribute-lock.md,redis-distribute-lock.md,36,16,0,20,0
