Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README-ko.md,README-ko.md,191,128,0,63,0
YAML,.travis.yml,.travis.yml,9,8,0,1,0
License,LICENSE,LICENSE,21,17,0,4,0
Markdown,DIRECTORY.md,DIRECTORY.md,259,246,0,13,0
Markdown,README.md,README.md,26,15,0,11,0
gitignore,.gitignore,.gitignore,38,24,7,7,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,29,15,0,14,0
Java,DynamicProgramming/MatrixChainMultiplication.java,MatrixChainMultiplication.java,135,115,0,20,20
Java,DynamicProgramming/LevenshteinDistance.java,LevenshteinDistance.java,52,43,5,4,13
Java,Maths/NumberOfDigits.java,NumberOfDigits.java,59,29,25,5,9
Java,ciphers/Vigenere.java,Vigenere.java,61,45,5,11,10
Java,Maths/PowRecursion.java,PowRecursion.java,21,12,7,2,5
Java,ciphers/RSA.java,RSA.java,81,41,23,17,1
Markdown,.github/pull_request_template.md,pull_request_template.md,23,17,0,6,0
Java,DynamicProgramming/EggDropping.java,EggDropping.java,45,27,6,12,6
YAML,.github/workflows/update_directory_md.yml,update_directory_md.yml,67,54,1,12,0
Java,DynamicProgramming/Knapsack.java,Knapsack.java,32,24,3,5,13
YAML,.github/workflows/prettier.yml,prettier.yml,26,22,0,4,0
Java,DynamicProgramming/Fibonacci.java,Fibonacci.java,91,53,24,14,9
YAML,.github/workflows/checkstyle.yml,checkstyle.yml,28,27,0,1,0
Java,DynamicProgramming/RodCutting.java,RodCutting.java,30,19,5,6,2
Java,ciphers/AES.java,AES.java,626,397,146,83,17
YAML,.github/workflows/build.yml,build.yml,20,18,0,2,0
Java,ciphers/SimpleSubstitutionCipher.java,SimpleSubstitutionCipher.java,87,44,26,17,8
Java,DynamicProgramming/LongestPalindromicSubsequence.java,LongestPalindromicSubsequence.java,62,41,10,11,10
Java,DynamicProgramming/FordFulkerson.java,FordFulkerson.java,70,61,1,8,15
Java,ciphers/ColumnarTranspositionCipher.java,ColumnarTranspositionCipher.java,210,136,60,14,25
Java,ciphers/Caesar.java,Caesar.java,121,69,31,21,13
Java,DynamicProgramming/BoardPath.java,BoardPath.java,75,45,25,5,15
Java,DynamicProgramming/CoinChange.java,CoinChange.java,82,47,23,12,10
Java,DynamicProgramming/EditDistance.java,EditDistance.java,80,44,31,5,7
Java,DynamicProgramming/MinimumSumPartition.java,MinimumSumPartition.java,89,57,23,9,19
Java,Maths/LucasSeries.java,LucasSeries.java,43,25,15,3,24
Java,DynamicProgramming/LongestCommonSubsequence.java,LongestCommonSubsequence.java,64,50,4,10,23
Java,Sorts/MergeSort.java,MergeSort.java,92,47,32,13,7
Java,Sorts/SortAlgorithm.java,SortAlgorithm.java,31,10,17,4,0
Java,ProjectEuler/Problem10.java,Problem10.java,55,39,12,4,12
Java,Sorts/PancakeSort.java,PancakeSort.java,41,29,6,6,3
Java,Sorts/GnomeSort.java,GnomeSort.java,42,29,6,7,5
Java,Sorts/SortUtils.java,SortUtils.java,81,29,43,9,1
Java,Sorts/BitonicSort.java,BitonicSort.java,74,42,23,9,10
Java,Sorts/BubbleSort.java,BubbleSort.java,49,28,15,6,4
Java,ProjectEuler/Problem01.java,Problem01.java,51,35,8,8,8
Java,Sorts/SelectionSort.java,SelectionSort.java,68,33,22,13,5
Java,ProjectEuler/Problem02.java,Problem02.java,43,29,11,3,5
Java,Others/GuassLegendre.java,GuassLegendre.java,40,25,8,7,2
Java,Others/RootPrecision.java,RootPrecision.java,36,19,7,10,0
Java,ciphers/AESEncryption.java,AESEncryption.java,110,53,49,8,1
Java,Sorts/CountingSort.java,CountingSort.java,96,53,25,18,2
Java,DynamicProgramming/SubsetSum.java,SubsetSum.java,44,30,8,6,6
Java,MinimizingLateness/MinimizingLateness.java,MinimizingLateness.java,60,50,3,7,6
Java,Maths/SumOfDigits.java,SumOfDigits.java,56,32,18,6,18
Plain Text,MinimizingLateness/lateness_data.txt,lateness_data.txt,7,7,0,0,0
Java,ProjectEuler/Problem07.java,Problem07.java,60,43,13,4,13
Java,DynamicProgramming/LongestIncreasingSubsequence.java,LongestIncreasingSubsequence.java,59,35,9,15,11
Java,ProjectEuler/Problem06.java,Problem06.java,42,29,9,4,5
Java,Maths/PowerOfTwoOrNot.java,PowerOfTwoOrNot.java,23,13,7,3,3
Java,Maths/PerfectNumber.java,PerfectNumber.java,32,17,13,2,4
Java,Maths/ParseInteger.java,ParseInteger.java,33,24,7,2,12
Java,divideconquer/SkylineAlgorithm.java,SkylineAlgorithm.java,169,87,63,19,24
Java,Others/StackPostfixNotation.java,StackPostfixNotation.java,42,34,2,6,9
Java,Others/ThreeSum.java,ThreeSum.java,47,28,10,9,8
Java,Others/PerlinNoise.java,PerlinNoise.java,168,100,38,30,14
Java,Others/FibToN.java,FibToN.java,31,16,11,4,1
Java,Others/QueueUsingTwoStacks.java,QueueUsingTwoStacks.java,150,61,73,16,5
Java,Others/EulersFunction.java,EulersFunction.java,28,19,7,2,7
Java,Others/SJF.java,SJF.java,184,143,14,27,19
Java,DataStructures/Heaps/EmptyHeapException.java,EmptyHeapException.java,12,7,3,2,0
Java,ProjectEuler/Problem09.java,Problem09.java,28,17,9,2,5
Java,Others/RabinKarp.java,RabinKarp.java,79,42,21,16,11
Java,Sorts/InsertionSort.java,InsertionSort.java,55,27,16,12,3
Java,DataStructures/Heaps/MinHeap.java,MinHeap.java,120,91,16,13,25
Java,DataStructures/Graphs/FloydWarshall.java,FloydWarshall.java,77,69,3,5,15
