Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,22,19,0,3,0
Properties File,sonar-project.properties,sonar-project.properties,6,3,2,1,0
Markdown,README.markdown,README.markdown,122,84,0,38,0
Gradle,build.gradle,build.gradle,43,26,9,8,0
Markdown,CHANGELOG.md,CHANGELOG.md,321,235,0,86,0
gitignore,.gitignore,.gitignore,20,19,0,1,0
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,33,27,0,6,0
Markdown,.github/ISSUE_TEMPLATE/question.md,question.md,14,10,0,4,0
Markdown,.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,17,12,0,5,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,34,26,0,8,0
Gherkin Specification,src/test/resources/org/java_websocket/AutobahnClient.feature,AutobahnClient.feature,26,24,0,2,1
YAML,.github/workflows/ci.yml,ci.yml,26,23,0,3,0
YAML,.github/workflows/checkstyle.yml,checkstyle.yml,20,13,2,5,0
YAML,.github/workflows/sonar.yml,sonar.yml,36,36,0,0,0
JSON,autobahn reports/servers/index.json,index.json,3637,3637,0,0,0
Java,src/main/example/TwoWaySSLServerExample.java,TwoWaySSLServerExample.java,82,34,36,12,0
Java,src/main/java/org/java_websocket/WebSocket.java,WebSocket.java,250,39,182,29,0
Java,src/main/java/org/java_websocket/WrappedByteChannel.java,WrappedByteChannel.java,76,11,57,8,0
Java,src/main/java/org/java_websocket/WebSocketListener.java,WebSocketListener.java,200,33,148,19,0
Java,src/main/java/org/java_websocket/SSLSocketChannel.java,SSLSocketChannel.java,539,312,187,40,40
Java,src/main/example/ExampleClient.java,ExampleClient.java,83,41,31,11,0
Java,src/main/example/ServerStressTest.java,ServerStressTest.java,248,194,27,27,6
Java,src/main/java/org/java_websocket/WebSocketFactory.java,WebSocketFactory.java,51,7,38,6,0
Java,src/main/java/org/java_websocket/protocols/Protocol.java,Protocol.java,105,54,37,14,11
Java,src/main/example/ChatClient.java,ChatClient.java,184,135,25,24,15
Java,src/main/java/org/java_websocket/protocols/package-info.java,package-info.java,30,1,28,1,0
Java,src/main/java/org/java_websocket/framing/PingFrame.java,PingFrame.java,41,7,30,4,0
Java,src/main/java/org/java_websocket/framing/BinaryFrame.java,BinaryFrame.java,41,7,30,4,0
Java,src/main/example/SSLServerLetsEncryptExample.java,SSLServerLetsEncryptExample.java,133,85,27,21,2
Java,src/main/java/org/java_websocket/framing/ContinuousFrame.java,ContinuousFrame.java,41,7,30,4,0
Java,src/main/java/org/java_websocket/framing/DataFrame.java,DataFrame.java,49,11,33,5,0
Java,src/main/example/SSLServerCustomWebsocketFactoryExample.java,SSLServerCustomWebsocketFactoryExample.java,92,41,40,11,0
Java,src/main/java/org/java_websocket/framing/PongFrame.java,PongFrame.java,51,11,35,5,0
Java,src/main/example/FragmentedFramesExample.java,FragmentedFramesExample.java,84,43,33,8,6
Java,src/main/java/org/java_websocket/framing/CloseFrame.java,CloseFrame.java,341,156,160,25,43
Java,src/main/java/org/java_websocket/framing/FramedataImpl1.java,FramedataImpl1.java,294,166,94,34,29
Java,src/main/example/SSLServerExample.java,SSLServerExample.java,73,31,30,12,0
Java,src/main/example/SecWebSocketProtocolClientExample.java,SecWebSocketProtocolClientExample.java,55,21,29,5,0
Java,src/main/example/ChatServerAttachmentExample.java,ChatServerAttachmentExample.java,114,67,33,14,4
Java,src/main/example/ReconnectClientExample.java,ReconnectClientExample.java,53,20,30,3,0
Java,src/main/java/org/java_websocket/framing/Framedata.java,Framedata.java,94,13,70,11,0
Java,src/main/java/org/java_websocket/exceptions/IncompleteException.java,IncompleteException.java,60,11,43,6,0
Java,src/main/java/org/java_websocket/SocketChannelIOHelper.java,SocketChannelIOHelper.java,116,62,43,11,26
Java,src/main/java/org/java_websocket/extensions/ExtensionRequestData.java,ExtensionRequestData.java,53,37,2,14,7
Java,src/main/java/org/java_websocket/WebSocketAdapter.java,WebSocketAdapter.java,113,40,63,10,2
Java,src/main/java/org/java_websocket/server/DefaultSSLWebSocketServerFactory.java,DefaultSSLWebSocketServerFactory.java,92,52,30,10,4
Java,src/main/java/org/java_websocket/server/CustomSSLWebSocketServerFactory.java,CustomSSLWebSocketServerFactory.java,100,37,54,9,4
Java,src/main/java/org/java_websocket/server/SSLParametersWebSocketServerFactory.java,SSLParametersWebSocketServerFactory.java,81,32,42,7,2
Java,src/main/java/org/java_websocket/server/DefaultWebSocketServerFactory.java,DefaultWebSocketServerFactory.java,57,25,25,7,0
Java,src/main/java/org/java_websocket/enums/HandshakeState.java,HandshakeState.java,15,5,9,1,0
Java,src/main/java/org/java_websocket/framing/ControlFrame.java,ControlFrame.java,61,24,32,5,4
Java,src/main/java/org/java_websocket/extensions/CompressionExtension.java,CompressionExtension.java,55,22,29,4,7
Java,src/main/java/org/java_websocket/server/package-info.java,package-info.java,29,1,27,1,0
Java,src/main/java/org/java_websocket/enums/CloseHandshakeType.java,CloseHandshakeType.java,8,4,3,1,0
Java,src/main/java/org/java_websocket/AbstractWebSocket.java,AbstractWebSocket.java,308,136,145,27,19
Java,src/main/example/ChatServer.java,ChatServer.java,120,77,28,15,4
Java,src/main/java/org/java_websocket/enums/Opcode.java,Opcode.java,9,4,4,1,0
Java,src/main/example/ProxyClientExample.java,ProxyClientExample.java,38,11,24,3,0
Java,src/main/java/org/java_websocket/enums/ReadyState.java,ReadyState.java,8,4,3,1,0
Java,src/main/example/SSLClientExample.java,SSLClientExample.java,123,69,31,23,5
Properties File,src/main/example/simplelogger.properties,simplelogger.properties,7,7,0,0,0
Java,src/main/example/CustomHeaderClientExample.java,CustomHeaderClientExample.java,68,31,34,3,0
Java,src/main/java/org/java_websocket/AbstractWrappedByteChannel.java,AbstractWrappedByteChannel.java,111,60,33,18,6
Java,src/main/java/org/java_websocket/enums/Role.java,Role.java,8,4,3,1,0
Java,src/main/java/org/java_websocket/enums/package-info.java,package-info.java,29,1,27,1,0
Java,src/main/java/org/java_websocket/server/WebSocketServer.java,WebSocketServer.java,1107,653,352,102,125
Java,src/main/example/SecWebSocketProtocolServerExample.java,SecWebSocketProtocolServerExample.java,54,20,29,5,0
Java,src/main/java/org/java_websocket/handshake/HandshakeBuilder.java,HandshakeBuilder.java,47,5,38,4,0
Java,src/main/java/org/java_websocket/handshake/ClientHandshakeBuilder.java,ClientHandshakeBuilder.java,39,4,32,3,0
Java,src/main/java/org/java_websocket/handshake/ServerHandshake.java,ServerHandshake.java,46,5,37,4,0
Java,src/main/java/org/java_websocket/handshake/HandshakedataImpl1.java,HandshakedataImpl1.java,87,39,36,12,2
Java,src/main/java/org/java_websocket/handshake/HandshakeImpl1Client.java,HandshakeImpl1Client.java,50,15,30,5,2
Java,src/main/java/org/java_websocket/handshake/ClientHandshake.java,ClientHandshake.java,39,4,32,3,0
Java,src/main/java/org/java_websocket/drafts/Draft.java,Draft.java,355,245,70,40,51
Java,src/main/java/org/java_websocket/WebSocketImpl.java,WebSocketImpl.java,909,624,195,90,136
Java,src/main/java/org/java_websocket/exceptions/NotSendableException.java,NotSendableException.java,66,13,46,7,0
Java,src/main/java/org/java_websocket/extensions/package-info.java,package-info.java,30,1,28,1,0
Java,src/main/java/org/java_websocket/handshake/ServerHandshakeBuilder.java,ServerHandshakeBuilder.java,46,5,37,4,0
Java,src/main/java/org/java_websocket/extensions/IExtension.java,IExtension.java,138,15,110,13,0
Java,src/main/java/org/java_websocket/extensions/DefaultExtension.java,DefaultExtension.java,103,54,34,15,8
Java,src/main/java/org/java_websocket/handshake/HandshakeImpl1Server.java,HandshakeImpl1Server.java,62,21,33,8,0
Java,src/main/java/org/java_websocket/handshake/Handshakedata.java,Handshakedata.java,64,8,49,7,0
Java,src/main/java/org/java_websocket/handshake/package-info.java,package-info.java,31,1,28,2,0
Java,src/main/java/org/java_websocket/util/ByteBufferUtils.java,ByteBufferUtils.java,73,25,42,6,6
Java,src/main/java/org/java_websocket/util/Charsetfunctions.java,Charsetfunctions.java,154,85,54,15,4
Java,src/main/java/org/java_websocket/util/package-info.java,package-info.java,29,1,27,1,0
Java,src/main/java/org/java_websocket/util/NamedThreadFactory.java,NamedThreadFactory.java,48,18,24,6,0
Java,src/main/java/org/java_websocket/drafts/Draft_6455.java,Draft_6455.java,1190,804,298,88,204
Java,src/main/java/org/java_websocket/extensions/permessage_deflate/PerMessageDeflateExtension.java,PerMessageDeflateExtension.java,326,207,73,46,31
Java,src/test/java/org/java_websocket/issues/Issue890Test.java,Issue890Test.java,175,122,26,27,0
Java,src/test/java/org/java_websocket/issues/Issue765Test.java,Issue765Test.java,107,61,25,21,0
Java,src/test/java/org/java_websocket/issues/Issue713Test.java,Issue713Test.java,185,125,26,34,1
Java,src/test/java/org/java_websocket/issues/Issue666Test.java,Issue666Test.java,157,107,24,26,10
Java,src/test/java/org/java_websocket/framing/ContinuousFrameTest.java,ContinuousFrameTest.java,72,38,27,7,0
Java,src/test/java/org/java_websocket/issues/Issue900Test.java,Issue900Test.java,154,103,25,26,0
Java,src/test/java/org/java_websocket/issues/Issue661Test.java,Issue661Test.java,126,85,25,16,2
Java,src/test/java/org/java_websocket/framing/FramedataImpl1Test.java,FramedataImpl1Test.java,105,69,28,8,0
Java,src/test/java/org/java_websocket/issues/Issue879Test.java,Issue879Test.java,176,120,27,29,6
Java,src/test/java/org/java_websocket/issues/Issue764Test.java,Issue764Test.java,128,82,25,21,0
Java,src/test/java/org/java_websocket/framing/PingFrameTest.java,PingFrameTest.java,103,65,31,7,0
Java,src/test/java/org/java_websocket/framing/BinaryFrameTest.java,BinaryFrameTest.java,72,38,27,7,0
Java,src/test/java/org/java_websocket/framing/CloseFrameTest.java,CloseFrameTest.java,247,198,40,9,0
Java,src/test/java/org/java_websocket/framing/AllFramingTests.java,AllFramingTests.java,48,15,27,6,0
Java,src/test/java/org/java_websocket/framing/PongFrameTest.java,PongFrameTest.java,112,73,31,8,0
Java,src/main/java/org/java_websocket/util/Base64.java,Base64.java,1049,451,476,122,68
