Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,201,169,0,32,0
HTML,index.html,index.html,77,62,12,3,0
Markdown,HomePage.md,HomePage.md,236,169,0,67,0
HTML,submission.html,submission.html,231,224,0,7,0
gitignore,.gitignore,.gitignore,34,26,4,4,0
Markdown,_coverpage.md,_coverpage.md,12,7,0,5,0
Markdown,README.md,README.md,460,301,0,159,0
JavaScript,sw.js,sw.js,83,37,38,8,4
Markdown,其他/开源项目源码阅读指南.md,开源项目源码阅读指南.md,90,65,0,25,0
Markdown,docs/update-history.md,update-history.md,12,6,0,6,0
Markdown,docs/公众号历史文章汇总.md,公众号历史文章汇总.md,209,153,0,56,0
Markdown,docs/questions/java-big-data.md,java-big-data.md,65,35,0,30,0
Markdown,docs/essential-content-for-interview/手把手教你用Markdown写一份高质量的简历.md,手把手教你用Markdown写一份高质量的简历.md,93,58,0,35,0
Markdown,docs/javaguide面试突击版.md,javaguide面试突击版.md,55,28,0,27,0
Markdown,docs/essential-content-for-interview/简历模板.md,简历模板.md,79,48,0,31,0
Java,code/java/ThreadPoolExecutorDemo/src/callable/MyCallable.java,MyCallable.java,13,9,1,3,0
Markdown,docs/system-design/naming.md,naming.md,214,135,0,79,0
Markdown,docs/essential-content-for-interview/面试必备之乐观锁与悲观锁.md,面试必备之乐观锁与悲观锁.md,115,61,0,54,0
Markdown,docs/network/计算机网络.md,计算机网络.md,291,166,0,125,0
Markdown,docs/tools/Git.md,Git.md,276,174,0,102,0
Markdown,docs/dataStructures-algorithms/几道常见的子符串算法题.md,几道常见的子符串算法题.md,483,374,0,109,0
Markdown,docs/books/java.md,java.md,184,124,0,60,0
Markdown,docs/tools/Docker.md,Docker.md,306,176,0,130,0
Markdown,docs/network/计算机网络知识总结.md,计算机网络知识总结.md,348,249,0,99,0
Markdown,docs/java/多线程系列.md,多线程系列.md,69,40,0,29,0
Markdown,docs/system-design/high-availability/如何设计一个高可用系统要考虑哪些地方.md,如何设计一个高可用系统要考虑哪些地方.md,72,44,0,28,0
Markdown,docs/dataStructures-algorithms/数据结构.md,数据结构.md,204,115,0,89,0
Markdown,docs/database/MySQL.md,MySQL.md,328,209,0,119,0
Markdown,docs/dataStructures-algorithms/剑指offer部分编程题.md,剑指offer部分编程题.md,677,535,0,142,0
Markdown,docs/essential-content-for-interview/BATJrealInterviewExperience/2020-zijietiaodong.md,2020-zijietiaodong.md,61,32,0,29,0
Java,code/java/ThreadPoolExecutorDemo/src/callable/CallableDemo.java,CallableDemo.java,49,39,5,5,2
Markdown,docs/tools/Docker-Image.md,Docker-Image.md,561,341,0,220,0
Markdown,docs/operating-system/linux.md,linux.md,455,286,0,169,0
Java,code/java/ThreadPoolExecutorDemo/src/common/ThreadPoolConstants.java,ThreadPoolConstants.java,11,9,0,2,0
Markdown,docs/database/阿里巴巴开发手册数据库部分的一些最佳实践.md,阿里巴巴开发手册数据库部分的一些最佳实践.md,41,26,0,15,0
Markdown,docs/system-design/high-availability/BASE理论.md,BASE理论.md,50,29,0,21,0
Java,code/java/ThreadPoolExecutorDemo/src/threadPoolExecutor/ThreadPoolExecutorDemo.java,ThreadPoolExecutorDemo.java,39,27,5,7,2
Markdown,docs/questions/java-learning-path-and-methods.md,java-learning-path-and-methods.md,242,147,0,95,0
Markdown,docs/dataStructures-algorithms/几道常见的链表算法题.md,几道常见的链表算法题.md,421,321,0,100,0
Markdown,docs/essential-content-for-interview/BATJrealInterviewExperience/蚂蚁金服实习生面经总结(已拿口头offer).md,蚂蚁金服实习生面经总结(已拿口头offer).md,251,131,0,120,0
Markdown,docs/system-design/authority-certification/JWT优缺点分析以及常见问题解决方案.md,JWT优缺点分析以及常见问题解决方案.md,93,55,0,38,0
Markdown,docs/system-design/high-availability/limit-request.md,limit-request.md,35,18,0,17,0
Markdown,docs/system-design/high-availability/CAP理论.md,CAP理论.md,65,37,0,28,0
Markdown,docs/system-design/micro-service/spring-cloud.md,spring-cloud.md,622,411,0,211,0
Markdown,docs/database/数据库连接池.md,数据库连接池.md,21,8,0,13,0
Markdown,docs/system-design/micro-service/分布式id生成方案总结.md,分布式id生成方案总结.md,184,112,0,72,0
Markdown,docs/system-design/coding-way/RESTfulAPI简明教程.md,RESTfulAPI简明教程.md,141,96,0,45,0
Markdown,docs/system-design/authority-certification/basis-of-authority-certification.md,basis-of-authority-certification.md,216,132,0,84,0
Markdown,docs/dataStructures-algorithms/data-structure/bloom-filter.md,bloom-filter.md,297,216,0,81,0
Markdown,docs/system-design/website-architecture/关于大型网站系统架构你不得不懂的10个问题.md,关于大型网站系统架构你不得不懂的10个问题.md,190,122,0,68,0
Markdown,docs/operating-system/Shell.md,Shell.md,561,403,0,158,0
Markdown,docs/system-design/website-architecture/8 张图读懂大型网站技术架构.md,8 张图读懂大型网站技术架构.md,47,27,0,20,0
Markdown,docs/essential-content-for-interview/real-interview-experience-analysis/alibaba-1.md,alibaba-1.md,222,161,0,61,0
Markdown,docs/essential-content-for-interview/PreparingForInterview/JavaInterviewLibrary.md,JavaInterviewLibrary.md,89,59,0,30,0
Markdown,docs/questions/java-training-4-month.md,java-training-4-month.md,104,60,0,44,0
Markdown,docs/books/java基础篇.md,java基础篇.md,246,123,0,123,0
Markdown,docs/essential-content-for-interview/BATJrealInterviewExperience/2019alipay-pinduoduo-toutiao.md,2019alipay-pinduoduo-toutiao.md,294,221,0,73,0
Markdown,docs/system-design/framework/spring/Spring.md,Spring.md,80,48,0,32,0
Markdown,docs/essential-content-for-interview/BATJrealInterviewExperience/bingo-interview.md,bingo-interview.md,125,81,0,44,0
Markdown,docs/operating-system/basis.md,basis.md,348,194,0,154,0
Markdown,docs/essential-content-for-interview/PreparingForInterview/面试官-你有什么问题要问我.md,面试官-你有什么问题要问我.md,64,38,0,26,0
