Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,62,46,0,16,0
gitignore,.gitignore,.gitignore,18,18,0,0,0
Gradle,build.gradle,build.gradle,153,128,3,22,0
XML,checkstyle.xml,checkstyle.xml,11,9,2,0,0
Markdown,CHANGES.md,CHANGES.md,145,117,0,28,0
Plain Text,BUILDING.txt,BUILDING.txt,17,12,0,5,0
Shell,gradlew,gradlew,172,133,21,18,19
Plain Text,LICENSE.txt,LICENSE.txt,27,22,0,5,0
Gradle,settings.gradle,settings.gradle,12,7,2,3,0
YAML,.travis.yml,.travis.yml,26,18,3,5,0
Batch,gradlew.bat,gradlew.bat,84,61,0,23,20
Markdown,docs/tutorial.md,tutorial.md,175,119,0,56,0
YAML,.github/workflows/ci.yaml,ci.yaml,26,22,0,4,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Markdown,docs/related.md,related.md,32,29,0,3,0
HTML,docs/javadoc/1.3/overview-frame.html,overview-frame.html,60,50,2,8,0
HTML,docs/javadoc/1.3/allclasses-noframe.html,allclasses-noframe.html,181,172,2,7,0
JavaScript,docs/javadoc/2.0.0.0/script.js,script.js,30,29,0,1,7
Java,hamcrest-core/src/main/java/org/hamcrest/core/deprecated/HamcrestCoreIsDeprecated.java,HamcrestCoreIsDeprecated.java,9,4,4,1,0
Gradle,hamcrest-core/hamcrest-core.gradle,hamcrest-core.gradle,18,16,0,2,0
Java,hamcrest-core/src/main/java/org/hamcrest/core/deprecated/package-info.java,package-info.java,5,1,4,0,0
HTML,docs/javadoc/2.1/constant-values.html,constant-values.html,122,86,36,0,0
HTML,docs/javadoc/1.3/overview-tree.html,overview-tree.html,187,153,16,18,0
HTML,docs/javadoc/1.3/deprecated-list.html,deprecated-list.html,191,156,16,19,0
HTML,docs/javadoc/2.1/overview-frame.html,overview-frame.html,31,29,2,0,0
HTML,docs/javadoc/2.1/index.html,index.html,75,73,2,0,0
Gradle,hamcrest/hamcrest.gradle,hamcrest.gradle,24,20,0,4,0
CSS,docs/javadoc/1.3/stylesheet.css,stylesheet.css,29,14,7,8,0
HTML,docs/javadoc/2.2/deprecated-list.html,deprecated-list.html,290,252,38,0,0
HTML,docs/javadoc/1.3/overview-summary.html,overview-summary.html,221,181,16,24,0
HTML,docs/javadoc/1.3/help-doc.html,help-doc.html,223,184,16,23,0
HTML,docs/javadoc/1.3/allclasses-frame.html,allclasses-frame.html,181,172,2,7,0
Markdown,docs/index.md,index.md,25,18,0,7,0
YAML,docs/_config.yml,_config.yml,1,1,0,0,0
HTML,docs/javadoc/2.1/allclasses-noframe.html,allclasses-noframe.html,102,100,2,0,0
Plain Text,hamcrest-library/src/main/resources/hamcrest-library-is-deprecated.txt,hamcrest-library-is-deprecated.txt,5,4,0,1,0
Markdown,docs/distributables.md,distributables.md,151,119,0,32,0
HTML,docs/_includes/head.html,head.html,11,11,0,0,0
HTML,docs/javadoc/index.html,index.html,89,77,0,12,0
HTML,docs/javadoc/1.3/index.html,index.html,39,36,2,1,0
HTML,docs/javadoc/1.3/constant-values.html,constant-values.html,146,111,16,19,0
HTML,docs/javadoc/2.2/overview-frame.html,overview-frame.html,31,29,2,0,0
HTML,docs/javadoc/2.2/constant-values.html,constant-values.html,122,86,36,0,0
HTML,docs/javadoc/2.2/allclasses-noframe.html,allclasses-noframe.html,102,100,2,0,0
HTML,docs/javadoc/2.0.0.0/overview-tree.html,overview-tree.html,250,214,36,0,0
HTML,docs/javadoc/2.2/overview-tree.html,overview-tree.html,255,219,36,0,0
Plain Text,hamcrest-core/src/main/resources/hamcrest-core-is-deprecated.txt,hamcrest-core-is-deprecated.txt,5,4,0,1,0
HTML,docs/javadoc/2.1/overview-tree.html,overview-tree.html,255,219,36,0,0
HTML,docs/_layouts/default.html,default.html,18,18,0,0,0
HTML,docs/javadoc/2.2/index.html,index.html,75,73,2,0,0
HTML,docs/javadoc/2.0.0.0/constant-values.html,constant-values.html,122,86,36,0,0
Java,hamcrest-library/src/main/java/org/hamcrest/library/deprecated/package-info.java,package-info.java,5,1,4,0,0
Gradle,hamcrest-library/hamcrest-library.gradle,hamcrest-library.gradle,17,15,0,2,0
Java,hamcrest-library/src/main/java/org/hamcrest/library/deprecated/HamcrestLibraryIsDeprecated.java,HamcrestLibraryIsDeprecated.java,9,4,4,1,0
HTML,docs/javadoc/2.0.0.0/overview-frame.html,overview-frame.html,31,29,2,0,0
JavaScript,docs/javadoc/2.2/script.js,script.js,30,29,0,1,7
HTML,docs/javadoc/2.0.0.0/index.html,index.html,74,72,2,0,0
Gradle,hamcrest-integration/hamcrest-integration.gradle,hamcrest-integration.gradle,15,12,0,3,0
HTML,docs/javadoc/2.2/overview-summary.html,overview-summary.html,190,154,36,0,0
HTML,docs/javadoc/2.2/help-doc.html,help-doc.html,223,187,36,0,0
HTML,docs/javadoc/2.0.0.0/deprecated-list.html,deprecated-list.html,199,162,37,0,0
Java,hamcrest/src/main/java/org/hamcrest/BaseMatcher.java,BaseMatcher.java,42,22,15,5,2
Java,hamcrest/src/main/java/org/hamcrest/Matcher.java,Matcher.java,67,7,56,4,0
CSS,docs/javadoc/2.2/stylesheet.css,stylesheet.css,574,533,31,10,0
Java,hamcrest/src/main/java/org/hamcrest/SelfDescribing.java,SelfDescribing.java,16,4,11,1,0
HTML,docs/javadoc/2.2/allclasses-frame.html,allclasses-frame.html,102,100,2,0,0
CSS,docs/css/pygments-default.css,pygments-default.css,61,61,0,0,0
HTML,docs/javadoc/2.2/org/hamcrest/BaseMatcher.html,BaseMatcher.html,383,329,54,0,0
Java,hamcrest/src/test/java/org/hamcrest/NullDescriptionTest.java,NullDescriptionTest.java,18,12,0,6,0
HTML,docs/javadoc/2.0.0.0/overview-summary.html,overview-summary.html,190,154,36,0,0
HTML,docs/javadoc/2.0.0.0/allclasses-noframe.html,allclasses-noframe.html,97,95,2,0,0
Java,hamcrest-integration/src/main/java/org/hamcrest/EasyMock2Matchers.java,EasyMock2Matchers.java,17,9,4,4,0
Java,hamcrest/src/test/java/org/hamcrest/object/MatchesPatternTest.java,MatchesPatternTest.java,59,47,0,12,0
Java,hamcrest/src/test/java/org/hamcrest/object/HasEqualsValuesTest.java,HasEqualsValuesTest.java,56,45,0,11,0
HTML,docs/javadoc/2.2/index-all.html,index-all.html,2778,2723,55,0,0
Java,hamcrest/src/test/java/org/hamcrest/number/OrderingComparisonTest.java,OrderingComparisonTest.java,80,63,0,17,0
Java,hamcrest/src/test/java/org/hamcrest/number/IsCloseToTest.java,IsCloseToTest.java,32,24,0,8,0
Java,hamcrest/src/test/java/org/hamcrest/number/BigDecimalCloseToTest.java,BigDecimalCloseToTest.java,45,34,0,11,0
Java,hamcrest/src/test/java/org/hamcrest/number/IsNanTest.java,IsNanTest.java,43,33,0,10,0
Java,hamcrest/src/test/java/org/hamcrest/io/FileMatchersTest.java,FileMatchersTest.java,91,70,0,21,1
Java,hamcrest/src/test/java/org/hamcrest/xml/HasXPathTest.java,HasXPathTest.java,147,120,5,22,2
Java,hamcrest/src/test/java/org/hamcrest/core/AnyOfTest.java,AnyOfTest.java,62,49,0,13,0
Java,hamcrest/src/test/java/org/hamcrest/core/AllOfTest.java,AllOfTest.java,70,56,0,14,0
Java,hamcrest/src/test/java/org/hamcrest/TypeSafeDiagnosingMatcherTest.java,TypeSafeDiagnosingMatcherTest.java,81,61,3,17,0
Java,hamcrest/src/test/java/org/hamcrest/AbstractMatcherTest.java,AbstractMatcherTest.java,77,58,3,16,1
Java,hamcrest/src/test/java/org/hamcrest/text/IsEmptyStringTest.java,IsEmptyStringTest.java,55,44,0,11,0
HTML,docs/javadoc/1.3/index-all.html,index-all.html,2032,1999,16,17,0
Java,hamcrest/src/test/java/org/hamcrest/TypeSafeMatcherTest.java,TypeSafeMatcherTest.java,41,33,0,8,0
Java,hamcrest/src/test/java/org/hamcrest/text/IsBlankStringTest.java,IsBlankStringTest.java,55,44,0,11,0
Java,hamcrest/src/test/java/org/hamcrest/CustomTypeSafeMatcherTest.java,CustomTypeSafeMatcherTest.java,41,32,0,9,0
Java,hamcrest/src/test/java/org/hamcrest/beans/HasPropertyTest.java,HasPropertyTest.java,48,31,7,10,0
Java,hamcrest/src/test/java/org/hamcrest/object/IsCompatibleTypeTest.java,IsCompatibleTypeTest.java,53,39,0,14,0
Java,hamcrest/src/test/java/org/hamcrest/text/CharSequenceLengthTest.java,CharSequenceLengthTest.java,38,24,4,10,0
Java,hamcrest/src/test/java/org/hamcrest/MatcherAssertTest.java,MatcherAssertTest.java,99,79,0,20,0
Java,hamcrest/src/test/java/org/hamcrest/object/HasToStringTest.java,HasToStringTest.java,55,44,0,11,0
Java,hamcrest/src/test/java/org/hamcrest/object/IsEventFromTest.java,IsEventFromTest.java,52,38,0,14,0
Java,hamcrest/src/test/java/org/hamcrest/text/IsEqualCompressingWhiteSpaceTest.java,IsEqualCompressingWhiteSpaceTest.java,48,36,0,12,0
Java,hamcrest/src/test/java/org/hamcrest/core/StringMatchingTest.java,StringMatchingTest.java,35,25,3,7,0
Java,hamcrest/src/test/java/org/hamcrest/core/StringStartsWithTest.java,StringStartsWithTest.java,46,35,0,11,0
HTML,docs/javadoc/2.0.0.0/index-all.html,index-all.html,2580,2525,55,0,0
Java,hamcrest/src/test/java/org/hamcrest/core/StringEndsWithTest.java,StringEndsWithTest.java,45,35,0,10,0
Java,hamcrest/src/test/java/org/hamcrest/core/StringContainsTest.java,StringContainsTest.java,45,34,0,11,0
Java,hamcrest/src/test/java/org/hamcrest/core/IsIterableContainingTest.java,IsIterableContainingTest.java,107,82,0,25,1
Java,hamcrest/src/test/java/org/hamcrest/core/IsTest.java,IsTest.java,51,40,0,11,0
Java,hamcrest/src/test/java/org/hamcrest/core/SampleSubClass.java,SampleSubClass.java,9,6,0,3,0
Java,hamcrest/src/test/java/org/hamcrest/core/DescribedAsTest.java,DescribedAsTest.java,49,36,0,13,0
Java,hamcrest/src/test/java/org/hamcrest/core/IsInstanceOfTest.java,IsInstanceOfTest.java,69,54,0,15,0
JavaScript,docs/javadoc/2.1/script.js,script.js,30,29,0,1,7
Java,hamcrest/src/test/java/org/hamcrest/beans/HasPropertyWithValueTest.java,HasPropertyWithValueTest.java,184,140,6,38,0
HTML,docs/javadoc/2.1/overview-summary.html,overview-summary.html,190,154,36,0,0
HTML,docs/javadoc/2.1/help-doc.html,help-doc.html,223,187,36,0,0
Java,hamcrest/src/test/java/org/hamcrest/text/IsEqualIgnoringCaseTest.java,IsEqualIgnoringCaseTest.java,62,47,0,15,0
Java,hamcrest/src/test/java/org/hamcrest/core/IsSameTest.java,IsSameTest.java,48,36,0,12,0
HTML,docs/javadoc/2.1/allclasses-frame.html,allclasses-frame.html,102,100,2,0,0
Java,hamcrest/src/test/java/org/hamcrest/core/IsEqualTest.java,IsEqualTest.java,157,131,0,26,0
Java,hamcrest/src/test/java/org/hamcrest/core/StringRegularExpressionTest.java,StringRegularExpressionTest.java,25,15,3,7,0
CSS,docs/javadoc/2.1/stylesheet.css,stylesheet.css,574,533,31,10,0
Java,hamcrest/src/test/java/org/hamcrest/core/IsNotTest.java,IsNotTest.java,42,32,0,10,0
Java,hamcrest-integration/src/main/java/org/hamcrest/JavaLangMatcherAssert.java,JavaLangMatcherAssert.java,18,7,9,2,0
Java,hamcrest-integration/src/main/java/org/hamcrest/JMock1Matchers.java,JMock1Matchers.java,12,9,0,3,0
Java,hamcrest/src/test/java/org/hamcrest/core/EveryTest.java,EveryTest.java,44,33,0,11,0
Java,hamcrest-integration/src/main/java/org/hamcrest/integration/JMock1Adapter.java,JMock1Adapter.java,42,22,13,7,0
Java,hamcrest-integration/src/main/java/org/hamcrest/integration/EasyMock2Adapter.java,EasyMock2Adapter.java,43,24,12,7,0
