Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,21,17,0,4,0
Markdown,SUMMARY.md,SUMMARY.md,5,3,0,2,0
YAML,_config.yml,_config.yml,1,1,0,0,0
Markdown,README.md,README.md,88,68,0,20,0
Markdown,test.md,test.md,0,0,0,0,0
HTML,08 - Fun with HTML5 Canvas/index-START.html,index-START.html,19,17,0,2,0
HTML,25 - Event Related/index-start.html,index-start.html,90,73,0,17,0
HTML,12 - Key Sequence Detection/index-START.html,index-START.html,12,12,0,0,0
HTML,22 - Follow Along Link Highlighter/index-start.html,index-start.html,33,29,0,4,0
HTML,17 - Sort Without Articles/index-finished-Dashrun-es6.html,index-finished-Dashrun-es6.html,66,54,0,12,0
HTML,27 - Click and Drag/index-finished-Dashrun.html,index-finished-Dashrun.html,68,62,0,6,0
HTML,13 - Slide in on Scroll/index-START.html,index-START.html,120,91,0,29,0
Markdown,27 - Click and Drag/README.md,README.md,66,56,0,10,0
HTML,22 - Follow Along Link Highlighter/index-finished-Dashrun.html,index-finished-Dashrun.html,62,54,0,8,0
Markdown,.github/issue_template.md,issue_template.md,12,9,0,3,0
Markdown,21 - Geolocation/README.md,README.md,52,40,0,12,0
CSS,27 - Click and Drag/style.css,style.css,75,67,0,8,0
HTML,23 - Speech Synthesis/index-finished-Dashrun.html,index-finished-Dashrun.html,82,66,0,16,0
HTML,21 - Geolocation/index-start.html,index-start.html,63,57,0,6,0
HTML,13 - Slide in on Scroll/index-FINISHED.html,index-FINISHED.html,140,108,0,32,0
HTML,14 - JavaScript References VS Copying/index-SOYAINE.html,index-SOYAINE.html,115,86,0,29,0
HTML,14 - JavaScript References VS Copying/index-START.html,index-START.html,52,31,0,21,0
HTML,29 - Countdown Timer/index-start.html,index-start.html,29,28,0,1,0
Markdown,14 - JavaScript References VS Copying/README.md,README.md,146,106,0,40,0
HTML,14 - JavaScript References VS Copying/index-FINISHED.html,index-FINISHED.html,99,71,0,28,0
HTML,21 - Geolocation/index-finished-Dashrun.html,index-finished-Dashrun.html,100,87,0,13,0
HTML,12 - Key Sequence Detection/index-FINISHED.html,index-FINISHED.html,25,23,1,1,0
HTML,23 - Speech Synthesis/index-start.html,index-start.html,40,31,0,9,0
Markdown,25 - Event Related/README.md,README.md,60,46,0,14,0
HTML,13 - Slide in on Scroll/index-SOYAINE.html,index-SOYAINE.html,145,110,0,35,0
Markdown,22 - Follow Along Link Highlighter/README.md,README.md,74,61,0,13,0
Markdown,12 - Key Sequence Detection/README.md,README.md,47,34,0,13,0
Markdown,13 - Slide in on Scroll/README.md,README.md,85,68,0,17,0
HTML,26 - Stripe Follow Along Nav/index-start.html,index-start.html,214,189,0,25,0
CSS,17 - Sort Without Articles/style.css,style.css,6,1,5,0,0
HTML,25 - Event Related/index-finished-Dashrun.html,index-finished-Dashrun.html,90,73,0,17,0
CSS,22 - Follow Along Link Highlighter/style.css,style.css,59,54,0,5,0
Markdown,17 - Sort Without Articles/README.md,README.md,42,33,0,9,0
HTML,03 - CSS Variables/index-START.html,index-START.html,54,42,0,12,0
Markdown,23 - Speech Synthesis/README.md,README.md,93,74,0,19,0
Markdown,26 - Stripe Follow Along Nav/README.md,README.md,68,58,0,10,0
HTML,19 - Webcam Fun/index-start.html,index-start.html,45,20,20,5,0
HTML,15 - LocalStorage/index-START.html,index-START.html,38,27,4,7,0
JavaScript,29 - Countdown Timer/scripts-START.js,scripts-START.js,61,43,8,10,3
HTML,03 - CSS Variables/index-FINISHED.html,index-FINISHED.html,79,62,0,17,0
Markdown,03 - CSS Variables/README.md,README.md,101,66,0,35,0
HTML,03 - CSS Variables/index-SOYAINE.html,index-SOYAINE.html,129,104,0,25,0
CSS,23 - Speech Synthesis/style.css,style.css,98,83,0,15,0
Markdown,29 - Countdown Timer/README.md,README.md,89,79,0,10,0
HTML,26 - Stripe Follow Along Nav/index-finished-Dashrun.html,index-finished-Dashrun.html,248,220,0,28,0
HTML,28 - Video Speed Controller/index-start.html,index-start.html,20,18,0,2,0
HTML,02 - JS + CSS Clock/index-SOYAINE.html,index-SOYAINE.html,198,165,0,33,0
Markdown,18 - AddingUpTimesWithReduce/README.md,README.md,51,44,0,7,0
