Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,202,169,0,33,0
Markdown,changelog.md,changelog.md,78,70,0,8,0
Properties File,system.properties,system.properties,1,1,0,0,0
Gradle,build.gradle,build.gradle,86,71,1,14,0
Markdown,README.md,README.md,498,368,0,130,0
gitignore,.gitignore,.gitignore,16,16,0,0,0
Gradle,settings.gradle,settings.gradle,2,2,0,0,0
YAML,.travis.yml,.travis.yml,10,7,0,3,0
Batch,gradlew.bat,gradlew.bat,100,76,0,24,21
Shell,gradlew,gradlew,188,133,36,19,19
Gradle,json-path-assert/build.gradle,build.gradle,18,14,0,4,0
Gradle,json-path-web-test/build.gradle,build.gradle,44,38,0,6,0
Markdown,json-path-assert/README.md,README.md,125,86,0,39,0
Gradle,json-path/build.gradle,build.gradle,107,97,0,10,0
Gradle,gradle/binaryCompatibility.gradle,binaryCompatibility.gradle,133,109,5,19,0
Groovy,gradle/binarycompat-report.groovy,binarycompat-report.groovy,153,124,18,11,3
Properties File,json-path-web-test/src/main/resources/simplelogger.properties,simplelogger.properties,2,2,0,0,0
JSON,json-path-web-test/src/main/resources/webapp/json/goessner.json,goessner.json,1,1,0,0,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Java,json-path-assert/src/main/java/com/jayway/jsonassert/impl/matcher/MapTypeSafeMatcher.java,MapTypeSafeMatcher.java,43,10,29,4,1
JSON,json-path-assert/src/test/resources/lotto.json,lotto.json,1,1,0,0,0
Java,json-path-web-test/src/main/java/com/jayway/jsonpath/web/resource/ApiResource.java,ApiResource.java,86,71,0,15,0
HTML,json-path-web-test/src/main/resources/webapp/index.html,index.html,361,328,0,33,0
JSON,json-path/src/test/resources/issue_76_2.json,issue_76_2.json,5,5,0,0,0
Java,json-path/src/test/java/com/jayway/jsonpath/JacksonTest.java,JacksonTest.java,58,38,1,19,0
Java,json-path/src/main/java/com/jayway/jsonpath/PathNotFoundException.java,PathNotFoundException.java,33,14,14,5,0
Java,json-path-assert/src/test/java/com/jayway/jsonassert/JsonAssertTest.java,JsonAssertTest.java,196,156,0,40,0
Gradle,gradle/publishMaven.gradle,publishMaven.gradle,94,81,1,12,0
Java,json-path/src/main/java/com/jayway/jsonpath/TypeRef.java,TypeRef.java,54,19,28,7,1
JSON,json-path/src/test/resources/issue_24.json,issue_24.json,322,322,0,0,0
Java,json-path/src/test/java/com/jayway/jsonpath/WriteTest.java,WriteTest.java,320,233,1,86,2
Java,json-path/src/test/java/com/jayway/jsonpath/ReadContextTest.java,ReadContextTest.java,26,18,0,8,0
Java,json-path/src/test/java/com/jayway/jsonpath/JacksonJsonNodeJsonProviderTest.java,JacksonJsonNodeJsonProviderTest.java,272,228,2,42,0
Java,json-path-assert/src/main/java/com/jayway/jsonpath/matchers/WithJsonPath.java,WithJsonPath.java,60,53,0,7,0
Java,json-path-assert/src/test/java/com/jayway/jsonpath/matchers/WithoutJsonPathTest.java,WithoutJsonPathTest.java,44,37,0,7,0
Java,json-path/src/main/java/com/jayway/jsonpath/ReadContext.java,ReadContext.java,124,14,97,13,0
JavaScript,json-path-web-test/src/main/resources/webapp/js/jsonpath-0.8.0.js,jsonpath-0.8.0.js,87,81,5,1,40
