Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,codecov.yml,codecov.yml,13,11,0,2,0
License,LICENSE,LICENSE,202,169,0,33,0
XML,pmd.xml,pmd.xml,222,222,0,0,0
Markdown,README.md,README.md,616,411,0,205,0
gitignore,.gitignore,.gitignore,76,45,20,11,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,31,24,0,7,0
XML,checkstyle.xml,checkstyle.xml,43,14,29,0,0
Properties File,gradle.properties,gradle.properties,2,2,0,0,0
Markdown,DESIGN.md,DESIGN.md,598,366,0,232,0
Shell,gradlew,gradlew,188,133,36,19,19
Gradle,build.gradle,build.gradle,378,303,9,66,0
Gradle,settings.gradle,settings.gradle,1,1,0,0,0
YAML,.travis.yml,.travis.yml,29,19,5,5,0
Batch,gradlew.bat,gradlew.bat,100,76,0,24,21
Gradle,gradle/javadoc_cleanup.gradle,javadoc_cleanup.gradle,61,39,6,16,0
Shell,gradle/push_javadoc.sh,push_javadoc.sh,134,55,49,30,15
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,13,7,0,6,0
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,7,4,0,3,0
YAML,.github/workflows/gradle-wrapper-validation.yml,gradle-wrapper-validation.yml,10,9,0,1,0
Shell,gradle/buildViaTravis.sh,buildViaTravis.sh,29,23,2,4,14
CSS,gradle/stylesheet.css,stylesheet.css,573,532,32,9,0
Markdown,docs/Filtering-Observables.md,Filtering-Observables.md,760,524,0,236,0
Markdown,docs/Writing-operators-for-2.0.md,Writing-operators-for-2.0.md,1746,1332,0,414,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Markdown,docs/Blocking-Observable-Operators.md,Blocking-Observable-Operators.md,49,42,0,7,0
Markdown,docs/Conditional-and-Boolean-Operators.md,Conditional-and-Boolean-Operators.md,169,116,0,53,0
Markdown,docs/Home.md,Home.md,24,15,0,9,0
Markdown,docs/Implementing-Your-Own-Operators.md,Implementing-Your-Own-Operators.md,114,94,0,20,0
Markdown,docs/Subject.md,Subject.md,12,8,0,4,0
Markdown,docs/_Sidebar.md.md,_Sidebar.md.md,32,32,0,0,0
Markdown,docs/Observable.md,Observable.md,3,2,0,1,0
Markdown,docs/_Footer.md,_Footer.md,2,2,0,0,0
Markdown,docs/Backpressure-(2.0).md,Backpressure-(2.0).md,503,345,0,158,0
Markdown,docs/Operator-Matrix.md,Operator-Matrix.md,359,356,0,3,0
Markdown,docs/String-Observables.md,String-Observables.md,9,8,0,1,0
Markdown,docs/Alphabetical-List-of-Observable-Operators.md,Alphabetical-List-of-Observable-Operators.md,250,249,0,1,0
Markdown,docs/Implementing-custom-operators-(draft).md,Implementing-custom-operators-(draft).md,508,374,0,134,0
Markdown,docs/README.md,README.md,24,15,0,9,0
