Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,5,5,0,0,0
Markdown,readme.md,readme.md,15,8,0,7,0
JSON,package.json,package.json,34,34,0,0,0
CSS,base.css,base.css,116,93,3,20,0
JSON,package-lock.json,package-lock.json,2849,2849,0,0,0
Markdown,snippets/README.md,README.md,14,9,0,5,0
JSON,snippets/htmlbase.json,htmlbase.json,18,18,0,0,0
HTML,snippets/htmlbase.html,htmlbase.html,15,11,0,4,0
HTML,exercises/59 - Slider/index.html,index.html,58,53,0,5,0
JavaScript,exercises/20 - The DOM/traversing-FINISHED.js,traversing-FINISHED.js,18,7,6,5,0
HTML,playground/running-js-FINISHED.html,running-js-FINISHED.html,15,12,0,3,0
HTML,exercises/85 - Audio Visualizer Oscilloscope/index.html,index.html,35,28,0,7,0
JavaScript,exercises/55 - Face Detection Censorship/pixelated-face-DEMO.js,pixelated-face-DEMO.js,77,62,8,7,0
JavaScript,exercises/59 - Slider/src/index-prototype-FINISHED.js,index-prototype-FINISHED.js,75,57,7,11,10
HTML,exercises/75 - CORS and Recipes/index.html,index.html,29,25,0,4,0
HTML,exercises/83 - Security/index.html,index.html,82,63,0,19,0
JavaScript,exercises/20 - The DOM/traversing.js,traversing.js,0,0,0,0,0
JSON,exercises/55 - Face Detection Censorship/package.json,package.json,17,17,0,0,0
HTML,exercises/20 - The DOM/DOM-Cardio.html,DOM-Cardio.html,15,12,0,3,0
JavaScript,exercises/20 - The DOM/creating-with-strings-FINISHED.js,creating-with-strings-FINISHED.js,16,12,1,3,0
JavaScript,exercises/20 - The DOM/creating.js,creating.js,0,0,0,0,0
JavaScript,exercises/20 - The DOM/creating-FINISHED.js,creating-FINISHED.js,56,34,8,14,0
JavaScript,exercises/55 - Face Detection Censorship/pixelated-face-FINISHED.js,pixelated-face-FINISHED.js,92,72,11,9,0
HTML,exercises/20 - The DOM/index-FINISHED.html,index-FINISHED.html,57,47,0,10,0
JavaScript,exercises/20 - The DOM/DOM-Cardio-FINISHED.js,DOM-Cardio-FINISHED.js,94,54,31,9,0
