Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,202,169,0,33,0
Markdown,CHANGELOG.md,CHANGELOG.md,502,418,0,84,0
Batch,mvnw.cmd,mvnw.cmd,182,147,0,35,30
XML,pom.xml,pom.xml,408,380,5,23,0
Markdown,README.md,README.md,9,7,0,2,0
Docker ignore,.dockerignore,.dockerignore,2,2,0,0,0
gitignore,.gitignore,.gitignore,24,14,5,5,0
YAML,circle.yml,circle.yml,28,25,0,3,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,58,41,0,17,0
Shell,circle.sh,circle.sh,45,29,7,9,0
Markdown,docs/getting_started.md,getting_started.md,121,89,0,32,0
Java,docker-java-transport-netty/src/main/java/com/github/dockerjava/netty/handler/JsonRequestHandler.java,JsonRequestHandler.java,27,15,7,5,0
Java,docker-java-transport-netty/src/main/java/com/github/dockerjava/netty/handler/HttpResponseHandler.java,HttpResponseHandler.java,122,96,6,20,7
Java,docker-java-transport-netty/src/main/java/com/github/dockerjava/netty/handler/HttpRequestProvider.java,HttpRequestProvider.java,8,5,0,3,0
Java,docker-java-transport-netty/src/main/java/com/github/dockerjava/netty/handler/FramedResponseStreamHandler.java,FramedResponseStreamHandler.java,153,100,9,44,21
Java,docker-java/src/main/java/com/github/dockerjava/core/DockerClientBuilder.java,DockerClientBuilder.java,110,75,20,15,6
Java,docker-java-transport-netty/src/main/java/com/github/dockerjava/netty/handler/HttpConnectionHijackHandler.java,HttpConnectionHijackHandler.java,46,36,0,10,0
XML,docker-java-core/pom.xml,pom.xml,102,89,0,13,0
XML,docker-java/src/test/resources/logback.xml,logback.xml,19,14,0,5,0
XML,docker-java/src/test/resources/travis-logback.xml,travis-logback.xml,19,7,7,5,0
Java,docker-java/src/test/java/com/github/dockerjava/api/ModelsSerializableTest.java,ModelsSerializableTest.java,70,57,3,10,6
XML,docker-java/pom.xml,pom.xml,173,155,1,17,0
Shell,mvnw,mvnw,310,230,54,26,34
Markdown,circle.md,circle.md,51,30,0,21,0
Markdown,docs/transports.md,transports.md,74,58,0,16,0
Properties File,.mvn/wrapper/maven-wrapper.properties,maven-wrapper.properties,2,2,0,0,0
Markdown,docs/README.md,README.md,2,2,0,0,0
XML,docker-java-transport-zerodep/pom.xml,pom.xml,104,95,1,8,0
