Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,glossario.md,glossario.md,25,22,0,3,0
Markdown,summary.md,summary.md,25,23,0,2,0
gitignore,.gitignore,.gitignore,3,3,0,0,0
Markdown,README.md,README.md,50,36,0,14,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,103,65,0,38,0
Markdown,chapters/00-introducao.md,00-introducao.md,180,119,0,61,0
Markdown,chapters/04-estruturas-de-dados.md,04-estruturas-de-dados.md,773,550,0,223,0
Markdown,chapters/11-pratica-linguagem-de-programacao.md,11-pratica-linguagem-de-programacao.md,529,377,0,152,0
Markdown,chapters/03-funcoes.md,03-funcoes.md,569,402,0,167,0
Markdown,chapters/17-http.md,17-http.md,491,347,0,144,0
Markdown,chapters/09-expressoes-regulares.md,09-expressoes-regulares.md,735,519,0,216,0
Markdown,chapters/18-formularios-e-campos-de-formularios.md,18-formularios-e-campos-de-formularios.md,627,482,0,145,0
Markdown,chapters/16-desenhando-no-canvas.md,16-desenhando-no-canvas.md,786,580,0,206,0
Markdown,chapters/08-erros-e-manipulacao-de-erros.md,08-erros-e-manipulacao-de-erros.md,479,339,0,140,0
Markdown,chapters/10-modulos.md,10-modulos.md,461,317,0,144,0
Markdown,chapters/06-a-vida-secreta-dos-objetos.md,06-a-vida-secreta-dos-objetos.md,596,456,0,140,0
Markdown,chapters/14-manipulando-eventos.md,14-manipulando-eventos.md,643,483,0,160,0
Markdown,chapters/07-pratica-vida-eletronica.md,07-pratica-vida-eletronica.md,699,549,0,150,0
Markdown,chapters/21-projeto-website-de-compartilhamento-de-habilidades.md,21-projeto-website-de-compartilhamento-de-habilidades.md,770,570,0,200,0
Markdown,chapters/12-javascript-e-o-navegador.md,12-javascript-e-o-navegador.md,165,99,0,66,0
Markdown,chapters/02-estrutura-do-programa.md,02-estrutura-do-programa.md,544,360,0,184,0
Markdown,chapters/01-valores-tipos-operadores.md,01-valores-tipos-operadores.md,308,197,0,111,0
Markdown,chapters/20-nodejs.md,20-nodejs.md,1062,881,0,181,0
Markdown,chapters/05-funcoes-de-ordem-superior.md,05-funcoes-de-ordem-superior.md,628,460,0,168,0
Markdown,chapters/19-projeto-um-programa-de-pintura.md,19-projeto-um-programa-de-pintura.md,517,378,0,139,0
SVG,img/cos_sin.svg,cos_sin.svg,11,11,0,0,0
Markdown,chapters/13-document-object-model.md,13-document-object-model.md,618,444,0,174,0
SVG,img/linked-list.svg,linked-list.svg,13,13,0,0,0
Markdown,chapters/15-projeto-plataforma-de-jogo.md,15-projeto-plataforma-de-jogo.md,796,598,0,198,0
SVG,img/pizza-squirrel.svg,pizza-squirrel.svg,18,18,0,0,0
SVG,img/re_porcogalinhas.svg,re_porcogalinhas.svg,380,380,0,0,0
SVG,img/weresquirrel.svg,weresquirrel.svg,6994,6992,1,1,0
