Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,rfc4627.txt,rfc4627.txt,563,335,0,228,0
Shell,vtune.sh,vtune.sh,2,2,0,0,0
Markdown,README.md,README.md,91,65,0,26,0
gitignore,.gitignore,.gitignore,9,9,0,0,0
YAML,.gitpod.yml,.gitpod.yml,7,6,0,1,0
Shell,x.sh,x.sh,2,2,0,0,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,27,21,0,6,0
XML,pom.xml,pom.xml,672,587,26,59,0
Markdown,SECURITY.md,SECURITY.md,120,100,0,20,0
Plain Text,license.txt,license.txt,201,169,0,32,0
YAML,.travis.yml,.travis.yml,10,10,0,0,0
XML,src/test/resources/log4j2.xml,log4j2.xml,13,13,0,0,0
Plain Text,src/main/resources/META-INF/LICENSE.txt,LICENSE.txt,203,169,0,34,0
Plain Text,src/main/resources/META-INF/NOTICE.txt,NOTICE.txt,15,15,0,0,0
Java,src/test/java/com/alibaba/json/bvtVO/Image.java,Image.java,60,36,12,12,12
Java,src/test/java/com/alibaba/json/bvtVO/AuditStatusType.java,AuditStatusType.java,51,38,3,10,2
Java,src/test/java/com/alibaba/json/bvtVO/RainbowStats.java,RainbowStats.java,25,19,0,6,0
Java,src/test/java/com/alibaba/json/bvtVO/IntEnum.java,IntEnum.java,8,4,3,1,0
Java,src/test/java/com/alibaba/json/bvtVO/OfferRankResultVO.java,OfferRankResultVO.java,43,31,0,12,0
Java,src/test/java/com/alibaba/json/bvtVO/VirtualTopic.java,VirtualTopic.java,110,75,15,20,13
JSON,src/test/resources/data/media.2.json,media.2.json,39,38,0,1,0
Java,src/test/java/com/alibaba/json/bvtVO/AccessHttpConfigModel.java,AccessHttpConfigModel.java,195,83,75,37,0
JSON,src/test/resources/data/media.1.json,media.1.json,33,32,0,1,0
Java,src/test/java/com/alibaba/json/bvtVO/QueryResult.java,QueryResult.java,13,10,0,3,0
Java,src/test/java/com/mchange/v2/c3p0/impl/PoolBackedDataSourceBase.java,PoolBackedDataSourceBase.java,8,3,3,2,0
Properties File,src/test/resources/log4j.properties,log4j.properties,11,8,1,2,0
Java,src/test/java/com/alibaba/json/TestGC.java,TestGC.java,14,11,0,3,1
Java,src/test/java/com/alibaba/json/bvtVO/IncomingDataPoint.java,IncomingDataPoint.java,169,104,37,28,3
JSON,src/test/resources/2.json,2.json,1,1,0,0,0
Java,src/test/java/com/alibaba/json/bvtVO/Page.java,Page.java,24,18,0,6,0
Java,src/test/java/com/alibaba/json/bvtVO/PhysicalQueue.java,PhysicalQueue.java,79,57,1,21,0
JSON,src/test/resources/wuyexiong.json,wuyexiong.json,69,69,0,0,0
Java,src/test/java/com/alibaba/json/SerializerFeatureDistinctTest.java,SerializerFeatureDistinctTest.java,24,17,3,4,1
Java,src/test/java/com/alibaba/json/bvtVO/ProductView.java,ProductView.java,59,45,0,14,0
JSON,src/test/resources/issue74.json,issue74.json,45,45,0,0,0
Java,src/test/java/com/alibaba/json/ArrayRefTest2.java,ArrayRefTest2.java,78,57,0,21,0
XML,src/test/resources/META-INF/persistence.xml,persistence.xml,30,28,0,2,0
JSON,src/test/resources/json/yannywang.json,yannywang.json,1,1,0,0,0
XML,src/test/resources/com/alibaba/json/bvt/support/spring/mock/resource/applicationContext-mvc1.xml,applicationContext-mvc1.xml,28,25,0,3,0
XML,src/test/resources/com/alibaba/json/bvt/support/spring/mock/resource/applicationContext-mvc2.xml,applicationContext-mvc2.xml,41,37,0,4,0
