Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,272,221,0,51,0
Markdown,README.md,README.md,156,116,0,40,0
YAML,appveyor.yml,appveyor.yml,39,32,1,6,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,29,23,0,6,0
gitignore,.gitignore,.gitignore,15,12,0,3,0
YAML,.travis.yml,.travis.yml,42,30,2,10,0
XML,pom.xml,pom.xml,253,211,23,19,0
XML,eclipse_plugin/plugin.xml,plugin.xml,27,11,15,1,0
Markdown,eclipse_plugin/README.md,README.md,26,16,0,10,0
Properties File,eclipse_plugin/build.properties,build.properties,8,8,0,0,0
XML,eclipse_plugin/pom.xml,pom.xml,103,77,15,11,0
XML,core/pom.xml,pom.xml,284,255,19,10,0
XML,util/settings.xml,settings.xml,25,9,15,1,0
Shell,util/publish-snapshot-on-commit.sh,publish-snapshot-on-commit.sh,26,8,14,4,8
Emacs Lisp,core/src/main/scripts/google-java-format.el,google-java-format.el,105,53,38,14,1
Gradle,idea_plugin/build.gradle,build.gradle,58,49,0,9,0
Java,idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatCodeStyleManager.java,GoogleJavaFormatCodeStyleManager.java,154,105,31,18,17
Shell,scripts/mvn-deploy.sh,mvn-deploy.sh,35,15,15,5,3
Java,idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatConfigurable.java,GoogleJavaFormatConfigurable.java,206,159,28,19,2
Python,scripts/google-java-format-diff.py,google-java-format-diff.py,139,115,23,1,0
Java,idea_plugin/src/com/google/googlejavaformat/intellij/CodeStyleManagerDecorator.java,CodeStyleManagerDecorator.java,239,179,21,39,2
Java,core/src/main/java/com/google/googlejavaformat/FormatterDiagnostic.java,FormatterDiagnostic.java,79,45,24,10,4
Java,core/src/test/java/com/google/googlejavaformat/java/CommandLineFlagsTest.java,CommandLineFlagsTest.java,176,122,29,25,0
Java,core/src/test/java/com/google/googlejavaformat/java/TypeNameClassifierTest.java,TypeNameClassifierTest.java,74,49,16,9,0
Java,core/src/test/java/com/google/googlejavaformat/java/ImportOrdererTest.java,ImportOrdererTest.java,864,824,30,10,0
Java,core/src/main/java/com/google/googlejavaformat/java/CommandLineOptionsParser.java,CommandLineOptionsParser.java,209,168,30,11,16
Java,core/src/main/java/com/google/googlejavaformat/java/JavaOutput.java,JavaOutput.java,400,288,79,33,63
Java,core/src/main/java/com/google/googlejavaformat/java/StringWrapper.java,StringWrapper.java,425,325,67,33,60
Java,core/src/main/java/com/google/googlejavaformat/java/RemoveUnusedImports.java,RemoveUnusedImports.java,321,243,54,24,31
Java,core/src/test/java/com/google/googlejavaformat/java/JavadocFormattingTest.java,JavadocFormattingTest.java,1418,1286,66,66,1
Java,core/src/main/java/com/google/googlejavaformat/Indent.java,Indent.java,84,49,20,15,0
Java,idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatSettings.java,GoogleJavaFormatSettings.java,106,72,16,18,6
Java,core/src/main/java/com/google/googlejavaformat/java/Trees.java,Trees.java,118,79,27,12,6
Java,core/src/main/java/com/google/googlejavaformat/java/UsageException.java,UsageException.java,108,81,14,13,2
Java,core/src/main/java/com/google/googlejavaformat/java/FormatFileCallable.java,FormatFileCallable.java,85,55,18,12,9
Java,core/src/main/java/com/google/googlejavaformat/java/JavaInput.java,JavaInput.java,676,476,146,54,73
Java,core/src/main/java/com/google/googlejavaformat/java/Replacement.java,Replacement.java,72,40,21,11,4
Java,core/src/main/java/com/google/googlejavaformat/java/JavaFormatterOptions.java,JavaFormatterOptions.java,103,53,30,20,0
Java,core/src/main/java/com/google/googlejavaformat/java/DimensionHelpers.java,DimensionHelpers.java,124,73,42,9,9
Java,core/src/main/java/com/google/googlejavaformat/java/JavacTokens.java,JavacTokens.java,214,152,37,25,17
Java,core/src/main/java/com/google/googlejavaformat/CommentsHelper.java,CommentsHelper.java,31,4,25,2,0
Java,idea_plugin/src/com/google/googlejavaformat/intellij/UiFormatterStyle.java,UiFormatterStyle.java,52,28,16,8,0
Java,core/src/test/java/com/google/googlejavaformat/java/StringWrapperIntegrationTest.java,StringWrapperIntegrationTest.java,414,388,14,12,0
Java,core/src/main/java/com/google/googlejavaformat/java/ModifierOrderer.java,ModifierOrderer.java,174,127,34,13,18
Java,core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,JavaCommentsHelper.java,182,135,31,16,31
Java,core/src/main/java/com/google/googlejavaformat/java/Formatter.java,Formatter.java,320,184,114,22,9
Java,core/src/main/java/com/google/googlejavaformat/java/javadoc/NestingCounter.java,NestingCounter.java,48,26,14,8,2
Java,core/src/main/java/com/google/googlejavaformat/java/TypeNameClassifier.java,TypeNameClassifier.java,173,118,38,17,12
Java,core/src/main/java/com/google/googlejavaformat/java/ImportOrderer.java,ImportOrderer.java,483,313,123,47,56
Java,core/src/main/java/com/google/googlejavaformat/java/SnippetFormatter.java,SnippetFormatter.java,215,168,29,18,28
Java,core/src/main/java/com/google/googlejavaformat/java/javadoc/CharStream.java,CharStream.java,68,37,22,9,3
Java,idea_plugin/src/com/google/googlejavaformat/intellij/InitialConfigurationProjectManagerListener.java,InitialConfigurationProjectManagerListener.java,58,35,15,8,1
Java,core/src/main/java/com/google/googlejavaformat/java/javadoc/Token.java,Token.java,131,52,71,8,0
Java,idea_plugin/src/com/google/googlejavaformat/intellij/GoogleJavaFormatInstaller.java,GoogleJavaFormatInstaller.java,57,29,19,9,2
