Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,50,39,0,11,0
Markdown,README.md,README.md,32,16,0,16,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,27,13,0,14,0
Markdown,LICENSE.md,LICENSE.md,15,11,0,4,0
Shell,travis-build.sh,travis-build.sh,10,9,1,0,5
Shell,gradlew,gradlew,185,128,36,21,19
gitignore,.gitignore,.gitignore,18,18,0,0,0
Properties File,gradle.properties,gradle.properties,7,6,0,1,0
Markdown,coding-guidelines.md,coding-guidelines.md,186,128,0,58,0
XML,graphql-java-code-style.xml,graphql-java-code-style.xml,19,19,0,0,0
Gradle,build.gradle,build.gradle,230,187,5,38,0
Gradle,settings.gradle,settings.gradle,2,1,0,1,0
Batch,gradlew.bat,gradlew.bat,89,68,0,21,18
YAML,.travis.yml,.travis.yml,14,13,0,1,0
Markdown,README.zh_cn.md,README.zh_cn.md,40,21,0,19,0
ReStructuredText,docs/index.rst,index.rst,12,8,0,4,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,14,11,0,3,0
YAML,.github/workflows/gradle.yml,gradle.yml,17,13,0,4,0
Java,src/test/java/benchmark/PropertyFetcherBenchMark.java,PropertyFetcherBenchMark.java,71,48,10,13,0
Markdown,.github/ISSUE_TEMPLATE/other-issue.md,other-issue.md,10,8,0,2,0
Java,src/test/groovy/readme/DataFetchingExamples.java,DataFetchingExamples.java,77,52,6,19,3
Makefile,docs/Makefile,Makefile,20,10,6,4,0
JSON,src/test/resources/simpsons-introspection.json,simpsons-introspection.json,1298,1298,0,0,0
Java,src/main/java/graphql/Assert.java,Assert.java,120,92,7,21,24
Java,src/main/java/graphql/TrivialDataFetcher.java,TrivialDataFetcher.java,13,5,5,3,0
Java,src/test/groovy/readme/InstrumentationExamples.java,InstrumentationExamples.java,149,108,12,29,1
Java,src/main/java/graphql/VisibleForTesting.java,VisibleForTesting.java,18,12,3,3,0
Java,src/test/groovy/readme/SubscriptionExamples.java,SubscriptionExamples.java,98,66,14,18,0
Java,src/main/java/graphql/ExceptionWhileDataFetching.java,ExceptionWhileDataFetching.java,104,77,8,19,3
Python,docs/conf.py,conf.py,172,43,92,37,0
Java,src/test/groovy/readme/ConcernsExamples.java,ConcernsExamples.java,82,50,9,23,0
HTML,src/test/resources/httpmain/index.html,index.html,135,120,7,8,0
Java,src/test/groovy/readme/ExecutionExamples.java,ExecutionExamples.java,305,212,32,61,4
Java,src/test/groovy/readme/FieldSelectionExamples.java,FieldSelectionExamples.java,50,39,1,10,2
Java,src/test/groovy/readme/MappingExamples.java,MappingExamples.java,160,124,0,36,2
Java,src/test/groovy/readme/ScalarExamples.java,ScalarExamples.java,73,58,1,14,6
Java,src/test/groovy/readme/DataLoaderBatchingExamples.java,DataLoaderBatchingExamples.java,334,213,54,67,0
Properties File,src/test/resources/simplelogger.properties,simplelogger.properties,34,2,25,7,0
Java,src/main/java/graphql/InvalidSyntaxError.java,InvalidSyntaxError.java,80,62,0,18,2
Java,src/test/java/HelloWorld.java,HelloWorld.java,33,24,1,8,0
Java,src/main/java/graphql/AssertException.java,AssertException.java,10,7,0,3,0
Java,src/main/java/graphql/GraphQLError.java,GraphQLError.java,70,20,38,12,0
Markdown,docs/readme.md,readme.md,24,17,0,7,0
Java,src/test/groovy/readme/DirectivesExamples.java,DirectivesExamples.java,174,122,19,33,4
Plain Text,src/test/resources/multisource/c.txt,c.txt,6,6,0,0,0
Java,src/test/groovy/example/http/ExecutionResultJSONTesting.java,ExecutionResultJSONTesting.java,101,78,6,17,3
Java,src/main/java/graphql/PublicSpi.java,PublicSpi.java,25,13,9,3,0
Java,src/main/java/graphql/GraphqlErrorHelper.java,GraphqlErrorHelper.java,91,70,8,13,25
Java,src/main/java/graphql/TypeMismatchError.java,TypeMismatchError.java,100,82,0,18,0
Java,src/main/java/graphql/SerializationError.java,SerializationError.java,78,61,0,17,0
Java,src/main/java/graphql/GraphQLException.java,GraphQLException.java,22,15,0,7,0
Plain Text,src/test/resources/multisource/b.txt,b.txt,6,6,0,0,0
Java,src/main/java/graphql/GraphqlErrorException.java,GraphqlErrorException.java,118,82,15,21,1
Java,src/main/java/graphql/GraphqlErrorBuilder.java,GraphqlErrorBuilder.java,156,106,23,27,5
Java,src/test/java/benchmark/BenchMark.java,BenchMark.java,110,84,8,18,1
Java,src/main/java/graphql/ExecutionResultImpl.java,ExecutionResultImpl.java,164,132,1,31,11
JSON,src/test/resources/starwars-introspection.json,starwars-introspection.json,1257,1256,0,1,0
Java,src/main/java/graphql/ParseAndValidateResult.java,ParseAndValidateResult.java,133,86,27,20,8
Java,src/test/groovy/example/http/JsonKit.java,JsonKit.java,37,25,7,5,5
Java,src/main/java/graphql/DirectivesUtil.java,DirectivesUtil.java,35,29,0,6,4
Java,src/main/java/graphql/Directives.java,Directives.java,73,52,11,10,0
Java,src/main/java/graphql/ThreadSafe.java,ThreadSafe.java,19,13,3,3,0
Java,src/main/java/graphql/ParseAndValidate.java,ParseAndValidate.java,64,32,26,6,1
Groovy,src/test/groovy/graphql/ExecutionInputTest.groovy,ExecutionInputTest.groovy,132,116,0,16,25
Java,src/main/java/graphql/Scalars.java,Scalars.java,121,38,66,17,0
Java,src/main/java/graphql/PublicApi.java,PublicApi.java,24,14,7,3,0
Java,src/main/java/graphql/ErrorType.java,ErrorType.java,15,10,3,2,0
Java,src/test/groovy/example/http/QueryParameters.java,QueryParameters.java,86,61,13,12,5
Java,src/main/java/graphql/UnresolvedTypeError.java,UnresolvedTypeError.java,80,64,0,16,0
Java,src/test/java/benchmark/AddError.java,AddError.java,38,32,0,6,0
Java,src/test/groovy/graphql/MutationSchema.java,MutationSchema.java,132,110,0,22,1
Java,src/main/java/graphql/ErrorClassification.java,ErrorClassification.java,26,8,16,2,0
Plain Text,src/test/resources/multisource/a.txt,a.txt,6,6,0,0,0
Java,src/main/java/graphql/TypeResolutionEnvironment.java,TypeResolutionEnvironment.java,78,42,25,11,0
Java,src/main/java/graphql/Internal.java,Internal.java,21,12,6,3,0
Java,src/main/java/graphql/ExecutionResult.java,ExecutionResult.java,57,12,36,9,0
Java,src/test/groovy/example/http/package-info.java,package-info.java,34,1,33,0,0
Groovy,src/test/groovy/graphql/TypeResolverExecutionTest.groovy,TypeResolverExecutionTest.groovy,483,424,3,56,17
Java,src/test/groovy/readme/ReadmeExamples.java,ReadmeExamples.java,513,400,26,87,9
Java,src/main/java/graphql/GraphQLContext.java,GraphQLContext.java,157,116,18,23,2
Java,src/main/java/graphql/ExecutionInput.java,ExecutionInput.java,305,176,89,40,0
Java,src/main/java/graphql/GraphQL.java,GraphQL.java,646,376,203,67,31
Java,src/main/java/graphql/validation/DocumentVisitor.java,DocumentVisitor.java,15,9,0,6,0
Java,src/main/java/graphql/validation/Validator.java,Validator.java,121,96,0,25,0
Java,src/main/java/graphql/validation/RulesVisitor.java,RulesVisitor.java,225,188,0,37,55
Java,src/main/java/graphql/validation/ValidationUtil.java,ValidationUtil.java,190,162,0,28,28
Java,src/test/groovy/example/http/HttpMain.java,HttpMain.java,285,181,63,41,11
Java,src/main/java/graphql/validation/ArgumentValidationUtil.java,ArgumentValidationUtil.java,105,87,0,18,3
Java,src/main/java/graphql/validation/ValidationErrorType.java,ValidationErrorType.java,38,35,0,3,0
Java,src/main/java/graphql/validation/ValidationError.java,ValidationError.java,183,149,0,34,5
Java,src/test/groovy/graphql/ScalarsQuerySchema.java,ScalarsQuerySchema.java,124,108,3,13,0
Java,src/main/java/graphql/validation/LanguageTraversal.java,LanguageTraversal.java,44,34,0,10,6
Java,src/main/java/graphql/scalar/GraphqlByteCoercing.java,GraphqlByteCoercing.java,80,70,0,10,11
Java,src/main/java/graphql/scalar/CoercingUtil.java,CoercingUtil.java,18,14,0,4,3
Java,src/main/java/graphql/scalar/GraphqlIDCoercing.java,GraphqlIDCoercing.java,73,64,0,9,11
Java,src/main/java/graphql/scalar/GraphqlBooleanCoercing.java,GraphqlBooleanCoercing.java,70,60,1,9,12
Java,src/main/java/graphql/validation/TraversalContext.java,TraversalContext.java,323,274,7,42,81
Java,src/main/java/graphql/scalar/GraphqlFloatCoercing.java,GraphqlFloatCoercing.java,70,59,0,11,10
Java,src/main/java/graphql/scalar/GraphqlBigIntegerCoercing.java,GraphqlBigIntegerCoercing.java,86,77,0,9,10
Java,src/main/java/graphql/validation/ValidationErrorCollector.java,ValidationErrorCollector.java,41,31,0,10,5
Java,src/main/java/graphql/validation/ValidationContext.java,ValidationContext.java,94,72,0,22,2
Java,src/main/java/graphql/validation/AbstractRule.java,AbstractRule.java,157,104,0,53,1
Groovy,src/test/groovy/graphql/ScalarsByteTest.groovy,ScalarsByteTest.groovy,115,97,0,18,3
Java,src/main/java/graphql/nextgen/GraphQL.java,GraphQL.java,359,227,87,45,16
Groovy,src/test/groovy/graphql/Issue739.groovy,Issue739.groovy,112,90,0,22,11
Groovy,src/test/groovy/graphql/Issue2001.groovy,Issue2001.groovy,66,55,0,11,3
Groovy,src/test/groovy/graphql/ScalarsQueryTest.groovy,ScalarsQueryTest.groovy,121,103,0,18,6
Java,src/main/java/graphql/nextgen/package-info.java,package-info.java,4,1,3,0,0
Groovy,src/test/groovy/graphql/ScalarsBigIntegerTest.groovy,ScalarsBigIntegerTest.groovy,95,81,0,14,3
Groovy,src/test/groovy/graphql/Issue296.groovy,Issue296.groovy,84,67,2,15,0
Groovy,src/test/groovy/graphql/StarWarsData.groovy,StarWarsData.groovy,149,128,0,21,14
Java,src/test/groovy/graphql/StarWarsSchema.java,StarWarsSchema.java,172,158,0,14,0
Groovy,src/test/groovy/graphql/GraphQLTest.groovy,GraphQLTest.groovy,1173,979,2,192,70
Java,src/main/java/graphql/validation/rules/FragmentsOnCompositeType.java,FragmentsOnCompositeType.java,44,37,0,7,8
Java,src/main/java/graphql/validation/rules/ArgumentsOfCorrectType.java,ArgumentsOfCorrectType.java,36,31,0,5,3
Java,src/test/groovy/graphql/GarfieldSchema.java,GarfieldSchema.java,187,155,0,32,5
Java,src/main/java/graphql/relay/PageInfo.java,PageInfo.java,33,9,18,6,0
Java,src/main/java/graphql/validation/rules/PossibleFragmentSpreads.java,PossibleFragmentSpreads.java,97,74,6,17,24
Java,src/main/java/graphql/relay/DefaultConnectionCursor.java,DefaultConnectionCursor.java,44,35,0,9,9
Java,src/main/java/graphql/relay/InvalidCursorException.java,InvalidCursorException.java,45,34,0,11,0
Java,src/main/java/graphql/relay/DefaultEdge.java,DefaultEdge.java,36,27,0,9,0
Java,src/main/java/graphql/relay/SimpleListConnection.java,SimpleListConnection.java,151,119,7,25,20
Java,src/main/java/graphql/relay/DefaultConnection.java,DefaultConnection.java,50,30,11,9,0
Java,src/main/java/graphql/relay/DefaultPageInfo.java,DefaultPageInfo.java,51,40,0,11,0
Java,src/main/java/graphql/relay/ConnectionCursor.java,ConnectionCursor.java,21,6,11,4,0
Java,src/main/java/graphql/relay/InvalidPageSizeException.java,InvalidPageSizeException.java,45,34,0,11,0
Java,src/main/java/graphql/relay/Connection.java,Connection.java,26,8,12,6,0
Java,src/main/java/graphql/relay/Edge.java,Edge.java,23,7,11,5,0
Java,src/main/java/graphql/execution/AbstractAsyncExecutionStrategy.java,AbstractAsyncExecutionStrategy.java,41,32,1,8,3
Java,src/main/java/graphql/execution/Async.java,Async.java,191,157,10,24,14
Java,src/main/java/graphql/execution/MissingRootTypeException.java,MissingRootTypeException.java,33,24,3,6,1
Java,src/main/java/graphql/relay/Relay.java,Relay.java,255,223,6,26,2
