Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,13,13,0,0,0
XML,pom.xml,pom.xml,160,88,64,8,0
Markdown,README.md,README.md,120,69,0,51,0
Markdown,LICENSE.md,LICENSE.md,202,169,0,33,0
Markdown,Greys_en.md,Greys_en.md,132,84,0,48,0
JavaScript,scripts/template.js,template.js,59,14,34,11,0
JavaScript,scripts/sql-monitor.js,sql-monitor.js,194,163,7,24,13
JavaScript,scripts/logger.js,logger.js,158,102,42,14,23
JavaScript,scripts/scheduler-module.js,scheduler-module.js,47,30,6,11,1
XML,agent/pom.xml,pom.xml,56,54,0,2,0
XML,core/pom.xml,pom.xml,126,106,16,4,0
Shell,bin/install.sh,install.sh,44,22,12,10,5
Shell,bin/greys-packages.sh,greys-packages.sh,51,25,14,12,3
Shell,bin/gs.sh,gs.sh,139,82,26,31,11
Shell,bin/ga.sh,ga.sh,60,37,11,12,7
Shell,bin/install-local.sh,install-local.sh,35,13,12,10,3
JavaScript,core/src/test/resources/com.github.ompc.greys.core.res/javascript/test2.js,test2.js,34,22,4,8,0
Shell,bin/greys.sh,greys.sh,333,186,62,85,36
JavaScript,core/src/test/resources/com.github.ompc.greys.core.res/javascript/test.js,test.js,251,50,178,23,0
XML,core/src/main/resources/com/github/ompc/greys/core/res/greys-logback.xml,greys-logback.xml,11,11,0,0,0
Plain Text,core/src/main/resources/com/github/ompc/greys/core/res/thanks.txt,thanks.txt,43,27,0,16,0
Java,agent/src/main/java/com/github/ompc/greys/agent/Spy.java,Spy.java,79,54,15,10,0
Java,core/src/main/java/com/github/ompc/greys/core/TimeFragment.java,TimeFragment.java,48,18,20,10,0
Java,agent/src/main/java/com/github/ompc/greys/agent/AgentLauncher.java,AgentLauncher.java,145,93,23,29,4
Java,core/src/main/java/com/github/ompc/greys/core/Configure.java,Configure.java,130,82,21,27,6
Java,agent/src/main/java/com/github/ompc/greys/agent/AgentClassLoader.java,AgentClassLoader.java,36,25,4,7,3
Java,core/src/main/java/com/github/ompc/greys/core/ClassDataSource.java,ClassDataSource.java,18,5,9,4,0
Java,core/src/main/java/com/github/ompc/greys/core/GlobalOptions.java,GlobalOptions.java,167,91,53,23,0
Java,core/src/main/java/com/github/ompc/greys/core/command/TraceCommand.java,TraceCommand.java,238,187,12,39,13
Java,core/src/main/java/com/github/ompc/greys/core/textui/TKv.java,TKv.java,95,66,12,17,6
Java,core/src/main/java/com/github/ompc/greys/core/Advice.java,Advice.java,209,125,63,21,4
Java,core/src/main/java/com/github/ompc/greys/core/GreysConsole.java,GreysConsole.java,302,234,19,49,19
Java,core/src/main/java/com/github/ompc/greys/core/util/LazyGet.java,LazyGet.java,33,19,5,9,1
Java,core/src/main/java/com/github/ompc/greys/core/util/AliEagleEyeUtils.java,AliEagleEyeUtils.java,59,36,16,7,6
Java,core/src/main/java/com/github/ompc/greys/core/util/PlayIndexHolder.java,PlayIndexHolder.java,20,9,6,5,0
Java,core/src/main/java/com/github/ompc/greys/core/advisor/InvokeTraceable.java,InvokeTraceable.java,57,19,33,5,0
Java,core/src/main/java/com/github/ompc/greys/core/advisor/ReflectAdviceTracingListenerAdapter.java,ReflectAdviceTracingListenerAdapter.java,116,79,11,26,2
Java,core/src/main/java/com/github/ompc/greys/core/GreysLauncher.java,GreysLauncher.java,113,69,20,24,8
Java,core/src/main/java/com/github/ompc/greys/core/advisor/InitCallback.java,InitCallback.java,17,4,9,4,0
Java,core/src/main/java/com/github/ompc/greys/core/util/GaStringUtils.java,GaStringUtils.java,408,348,33,27,12
Java,core/src/main/java/com/github/ompc/greys/core/util/GaMethod.java,GaMethod.java,249,147,49,53,0
Java,core/src/main/java/com/github/ompc/greys/core/exception/GaExecuteException.java,GaExecuteException.java,13,6,4,3,0
Java,core/src/main/java/com/github/ompc/greys/core/util/GaClassUtils.java,GaClassUtils.java,212,120,80,12,23
Java,core/src/main/java/com/github/ompc/greys/core/util/Express.java,Express.java,128,62,46,20,3
Java,core/src/main/java/com/github/ompc/greys/core/advisor/AdviceListener.java,AdviceListener.java,74,16,51,7,0
JavaScript,core/src/main/resources/com/github/ompc/greys/core/res/javascript/greys-module.js,greys-module.js,175,136,21,18,31
Java,core/src/main/java/com/github/ompc/greys/core/advisor/AdviceTracingListener.java,AdviceTracingListener.java,8,3,4,1,0
Plain Text,core/src/main/resources/com/github/ompc/greys/core/res/logo.txt,logo.txt,6,6,0,0,0
Java,core/src/main/java/com/github/ompc/greys/core/advisor/AdviceListenerAdapter.java,AdviceListenerAdapter.java,34,18,4,12,0
Java,core/src/main/java/com/github/ompc/greys/core/exception/CommandException.java,CommandException.java,30,14,9,7,0
Java,core/src/main/java/com/github/ompc/greys/core/manager/ReflectManager.java,ReflectManager.java,76,35,29,12,8
Java,core/src/main/java/com/github/ompc/greys/core/exception/CommandNotFoundException.java,CommandNotFoundException.java,12,6,3,3,0
Java,core/src/main/java/com/github/ompc/greys/core/server/DefaultSessionManager.java,DefaultSessionManager.java,149,96,15,38,12
Java,core/src/main/java/com/github/ompc/greys/core/exception/UnCaughtException.java,UnCaughtException.java,13,6,5,2,0
Java,core/src/main/java/com/github/ompc/greys/core/exception/ExpressException.java,ExpressException.java,30,11,15,4,0
Java,core/src/main/java/com/github/ompc/greys/core/manager/TimeFragmentManager.java,TimeFragmentManager.java,94,28,50,16,4
Java,core/src/main/java/com/github/ompc/greys/core/advisor/Enhancer.java,Enhancer.java,555,349,107,99,53
Java,core/src/main/java/com/github/ompc/greys/core/exception/CommandInitializationException.java,CommandInitializationException.java,12,6,3,3,0
Java,core/src/main/java/com/github/ompc/greys/core/util/GaNetCat.java,GaNetCat.java,68,48,8,12,8
JavaScript,core/src/main/resources/com/github/ompc/greys/core/res/javascript/gblocking.js,gblocking.js,438,245,120,73,98
Java,core/src/main/java/com/github/ompc/greys/core/advisor/AdviceWeaver.java,AdviceWeaver.java,1134,690,224,220,62
Java,core/src/main/java/com/github/ompc/greys/core/util/AsmCodeLock.java,AsmCodeLock.java,118,65,28,25,13
Java,core/src/main/java/com/github/ompc/greys/core/manager/impl/DefaultReflectManager.java,DefaultReflectManager.java,172,112,26,34,32
Java,core/src/main/java/com/github/ompc/greys/core/command/ResourceCommand.java,ResourceCommand.java,77,55,10,12,10
Java,core/src/main/java/com/github/ompc/greys/core/command/SearchMethodCommand.java,SearchMethodCommand.java,128,87,14,27,5
Java,core/src/main/java/com/github/ompc/greys/core/command/SessionCommand.java,SessionCommand.java,101,72,9,20,4
Java,core/src/main/java/com/github/ompc/greys/core/command/hacking/ThanksCommand.java,ThanksCommand.java,35,22,5,8,0
Java,core/src/main/java/com/github/ompc/greys/core/command/annotation/IndexArg.java,IndexArg.java,50,14,28,8,0
Java,core/src/main/java/com/github/ompc/greys/core/command/annotation/NamedArg.java,NamedArg.java,43,13,23,7,0
Java,core/src/main/java/com/github/ompc/greys/core/command/PathTraceCommand.java,PathTraceCommand.java,366,264,28,74,28
Java,core/src/main/java/com/github/ompc/greys/core/command/AsmCommand.java,AsmCommand.java,242,182,20,40,14
Java,core/src/main/java/com/github/ompc/greys/core/command/VersionCommand.java,VersionCommand.java,36,22,5,9,0
Java,core/src/main/java/com/github/ompc/greys/core/command/hacking/OptionsCommand.java,OptionsCommand.java,215,168,15,32,27
Java,core/src/main/java/com/github/ompc/greys/core/textui/TComponent.java,TComponent.java,14,4,7,3,0
Java,core/src/main/java/com/github/ompc/greys/core/command/annotation/Cmd.java,Cmd.java,53,14,31,8,0
Java,core/src/main/java/com/github/ompc/greys/core/command/MonitorCommand.java,MonitorCommand.java,327,206,69,52,26
Java,core/src/main/java/com/github/ompc/greys/core/textui/TLadder.java,TLadder.java,65,35,15,15,4
Java,core/src/main/java/com/github/ompc/greys/core/textui/TTree.java,TTree.java,256,149,61,46,13
Java,core/src/main/java/com/github/ompc/greys/core/manager/impl/DefaultTimeFragmentManager.java,DefaultTimeFragmentManager.java,108,80,12,16,2
Java,core/src/main/java/com/github/ompc/greys/core/textui/ext/TTimeFragmentDetail.java,TTimeFragmentDetail.java,136,97,12,27,13
Java,core/src/main/java/com/github/ompc/greys/core/textui/ext/TGaMethodInfo.java,TGaMethodInfo.java,88,67,6,15,14
Java,core/src/main/java/com/github/ompc/greys/core/textui/TTable.java,TTable.java,531,296,135,100,62
Java,core/src/main/java/com/github/ompc/greys/core/advisor/ReflectAdviceListenerAdapter.java,ReflectAdviceListenerAdapter.java,281,191,42,48,5
Java,core/src/main/java/com/github/ompc/greys/core/server/DefaultCommandHandler.java,DefaultCommandHandler.java,347,225,46,76,39
Java,core/src/main/java/com/github/ompc/greys/core/command/ResetCommand.java,ResetCommand.java,45,30,4,11,0
Java,core/src/main/java/com/github/ompc/greys/core/command/ScriptSupportCommand.java,ScriptSupportCommand.java,39,8,24,7,0
Java,core/src/main/java/com/github/ompc/greys/core/textui/ext/TTimeFragmentTable.java,TTimeFragmentTable.java,128,91,22,15,1
Java,core/src/main/java/com/github/ompc/greys/core/textui/ext/TClassInfo.java,TClassInfo.java,197,156,5,36,40
Java,core/src/main/java/com/github/ompc/greys/core/util/SimpleDateFormatHolder.java,SimpleDateFormatHolder.java,48,21,17,10,0
Java,core/src/main/java/com/github/ompc/greys/core/server/Session.java,Session.java,235,111,81,43,4
Java,core/src/main/java/com/github/ompc/greys/core/util/InvokeCost.java,InvokeCost.java,21,12,4,5,0
Java,core/src/main/java/com/github/ompc/greys/core/command/ThreadTopCommand.java,ThreadTopCommand.java,146,118,5,23,7
Java,core/src/main/java/com/github/ompc/greys/core/textui/ext/TObject.java,TObject.java,601,404,65,132,129
Java,core/src/main/java/com/github/ompc/greys/core/server/CommandHandler.java,CommandHandler.java,20,5,11,4,0
Java,core/src/main/java/com/github/ompc/greys/core/util/CodeLock.java,CodeLock.java,43,9,28,6,0
Java,core/src/main/java/com/github/ompc/greys/core/command/Command.java,Command.java,151,31,89,31,0
Java,core/src/test/java/com/github/ompc/greys/core/js/JavaScriptTestCase.java,JavaScriptTestCase.java,78,49,11,18,0
Java,core/src/main/java/com/github/ompc/greys/core/command/StackCommand.java,StackCommand.java,149,119,6,24,6
Java,core/src/main/java/com/github/ompc/greys/core/command/JavaScriptCommand.java,JavaScriptCommand.java,362,258,47,57,12
Java,core/src/main/java/com/github/ompc/greys/core/command/SearchClassCommand.java,SearchClassCommand.java,79,51,7,21,4
Java,core/src/main/java/com/github/ompc/greys/core/util/PointCut.java,PointCut.java,54,24,20,10,0
Java,core/src/main/java/com/github/ompc/greys/core/command/HelpCommand.java,HelpCommand.java,217,162,12,43,31
Java,core/src/main/java/com/github/ompc/greys/core/util/collection/GaStack.java,GaStack.java,18,7,5,6,0
Java,core/src/main/java/com/github/ompc/greys/core/util/FeatureCodec.java,FeatureCodec.java,243,125,64,54,30
Java,core/src/main/java/com/github/ompc/greys/core/util/matcher/ClassMatcher.java,ClassMatcher.java,79,41,21,17,3
Java,core/src/main/java/com/github/ompc/greys/core/util/LogUtil.java,LogUtil.java,38,25,4,9,0
