Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,codecov.yml,codecov.yml,6,5,0,1,0
JSON,renovate.json,renovate.json,53,52,0,1,0
License,LICENSE,LICENSE,201,169,0,32,0
gitignore,.gitignore,.gitignore,64,35,15,14,0
Markdown,README.md,README.md,71,45,0,26,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,46,31,0,15,0
Gradle,build.gradle,build.gradle,25,6,16,3,0
Markdown,SAMPLE_FORMAT.md,SAMPLE_FORMAT.md,426,351,0,75,0
XML,datacatalog/quickstart/pom.xml,pom.xml,59,34,20,5,0
XML,logging/cloud-client/pom.xml,pom.xml,83,58,20,5,0
Markdown,appengine-java8/remote-README.md,remote-README.md,24,20,0,4,0
XML,appengine-java11/springboot-helloworld/pom.xml,pom.xml,104,77,18,9,0
Markdown,appengine-java11/README.md,README.md,97,67,0,30,0
Java,appengine-java8/analytics/src/main/java/com/example/appengine/analytics/AnalyticsServlet.java,AnalyticsServlet.java,71,47,20,4,0
Markdown,appengine-java8/taskqueues-push/README.md,README.md,28,17,0,11,0
YAML,appengine-java11/springboot-helloworld/src/main/appengine/app.yaml,app.yaml,17,1,15,1,0
Java,appengine-java8/twilio/src/main/java/com/example/appengine/twilio/SendSmsServlet.java,SendSmsServlet.java,63,44,15,4,2
Java,appengine-java8/twilio/src/main/java/com/example/appengine/twilio/ReceiveCallServlet.java,ReceiveCallServlet.java,45,25,15,5,0
HTML,appengine-java8/taskqueues-push/src/main/webapp/taskqueue-push.html,taskqueue-push.html,28,10,18,0,0
XML,appengine-java8/taskqueues-push/src/main/webapp/WEB-INF/appengine-web.xml,appengine-web.xml,20,5,15,0,0
XML,appengine-java8/taskqueues-push/src/main/webapp/WEB-INF/web.xml,web.xml,25,10,15,0,0
Java,appengine-java8/taskqueues-push/src/test/java/com/example/appengine/taskqueue/push/WorkerTest.java,WorkerTest.java,78,42,22,14,0
XML,appengine-java8/springboot-helloworld/src/main/webapp/WEB-INF/appengine-web.xml,appengine-web.xml,20,8,12,0,0
Properties File,appengine-java8/springboot-helloworld/src/main/resources/application.properties,application.properties,14,0,14,0,0
Properties File,appengine-java8/springboot-helloworld/src/main/resources/logging.properties,logging.properties,15,1,14,0,0
Java,appengine-java8/twilio/src/main/java/com/example/appengine/twilio/ReceiveSmsServlet.java,ReceiveSmsServlet.java,49,28,15,6,0
Markdown,logging/cloud-client/README.md,README.md,37,22,0,15,0
Shell,.kokoro/tests/run_tests.sh,run_tests.sh,206,130,52,24,24
Markdown,appengine-java11/springboot-helloworld/README.md,README.md,20,14,0,6,0
Shell,appengine-java8/springboot-helloworld/mvnw,mvnw,225,144,52,29,32
Java,logging/cloud-client/src/main/java/com/example/logging/ListLogs.java,ListLogs.java,56,27,21,8,3
Java,appengine-java11/springboot-helloworld/src/main/java/com/example/appengine/springboot/SpringbootApplication.java,SpringbootApplication.java,39,16,17,6,0
Shell,.kokoro/trampoline.sh,trampoline.sh,16,1,14,1,0
Shell,.kokoro/tests/run_lint.sh,run_lint.sh,36,15,17,4,3
Java,logging/cloud-client/src/main/java/com/example/logging/QuickstartSample.java,QuickstartSample.java,62,22,30,10,0
XML,appengine-java8/analytics/pom.xml,pom.xml,123,92,22,9,0
Shell,.kokoro/tests/build_cloud_run.sh,build_cloud_run.sh,75,39,23,13,4
Shell,.kokoro/tests/run_diff_only.sh,run_diff_only.sh,16,2,14,0,0
XML,appengine-java8/taskqueues-push/pom.xml,pom.xml,121,93,21,7,0
Markdown,appengine-java8/analytics/README.md,README.md,24,16,0,8,0
Markdown,datacatalog/quickstart/README.md,README.md,31,24,0,7,0
Properties File,appengine-java11/springboot-helloworld/src/main/resources/application.properties,application.properties,16,1,14,1,0
XML,appengine-java8/twilio/pom.xml,pom.xml,72,46,20,6,0
Properties File,appengine-java8/springboot-helloworld/.mvn/wrapper/maven-wrapper.properties,maven-wrapper.properties,1,1,0,0,0
Java,appengine-java8/springboot-helloworld/src/test/java/com/example/appengine/demos/springboot/SpringBootExampleApplicationTests.java,SpringBootExampleApplicationTests.java,32,12,15,5,0
