Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,.codecov.yml,.codecov.yml,15,15,0,0,0
License,LICENSE,LICENSE,21,17,0,4,0
Markdown,CHANGELOG.md,CHANGELOG.md,226,163,0,63,0
Properties File,local.properties,local.properties,12,2,10,0,0
Markdown,README.md,README.md,438,305,0,133,0
gitignore,.gitignore,.gitignore,91,42,26,23,0
Gradle,build.gradle,build.gradle,9,6,1,2,0
Properties File,gradle.properties,gradle.properties,17,1,12,4,0
Shell,gradlew,gradlew,183,128,36,19,19
Gradle,settings.gradle,settings.gradle,2,2,0,0,0
Batch,gradlew.bat,gradlew.bat,100,76,0,24,21
YAML,.circleci/config.yml,config.yml,28,25,3,0,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
YAML,.github/stale.yml,stale.yml,20,7,7,6,0
gitignore,lib/.gitignore,.gitignore,1,1,0,0,0
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,31,21,0,10,0
YAML,.github/workflows/gradle-wrapper-validation.yml,gradle-wrapper-validation.yml,10,9,0,1,0
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,38,25,0,13,0
Gradle,lib/build.gradle,build.gradle,58,51,0,7,0
Java,lib/src/main/java/com/auth0/jwt/ClockImpl.java,ClockImpl.java,24,11,8,5,0
Java,lib/src/main/java/com/auth0/jwt/JWTDecoder.java,JWTDecoder.java,140,110,5,25,0
Java,lib/src/test/java/com/auth0/jwt/PemUtils.java,PemUtils.java,72,61,0,11,2
Java,lib/src/main/java/com/auth0/jwt/TokenUtils.java,TokenUtils.java,25,14,8,3,5
Java,lib/src/test/java/com/auth0/jwt/JsonMatcher.java,JsonMatcher.java,140,124,0,16,32
Java,lib/src/main/java/com/auth0/jwt/JWTVerifier.java,JWTVerifier.java,441,344,44,53,60
Java,lib/src/test/java/com/auth0/jwt/ClockImplTest.java,ClockImplTest.java,21,15,0,6,0
Java,lib/src/main/java/com/auth0/jwt/interfaces/Verification.java,Verification.java,195,25,147,23,0
Java,lib/src/main/java/com/auth0/jwt/JWT.java,JWT.java,67,25,34,8,0
Java,lib/src/main/java/com/auth0/jwt/exceptions/JWTVerificationException.java,JWTVerificationException.java,11,9,0,2,0
Java,lib/src/main/java/com/auth0/jwt/exceptions/SignatureGenerationException.java,SignatureGenerationException.java,9,7,0,2,0
Java,lib/src/main/java/com/auth0/jwt/JWTCreator.java,JWTCreator.java,448,224,180,44,53
Java,lib/src/test/java/com/auth0/jwt/impl/HeaderDeserializerTest.java,HeaderDeserializerTest.java,119,98,0,21,0
Java,lib/src/main/java/com/auth0/jwt/interfaces/DecodedJWT.java,DecodedJWT.java,37,7,26,4,0
Java,lib/src/main/java/com/auth0/jwt/exceptions/SignatureVerificationException.java,SignatureVerificationException.java,13,10,0,3,0
Java,lib/src/test/java/com/auth0/jwt/impl/PayloadImplTest.java,PayloadImplTest.java,193,162,0,31,0
Java,lib/src/test/java/com/auth0/jwt/impl/JWTParserTest.java,JWTParserTest.java,116,99,0,17,0
Java,lib/src/main/java/com/auth0/jwt/exceptions/JWTCreationException.java,JWTCreationException.java,7,6,0,1,0
Java,lib/src/test/java/com/auth0/jwt/UserPojo.java,UserPojo.java,42,31,1,10,10
Java,lib/src/main/java/com/auth0/jwt/exceptions/JWTDecodeException.java,JWTDecodeException.java,11,9,0,2,0
Java,lib/src/test/java/com/auth0/jwt/impl/ClaimsHolderTest.java,ClaimsHolderTest.java,33,27,0,6,0
Java,lib/src/test/java/com/auth0/jwt/impl/BasicHeaderTest.java,BasicHeaderTest.java,140,110,0,30,0
Java,lib/src/test/java/com/auth0/jwt/impl/NullClaimTest.java,NullClaimTest.java,73,57,0,16,0
Java,lib/src/test/java/com/auth0/jwt/algorithms/AlgorithmTest.java,AlgorithmTest.java,599,496,0,103,0
Java,lib/src/main/java/com/auth0/jwt/interfaces/Payload.java,Payload.java,75,15,49,11,0
Java,lib/src/test/java/com/auth0/jwt/impl/PayloadSerializerTest.java,PayloadSerializerTest.java,223,179,0,44,0
Java,lib/src/test/java/com/auth0/jwt/JWTCreatorTest.java,JWTCreatorTest.java,720,567,8,145,0
