Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Properties File,prop.properties,prop.properties,0,0,0,0,0
Shell,work.sh,work.sh,67,44,11,12,7
Shell,tron.sh,tron.sh,11,7,1,3,1
License,LICENSE,LICENSE,165,128,0,37,0
Shell,ver.sh,ver.sh,31,25,1,5,3
Markdown,Tron protobuf protocol document.md,Tron protobuf protocol document.md,2397,1709,0,688,0
Dockerfile,Dockerfile,Dockerfile,42,35,0,7,23
Shell,querySonar.sh,querySonar.sh,41,39,0,2,9
YAML,jitpack.yml,jitpack.yml,2,2,0,0,0
Shell,DownloadLinks.sh,DownloadLinks.sh,21,19,0,2,2
Markdown,quickstart.md,quickstart.md,241,196,0,45,0
Markdown,README.md,README.md,99,74,0,25,0
Shell,gradlew,gradlew,172,133,21,18,19
Docker ignore,.dockerignore,.dockerignore,3,2,0,1,0
gitignore,.gitignore,.gitignore,57,32,12,13,0
Shell,docker-entrypoint.sh,docker-entrypoint.sh,6,4,1,1,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,83,57,0,26,0
Properties File,sonar-project.properties,sonar-project.properties,19,10,9,0,0
Shell,gen.sh,gen.sh,1,1,0,0,0
Markdown,build.md,build.md,84,59,0,25,0
Gradle,build.gradle,build.gradle,77,63,1,13,0
Shell,deploy.sh,deploy.sh,77,70,1,6,18
Markdown,run.md,run.md,193,150,0,43,0
Gradle,settings.gradle,settings.gradle,10,9,0,1,0
YAML,.travis.yml,.travis.yml,45,36,0,9,0
Batch,gradlew.bat,gradlew.bat,84,61,0,23,20
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,12,7,0,5,0
Markdown,docs/implement-a-customized-actuator-zh.md,implement-a-customized-actuator-zh.md,321,278,0,43,0
YAML,.codeclimate.yml,.codeclimate.yml,6,6,0,0,0
Java,example/actuator-example/src/main/java/org/tron/core/actuator/ExampleActuator.java,ExampleActuator.java,38,31,0,7,0
YAML,protocol/src/main/protos/.travis.yml,.travis.yml,24,16,2,6,0
Java,common/src/main/java/org/tron/common/logsfilter/EventPluginConfig.java,EventPluginConfig.java,56,44,0,12,0
Java,common/src/main/java/org/tron/common/logsfilter/TriggerConfig.java,TriggerConfig.java,25,19,0,6,0
Java,common/src/main/java/org/tron/common/logsfilter/FilterQuery.java,FilterQuery.java,70,64,0,6,6
Java,chainbase/src/main/java/org/tron/common/storage/leveldb/LevelDbDataSourceImpl.java,LevelDbDataSourceImpl.java,483,418,23,42,34
Java,common/src/main/java/org/tron/common/logsfilter/capsule/RawData.java,RawData.java,43,21,18,4,3
Java,chainbase/src/main/java/org/tron/common/storage/WriteOptionsWrapper.java,WriteOptionsWrapper.java,26,18,0,8,0
Protocol Buffers,protocol/src/main/protos/api/zksnark.proto,zksnark.proto,33,23,0,10,0
Java,chainbase/src/main/java/org/tron/core/store/DelegatedResourceAccountIndexStore.java,DelegatedResourceAccountIndexStore.java,26,20,0,6,0
Java,chainbase/src/main/java/org/tron/core/store/StorageRowStore.java,StorageRowStore.java,25,21,0,4,0
Java,chainbase/src/main/java/org/tron/core/ChainBaseManager.java,ChainBaseManager.java,365,309,17,39,8
Gradle,chainbase/build.gradle,build.gradle,113,85,5,23,0
Java,chainbase/src/main/java/org/tron/common/storage/rocksdb/RocksDbDataSourceImpl.java,RocksDbDataSourceImpl.java,509,450,6,53,53
Shell,start.sh,start.sh,46,40,1,5,3
Markdown,docs/modular-introduction-en.md,modular-introduction-en.md,70,42,0,28,0
Markdown,docs/modular-introduction-zh.md,modular-introduction-zh.md,68,43,0,25,0
gitignore,protocol/.gitignore,.gitignore,1,1,0,0,0
Gradle,common/build.gradle,build.gradle,62,50,3,9,0
Markdown,docs/modular-deployment-zh.md,modular-deployment-zh.md,54,42,0,12,0
Gradle,protocol/build.gradle,build.gradle,63,50,3,10,0
YAML,.circleci/config.yml,config.yml,26,16,8,2,0
Markdown,docs/modular-deployment-en.md,modular-deployment-en.md,56,42,0,14,0
Markdown,chainbase/README.md,README.md,49,39,0,10,0
Plain Text,gradle/unixStartScript.txt,unixStartScript.txt,223,198,0,25,0
Plain Text,gradle/windowsStartScript.txt,windowsStartScript.txt,101,76,0,25,0
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,13,5,0,8,0
Markdown,protocol/src/main/protos/English version of TRON Protocol document.md,English version of TRON Protocol document.md,734,591,0,143,0
Java,chainbase/src/main/java/org/tron/core/actuator/TransactionFactory.java,TransactionFactory.java,53,43,0,10,12
Java,common/src/main/java/org/tron/common/logsfilter/trigger/ContractTrigger.java,ContractTrigger.java,82,44,24,14,0
Java,chainbase/src/main/java/org/tron/core/service/MortgageService.java,MortgageService.java,235,210,4,21,43
Java,chainbase/src/main/java/org/tron/core/db2/common/IRevokingDB.java,IRevokingDB.java,37,20,2,15,0
Protocol Buffers,protocol/src/main/protos/api/api.proto,api.proto,1488,1227,67,194,0
Java,chainbase/src/main/java/org/tron/core/store/DelegationStore.java,DelegationStore.java,212,173,0,39,30
Java,chainbase/src/main/java/org/tron/core/db2/common/Flusher.java,Flusher.java,12,7,0,5,0
Java,chainbase/src/main/java/org/tron/core/db2/common/HashDB.java,HashDB.java,60,47,0,13,0
Java,chainbase/src/main/java/org/tron/common/overlay/message/Message.java,Message.java,107,86,0,21,7
Java,common/src/main/java/org/tron/common/logsfilter/trigger/ContractEventTrigger.java,ContractEventTrigger.java,45,25,11,9,0
Java,chainbase/src/main/java/org/tron/core/db2/common/ConcurrentHashDB.java,ConcurrentHashDB.java,58,45,0,13,0
Java,chainbase/src/main/java/org/tron/core/actuator/Actuator.java,Actuator.java,18,11,0,7,0
Gradle,example/actuator-example/build.gradle,build.gradle,6,4,0,2,0
Gradle,actuator/build.gradle,build.gradle,83,60,5,18,0
Java,chainbase/src/main/java/org/tron/core/db2/core/ITronChainBase.java,ITronChainBase.java,35,17,6,12,0
Java,chainbase/src/main/java/org/tron/core/db2/core/Chainbase.java,Chainbase.java,291,228,19,44,47
Java,chainbase/src/main/java/org/tron/core/db2/common/RocksDB.java,RocksDB.java,81,65,0,16,1
Java,chainbase/src/main/java/org/tron/core/db2/core/Snapshot.java,Snapshot.java,49,28,0,21,6
Java,common/src/main/java/org/tron/common/logsfilter/trigger/SolidityTrigger.java,SolidityTrigger.java,25,19,0,6,0
Java,chainbase/src/main/java/org/tron/core/db2/core/SnapshotImpl.java,SnapshotImpl.java,168,123,20,25,11
Java,chainbase/src/main/java/org/tron/core/db2/common/LevelDB.java,LevelDB.java,80,65,0,15,1
Java,common/src/main/java/org/tron/common/logsfilter/trigger/InternalTransactionPojo.java,InternalTransactionPojo.java,48,31,7,10,0
Java,chainbase/src/main/java/org/tron/core/db2/core/RevokingDBWithCachingOldValue.java,RevokingDBWithCachingOldValue.java,165,128,11,26,7
Java,chainbase/src/main/java/org/tron/core/db2/common/Instance.java,Instance.java,6,4,0,2,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,6,5,1,0,0
Properties File,protocol/gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,6,5,1,0,0
Java,actuator/src/main/java/org/tron/core/actuator/WithdrawBalanceActuator.java,WithdrawBalanceActuator.java,158,136,0,22,12
Java,chainbase/src/main/java/org/tron/core/actuator/Actuator2.java,Actuator2.java,11,7,0,4,0
Java,chainbase/src/main/java/org/tron/core/db2/core/SnapshotManager.java,SnapshotManager.java,462,384,3,75,46
Java,actuator/src/main/java/org/tron/core/vm/EnergyCost.java,EnergyCost.java,302,238,2,62,2
Java,actuator/src/main/java/org/tron/core/vm/VMConstant.java,VMConstant.java,16,11,1,4,0
Java,actuator/src/main/java/org/tron/core/vm/LogInfoTriggerParser.java,LogInfoTriggerParser.java,111,94,1,16,11
Markdown,protocol/src/main/protos/README.md,README.md,11,5,0,6,0
Markdown,protocol/src/main/protos/Chinese version of TRON Protocol document.md,Chinese version of TRON Protocol document.md,696,559,0,137,0
Java,actuator/src/main/java/org/tron/core/vm/MessageCall.java,MessageCall.java,126,63,45,18,0
Java,actuator/src/main/java/org/tron/core/vm/VMUtils.java,VMUtils.java,271,210,19,42,50
Shell,protocol/src/main/protos/install-protobuf.sh,install-protobuf.sh,10,8,2,0,4
gitignore,protocol/src/main/protos/.gitignore,.gitignore,4,3,1,0,0
Java,chainbase/src/main/java/org/tron/core/db2/common/Value.java,Value.java,84,69,0,15,6
License,protocol/src/main/protos/LICENSE,LICENSE,165,128,0,37,0
Shell,protocol/src/main/protos/install-googleapis.sh,install-googleapis.sh,14,8,1,5,0
Java,actuator/src/main/java/org/tron/core/vm/OpCode.java,OpCode.java,819,259,487,73,3
Java,actuator/src/main/java/org/tron/core/utils/TransactionUtil.java,TransactionUtil.java,260,212,17,31,23
Java,actuator/src/main/java/org/tron/core/utils/ProposalUtil.java,ProposalUtil.java,491,437,40,14,122
Java,actuator/src/main/java/org/tron/core/actuator/ShieldedTransferActuator.java,ShieldedTransferActuator.java,502,448,8,46,85
Java,chainbase/src/main/java/org/tron/core/db2/core/SnapshotRoot.java,SnapshotRoot.java,107,88,0,19,1
Java,chainbase/src/main/java/org/tron/core/db2/common/Key.java,Key.java,31,23,0,8,2
Java,actuator/src/main/java/org/tron/core/vm/PrecompiledContracts.java,PrecompiledContracts.java,1511,1193,102,216,197
Java,chainbase/src/main/java/org/tron/core/db2/core/AbstractSnapshot.java,AbstractSnapshot.java,37,29,0,8,1
Java,actuator/src/main/java/org/tron/core/utils/TransactionRegister.java,TransactionRegister.java,24,20,0,4,1
Java,chainbase/src/main/java/org/tron/core/db2/common/WrappedByteArray.java,WrappedByteArray.java,43,35,0,8,8
Java,chainbase/src/main/java/org/tron/core/store/CheckTmpStore.java,CheckTmpStore.java,50,39,0,11,0
Java,actuator/src/main/java/org/tron/core/utils/ZenChainParams.java,ZenChainParams.java,22,18,0,4,0
Java,actuator/src/main/java/org/tron/core/actuator/ActuatorFactory.java,ActuatorFactory.java,58,46,3,9,4
Java,common/src/main/java/org/tron/common/logsfilter/trigger/ContractLogTrigger.java,ContractLogTrigger.java,27,16,6,5,0
Java,chainbase/src/main/java/org/tron/core/store/TransactionRetStore.java,TransactionRetStore.java,72,60,0,12,8
Java,chainbase/src/main/java/org/tron/core/config/args/Parameter.java,Parameter.java,0,0,0,0,0
Java,actuator/src/main/java/org/tron/core/vm/VM.java,VM.java,1582,1320,48,214,194
Java,actuator/src/main/java/org/tron/core/actuator/UpdateAccountActuator.java,UpdateAccountActuator.java,111,93,0,18,18
Java,chainbase/src/main/java/org/tron/core/capsule/PbftSignCapsule.java,PbftSignCapsule.java,40,33,0,7,0
Java,actuator/src/main/java/org/tron/core/actuator/UnfreezeBalanceActuator.java,UnfreezeBalanceActuator.java,420,364,10,46,85
Java,chainbase/src/main/java/org/tron/core/capsule/ProposalCapsule.java,ProposalCapsule.java,169,138,0,31,5
Java,chainbase/src/main/java/org/tron/core/capsule/MarketAccountOrderCapsule.java,MarketAccountOrderCapsule.java,113,87,0,26,0
Java,chainbase/src/main/java/org/tron/core/capsule/MarketOrderIdListCapsule.java,MarketOrderIdListCapsule.java,266,200,18,48,44
Java,chainbase/src/main/java/org/tron/core/capsule/AssetIssueCapsule.java,AssetIssueCapsule.java,219,154,24,41,3
Java,chainbase/src/main/java/org/tron/core/capsule/ProtoCapsule.java,ProtoCapsule.java,8,5,0,3,0
Java,common/src/main/java/org/tron/common/logsfilter/trigger/BlockLogTrigger.java,BlockLogTrigger.java,50,41,0,9,0
Java,chainbase/src/main/java/org/tron/core/capsule/StorageRowCapsule.java,StorageRowCapsule.java,86,56,14,16,0
Java,common/src/main/java/org/tron/common/logsfilter/trigger/Trigger.java,Trigger.java,29,25,0,4,0
Java,chainbase/src/main/java/org/tron/core/db2/common/DB.java,DB.java,23,13,0,10,0
Java,actuator/src/main/java/org/tron/core/actuator/AbstractActuator.java,AbstractActuator.java,66,51,0,15,0
Java,common/src/main/java/org/tron/common/logsfilter/trigger/TransactionLogTrigger.java,TransactionLogTrigger.java,87,79,3,5,0
Java,chainbase/src/main/java/org/tron/core/store/NullifierStore.java,NullifierStore.java,37,30,0,7,1
Java,chainbase/src/main/java/org/tron/core/db2/common/TxCacheDB.java,TxCacheDB.java,175,143,10,22,20
Java,actuator/src/main/java/org/tron/core/actuator/UpdateBrokerageActuator.java,UpdateBrokerageActuator.java,119,100,0,19,14
Java,chainbase/src/main/java/org/tron/core/capsule/WitnessCapsule.java,WitnessCapsule.java,143,103,9,31,0
Java,chainbase/src/main/java/org/tron/core/net/message/MessageTypes.java,MessageTypes.java,118,78,0,40,5
Java,actuator/src/main/java/org/tron/core/vm/program/Storage.java,Storage.java,100,85,2,13,12
Java,actuator/src/main/java/org/tron/core/vm/utils/MUtil.java,MUtil.java,56,47,0,9,6
Java,actuator/src/main/java/org/tron/core/vm/config/ConfigLoader.java,ConfigLoader.java,34,27,1,6,3
Java,actuator/src/main/java/org/tron/core/vm/config/VMConfig.java,VMConfig.java,142,83,20,39,8
Java,actuator/src/main/java/org/tron/core/vm/trace/Serializers.java,Serializers.java,90,61,17,12,1
Java,actuator/src/main/java/org/tron/core/vm/nativecontract/StakeProcessor.java,StakeProcessor.java,180,153,2,25,21
Java,actuator/src/main/java/org/tron/core/vm/trace/Op.java,Op.java,70,40,17,13,0
Java,chainbase/src/main/java/org/tron/core/capsule/TransactionCapsule.java,TransactionCapsule.java,762,641,44,77,82
Java,actuator/src/main/java/org/tron/core/vm/program/ProgramPrecompile.java,ProgramPrecompile.java,93,58,20,15,19
Java,actuator/src/main/java/org/tron/core/vm/trace/ProgramTraceListener.java,ProgramTraceListener.java,90,61,17,12,9
Java,actuator/src/main/java/org/tron/core/vm/trace/ProgramTrace.java,ProgramTrace.java,121,79,20,22,4
