Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,426,331,0,95,0
gitignore,.gitignore,.gitignore,14,8,3,3,0
YAML,.travis.yml,.travis.yml,126,124,0,2,0
Markdown,CHANGELOG.md,CHANGELOG.md,836,784,0,52,0
Plain Text,LICENSE.txt,LICENSE.txt,572,473,0,99,0
XML,src/main/assembly/src.xml,src.xml,27,25,1,1,0
XML,pom.xml,pom.xml,569,538,16,15,0
XML,platform/src/main/assembly/bin.xml,bin.xml,35,35,0,0,0
Java,src/main/java9/module-info.java,module-info.java,7,7,0,0,0
XML,platform/src/main/assembly/src.xml,src.xml,26,25,1,0,0
XML,src/it/osgi/pom.xml,pom.xml,268,255,5,8,0
Java,src/main/java/org/bytedeco/javacpp/ClassProperties.java,ClassProperties.java,341,290,35,16,150
Java,src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,283,204,28,51,5
Properties File,src/main/resources/org/bytedeco/javacpp/properties/macosx-x86_64.properties,macosx-x86_64.properties,32,32,0,0,0
XML,platform/pom.xml,pom.xml,1464,1395,4,65,0
XML,src/main/assembly/bin.xml,bin.xml,35,35,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/android-arm-clang.properties,android-arm-clang.properties,37,37,0,0,0
C Header,src/it/osgi/src/main/c/calc.h,calc.h,8,6,0,2,0
Java,src/it/osgi/src/main/java/org/bytedeco/javacpp/test/osgi/JavaCPPOsgiTest.java,JavaCPPOsgiTest.java,16,11,0,5,0
Java,src/test/java/org/bytedeco/javacpp/PointerTest.java,PointerTest.java,1049,891,35,123,124
Properties File,src/main/resources/org/bytedeco/javacpp/properties/linux-x86_64.properties,linux-x86_64.properties,31,31,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/ios-x86_64.properties,ios-x86_64.properties,34,34,0,0,0
C Header,src/test/resources/org/bytedeco/javacpp/AdapterTest.h,AdapterTest.h,110,86,1,23,0
Java,src/test/java/org/bytedeco/javacpp/BufferTest.java,BufferTest.java,219,153,26,40,6
Java,src/test/java/org/bytedeco/javacpp/EnumTest.java,EnumTest.java,117,69,27,21,0
Java,src/test/java/org/bytedeco/javacpp/indexer/HyperslabIndexTest.java,HyperslabIndexTest.java,206,157,36,13,4
C Header,src/test/resources/org/bytedeco/javacpp/BufferTest.h,BufferTest.h,53,40,0,13,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/linux-armhf.properties,linux-armhf.properties,31,31,0,0,0
Java,src/main/java/org/bytedeco/javacpp/ShortPointer.java,ShortPointer.java,160,72,79,9,7
Properties File,src/main/resources/org/bytedeco/javacpp/properties/macosx-x86.properties,macosx-x86.properties,32,32,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/android-x86.properties,android-x86.properties,35,35,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/linux-x86.properties,linux-x86.properties,31,31,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/android-arm64-clang.properties,android-arm64-clang.properties,37,37,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/android-x86-clang.properties,android-x86-clang.properties,37,37,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/ios-arm64.properties,ios-arm64.properties,34,34,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/windows-x86_64.properties,windows-x86_64.properties,27,27,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/macosx-x86-cuda.properties,macosx-x86-cuda.properties,32,32,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/linux-x86-cuda.properties,linux-x86-cuda.properties,31,31,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/android-arm64.properties,android-arm64.properties,35,35,0,0,0
Java,src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,978,638,259,81,155
Java,src/main/java/org/bytedeco/javacpp/presets/javacpp.java,javacpp.java,95,64,26,5,4
C Header,src/test/resources/org/bytedeco/javacpp/EnumTest.h,EnumTest.h,35,27,0,8,0
Java,src/main/java/org/bytedeco/javacpp/indexer/IntBufferIndexer.java,IntBufferIndexer.java,133,90,31,12,6
Properties File,src/main/resources/org/bytedeco/javacpp/properties/windows-x86.properties,windows-x86.properties,27,27,0,0,0
Java,src/main/java/org/bytedeco/javacpp/indexer/Bfloat16RawIndexer.java,Bfloat16RawIndexer.java,145,100,33,12,6
Java,src/main/java/org/bytedeco/javacpp/indexer/FloatArrayIndexer.java,FloatArrayIndexer.java,130,88,31,11,6
Java,src/main/java/org/bytedeco/javacpp/indexer/DoubleArrayIndexer.java,DoubleArrayIndexer.java,130,88,31,11,6
Java,src/main/java/org/bytedeco/javacpp/indexer/UByteIndexer.java,UByteIndexer.java,169,89,68,12,3
Java,src/main/java/org/bytedeco/javacpp/indexer/DoubleBufferIndexer.java,DoubleBufferIndexer.java,133,90,31,12,6
Java,src/main/java/org/bytedeco/javacpp/indexer/DoubleIndexer.java,DoubleIndexer.java,169,89,68,12,3
Java,src/main/java/org/bytedeco/javacpp/indexer/Index.java,Index.java,111,43,52,16,0
Java,src/test/java/org/bytedeco/javacpp/IndexerTest.java,IndexerTest.java,1342,1196,27,119,172
Java,src/main/java/org/bytedeco/javacpp/annotation/ValueSetter.java,ValueSetter.java,31,10,19,2,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/android-x86_64-clang.properties,android-x86_64-clang.properties,37,37,0,0,0
Java,src/main/java/org/bytedeco/javacpp/indexer/CharRawIndexer.java,CharRawIndexer.java,145,100,33,12,6
Java,src/main/java/org/bytedeco/javacpp/indexer/UIntBufferIndexer.java,UIntBufferIndexer.java,133,90,31,12,6
Java,src/main/java/org/bytedeco/javacpp/DoublePointer.java,DoublePointer.java,160,72,79,9,7
Java,src/main/java/org/bytedeco/javacpp/tools/UserClassLoader.java,UserClassLoader.java,88,60,25,3,11
Java,src/main/java/org/bytedeco/javacpp/tools/AdapterInformation.java,AdapterInformation.java,34,7,25,2,0
Java,src/main/java/org/bytedeco/javacpp/tools/MethodInformation.java,MethodInformation.java,47,19,25,3,0
Java,src/main/java/org/bytedeco/javacpp/tools/ParserException.java,ParserException.java,33,6,25,2,0
Java,src/main/java/org/bytedeco/javacpp/tools/Type.java,Type.java,53,24,25,4,10
Java,src/test/java/org/bytedeco/javacpp/BuilderTest.java,BuilderTest.java,116,76,26,14,4
Java,src/main/java/org/bytedeco/javacpp/tools/IndexedSet.java,IndexedSet.java,44,15,25,4,2
Java,src/main/java/org/bytedeco/javacpp/tools/BuildEnabled.java,BuildEnabled.java,42,7,32,3,0
Java,src/main/java/org/bytedeco/javacpp/annotation/Allocator.java,Allocator.java,38,14,22,2,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/linux-ppc64.properties,linux-ppc64.properties,31,31,0,0,0
Properties File,src/main/resources/org/bytedeco/javacpp/properties/ios-arm.properties,ios-arm.properties,34,34,0,0,0
Java,src/main/java/org/bytedeco/javacpp/annotation/ByVal.java,ByVal.java,25,13,10,2,0
Java,src/main/java/org/bytedeco/javacpp/indexer/ShortRawIndexer.java,ShortRawIndexer.java,145,100,33,12,6
Java,src/main/java/org/bytedeco/javacpp/annotation/Convention.java,Convention.java,23,14,7,2,0
