Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,201,169,0,32,0
Batch,mvnw.cmd,mvnw.cmd,182,147,0,35,30
Markdown,README.md,README.md,151,126,0,25,0
XML,pom.xml,pom.xml,491,461,11,19,0
gitignore,.gitignore,.gitignore,12,11,0,1,0
Shell,mvnw,mvnw,310,230,54,26,34
XML,javalin-bundle/pom.xml,pom.xml,50,44,1,5,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,95,71,0,24,0
YAML,.github/workflows/main.yml,main.yml,28,24,0,4,0
Markdown,.github/ISSUE_TEMPLATE/4_General.md,4_General.md,7,5,0,2,0
Markdown,.github/ISSUE_TEMPLATE/1_Bug_report.md,1_Bug_report.md,17,12,0,5,0
Markdown,.github/ISSUE_TEMPLATE/3_Question.md,3_Question.md,7,5,0,2,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/ModelConverterFactory.kt,ModelConverterFactory.kt,11,6,3,2,0
XML,javalin/pom.xml,pom.xml,196,185,5,6,0
XML,javalin-openapi/pom.xml,pom.xml,85,78,3,4,0
Java,javalin-openapi/src/test/java/io/javalin/examples/HelloWorldSwagger.java,HelloWorldSwagger.java,60,41,5,14,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/annotations/AnnotationApiMapping.kt,AnnotationApiMapping.kt,193,168,2,23,31
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/jackson/JavalinModelResolver.kt,JavalinModelResolver.kt,37,31,0,6,7
Java,javalin/src/main/java/io/javalin/apibuilder/EndpointGroup.java,EndpointGroup.java,12,5,5,2,0
Java,javalin-openapi/src/test/java/io/javalin/plugin/openapi/TestOpenApiAnnotations_Java.java,TestOpenApiAnnotations_Java.java,489,412,4,73,0
Kotlin,javalin/src/main/java/io/javalin/apibuilder/CrudHandler.kt,CrudHandler.kt,46,29,11,6,0
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/utils/LazyDefaultValueTest.kt,LazyDefaultValueTest.kt,32,28,0,4,2
Java,javalin/src/main/java/io/javalin/apibuilder/ApiBuilder.java,ApiBuilder.java,502,182,261,59,6
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/utils/LazyDefaultValue.kt,LazyDefaultValue.kt,16,12,0,4,0
Kotlin,javalin/src/main/java/io/javalin/http/UploadedFile.kt,UploadedFile.kt,21,3,15,3,0
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/TestOpenApiExample.kt,TestOpenApiExample.kt,173,160,0,13,0
Kotlin,javalin/src/main/java/io/javalin/http/RequestWrapper.kt,RequestWrapper.kt,29,19,5,5,1
Java,javalin/src/main/java/io/javalin/http/ExceptionHandler.java,ExceptionHandler.java,22,7,12,3,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedFormParameter.kt,DocumentedFormParameter.kt,52,41,2,9,6
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedCrudHandler.kt,DocumentedCrudHandler.kt,8,6,0,2,0
Java,javalin/src/main/java/io/javalin/Javalin.java,Javalin.java,602,260,277,65,10
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/jackson/JacksonModelConverterFactory.kt,JacksonModelConverterFactory.kt,20,13,4,3,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/OpenApiBuilder.kt,OpenApiBuilder.kt,88,60,14,14,4
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/jackson/JacksonToJsonMapper.kt,JacksonToJsonMapper.kt,44,34,4,6,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/OpenApiPlugin.kt,OpenApiPlugin.kt,50,37,4,9,10
Kotlin,javalin/src/main/java/io/javalin/http/ErrorMapper.kt,ErrorMapper.kt,21,12,5,4,2
Kotlin,javalin/src/main/java/io/javalin/http/HandlerType.kt,HandlerType.kt,29,17,5,7,1
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedContent.kt,DocumentedContent.kt,163,136,8,19,30
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/ui/OpenApiUiOptions.kt,OpenApiUiOptions.kt,15,11,0,4,0
Kotlin,javalin/src/main/java/io/javalin/plugin/json/JavalinJackson.kt,JavalinJackson.kt,50,35,5,10,1
Markdown,.github/ISSUE_TEMPLATE/2_Feature_request.md,2_Feature_request.md,11,8,0,3,0
Kotlin,javalin/src/main/java/io/javalin/http/HttpResponseException.kt,HttpResponseException.kt,26,15,5,6,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/JavalinRenderer.kt,JavalinRenderer.kt,54,41,5,8,5
Properties File,javalin/src/main/resources/org/eclipse/jetty/http/encoding.properties,encoding.properties,10,7,3,0,0
Kotlin,javalin/src/main/java/io/javalin/plugin/json/JavalinJson.kt,JavalinJson.kt,37,23,5,9,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/OpenApiCrudHandlerDocumentation.kt,OpenApiCrudHandlerDocumentation.kt,15,14,0,1,0
Kotlin,javalin/src/main/java/io/javalin/plugin/metrics/MicrometerPlugin.kt,MicrometerPlugin.kt,78,64,5,9,14
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/utils.kt,utils.kt,24,18,0,6,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/OpenApiUpdater.kt,OpenApiUpdater.kt,16,11,0,5,0
Kotlin,javalin/src/main/java/io/javalin/plugin/openapi/annotations/AnnotationApi.kt,AnnotationApi.kt,180,145,11,24,9
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedResponse.kt,DocumentedResponse.kt,50,41,0,9,7
Java,.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader.java,117,76,31,10,9
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/TestOpenApiAnnotations.kt,TestOpenApiAnnotations.kt,431,371,11,49,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedHandler.kt,DocumentedHandler.kt,11,9,0,2,0
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/TestOpenApi.kt,TestOpenApi.kt,739,612,10,117,3
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/external/KotlinOpenApiDsl.kt,KotlinOpenApiDsl.kt,145,117,10,18,5
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/TestOpenApiUi.kt,TestOpenApiUi.kt,62,54,0,8,4
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/annotations/scanForAnnotations.kt,scanForAnnotations.kt,45,34,2,9,8
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/extractDocumentation.kt,extractDocumentation.kt,352,310,11,31,62
XML,javalin-bundle/src/main/resources/logback.xml,logback.xml,10,10,0,0,0
Kotlin,javalin-openapi/src/test/java/io/javalin/plugin/openapi/json.kt,json.kt,1339,1313,4,22,0
Properties File,.mvn/wrapper/maven-wrapper.properties,maven-wrapper.properties,2,2,0,0,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/OpenApiHandler.kt,OpenApiHandler.kt,85,70,4,11,5
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/openApiBuilderDsl.kt,openApiBuilderDsl.kt,213,182,8,23,13
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/JavalinOpenApi.kt,JavalinOpenApi.kt,75,55,8,12,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/OpenApiOptions.kt,OpenApiOptions.kt,150,80,44,26,0
HTML,javalin/src/test/external/html.html,html.html,8,8,0,0,0
Java,javalin/src/main/java/io/javalin/plugin/rendering/FileRenderer.java,FileRenderer.java,19,8,8,3,0
Plain Text,javalin/src/test/external/txt.txt,txt.txt,1,1,0,0,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinJtwig.kt,JavalinJtwig.kt,34,22,5,7,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinMustache.kt,JavalinMustache.kt,34,22,5,7,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinJte.kt,JavalinJte.kt,39,25,5,9,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/OpenApiDocumentation.kt,OpenApiDocumentation.kt,366,287,18,61,19
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinVelocity.kt,JavalinVelocity.kt,49,35,6,8,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinThymeleaf.kt,JavalinThymeleaf.kt,41,28,5,8,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinFreemarker.kt,JavalinFreemarker.kt,38,25,5,8,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/JavalinPebble.kt,JavalinPebble.kt,40,27,5,8,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldStaticFiles_external.kt,HelloWorldStaticFiles_external.kt,16,8,5,3,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldStaticFiles.kt,HelloWorldStaticFiles.kt,14,5,5,4,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldGson.kt,HelloWorldGson.kt,31,18,5,8,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldCors.kt,HelloWorldCors.kt,29,16,5,8,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/ui/ReDocRenderer.kt,ReDocRenderer.kt,47,42,0,5,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldAsync.kt,HelloWorldAsync.kt,33,24,5,4,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/template/TemplateUtil.kt,TemplateUtil.kt,17,10,5,2,2
Kotlin,javalin/src/test/kotlin/io/javalin/examples/KotlinExample.kt,KotlinExample.kt,47,28,5,14,0
Kotlin,javalin/src/main/java/io/javalin/http/Context.kt,Context.kt,487,194,203,90,17
Kotlin,javalin/src/test/kotlin/io/javalin/examples/AdvancedServerSentEvent.kt,AdvancedServerSentEvent.kt,47,36,5,6,1
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldApi.kt,HelloWorldApi.kt,28,16,5,7,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorld.kt,HelloWorld.kt,14,6,5,3,0
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/openApiUpdaterDsl.kt,openApiUpdaterDsl.kt,78,65,3,10,17
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/ui/SwaggerRenderer.kt,SwaggerRenderer.kt,78,73,0,5,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldImages.kt,HelloWorldImages.kt,39,25,6,8,2
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedRequestBody.kt,DocumentedRequestBody.kt,48,42,0,6,8
Kotlin,javalin-openapi/src/main/java/io/javalin/plugin/openapi/dsl/DocumentedParameter.kt,DocumentedParameter.kt,40,35,0,5,5
Java,javalin/src/main/java/io/javalin/plugin/rendering/vue/VueDependencyResolver.java,VueDependencyResolver.java,113,65,39,9,6
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/markdown/Commonmark.kt,Commonmark.kt,40,27,5,8,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldAuth.kt,HelloWorldAuth.kt,48,34,5,9,4
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldSecure.kt,HelloWorldSecure.kt,39,26,7,6,0
Kotlin,javalin/src/main/java/io/javalin/plugin/rendering/vue/JavalinVue.kt,JavalinVue.kt,151,115,12,24,23
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldWebSockets.kt,HelloWorldWebSockets.kt,38,28,7,3,0
Kotlin,javalin/src/test/kotlin/io/javalin/examples/HelloWorldSse.kt,HelloWorldSse.kt,32,20,5,7,2
Kotlin,javalin/src/test/kotlin/io/javalin/examples/FileUploadExample.kt,FileUploadExample.kt,32,22,5,5,0
YAML,javalin/src/test/resources/exampleApiSpec.yaml,exampleApiSpec.yaml,74,74,0,0,0
Java,javalin/src/main/java/io/javalin/http/Handler.java,Handler.java,21,6,12,3,0
Kotlin,javalin/src/main/java/io/javalin/http/PathMatcher.kt,PathMatcher.kt,40,26,5,9,9
XML,javalin-graphql/pom.xml,pom.xml,73,65,6,2,0
Kotlin,javalin/src/main/java/io/javalin/http/HttpResponseExceptionMapper.kt,HttpResponseExceptionMapper.kt,66,50,7,9,9
Java,javalin/src/main/java/io/javalin/http/RequestLogger.java,RequestLogger.java,20,6,11,3,0
Kotlin,javalin/src/main/java/io/javalin/http/JavalinResponseWrapper.kt,JavalinResponseWrapper.kt,120,103,0,17,31
Java,javalin/src/main/java/io/javalin/http/ErrorHandler.java,ErrorHandler.java,22,7,12,3,0
Kotlin,javalin/src/test/java/io/javalin/TestMaxRequestSize.kt,TestMaxRequestSize.kt,24,20,0,4,0
Kotlin,javalin/src/test/java/io/javalin/TestFilters.kt,TestFilters.kt,77,60,6,11,4
Java,javalin/src/test/java/io/javalin/TestJavalinVueResolution.java,TestJavalinVueResolution.java,149,120,18,11,0
Kotlin,javalin/src/test/java/io/javalin/TestRedirectToLowercasePathPlugin.kt,TestRedirectToLowercasePathPlugin.kt,71,54,5,12,0
Kotlin,javalin/src/test/java/io/javalin/TestRateLimitUtil.kt,TestRateLimitUtil.kt,57,43,5,9,2
Java,javalin/src/test/java/io/javalin/TestContextExtensions.java,TestContextExtensions.java,44,29,6,9,0
Kotlin,javalin/src/test/java/io/javalin/TestJavalinVue.kt,TestJavalinVue.kt,194,163,7,24,6
Java,javalin/src/test/java/io/javalin/TestGracefulShutdown.java,TestGracefulShutdown.java,79,60,8,11,0
Kotlin,javalin-graphql/src/test/kotlin/io/javalin/examples/HelloWorldGraphQL.kt,HelloWorldGraphQL.kt,39,27,6,6,0
Kotlin,javalin/src/test/java/io/javalin/TestMultipartForms.kt,TestMultipartForms.kt,187,164,6,17,6
Kotlin,javalin/src/test/java/io/javalin/TestTrailingSlashes.kt,TestTrailingSlashes.kt,151,127,6,18,1
Kotlin,javalin/src/test/java/io/javalin/TestCompression.kt,TestCompression.kt,332,274,9,49,5
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/GraphQLHandler.kt,GraphQLHandler.kt,53,43,0,10,3
Kotlin,javalin/src/test/java/io/javalin/TestWebSocket.kt,TestWebSocket.kt,580,485,12,83,10
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/GraphQLOptions.kt,GraphQLOptions.kt,45,33,0,12,0
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/GraphQLPlugin.kt,GraphQLPlugin.kt,29,24,0,5,0
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/SubscriberGraphQL.kt,SubscriberGraphQL.kt,40,33,0,7,0
Java,javalin-graphql/src/test/java/io/javalin/examples/HelloWorldGraphQL.java,HelloWorldGraphQL.java,19,14,0,5,0
Java,javalin-graphql/src/test/java/io/javalin/examples/QueryExampleJVM.java,QueryExampleJVM.java,9,7,0,2,0
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/graphql/GraphQLRun.kt,GraphQLRun.kt,66,52,0,14,3
Kotlin,javalin-graphql/src/test/kotlin/io/javalin/plugin/graphql/TestGraphQLAdvanced.kt,TestGraphQLAdvanced.kt,55,46,0,9,0
Kotlin,javalin-graphql/src/test/kotlin/io/javalin/plugin/graphql/TestGraphQL.kt,TestGraphQL.kt,129,105,0,24,4
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/graphql/MutationGraphql.kt,MutationGraphql.kt,3,2,0,1,0
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/graphql/SubscriptionGraphql.kt,SubscriptionGraphql.kt,3,2,0,1,0
Kotlin,javalin-graphql/src/main/java/io/javalin/plugin/graphql/graphql/QueryGraphql.kt,QueryGraphql.kt,3,2,0,1,0
Kotlin,javalin-graphql/src/test/kotlin/io/javalin/plugin/graphql/helpers/SubscriptionExample.kt,SubscriptionExample.kt,9,7,0,2,0
Kotlin,javalin-graphql/src/test/kotlin/io/javalin/plugin/graphql/helpers/QueryExample.kt,QueryExample.kt,12,9,0,3,0
Kotlin,javalin-graphql/src/test/kotlin/io/javalin/plugin/graphql/helpers/ContextExample.kt,ContextExample.kt,10,8,0,2,0
HTML,javalin/src/test/resources/templates/thymeleaf/testUrls.html,testUrls.html,1,1,0,0,0
HTML,javalin/src/test/resources/templates/thymeleaf/test.html,test.html,1,1,0,0,0
Twig Template,javalin/src/test/resources/templates/jtwig/multiple.dots.twig,multiple.dots.twig,1,1,0,0,0
Twig Template,javalin/src/test/resources/templates/jtwig/test.html.twig,test.html.twig,1,1,0,0,0
Kotlin,javalin/src/test/java/io/javalin/TestExceptionMapper.kt,TestExceptionMapper.kt,101,80,6,15,1
Kotlin,javalin/src/test/java/io/javalin/TestLifecycleEvents.kt,TestLifecycleEvents.kt,48,35,6,7,0
