Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,23,18,0,5,0
Markdown,RELEASING.md,RELEASING.md,47,37,0,10,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,17,12,0,5,0
XML,pom.xml,pom.xml,159,144,0,15,0
Markdown,CHANGELOG.md,CHANGELOG.md,339,230,0,109,0
XML,checkstyle.xml,checkstyle.xml,148,85,39,24,0
YAML,.travis.yml,.travis.yml,30,23,0,7,0
Plain Text,LICENSE.txt,LICENSE.txt,202,169,0,33,0
Markdown,README.md,README.md,943,740,0,203,0
XML,.buildscript/settings.xml,settings.xml,9,9,0,0,0
Shell,.buildscript/deploy_snapshot.sh,deploy_snapshot.sh,26,17,6,3,5
Java,src/test/java/ClassNameNoPackageTest.java,ClassNameNoPackageTest.java,33,11,19,3,0
Java,src/main/java/com/squareup/javapoet/Util.java,Util.java,131,94,24,13,18
Java,src/main/java/com/squareup/javapoet/WildcardTypeName.java,WildcardTypeName.java,129,87,25,17,15
Java,src/main/java/com/squareup/javapoet/ParameterizedTypeName.java,ParameterizedTypeName.java,138,96,27,15,14
Java,src/main/java/com/squareup/javapoet/TypeVariableName.java,TypeVariableName.java,168,111,33,24,10
Java,src/main/java/com/squareup/javapoet/AnnotationSpec.java,AnnotationSpec.java,282,218,34,30,33
Java,src/test/java/com/squareup/javapoet/TestUtil.java,TestUtil.java,17,15,0,2,2
Java,src/test/java/com/squareup/javapoet/ClassNameTest.java,ClassNameTest.java,206,166,20,20,0
Java,src/test/java/com/squareup/javapoet/CodeBlockTest.java,CodeBlockTest.java,351,289,17,45,0
Java,src/test/java/com/squareup/javapoet/AbstractTypesTest.java,AbstractTypesTest.java,285,233,16,36,0
Java,src/main/java/com/squareup/javapoet/TypeName.java,TypeName.java,385,271,68,46,91
Java,src/test/java/com/squareup/javapoet/TypeNameTest.java,TypeNameTest.java,184,136,19,29,0
Java,src/test/java/com/squareup/javapoet/UtilTest.java,UtilTest.java,75,51,18,6,0
Java,src/test/java/com/squareup/javapoet/TestFiler.java,TestFiler.java,87,63,15,9,1
Java,src/test/java/com/squareup/javapoet/AnnotationSpecTest.java,AnnotationSpecTest.java,389,358,15,16,1
Java,src/main/java/com/squareup/javapoet/CodeWriter.java,CodeWriter.java,545,404,71,70,81
Java,src/main/java/com/squareup/javapoet/LineWrapper.java,LineWrapper.java,171,106,37,28,23
Java,src/test/java/com/squareup/javapoet/CodeWriterTest.java,CodeWriterTest.java,23,18,0,5,0
Java,src/test/java/com/squareup/javapoet/FileWritingTest.java,FileWritingTest.java,226,174,23,29,0
Java,src/test/java/com/squareup/javapoet/FieldSpecTest.java,FieldSpecTest.java,66,42,15,9,0
Java,src/test/java/com/squareup/javapoet/FileReadingTest.java,FileReadingTest.java,122,90,18,14,0
Java,src/test/java/com/squareup/javapoet/MethodSpecTest.java,MethodSpecTest.java,488,410,16,62,0
Java,src/test/java/com/squareup/javapoet/TypesTest.java,TypesTest.java,40,19,15,6,0
Java,src/test/java/com/squareup/javapoet/TypesEclipseTest.java,TypesEclipseTest.java,158,107,35,16,5
Java,src/main/java/com/squareup/javapoet/ClassName.java,ClassName.java,301,188,68,45,38
Java,src/main/java/com/squareup/javapoet/FieldSpec.java,FieldSpec.java,175,133,16,26,11
Java,src/main/java/com/squareup/javapoet/ArrayTypeName.java,ArrayTypeName.java,109,70,20,19,5
Java,src/test/java/com/squareup/javapoet/JavaFileTest.java,JavaFileTest.java,1014,924,30,60,0
Java,src/test/java/com/squareup/javapoet/AnnotatedTypeNameTest.java,AnnotatedTypeNameTest.java,217,164,22,31,0
Java,src/main/java/com/squareup/javapoet/NameAllocator.java,NameAllocator.java,168,66,86,16,11
Java,src/main/java/com/squareup/javapoet/ParameterSpec.java,ParameterSpec.java,202,153,20,29,15
Java,src/test/java/com/squareup/javapoet/LineWrapperTest.java,LineWrapperTest.java,207,174,15,18,0
Java,src/test/java/com/squareup/javapoet/NameAllocatorTest.java,NameAllocatorTest.java,111,80,15,16,0
Java,src/main/java/com/squareup/javapoet/MethodSpec.java,MethodSpec.java,538,394,63,81,49
Java,src/test/java/com/squareup/javapoet/ParameterSpecTest.java,ParameterSpecTest.java,154,116,15,23,0
Java,src/main/java/com/squareup/javapoet/CodeBlock.java,CodeBlock.java,470,311,101,58,64
Java,src/main/java/com/squareup/javapoet/JavaFile.java,JavaFile.java,336,247,47,42,23
Java,src/main/java/com/squareup/javapoet/TypeSpec.java,TypeSpec.java,837,661,77,99,149
Java,src/test/java/com/squareup/javapoet/TypeSpecTest.java,TypeSpecTest.java,2554,2369,28,157,1
