Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,LICENSE.md,LICENSE.md,21,17,0,4,0
gitignore,.gitignore,.gitignore,7,3,2,2,0
YAML,.travis.yml,.travis.yml,108,108,0,0,0
JSON,package.json,package.json,46,46,0,0,0
Markdown,react/README.md,README.md,756,583,0,173,0
JSON,linters/.markdownlint.json,.markdownlint.json,155,116,0,39,0
Markdown,css-in-javascript/README.md,README.md,432,344,0,88,0
Markdown,packages/eslint-config-airbnb/LICENSE.md,LICENSE.md,21,17,0,4,0
Markdown,packages/eslint-config-airbnb-base/LICENSE.md,LICENSE.md,21,17,0,4,0
Markdown,packages/eslint-config-airbnb-base/CHANGELOG.md,CHANGELOG.md,347,304,0,43,0
Markdown,packages/eslint-config-airbnb/CHANGELOG.md,CHANGELOG.md,435,382,0,53,0
JavaScript,packages/eslint-config-airbnb-base/index.js,index.js,17,17,0,0,0
JavaScript,packages/eslint-config-airbnb-base/legacy.js,legacy.js,34,34,0,0,0
JavaScript,packages/eslint-config-airbnb/legacy.js,legacy.js,4,4,0,0,0
JavaScript,packages/eslint-config-airbnb/hooks.js,hooks.js,6,6,0,0,0
JSON,packages/eslint-config-airbnb-base/package.json,package.json,79,79,0,0,0
JavaScript,packages/eslint-config-airbnb/index.js,index.js,8,8,0,0,0
Markdown,README.md,README.md,4006,3110,0,896,0
JavaScript,packages/eslint-config-airbnb/base.js,base.js,4,4,0,0,0
JavaScript,packages/eslint-config-airbnb-base/whitespace.js,whitespace.js,91,83,0,8,8
Markdown,packages/eslint-config-airbnb/README.md,README.md,85,53,0,32,0
JavaScript,packages/eslint-config-airbnb/test/requires.js,requires.js,15,10,1,4,0
JavaScript,packages/eslint-config-airbnb-base/rules/es6.js,es6.js,186,89,64,33,0
Markdown,packages/eslint-config-airbnb-base/README.md,README.md,99,63,0,36,0
JavaScript,packages/eslint-config-airbnb/whitespace.js,whitespace.js,105,96,1,8,8
JavaScript,packages/eslint-config-airbnb-base/rules/variables.js,variables.js,56,29,15,12,0
JavaScript,packages/eslint-config-airbnb/test/test-react-order.js,test-react-order.js,91,74,5,12,1
JavaScript,packages/eslint-config-airbnb-base/rules/node.js,node.js,43,18,14,11,0
JavaScript,packages/eslint-config-airbnb-base/rules/strict.js,strict.js,6,5,1,0,0
JavaScript,packages/eslint-config-airbnb/test/test-base.js,test-base.js,34,23,3,8,3
JSON,packages/eslint-config-airbnb/package.json,package.json,87,87,0,0,0
JavaScript,packages/eslint-config-airbnb-base/test/test-base.js,test-base.js,32,22,3,7,1
JavaScript,packages/eslint-config-airbnb-base/test/requires.js,requires.js,13,8,1,4,0
JavaScript,packages/eslint-config-airbnb-base/rules/errors.js,errors.js,177,57,76,44,0
JavaScript,packages/eslint-config-airbnb/rules/react-hooks.js,react-hooks.js,21,14,4,3,0
JavaScript,packages/eslint-config-airbnb/rules/react-a11y.js,react-a11y.js,246,133,76,37,0
JavaScript,packages/eslint-config-airbnb-base/rules/imports.js,imports.js,262,114,102,46,0
JavaScript,packages/eslint-config-airbnb-base/rules/best-practices.js,best-practices.js,361,163,120,78,0
JavaScript,packages/eslint-config-airbnb-base/rules/style.js,style.js,533,264,171,98,1
JavaScript,packages/eslint-config-airbnb/rules/react.js,react.js,551,267,189,95,0
