Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
HTML,index.html,index.html,39,28,0,11,0
License,LICENSE,LICENSE,20,16,0,4,0
JavaScript,webpack.config.js,webpack.config.js,43,37,0,6,0
gitignore,.gitignore,.gitignore,4,4,0,0,0
JSON,package.json,package.json,58,58,0,0,0
Markdown,README.md,README.md,148,102,0,46,0
YAML,.travis.yml,.travis.yml,5,5,0,0,0
JavaScript,src/plugin.js,plugin.js,40,27,3,10,6
Markdown,RELEASE_NOTES.md,RELEASE_NOTES.md,117,88,0,29,0
JavaScript,src/plugin/history.js,history.js,83,63,2,18,11
Markdown,docs/visualization.md,visualization.md,211,172,0,39,0
JavaScript,src/jsm.js,jsm.js,182,142,4,36,24
JavaScript,bin/examples,examples,60,36,11,13,3
JavaScript,src/app.js,app.js,102,81,6,15,7
JavaScript,src/config.js,config.js,161,125,5,31,21
JavaScript,src/util/exception.js,exception.js,9,8,0,1,0
JavaScript,src/util/camelize.js,camelize.js,33,18,4,11,4
JavaScript,src/plugin/visualize.js,visualize.js,161,115,9,37,38
JavaScript,src/util/mixin.js,mixin.js,13,12,0,1,3
JavaScript,lib/history.js,history.js,211,136,38,37,25
Markdown,docs/upgrading-from-v2.md,upgrading-from-v2.md,378,285,0,93,0
JavaScript,test/observers.js,observers.js,151,123,4,24,0
JavaScript,lib/state-machine.js,state-machine.js,669,478,59,132,75
JavaScript,lib/visualize.js,visualize.js,269,182,41,46,51
JavaScript,examples/matter.js,matter.js,18,15,0,3,0
Markdown,docs/states-and-transitions.md,states-and-transitions.md,156,120,0,36,0
JavaScript,dist/state-machine.js,state-machine.js,669,478,59,132,75
JavaScript,test/empty.js,empty.js,79,41,6,32,0
SVG,examples/horizontal_door.svg,horizontal_door.svg,35,28,7,0,0
SVG,examples/wizard.svg,wizard.svg,69,56,13,0,0
JavaScript,bin/minify,minify,40,22,8,10,1
Markdown,docs/initialization.md,initialization.md,57,46,0,11,0
SVG,examples/matter.svg,matter.svg,52,42,10,0,0
SVG,examples/vertical_door.svg,vertical_door.svg,35,28,7,0,0
Markdown,docs/contributing.md,contributing.md,59,43,0,16,0
JavaScript,examples/vertical_door.js,vertical_door.js,16,13,0,3,0
Markdown,docs/state-history.md,state-history.md,127,94,0,33,0
JavaScript,test/construction.js,construction.js,229,161,8,60,0
Markdown,docs/async-transitions.md,async-transitions.md,59,44,0,15,0
JavaScript,examples/wizard.js,wizard.js,18,15,0,3,0
JavaScript,test/issues.js,issues.js,103,68,5,30,0
Markdown,docs/error-handling.md,error-handling.md,56,47,0,9,0
Markdown,docs/state-machine-factory.md,state-machine-factory.md,104,81,0,23,0
Markdown,docs/lifecycle-events.md,lifecycle-events.md,148,118,0,30,0
JavaScript,test/plugins.js,plugins.js,151,102,7,42,0
JavaScript,examples/demo/demo.js,demo.js,84,68,0,16,0
JavaScript,test/goto.js,goto.js,195,155,6,34,0
JavaScript,test/util/mixin.js,mixin.js,65,43,3,19,0
JavaScript,examples/atm.js,atm.js,33,27,0,6,0
CSS,examples/demo/demo.css,demo.css,12,8,0,4,0
JavaScript,examples/horizontal_door.js,horizontal_door.js,16,13,0,3,0
JavaScript,test/util/camelize.js,camelize.js,14,13,0,1,0
Markdown,docs/data-and-methods.md,data-and-methods.md,64,53,0,11,0
JavaScript,test/helpers/lifecycle_logger.js,lifecycle_logger.js,27,21,0,6,1
JSON,package-lock.json,package-lock.json,6766,6766,0,0,0
JavaScript,test/wildcards.js,wildcards.js,212,153,7,52,0
JavaScript,test/introspection.js,introspection.js,204,155,7,42,0
JavaScript,test/plugin/history.js,history.js,493,380,12,101,0
JavaScript,test/errors.js,errors.js,160,115,7,38,2
JavaScript,dist/state-machine-history.min.js,state-machine-history.min.js,1,1,0,0,0
JavaScript,dist/state-machine-visualize.min.js,state-machine-visualize.min.js,1,1,0,0,1
JavaScript,test/defaults.js,defaults.js,62,40,4,18,0
SVG,examples/atm.svg,atm.svg,174,142,32,0,0
JavaScript,dist/state-machine-history.js,state-machine-history.js,211,136,38,37,25
JavaScript,test/plugin/visualize.js,visualize.js,443,329,27,87,8
JavaScript,dist/state-machine.min.js,state-machine.min.js,1,1,0,0,0
JavaScript,test/basics.js,basics.js,130,91,6,33,0
JavaScript,dist/state-machine-visualize.js,state-machine-visualize.js,269,182,41,46,51
JavaScript,test/transitions.js,transitions.js,311,244,8,59,1
JavaScript,test/lifecycle.js,lifecycle.js,932,790,15,127,10
