Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,201,169,0,32,0
Markdown,CHANGELOG.md,CHANGELOG.md,517,368,0,149,0
Batch,mvnw.cmd,mvnw.cmd,182,147,0,35,30
gitignore,.gitignore,.gitignore,22,14,3,5,0
XML,pom.xml,pom.xml,642,557,64,21,0
YAML,.travis.yml,.travis.yml,48,34,6,8,0
Markdown,README.md,README.md,1642,1158,0,484,0
Markdown,NOTICE.md,NOTICE.md,35,30,0,5,0
Plain Text,src/license/header.txt,header.txt,13,10,0,3,0
YAML,.github/stale.yml,stale.yml,80,21,42,17,0
XML,src/license/header_format.xml,header_format.xml,39,23,16,0,0
XML,impl/pom.xml,pom.xml,69,47,15,7,0
XML,api/pom.xml,pom.xml,53,32,15,6,0
Java,impl/src/main/java/io/jsonwebtoken/impl/FixedClock.java,FixedClock.java,54,16,31,7,0
Java,api/src/main/java/io/jsonwebtoken/IncorrectClaimException.java,IncorrectClaimException.java,33,9,21,3,0
Java,impl/src/main/java/io/jsonwebtoken/impl/Base64Codec.java,Base64Codec.java,36,13,19,4,0
Java,api/src/main/java/io/jsonwebtoken/SignatureException.java,SignatureException.java,36,11,21,4,0
Properties File,.mvn/wrapper/maven-wrapper.properties,maven-wrapper.properties,2,2,0,0,0
Java,api/src/main/java/io/jsonwebtoken/ClaimJwtException.java,ClaimJwtException.java,51,23,20,8,0
Java,api/src/main/java/io/jsonwebtoken/ExpiredJwtException.java,ExpiredJwtException.java,39,9,27,3,0
Groovy,impl/src/test/groovy/io/jsonwebtoken/RsaSigningKeyResolverAdapterTest.groovy,RsaSigningKeyResolverAdapterTest.groovy,44,20,15,9,0
Java,api/src/main/java/io/jsonwebtoken/SignatureAlgorithm.java,SignatureAlgorithm.java,655,243,343,69,38
Java,extensions/jackson/src/main/java/io/jsonwebtoken/jackson/io/JacksonSerializer.java,JacksonSerializer.java,59,33,18,8,0
Java,extensions/jackson/src/main/java/io/jsonwebtoken/jackson/io/JacksonDeserializer.java,JacksonDeserializer.java,132,65,52,15,5
Java,api/src/main/java/io/jsonwebtoken/MalformedJwtException.java,MalformedJwtException.java,32,9,20,3,0
Java,api/src/main/java/io/jsonwebtoken/PrematureJwtException.java,PrematureJwtException.java,39,9,27,3,0
Groovy,impl/src/test/groovy/io/jsonwebtoken/DeprecatedJwtParserTest.groovy,DeprecatedJwtParserTest.groovy,1570,1116,53,401,3
Java,api/src/main/java/io/jsonwebtoken/JwtParserBuilder.java,JwtParserBuilder.java,307,26,260,21,0
Java,impl/src/main/java/io/jsonwebtoken/impl/DefaultTextCodecFactory.java,DefaultTextCodecFactory.java,55,27,18,10,5
Java,api/src/main/java/io/jsonwebtoken/Claims.java,Claims.java,191,34,133,24,0
Java,api/src/main/java/io/jsonwebtoken/CompressionCodec.java,CompressionCodec.java,55,6,45,4,0
Java,impl/src/main/java/io/jsonwebtoken/impl/DefaultJws.java,DefaultJws.java,52,29,15,8,0
Java,impl/src/main/java/io/jsonwebtoken/impl/AbstractTextCodec.java,AbstractTextCodec.java,45,21,18,6,0
XML,extensions/jackson/pom.xml,pom.xml,80,54,20,6,0
XML,extensions/pom.xml,pom.xml,41,21,15,5,0
Java,impl/src/main/java/io/jsonwebtoken/impl/AndroidBase64Codec.java,AndroidBase64Codec.java,37,14,19,4,0
Java,impl/src/main/java/io/jsonwebtoken/impl/Base64UrlCodec.java,Base64UrlCodec.java,37,14,19,4,0
Java,api/src/main/java/io/jsonwebtoken/JwtException.java,JwtException.java,32,9,20,3,0
Java,impl/src/main/java/io/jsonwebtoken/impl/DefaultJwt.java,DefaultJwt.java,45,23,15,7,0
Java,.mvn/wrapper/MavenWrapperDownloader.java,MavenWrapperDownloader.java,117,76,31,10,9
Shell,mvnw,mvnw,310,230,54,26,34
Java,impl/src/main/java/io/jsonwebtoken/impl/TextCodec.java,TextCodec.java,49,14,27,8,0
Java,api/src/main/java/io/jsonwebtoken/CompressionCodecResolver.java,CompressionCodecResolver.java,46,4,39,3,0
Java,impl/src/main/java/io/jsonwebtoken/impl/DefaultHeader.java,DefaultHeader.java,72,45,15,12,1
Java,impl/src/main/java/io/jsonwebtoken/impl/JwtMap.java,JwtMap.java,214,158,29,27,33
Java,impl/src/main/java/io/jsonwebtoken/impl/DefaultClock.java,DefaultClock.java,43,10,28,5,0
Java,impl/src/main/java/io/jsonwebtoken/impl/lang/LegacyServices.java,LegacyServices.java,26,13,10,3,0
Java,impl/src/main/java/io/jsonwebtoken/impl/ImmutableJwtParser.java,ImmutableJwtParser.java,175,125,20,30,0
Java,impl/src/main/java/io/jsonwebtoken/impl/DefaultJwtBuilder.java,DefaultJwtBuilder.java,393,306,28,59,66
Groovy,extensions/jackson/src/test/groovy/io/jsonwebtoken/jackson/io/JacksonDeserializerTest.groovy,JacksonDeserializerTest.groovy,185,130,28,27,2
Groovy,extensions/jackson/src/test/groovy/io/jsonwebtoken/jackson/io/JacksonSerializerTest.groovy,JacksonSerializerTest.groovy,123,88,15,20,0
Groovy,extensions/jackson/src/test/groovy/io/jsonwebtoken/jackson/io/stubs/CustomBean.groovy,CustomBean.groovy,146,105,16,25,18
Java,impl/src/main/java/io/jsonwebtoken/impl/crypto/RsaProvider.java,RsaProvider.java,196,93,78,25,3
Java,impl/src/main/java/io/jsonwebtoken/impl/crypto/MacValidator.java,MacValidator.java,36,15,15,6,0
Java,impl/src/main/java/io/jsonwebtoken/impl/lang/UnavailableImplementationException.java,UnavailableImplementationException.java,29,7,19,3,0
Java,impl/src/main/java/io/jsonwebtoken/impl/crypto/DefaultJwtSignatureValidator.java,DefaultJwtSignatureValidator.java,63,35,15,13,0
XML,extensions/orgjson/pom.xml,pom.xml,80,54,20,6,0
Java,impl/src/main/java/io/jsonwebtoken/impl/crypto/EllipticCurveProvider.java,EllipticCurveProvider.java,303,145,109,49,36
