Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,to-do.txt,to-do.txt,27,20,0,7,0
Plain Text,CODING_STYLE.txt,CODING_STYLE.txt,9,6,0,3,0
Plain Text,acknowledgements.txt,acknowledgements.txt,163,119,0,44,0
Batch,mvnw.cmd,mvnw.cmd,143,112,0,31,20
Markdown,README.md,README.md,9,7,0,2,0
gitignore,.gitignore,.gitignore,13,12,1,0,0
Plain Text,NOTICE.txt,NOTICE.txt,5,4,0,1,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,45,29,0,16,0
Plain Text,LEGACY_CODING_STYLE.txt,LEGACY_CODING_STYLE.txt,132,115,0,17,0
HTML,epl-v10.html,epl-v10.html,261,216,0,45,0
YAML,.travis.yml,.travis.yml,69,54,10,5,0
Plain Text,LICENSE-junit.txt,LICENSE-junit.txt,214,170,0,44,0
XML,.travis.settings.xml,.travis.settings.xml,22,22,0,0,0
XML,pom.xml,pom.xml,587,522,54,11,0
XML,src/site/site.xml,site.xml,54,46,0,8,0
Shell,mvnw,mvnw,227,146,52,29,33
HTML,doc/ReleaseNotes4.6.html,ReleaseNotes4.6.html,106,83,0,23,0
Plain Text,doc/building-junit.txt,building-junit.txt,98,81,0,17,0
HTML,doc/ReleaseNotes4.7.html,ReleaseNotes4.7.html,229,170,0,59,0
Plain Text,doc/ReleaseNotes4.6.txt,ReleaseNotes4.6.txt,1,1,0,0,0
Plain Text,doc/ReleaseNotes4.8.txt,ReleaseNotes4.8.txt,1,1,0,0,0
Plain Text,doc/ReleaseNotes4.11.txt,ReleaseNotes4.11.txt,1,1,0,0,0
HTML,doc/ReleaseNotes4.8.html,ReleaseNotes4.8.html,59,46,0,13,0
Plain Text,doc/ReleaseNotes4.10.txt,ReleaseNotes4.10.txt,1,1,0,0,0
Plain Text,doc/ReleaseNotes4.8.2.txt,ReleaseNotes4.8.2.txt,1,1,0,0,0
Markdown,doc/ReleaseNotes4.8.md,ReleaseNotes4.8.md,57,45,0,12,0
Properties File,.mvn/wrapper/maven-wrapper.properties,maven-wrapper.properties,1,1,0,0,0
Markdown,doc/ReleaseNotes4.9.md,ReleaseNotes4.9.md,91,65,0,26,0
Markdown,doc/ReleaseNotes4.8.1.md,ReleaseNotes4.8.1.md,7,4,0,3,0
Java,src/test/java/org/junit/AssumptionViolatedExceptionTest.java,AssumptionViolatedExceptionTest.java,95,82,0,13,0
HTML,doc/ReleaseNotes4.8.2.html,ReleaseNotes4.8.2.html,10,7,0,3,0
HTML,doc/ReleaseNotes4.9.html,ReleaseNotes4.9.html,96,72,0,24,0
Markdown,doc/ReleaseNotes4.6.md,ReleaseNotes4.6.md,106,82,0,24,0
HTML,doc/ReleaseNotes4.4.html,ReleaseNotes4.4.html,271,212,0,59,0
HTML,doc/ReleaseNotes4.8.1.html,ReleaseNotes4.8.1.html,9,6,0,3,0
Markdown,doc/ReleaseNotes4.9.1.md,ReleaseNotes4.9.1.md,14,11,0,3,0
HTML,doc/ReleaseNotes4.5.html,ReleaseNotes4.5.html,320,261,0,59,0
Plain Text,doc/ReleaseNotes4.9.txt,ReleaseNotes4.9.txt,1,1,0,0,0
HTML,doc/ReleaseNotes4.10.html,ReleaseNotes4.10.html,93,75,0,18,0
CSS,src/main/javadoc/stylesheet.css,stylesheet.css,1,1,0,0,0
Markdown,doc/ReleaseNotes4.4.md,ReleaseNotes4.4.md,319,233,0,86,0
Plain Text,doc/ReleaseNotes4.9.1.txt,ReleaseNotes4.9.1.txt,1,1,0,0,0
Plain Text,doc/ReleaseNotes4.8.1.txt,ReleaseNotes4.8.1.txt,1,1,0,0,0
Markdown,doc/ReleaseNotes4.8.2.md,ReleaseNotes4.8.2.md,8,5,0,3,0
Markdown,doc/ReleaseNotes4.13.1.md,ReleaseNotes4.13.1.md,13,7,0,6,0
