Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,57,31,13,13,0
Markdown,README.md,README.md,139,95,0,44,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,34,24,0,10,0
Properties File,gradle.properties,gradle.properties,21,5,15,1,0
Plain Text,LICENSE.txt,LICENSE.txt,201,169,0,32,0
Gradle,build.gradle,build.gradle,376,310,8,58,0
Gradle,settings.gradle,settings.gradle,26,25,0,1,0
Shell,gradlew,gradlew,183,128,36,19,19
Gradle,driver-sync/build.gradle,build.gradle,52,44,1,7,0
Gradle,gradle/deploy.gradle,deploy.gradle,78,71,0,7,0
Gradle,gradle/publish.gradle,publish.gradle,151,134,1,16,0
Gradle,gradle/javadoc.gradle,javadoc.gradle,113,103,1,9,0
Gradle,driver-reactive-streams/build.gradle,build.gradle,70,57,1,12,0
Java,driver-reactive-streams/src/examples/reactivestreams/helpers/package-info.java,package-info.java,18,1,16,1,0
Java,driver-sync/src/main/com/mongodb/client/MongoDatabase.java,MongoDatabase.java,542,62,427,53,0
Java,driver-reactive-streams/src/main/com/mongodb/reactivestreams/client/ListDatabasesPublisher.java,ListDatabasesPublisher.java,96,13,72,11,0
Java,driver-reactive-streams/src/main/com/mongodb/reactivestreams/client/package-info.java,package-info.java,20,1,18,1,0
Java,driver-reactive-streams/src/main/com/mongodb/reactivestreams/client/ChangeStreamPublisher.java,ChangeStreamPublisher.java,133,20,101,12,0
Java,driver-reactive-streams/src/main/com/mongodb/reactivestreams/client/AggregatePublisher.java,AggregatePublisher.java,138,18,106,14,0
Batch,gradlew.bat,gradlew.bat,100,76,0,24,21
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Java,driver-reactive-streams/src/test/functional/com/mongodb/reactivestreams/SessionsTest.java,SessionsTest.java,37,18,15,4,0
Java,driver-reactive-streams/src/examples/reactivestreams/tour/ClientSideEncryptionSimpleTour.java,ClientSideEncryptionSimpleTour.java,89,45,29,15,0
Java,driver-reactive-streams/src/main/com/mongodb/reactivestreams/client/MongoDatabase.java,MongoDatabase.java,546,63,432,51,0
Java,driver-reactive-streams/src/examples/reactivestreams/tour/Address.java,Address.java,142,66,59,17,18
Java,driver-reactive-streams/src/examples/reactivestreams/helpers/PublisherHelpers.java,PublisherHelpers.java,59,12,39,8,0
Java,driver-sync/src/main/com/mongodb/client/ClientSession.java,ClientSession.java,127,18,96,13,0
Java,driver-sync/src/main/com/mongodb/client/MongoClient.java,MongoClient.java,252,33,196,23,0
Java,driver-reactive-streams/src/main/com/mongodb/reactivestreams/client/vault/ClientEncryptionImpl.java,ClientEncryptionImpl.java,63,38,15,10,0
Java,driver-reactive-streams/src/test/tck/com/mongodb/reactivestreams/client/ChangeStreamPublisherVerification.java,ChangeStreamPublisherVerification.java,82,49,16,17,2
Java,driver-reactive-streams/src/examples/reactivestreams/helpers/SubscriberHelpers.java,SubscriberHelpers.java,272,124,117,31,5
