Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,9,7,0,2,0
XML,pom.xml,pom.xml,342,315,0,27,0
XML,checkstyle.xml,checkstyle.xml,215,86,98,31,0
Markdown,README.md,README.md,273,221,0,52,0
Plain Text,header.txt,header.txt,13,10,0,3,0
Plain Text,LICENSE.txt,LICENSE.txt,202,169,0,33,0
Java,src/test/java/com/corundumstudio/socketio/JoinIteratorsTest.java,JoinIteratorsTest.java,50,25,16,9,2
Java,src/test/java/com/corundumstudio/socketio/parser/PayloadTest.java,PayloadTest.java,89,60,16,13,1
Java,src/test/java/com/corundumstudio/socketio/transport/WebSocketTransportTest.java,WebSocketTransportTest.java,77,21,47,9,0
Java,src/test/java/com/corundumstudio/socketio/parser/EncoderBaseTest.java,EncoderBaseTest.java,26,7,15,4,0
Java,src/test/java/com/corundumstudio/socketio/parser/EncoderMessagePacketTest.java,EncoderMessagePacketTest.java,52,25,19,8,0
Java,src/main/java/com/corundumstudio/socketio/Disconnectable.java,Disconnectable.java,26,5,15,6,0
Java,src/test/java/com/corundumstudio/socketio/protocol/PacketTest.java,PacketTest.java,76,52,15,9,0
Java,src/test/java/com/corundumstudio/socketio/parser/EncoderAckPacketTest.java,EncoderAckPacketTest.java,51,25,18,8,0
Java,src/main/java/com/corundumstudio/socketio/MultiTypeArgs.java,MultiTypeArgs.java,69,35,22,12,2
Java,src/test/java/com/corundumstudio/socketio/parser/DecoderMessagePacketTest.java,DecoderMessagePacketTest.java,57,29,20,8,0
Java,src/main/java/com/corundumstudio/socketio/SocketIOChannelInitializer.java,SocketIOChannelInitializer.java,236,167,26,43,8
Java,src/main/java/com/corundumstudio/socketio/SocketIONamespace.java,SocketIONamespace.java,50,11,30,9,0
Java,src/main/java/com/corundumstudio/socketio/AuthorizationListener.java,AuthorizationListener.java,28,4,21,3,0
Java,src/test/java/com/corundumstudio/socketio/parser/DecoderEventPacketTest.java,DecoderEventPacketTest.java,67,36,22,9,0
Java,src/test/java/com/corundumstudio/socketio/parser/EncoderEventPacketTest.java,EncoderEventPacketTest.java,63,33,21,9,0
Java,src/main/java/com/corundumstudio/socketio/DisconnectableHub.java,DisconnectableHub.java,20,3,15,2,0
Java,src/test/java/com/corundumstudio/socketio/parser/EncoderConnectionPacketTest.java,EncoderConnectionPacketTest.java,68,35,23,10,0
Java,src/main/java/com/corundumstudio/socketio/Transport.java,Transport.java,45,22,15,8,2
Java,src/main/java/com/corundumstudio/socketio/BroadcastOperations.java,BroadcastOperations.java,38,10,19,9,0
Java,src/test/java/com/corundumstudio/socketio/parser/DecoderConnectionPacketTest.java,DecoderConnectionPacketTest.java,60,34,17,9,0
Java,src/test/java/com/corundumstudio/socketio/parser/DecoderJsonPacketTest.java,DecoderJsonPacketTest.java,58,29,20,9,0
Java,src/test/java/com/corundumstudio/socketio/parser/DecoderBaseTest.java,DecoderBaseTest.java,39,15,15,9,0
Java,src/main/java/com/corundumstudio/socketio/ClientOperations.java,ClientOperations.java,49,7,36,6,0
Java,src/test/java/com/corundumstudio/socketio/parser/DecoderAckPacketTest.java,DecoderAckPacketTest.java,73,45,17,11,0
Java,src/main/java/com/corundumstudio/socketio/SocketIOClient.java,SocketIOClient.java,112,19,77,16,0
Java,src/main/java/com/corundumstudio/socketio/AckMode.java,AckMode.java,39,6,28,5,0
Java,src/main/java/com/corundumstudio/socketio/AckRequest.java,AckRequest.java,90,33,48,9,2
Java,src/main/java/com/corundumstudio/socketio/VoidAckCallback.java,VoidAckCallback.java,39,14,19,6,0
Java,src/main/java/com/corundumstudio/socketio/MultiRoomBroadcastOperations.java,MultiRoomBroadcastOperations.java,117,85,19,13,40
Java,src/main/java/com/corundumstudio/socketio/SocketIOServer.java,SocketIOServer.java,289,183,60,46,19
Java,src/main/java/com/corundumstudio/socketio/MultiTypeAckCallback.java,MultiTypeAckCallback.java,35,11,19,5,0
Java,src/main/java/com/corundumstudio/socketio/JsonSupportWrapper.java,JsonSupportWrapper.java,87,57,15,15,0
Java,src/main/java/com/corundumstudio/socketio/SocketConfig.java,SocketConfig.java,89,52,21,16,0
Java,src/main/java/com/corundumstudio/socketio/BroadcastAckCallback.java,BroadcastAckCallback.java,82,49,15,18,4
Java,src/main/java/com/corundumstudio/socketio/HandshakeData.java,HandshakeData.java,122,59,46,17,4
Java,src/main/java/com/corundumstudio/socketio/Configuration.java,Configuration.java,587,316,192,79,4
Java,src/main/java/com/corundumstudio/socketio/AckCallback.java,AckCallback.java,91,21,59,11,0
Java,src/main/java/com/corundumstudio/socketio/SingleRoomBroadcastOperations.java,SingleRoomBroadcastOperations.java,123,90,19,14,8
Java,src/main/java/com/corundumstudio/socketio/store/StoreFactory.java,StoreFactory.java,44,15,20,9,0
Java,src/main/java/com/corundumstudio/socketio/protocol/AckArgs.java,AckArgs.java,33,12,15,6,0
Java,src/main/java/com/corundumstudio/socketio/messages/HttpErrorMessage.java,HttpErrorMessage.java,33,12,15,6,0
Java,src/main/java/com/corundumstudio/socketio/listener/ExceptionListenerAdapter.java,ExceptionListenerAdapter.java,53,22,20,11,0
Java,src/main/java/com/corundumstudio/socketio/protocol/PacketEncoder.java,PacketEncoder.java,353,271,22,60,64
Java,src/main/java/com/corundumstudio/socketio/scheduler/HashedWheelScheduler.java,HashedWheelScheduler.java,112,81,15,16,4
Java,src/main/java/com/corundumstudio/socketio/messages/HttpMessage.java,HttpMessage.java,38,16,15,7,0
Java,src/main/java/com/corundumstudio/socketio/listener/PingListener.java,PingListener.java,24,5,15,4,0
Java,src/main/java/com/corundumstudio/socketio/messages/PacketsMessage.java,PacketsMessage.java,47,23,15,9,0
Java,src/main/java/com/corundumstudio/socketio/misc/CompositeIterable.java,CompositeIterable.java,56,32,15,9,5
Java,src/main/java/com/corundumstudio/socketio/listener/DefaultExceptionListener.java,DefaultExceptionListener.java,57,30,15,12,0
Java,src/main/java/com/corundumstudio/socketio/store/HazelcastPubSubStore.java,HazelcastPubSubStore.java,93,64,15,14,6
Java,src/main/java/com/corundumstudio/socketio/misc/CompositeIterator.java,CompositeIterator.java,55,33,15,7,5
Java,src/main/java/com/corundumstudio/socketio/messages/OutPacketMessage.java,OutPacketMessage.java,41,18,15,8,0
Java,src/main/java/com/corundumstudio/socketio/listener/ClientListeners.java,ClientListeners.java,39,12,15,12,0
Java,src/main/java/com/corundumstudio/socketio/misc/IterableCollection.java,IterableCollection.java,49,26,15,8,1
Java,src/main/java/com/corundumstudio/socketio/store/MemoryStore.java,MemoryStore.java,46,22,15,9,0
Java,src/main/java/com/corundumstudio/socketio/transport/NamespaceClient.java,NamespaceClient.java,210,160,16,34,23
Java,src/main/java/com/corundumstudio/socketio/ack/AckSchedulerKey.java,AckSchedulerKey.java,57,33,15,9,7
Java,src/main/java/com/corundumstudio/socketio/store/MemoryPubSubStore.java,MemoryPubSubStore.java,41,19,15,7,0
Java,src/main/java/com/corundumstudio/socketio/store/HazelcastStoreFactory.java,HazelcastStoreFactory.java,80,46,19,15,0
Java,src/main/java/com/corundumstudio/socketio/scheduler/CancelableScheduler.java,CancelableScheduler.java,36,11,15,10,0
Java,src/main/java/com/corundumstudio/socketio/scheduler/SchedulerKey.java,SchedulerKey.java,60,37,15,8,16
Java,src/main/java/com/corundumstudio/socketio/store/RedissonStore.java,RedissonStore.java,51,26,15,10,0
Java,src/main/java/com/corundumstudio/socketio/scheduler/HashedWheelTimeoutScheduler.java,HashedWheelTimeoutScheduler.java,133,88,26,19,6
Java,src/main/java/com/corundumstudio/socketio/annotation/ScannerEngine.java,ScannerEngine.java,105,74,15,16,25
Java,src/main/java/com/corundumstudio/socketio/annotation/OnConnect.java,OnConnect.java,36,9,23,4,0
Java,src/main/java/com/corundumstudio/socketio/annotation/OnDisconnect.java,OnDisconnect.java,35,9,23,3,0
Java,src/main/java/com/corundumstudio/socketio/store/RedissonStoreFactory.java,RedissonStoreFactory.java,77,46,15,16,0
Java,src/main/java/com/corundumstudio/socketio/annotation/AnnotationScanner.java,AnnotationScanner.java,31,9,15,7,0
Java,src/main/java/com/corundumstudio/socketio/annotation/OnEventScanner.java,OnEventScanner.java,154,127,15,12,29
Java,src/main/java/com/corundumstudio/socketio/store/HazelcastStore.java,HazelcastStore.java,52,26,15,11,0
Java,src/main/java/com/corundumstudio/socketio/ack/AckManager.java,AckManager.java,183,137,17,29,22
Java,src/main/java/com/corundumstudio/socketio/namespace/Namespace.java,Namespace.java,385,305,26,54,57
Java,src/main/java/com/corundumstudio/socketio/messages/XHROptionsMessage.java,XHROptionsMessage.java,26,7,15,4,0
Java,src/main/java/com/corundumstudio/socketio/annotation/OnConnectScanner.java,OnConnectScanner.java,66,44,15,7,5
Java,src/main/java/com/corundumstudio/socketio/listener/ExceptionListener.java,ExceptionListener.java,36,11,15,10,0
