Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,248,205,0,43,0
Dockerfile,Dockerfile,Dockerfile,81,58,15,8,11
Markdown,SUPPORT.md,SUPPORT.md,19,10,0,9,0
Markdown,README.md,README.md,298,200,0,98,0
Plain Text,version.txt,version.txt,1,1,0,0,0
Properties File,gradle.properties,gradle.properties,3,3,0,0,0
gitignore,.gitignore,.gitignore,57,32,14,11,0
Markdown,CHANGELOG.md,CHANGELOG.md,2723,1933,0,790,0
Gradle,build.gradle,build.gradle,572,479,25,68,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,212,156,0,56,0
Shell,gradlew,gradlew,172,133,21,18,19
Gradle,settings.gradle,settings.gradle,1,1,0,0,0
Batch,gradlew.bat,gradlew.bat,84,61,0,23,20
Shell,realm/gradlew,gradlew,188,133,36,19,19
Markdown,.github/ISSUE_TEMPLATE/question.md,question.md,18,13,0,5,0
XML,examples/architectureComponentsExample/src/main/AndroidManifest.xml,AndroidManifest.xml,21,18,0,3,0
Java,realm-transformer/src/main/java/io/realm/gradle/RealmPluginExtension.java,RealmPluginExtension.java,71,39,19,13,2
Gradle,gradle-plugin/settings.gradle,settings.gradle,1,1,0,0,0
Properties File,realm-annotations/gradle.properties,gradle.properties,1,1,0,0,0
Shell,realm-transformer/gradlew,gradlew,172,133,21,18,19
Shell,realm-annotations/gradlew,gradlew,172,133,21,18,19
Gradle,realm-annotations/build.gradle,build.gradle,108,98,0,10,0
Gradle,realm-annotations/settings.gradle,settings.gradle,1,1,0,0,0
XML,examples/encryptionExample/src/main/AndroidManifest.xml,AndroidManifest.xml,22,21,0,1,0
Properties File,gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
Batch,realm-annotations/gradlew.bat,gradlew.bat,84,61,0,23,20
Kotlin,realm-transformer/src/main/kotlin/io/realm/transformer/Stopwatch.kt,Stopwatch.kt,63,29,27,7,4
Gradle,realm/build.gradle,build.gradle,58,54,1,3,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,30,19,0,11,0
Groovy,gradle-plugin/src/main/groovy/io/realm/gradle/Realm.groovy,Realm.groovy,174,124,34,16,27
YAML,.github/no-response.yml,no-response.yml,13,8,4,1,0
Java,realm-transformer/src/main/templates/Version.java,Version.java,6,5,0,1,0
Gradle,realm-transformer/build.gradle,build.gradle,158,137,2,19,0
Properties File,realm/gradle.properties,gradle.properties,7,6,0,1,0
Shell,gradle-plugin/gradlew,gradlew,172,133,21,18,19
Markdown,.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,16,10,0,6,0
Properties File,realm-transformer/gradle.properties,gradle.properties,1,1,0,0,0
XML,examples/architectureComponentsExample/src/main/res/values/dimens.xml,dimens.xml,5,4,1,0,0
Prolog,examples/coroutinesExample/proguard-rules.pro,proguard-rules.pro,21,18,0,3,0
Shell,examples/gradlew,gradlew,188,133,36,19,19
XML,examples/architectureComponentsExample/src/main/res/layout/fragment_person_list.xml,fragment_person_list.xml,11,10,0,1,0
Java,examples/encryptionExample/src/main/java/io/realm/examples/encryption/Util.java,Util.java,33,13,16,4,1
Gradle,examples/coroutinesExample/build.gradle,build.gradle,72,58,0,14,0
Batch,realm/gradlew.bat,gradlew.bat,100,76,0,24,21
XML,examples/architectureComponentsExample/src/main/res/layout/fragment_person.xml,fragment_person.xml,30,27,0,3,0
XML,examples/architectureComponentsExample/src/main/res/layout/activity_arch_example.xml,activity_arch_example.xml,25,23,0,2,0
Java,examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/PersonListFragment.java,PersonListFragment.java,140,103,17,20,5
XML,examples/architectureComponentsExample/src/main/res/layout/item_person.xml,item_person.xml,54,51,0,3,0
Java,examples/encryptionExample/src/main/java/io/realm/examples/encryption/EncryptionExampleActivity.java,EncryptionExampleActivity.java,82,39,27,16,0
Java,examples/architectureComponentsExample/src/main/java/io/realm/examples/arch/CustomApplication.java,CustomApplication.java,58,33,15,10,0
Gradle,examples/build.gradle,build.gradle,81,69,2,10,0
Gradle,realm/settings.gradle,settings.gradle,4,3,1,0,0
Properties File,examples/gradle.properties,gradle.properties,15,6,7,2,0
Markdown,realm/templates/README.md,README.md,4,3,0,1,0
Properties File,gradle-plugin/gradle/wrapper/gradle-wrapper.properties,gradle-wrapper.properties,5,5,0,0,0
