Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,COPYING.txt,COPYING.txt,14,9,0,5,0
gitignore,.gitignore,.gitignore,8,8,0,0,0
XML,pom.xml,pom.xml,235,211,3,21,0
YAML,.travis.yml,.travis.yml,6,5,0,1,0
YAML,.github/FUNDING.yml,FUNDING.yml,12,10,1,1,0
Markdown,README.md,README.md,152,120,0,32,0
Java,src/main/java/org/reflections/Configuration.java,Configuration.java,42,19,13,10,0
Java,src/main/java/org/reflections/ReflectionsException.java,ReflectionsException.java,21,12,5,4,0
Java,src/main/java/org/reflections/scanners/AbstractScanner.java,AbstractScanner.java,81,58,6,17,9
Java,src/main/java/org/reflections/Store.java,Store.java,142,105,16,21,19
Java,src/main/java/org/reflections/adapters/JavaReflectionAdapter.java,JavaReflectionAdapter.java,142,110,3,29,8
Java,src/main/java/org/reflections/serializers/XmlSerializer.java,XmlSerializer.java,124,94,16,14,6
Java,src/test/java/org/reflections/util/ConfigurationBuilderTest.java,ConfigurationBuilderTest.java,22,16,1,5,0
Java,src/test/java/org/reflections/MoreTestsModel.java,MoreTestsModel.java,96,74,2,20,0
Java,src/test/java/org/reflections/ReflectionsExpandSupertypesTest.java,ReflectionsExpandSupertypesTest.java,54,44,0,10,0
Java,src/main/java/org/reflections/ReflectionUtils.java,ReflectionUtils.java,403,258,93,52,87
Java,src/main/java/org/reflections/Reflections.java,Reflections.java,664,356,243,65,65
Java,src/main/java/org/reflections/util/FilterBuilder.java,FilterBuilder.java,179,111,39,29,19
Java,src/main/java/org/reflections/vfs/JbossDir.java,JbossDir.java,75,58,0,17,7
Java,src/main/java/org/reflections/util/Utils.java,Utils.java,210,167,11,32,29
Java,src/main/java/org/reflections/scanners/SubTypesScanner.java,SubTypesScanner.java,39,27,4,8,4
Java,src/test/java/org/reflections/ReflectionUtilsTest.java,ReflectionUtilsTest.java,157,116,6,35,6
Java,src/main/java/org/reflections/vfs/ZipFile.java,ZipFile.java,34,26,1,7,0
Java,src/main/java/org/reflections/vfs/JarInputFile.java,JarInputFile.java,46,37,3,6,3
Java,src/main/java/org/reflections/util/ConfigurationBuilder.java,ConfigurationBuilder.java,318,210,68,40,48
Java,src/main/java/org/reflections/scanners/Scanner.java,Scanner.java,23,12,3,8,0
XML,src/test/resources/META-INF/reflections/resource1-reflections.xml,resource1-reflections.xml,16,15,0,1,0
Java,src/main/java/org/reflections/serializers/JavaCodeSerializer.java,JavaCodeSerializer.java,324,226,52,46,39
Java,src/main/java/org/reflections/util/ClasspathHelper.java,ClasspathHelper.java,402,230,151,21,58
Java,src/main/java/org/reflections/scanners/ResourcesScanner.java,ResourcesScanner.java,21,15,2,4,3
Java,src/main/java/org/reflections/scanners/MemberUsageScanner.java,MemberUsageScanner.java,114,100,3,11,8
Java,src/test/java/org/reflections/TestModel.java,TestModel.java,76,63,3,10,0
Java,src/main/java/org/reflections/scanners/MethodAnnotationsScanner.java,MethodAnnotationsScanner.java,19,15,1,3,3
Java,src/test/java/org/reflections/ReflectionsThreadSafenessTest.java,ReflectionsThreadSafenessTest.java,42,29,3,10,0
XML,src/test/resources/META-INF/reflections/inner/resource2-reflections.xml,resource2-reflections.xml,13,12,0,1,0
Java,src/test/java/org/reflections/ReflectionsCollectTest.java,ReflectionsCollectTest.java,73,60,1,12,0
Java,src/main/java/org/reflections/scanners/FieldAnnotationsScanner.java,FieldAnnotationsScanner.java,24,19,1,4,3
Java,src/main/java/org/reflections/scanners/MethodParameterScanner.java,MethodParameterScanner.java,38,29,1,8,6
Java,src/main/java/org/reflections/scanners/MethodParameterNamesScanner.java,MethodParameterNamesScanner.java,40,34,1,5,5
Java,src/test/java/org/reflections/ReflectionsParallelTest.java,ReflectionsParallelTest.java,34,29,1,4,0
Java,src/main/java/org/reflections/scanners/TypeAnnotationsScanner.java,TypeAnnotationsScanner.java,23,16,1,6,2
Java,src/test/java/org/reflections/FilterBuilderTest.java,FilterBuilderTest.java,173,145,6,22,0
Java,src/test/java/org/reflections/JavaCodeSerializerTest.java,JavaCodeSerializerTest.java,60,39,8,13,0
Java,src/test/java/org/reflections/ClasspathHelperTest.java,ClasspathHelperTest.java,35,26,4,5,0
Java,src/main/java/org/reflections/scanners/TypeElementsScanner.java,TypeElementsScanner.java,54,43,2,9,9
Java,src/test/java/org/reflections/MyTestModelStore.java,MyTestModelStore.java,144,141,1,2,0
Java,src/main/java/org/reflections/vfs/ZipDir.java,ZipDir.java,42,36,1,5,2
Java,src/main/java/org/reflections/vfs/SystemDir.java,SystemDir.java,54,45,3,6,7
Java,src/test/java/org/reflections/ReflectionsTest.java,ReflectionsTest.java,361,294,9,58,11
Java,src/main/java/org/reflections/vfs/SystemFile.java,SystemFile.java,42,36,1,5,0
Java,src/main/java/org/reflections/adapters/JavassistAdapter.java,JavassistAdapter.java,193,151,6,36,14
Java,src/main/java/org/reflections/serializers/Serializer.java,Serializer.java,18,9,4,5,0
Java,src/main/java/org/reflections/vfs/JbossFile.java,JbossFile.java,37,28,0,9,1
Java,src/main/java/org/reflections/serializers/JsonSerializer.java,JsonSerializer.java,53,35,11,7,2
Java,src/main/java/org/reflections/vfs/JarInputDir.java,JarInputDir.java,76,60,3,13,8
Java,src/main/java/org/reflections/vfs/UrlTypeVFS.java,UrlTypeVFS.java,112,88,8,16,20
Java,src/main/java/org/reflections/adapters/MetadataAdapter.java,MetadataAdapter.java,52,24,5,23,0
Java,src/test/java/org/reflections/MoreTests.java,MoreTests.java,138,117,0,21,2
Java,src/main/java/org/reflections/vfs/Vfs.java,Vfs.java,293,201,53,39,33
Java,src/test/java/org/reflections/VfsTest.java,VfsTest.java,134,107,5,22,3
