Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,15,8,4,3,0
XML,pom.xml,pom.xml,304,296,0,8,0
Markdown,README.md,README.md,174,132,0,42,0
Markdown,donate.md,donate.md,13,8,0,5,0
XML,checkstyle.xml,checkstyle.xml,122,117,4,1,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/builder/ServiceBuilderCommon.java,ServiceBuilderCommon.java,53,15,28,10,0
Java,scribejava-httpclient-armeria/src/main/java/com/github/scribejava/httpclient/armeria/ArmeriaWebClientBuilder.java,ArmeriaWebClientBuilder.java,74,63,5,6,13
Java,scribejava-core/src/main/java/com/github/scribejava/core/services/HMACSha1SignatureService.java,HMACSha1SignatureService.java,54,38,10,6,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/extractors/OAuth1RequestTokenExtractor.java,OAuth1RequestTokenExtractor.java,23,16,0,7,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/extractors/BaseStringExtractorImpl.java,BaseStringExtractorImpl.java,57,36,12,9,3
Java,scribejava-core/src/main/java/com/github/scribejava/core/extractors/OAuth2AccessTokenExtractor.java,OAuth2AccessTokenExtractor.java,76,57,6,13,7
Java,scribejava-core/src/main/java/com/github/scribejava/core/exceptions/OAuthException.java,OAuthException.java,38,13,20,5,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/extractors/BaseStringExtractor.java,BaseStringExtractor.java,19,5,11,3,0
XML,scribejava-apis/pom.xml,pom.xml,67,63,0,4,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/exceptions/OAuthSignatureException.java,OAuthSignatureException.java,21,8,9,4,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/extractors/AbstractOAuth1TokenExtractor.java,AbstractOAuth1TokenExtractor.java,48,32,10,6,3
Java,scribejava-core/src/main/java/com/github/scribejava/core/extractors/HeaderExtractor.java,HeaderExtractor.java,17,5,9,3,0
Java,scribejava-core/src/main/java/com/github/scribejava/core/exceptions/OAuthParametersMissingException.java,OAuthParametersMissingException.java,22,10,8,4,0
XML,pmd.xml,pmd.xml,127,124,0,3,0
