Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,LICENSE.md,LICENSE.md,53,29,0,24,0
Markdown,RELEASE-NOTES.md,RELEASE-NOTES.md,3,1,0,2,0
XML,pom.xml,pom.xml,695,521,89,85,0
Markdown,README.md,README.md,113,69,0,44,0
gitignore,.gitignore,.gitignore,33,31,1,1,0
Batch,mvnw.cmd,mvnw.cmd,161,129,0,32,22
YAML,.circleci/config.yml,config.yml,44,23,13,8,0
gitignore,sm-core-model/.gitignore,.gitignore,1,1,0,0,0
Batch,sm-core-model/mvnw.cmd,mvnw.cmd,161,129,0,32,22
XML,sm-core-model/pom.xml,pom.xml,133,104,14,15,0
Shell,mvnw,mvnw,286,205,55,26,34
gitignore,sm-core-modules/.gitignore,.gitignore,1,1,0,0,0
XML,sm-core-modules/pom.xml,pom.xml,133,93,32,8,0
XML,sm-shop/pom.xml,pom.xml,175,134,11,30,0
XML,sm-core/pom.xml,pom.xml,248,175,31,42,0
Batch,sm-core/mvnw.cmd,mvnw.cmd,161,129,0,32,22
Batch,sm-shop/mvnw.cmd,mvnw.cmd,161,129,0,32,22
Java,sm-core-modules/src/main/java/com/salesmanager/core/modules/utils/Encryption.java,Encryption.java,28,5,18,5,0
Dockerfile,sm-shop/Dockerfile,Dockerfile,20,14,0,6,0
XML,sm-shop-model/pom.xml,pom.xml,165,111,40,14,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/merchant/MerchantStoreService.java,MerchantStoreService.java,51,24,7,20,0
Java,sm-core/src/main/java/com/salesmanager/core/business/modules/email/SESEmailSenderImpl.java,SESEmailSenderImpl.java,100,58,18,24,0
Shell,sm-shop/mvnw,mvnw,286,205,55,26,34
gitignore,sm-core/.gitignore,.gitignore,4,4,0,0,0
Java,sm-core-modules/src/main/java/com/salesmanager/core/modules/utils/GeoLocation.java,GeoLocation.java,9,5,0,4,0
Docker ignore,sm-shop/.dockerignore,.dockerignore,0,0,0,0,0
Java,sm-core/src/main/java/com/salesmanager/core/business/modules/email/HtmlEmailSender.java,HtmlEmailSender.java,10,5,0,5,0
gitignore,sm-shop/.gitignore,.gitignore,2,2,0,0,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/customer/review/CustomerReviewService.java,CustomerReviewService.java,34,11,16,7,0
Java,sm-core/src/main/java/com/salesmanager/core/business/modules/email/DefaultEmailSenderImpl.java,DefaultEmailSenderImpl.java,188,141,12,35,2
Shell,sm-core/mvnw,mvnw,286,205,55,26,34
Java,sm-core/src/main/java/com/salesmanager/core/business/services/customer/review/CustomerReviewServiceImpl.java,CustomerReviewServiceImpl.java,109,70,3,36,2
Java,sm-core/src/main/java/com/salesmanager/core/business/services/customer/optin/CustomerOptinService.java,CustomerOptinService.java,43,10,25,8,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/reference/currency/CurrencyService.java,CurrencyService.java,10,6,0,4,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/reference/country/CountryService.java,CountryService.java,34,18,6,10,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/customer/optin/CustomerOptinServiceImpl.java,CustomerOptinServiceImpl.java,52,32,0,20,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/reference/currency/CurrencyServiceImpl.java,CurrencyServiceImpl.java,28,20,0,8,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/reference/loader/ConfigurationModulesLoader.java,ConfigurationModulesLoader.java,107,65,5,37,8
JavaServer Pages,sm-shop/src/main/webapp/pages/admin/categories/category.jsp,category.jsp,191,187,0,4,2
Java,sm-core/src/main/java/com/salesmanager/core/business/services/reference/loader/IntegrationModulesLoader.java,IntegrationModulesLoader.java,190,129,3,58,16
Java,sm-core/src/main/java/com/salesmanager/core/business/modules/email/EmailConfig.java,EmailConfig.java,113,74,0,39,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/reference/loader/ZonesLoader.java,ZonesLoader.java,300,179,56,65,33
JavaServer Pages,sm-shop/src/main/webapp/pages/admin/home.jsp,home.jsp,86,66,0,20,0
Java,sm-core/src/main/java/com/salesmanager/core/business/services/merchant/MerchantStoreServiceImpl.java,MerchantStoreServiceImpl.java,176,118,11,47,18
Java,sm-core/src/main/java/com/salesmanager/core/business/modules/email/Email.java,Email.java,70,49,3,18,0
Java,sm-shop/src/main/java/com/salesmanager/shop/filter/AdminFilter.java,AdminFilter.java,212,147,6,59,19
