Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,license.md,license.md,1,1,0,0,0
Markdown,article.md,article.md,11,9,0,2,0
gitignore,.gitignore,.gitignore,17,8,5,4,0
Markdown,contributing.md,contributing.md,9,6,0,3,0
Markdown,link-rus/video-links.md,video-links.md,437,361,0,76,0
Markdown,link-rus/contributing.md,contributing.md,9,7,0,2,0
Markdown,helloworlds/readme.md,readme.md,63,52,0,11,0
XML,helloworlds/pom.xml,pom.xml,38,34,0,4,0
XML,helloworlds/1.6-usefull-libraries/bean_mapping/modelmapper/pom.xml,pom.xml,20,17,0,3,0
Java,helloworlds/1.6-usefull-libraries/bean_mapping/modelmapper/src/main/java/modelmapper/ModelMapperHelloWorld.java,ModelMapperHelloWorld.java,56,38,7,11,0
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/ApacheTreeBagTest.java,ApacheTreeBagTest.java,32,18,7,7,0
XML,helloworlds/1.6-usefull-libraries/collections/guava/pom.xml,pom.xml,67,61,0,6,0
XML,helloworlds/1.6-usefull-libraries/collections/gs-eclipse/pom.xml,pom.xml,67,61,0,6,0
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/ApacheBidiMapTest.java,ApacheBidiMapTest.java,40,23,10,7,1
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/ApacheMultiValueMapLinkedTest.java,ApacheMultiValueMapLinkedTest.java,38,23,8,7,1
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/ApacheMultiValueMapTreeTest.java,ApacheMultiValueMapTreeTest.java,38,23,8,7,1
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/ApacheSynchronizedBagTest.java,ApacheSynchronizedBagTest.java,33,19,7,7,0
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/ApacheMultiValueMapTest.java,ApacheMultiValueMapTest.java,40,24,8,8,1
Java,helloworlds/1.6-usefull-libraries/collections/apache-commons/src/CollectionSearchTests.java,CollectionSearchTests.java,186,131,26,29,1
Java,helloworlds/1.6-usefull-libraries/collections/guava/src/GuavaEnumBiMapTest.java,GuavaEnumBiMapTest.java,44,29,8,7,1
Java,helloworlds/1.6-usefull-libraries/collections/guava/src/CreateCollectionTest.java,CreateCollectionTest.java,180,117,29,34,0
