Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,191,155,0,36,0
gitignore,.gitignore,.gitignore,9,9,0,0,0
XML,pom.xml,pom.xml,395,365,24,6,0
Markdown,README-zh.md,README-zh.md,187,118,0,69,0
YAML,.travis.yml,.travis.yml,3,3,0,0,0
Markdown,README.md,README.md,152,101,0,51,0
Markdown,webmagic-samples/README.md,README.md,3,3,0,0,0
XML,webmagic-samples/pom.xml,pom.xml,29,26,0,3,0
XML,webmagic-extension/pom.xml,pom.xml,33,30,0,3,0
Shell,webmagic-scripts/deploy.sh,deploy.sh,5,4,1,0,0
Markdown,webmagic-scripts/README.md,README.md,59,42,0,17,0
XML,webmagic-saxon/pom.xml,pom.xml,45,41,0,4,0
XML,webmagic-scripts/pom.xml,pom.xml,97,92,0,5,0
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/MultiPageModel.java,MultiPageModel.java,46,10,28,8,0
Markdown,webmagic-extension/README.md,README.md,3,3,0,0,0
JavaScript,webmagic-extension/src/main/resources/crawl.js,crawl.js,17,14,0,3,3
XML,webmagic-extension/src/main/resources/log4j.xml,log4j.xml,21,17,0,4,0
XML,webmagic-extension/src/main/resources/spider-config-draft.xml,spider-config-draft.xml,29,24,2,3,0
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/main/QuickStarter.java,QuickStarter.java,68,55,4,9,5
Ruby,webmagic-scripts/src/main/resources/ruby/oschina.rb,oschina.rb,6,4,0,2,0
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/model/samples/DianpingFtlDataScanner.java,DianpingFtlDataScanner.java,37,26,5,6,3
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/model/samples/OschinaAnswer.java,OschinaAnswer.java,32,22,3,7,0
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/model/samples/OschinaBlog.java,OschinaBlog.java,51,37,3,11,0
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/model/samples/BaiduNews.java,BaiduNews.java,42,29,4,9,0
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/model/samples/News163.java,News163.java,79,61,3,15,2
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/scheduler/RedisScheduler.java,RedisScheduler.java,156,126,6,24,20
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/scheduler/BloomFilterDuplicateRemover.java,BloomFilterDuplicateRemover.java,77,46,16,15,1
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/scheduler/RedisPriorityScheduler.java,RedisPriorityScheduler.java,150,125,5,20,11
Java,webmagic-samples/src/main/java/us/codecraft/webmagic/samples/NjuBBSProcessor.java,NjuBBSProcessor.java,32,22,5,5,0
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/utils/DoubleKeyMap.java,DoubleKeyMap.java,111,58,39,14,10
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/SimpleHttpClient.java,SimpleHttpClient.java,51,34,5,12,1
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/scheduler/FileCacheQueueScheduler.java,FileCacheQueueScheduler.java,224,201,6,17,2
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/monitor/SpiderStatusMXBean.java,SpiderStatusMXBean.java,35,17,4,14,0
Java,webmagic-extension/src/main/java/us/codecraft/webmagic/pipeline/JsonFilePipeline.java,JsonFilePipeline.java,47,31,9,7,0
