Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,201,169,0,32,0
Markdown,README.md,README.md,62,43,0,19,0
XML,pom.xml,pom.xml,242,229,0,13,0
YAML,.travis.yml,.travis.yml,13,10,0,3,0
gitignore,.gitignore,.gitignore,23,15,3,5,0
XML,weixin-java-mp/pom.xml,pom.xml,72,69,0,3,0
XML,weixin-java-common/pom.xml,pom.xml,73,69,0,4,0
License,weixin-java-mp/LICENSE,LICENSE,201,169,0,32,0
XML,weixin-java-mp/src/test/resources/logback-test.xml,logback-test.xml,16,11,2,3,0
License,weixin-java-cp/LICENSE,LICENSE,201,169,0,32,0
XML,weixin-java-mp/src/test/resources/testng.xml,testng.xml,34,32,0,2,0
XML,weixin-java-mp/src/test/resources/test-config.sample.xml,test-config.sample.xml,10,10,0,0,0
Properties File,weixin-java-common/src/main/java/me/chanjar/weixin/common/session/LocalStrings.properties,LocalStrings.properties,80,65,14,1,0
Java,weixin-java-common/src/main/java/me/chanjar/weixin/common/session/TooManyActiveSessionsException.java,TooManyActiveSessionsException.java,57,17,35,5,0
Java,weixin-java-common/src/main/java/me/chanjar/weixin/common/session/WxSessionManager.java,WxSessionManager.java,21,5,11,5,0
Java,weixin-java-cp/src/main/java/me/chanjar/weixin/cp/util/json/WxCpGsonBuilder.java,WxCpGsonBuilder.java,29,23,0,6,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpXmlOutNewsMessage.java,WxMpXmlOutNewsMessage.java,92,66,0,26,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpMassVideo.java,WxMpMassVideo.java,45,29,5,11,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpXmlOutTransferCustomerServiceMessage.java,WxMpXmlOutTransferCustomerServiceMessage.java,41,32,0,9,0
Java,weixin-java-cp/src/main/java/me/chanjar/weixin/cp/util/crypto/WxCpCryptUtil.java,WxCpCryptUtil.java,43,14,21,8,0
Java,weixin-java-common/src/test/java/me/chanjar/weixin/common/session/SessionTest.java,SessionTest.java,132,91,0,41,1
Java,weixin-java-cp/src/main/java/me/chanjar/weixin/cp/util/xml/XStreamTransformer.java,XStreamTransformer.java,103,74,14,15,0
Java,weixin-java-cp/src/main/java/me/chanjar/weixin/cp/util/json/WxCpUserGsonAdapter.java,WxCpUserGsonAdapter.java,119,99,11,9,32
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpXmlOutVoiceMessage.java,WxMpXmlOutVoiceMessage.java,27,20,0,7,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpMaterialArticleUpdate.java,WxMpMaterialArticleUpdate.java,45,33,0,12,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpXmlOutMusicMessage.java,WxMpXmlOutMusicMessage.java,123,91,0,32,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpCustomMessage.java,WxMpCustomMessage.java,188,129,41,18,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpXmlOutVideoMessage.java,WxMpXmlOutVideoMessage.java,84,61,0,23,0
Java,weixin-java-cp/src/main/java/me/chanjar/weixin/cp/api/WxCpMessageRouter.java,WxCpMessageRouter.java,235,130,73,32,20
XML,weixin-java-cp/pom.xml,pom.xml,73,69,0,4,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpTemplateMessage.java,WxMpTemplateMessage.java,60,45,0,15,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/api/WxMpInMemoryConfigStorage.java,WxMpInMemoryConfigStorage.java,235,173,9,53,0
Java,weixin-java-common/src/main/java/me/chanjar/weixin/common/exception/WxErrorException.java,WxErrorException.java,21,13,0,8,0
Java,weixin-java-mp/src/main/java/me/chanjar/weixin/mp/bean/WxMpMaterialNews.java,WxMpMaterialNews.java,156,88,40,28,2
