Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,245,205,0,40,0
gitignore,.gitignore,.gitignore,4,4,0,0,0
XML,pom.xml,pom.xml,842,797,33,12,0
Markdown,README.md,README.md,101,76,0,25,0
YAML,.travis.yml,.travis.yml,56,25,30,1,0
XML,src/clirr/ignored-differences.xml,ignored-differences.xml,22,7,15,0,0
XML,src/checkstyle/checkstyle.xml,checkstyle.xml,198,73,94,31,0
XML,src/site/site.xml,site.xml,33,15,15,3,0
HTML,docs/apidocs/index.html,index.html,76,74,2,0,0
HTML,docs/project-reports.html,project-reports.html,82,77,4,1,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/TextGenerator.java,TextGenerator.java,89,53,21,15,5
XML,zxingorg/pom.xml,pom.xml,81,60,15,6,0
XML,android-integration/pom.xml,pom.xml,54,33,15,6,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/GeoLocationGenerator.java,GeoLocationGenerator.java,138,100,21,17,22
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/UrlGenerator.java,UrlGenerator.java,86,50,21,15,4
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/EmailGenerator.java,EmailGenerator.java,82,51,20,11,5
Java,android-integration/src/main/java/com/google/zxing/integration/android/IntentResult.java,IntentResult.java,93,46,35,12,1
JavaScript,docs/apidocs/script.js,script.js,30,29,0,1,7
Java,zxingorg/src/main/java/com/google/zxing/web/ServletContextLogHandler.java,ServletContextLogHandler.java,64,33,22,9,6
XML,javase/pom.xml,pom.xml,86,65,15,6,0
Java,zxingorg/src/main/java/com/google/zxing/web/HTTPSFilter.java,HTTPSFilter.java,50,26,18,6,2
Java,zxingorg/src/main/java/com/google/zxing/web/WelcomeFilter.java,WelcomeFilter.java,37,14,18,5,0
HTML,docs/issue-management.html,issue-management.html,83,78,4,1,0
Java,zxingorg/src/main/java/com/google/zxing/web/DecodeDoSFilter.java,DecodeDoSFilter.java,33,11,19,3,0
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,29,19,0,10,0
HTML,docs/issue-tracking.html,issue-tracking.html,85,80,4,1,0
Java,android-core/src/main/java/com/google/zxing/client/android/camera/CameraConfigurationUtils.java,CameraConfigurationUtils.java,433,364,29,40,98
YAML,docs/_config.yml,_config.yml,1,1,0,0,0
HTML,docs/licenses.html,licenses.html,285,248,4,33,0
Markdown,.github/CONTRIBUTING.md,CONTRIBUTING.md,51,35,0,16,0
XML,android-core/pom.xml,pom.xml,54,33,15,6,0
HTML,docs/mailing-lists.html,mailing-lists.html,99,94,4,1,0
XML,src/findbugs/excludes.xml,excludes.xml,28,13,15,0,0
Java,android-integration/src/main/java/com/google/zxing/integration/android/IntentIntegrator.java,IntentIntegrator.java,511,284,175,52,45
HTML,docs/scm.html,scm.html,91,86,4,1,0
XML,zxing.appspot.com/pom.xml,pom.xml,86,62,16,8,0
gitignore,zxing.appspot.com/src/main/.gitignore,.gitignore,1,1,0,0,0
HTML,docs/mail-lists.html,mail-lists.html,100,95,4,1,0
HTML,docs/dependency-info.html,dependency-info.html,102,97,4,1,0
HTML,docs/apidocs/constant-values.html,constant-values.html,357,302,55,0,0
YAML,zxing.appspot.com/src/main/webapp/app.yaml,app.yaml,72,55,0,17,0
Java,zxingorg/src/test/java/com/google/zxing/web/DoSFilterTestCase.java,DoSFilterTestCase.java,101,72,18,11,5
HTML,docs/project-info.html,project-info.html,106,101,4,1,0
Java,javase/src/main/java/com/google/zxing/client/j2se/MatrixToImageWriter.java,MatrixToImageWriter.java,164,62,87,15,4
HTML,docs/index.html,index.html,98,93,4,1,0
HTML,docs/apidocs/help-doc.html,help-doc.html,230,194,36,0,0
CSS,docs/apidocs/stylesheet.css,stylesheet.css,574,533,31,10,0
HTML,docs/apidocs/overview-summary.html,overview-summary.html,377,341,36,0,0
HTML,zxing.appspot.com/src/main/webapp/index.html,index.html,50,32,15,3,0
XML,android/AndroidManifest.xml,AndroidManifest.xml,143,116,22,5,0
XML,zxing.appspot.com/src/main/resources/com/google/zxing/web/generator/Generator.gwt.xml,Generator.gwt.xml,23,8,10,5,0
HTML,docs/dependency-management.html,dependency-management.html,127,122,4,1,0
Java,javase/src/main/java/com/google/zxing/client/j2se/DecodeWorker.java,DecodeWorker.java,257,200,31,26,33
HTML,docs/source-repository.html,source-repository.html,96,91,4,1,0
Java,zxingorg/src/test/java/com/google/zxing/web/HTTPSFilterTestCase.java,HTTPSFilterTestCase.java,65,38,18,9,0
HTML,docs/apidocs/allclasses-frame.html,allclasses-frame.html,200,198,2,0,0
HTML,docs/apidocs/overview-tree.html,overview-tree.html,455,419,36,0,0
Java,zxingorg/src/test/java/com/google/zxing/web/ChartServletRequestParametersTestCase.java,ChartServletRequestParametersTestCase.java,42,18,18,6,0
HTML,docs/apidocs/overview-frame.html,overview-frame.html,53,51,2,0,0
Java,zxingorg/src/test/java/com/google/zxing/web/WelcomeFilterTestCase.java,WelcomeFilterTestCase.java,48,24,18,6,0
Java,zxingorg/src/test/java/com/google/zxing/web/LRUMapTestCase.java,LRUMapTestCase.java,41,17,18,6,0
HTML,docs/license.html,license.html,288,251,4,33,0
Java,zxingorg/src/test/java/com/google/zxing/web/OutputUtilsTestCase.java,OutputUtilsTestCase.java,35,12,18,5,0
Java,zxingorg/src/test/java/com/google/zxing/web/DoSTrackerTestCase.java,DoSTrackerTestCase.java,62,29,23,10,1
HTML,docs/apidocs/com/google/zxing/ResultPoint.html,ResultPoint.html,392,337,55,0,0
HTML,docs/apidocs/com/google/zxing/Writer.html,Writer.html,286,242,44,0,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/WifiGenerator.java,WifiGenerator.java,174,130,23,21,29
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/StylesDefs.java,StylesDefs.java,31,7,20,4,0
HTML,docs/apidocs/com/google/zxing/Binarizer.html,Binarizer.html,397,343,54,0,0
HTML,zxing.appspot.com/src/main/webapp/scan.html,scan.html,115,90,15,10,0
HTML,docs/apidocs/allclasses-noframe.html,allclasses-noframe.html,200,198,2,0,0
HTML,docs/apidocs/deprecated-list.html,deprecated-list.html,268,229,39,0,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/SmsAddressGenerator.java,SmsAddressGenerator.java,112,73,22,17,9
CSS,zxing.appspot.com/src/main/webapp/Generator.css,Generator.css,102,97,4,1,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/PhoneNumberGenerator.java,PhoneNumberGenerator.java,86,53,20,13,5
gitignore,zxing.appspot.com/src/main/webapp/.gitignore,.gitignore,1,1,0,0,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/Validators.java,Validators.java,62,30,23,9,9
HTML,docs/apidocs/serialized-form.html,serialized-form.html,227,182,45,0,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/GeneratorSource.java,GeneratorSource.java,52,10,39,3,0
CSS,zxing.appspot.com/src/main/webapp/style.css,style.css,35,34,1,0,0
CSS,zxing.appspot.com/src/main/webapp/scan.css,scan.css,24,24,0,0,0
XML,android/pom.xml,pom.xml,82,60,16,6,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/TimeZoneInfo.java,TimeZoneInfo.java,49,25,15,9,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/CalendarEventGenerator.java,CalendarEventGenerator.java,322,256,29,37,39
HTML,docs/apidocs/com/google/zxing/package-use.html,package-use.html,1266,1204,62,0,0
Java,javase/src/test/java/com/google/zxing/client/j2se/CommandLineRunnerTestCase.java,CommandLineRunnerTestCase.java,34,10,19,5,0
Java,zxingorg/src/main/java/com/google/zxing/web/OutputUtils.java,OutputUtils.java,58,31,20,7,9
Java,javase/src/test/java/com/google/zxing/client/j2se/DecodeWorkerTestCase.java,DecodeWorkerTestCase.java,50,24,18,8,0
Java,javase/src/test/java/com/google/zxing/client/j2se/ImageReaderTestCase.java,ImageReaderTestCase.java,41,17,18,6,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/TimeZoneList.java,TimeZoneList.java,68,41,21,6,0
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/GeneratorException.java,GeneratorException.java,32,6,22,4,0
Java,javase/src/test/java/com/google/zxing/client/j2se/MatrixToImageWriterTestCase.java,MatrixToImageWriterTestCase.java,86,56,18,12,2
Java,javase/src/main/java/com/google/zxing/client/j2se/DecoderConfig.java,DecoderConfig.java,122,88,15,19,6
Java,zxingorg/src/main/java/com/google/zxing/web/ChartServletRequestParameters.java,ChartServletRequestParameters.java,75,42,20,13,0
HTML,zxing.appspot.com/src/main/webapp/Generator.html,Generator.html,44,25,15,4,0
Java,javase/src/main/java/com/google/zxing/client/j2se/GUIRunner.java,GUIRunner.java,106,74,21,11,0
Java,javase/src/test/java/com/google/zxing/client/j2se/CommandLineEncoderTestCase.java,CommandLineEncoderTestCase.java,54,29,18,7,0
Java,zxingorg/src/main/java/com/google/zxing/web/DecodeServlet.java,DecodeServlet.java,472,387,39,46,59
Java,zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/ContactInfoGenerator.java,ContactInfoGenerator.java,295,244,24,27,43
CSS,android/assets/style.css,style.css,28,28,0,0,0
HTML,android/assets/html-zh-rCN/scanning.html,scanning.html,19,19,0,0,0
HTML,docs/apidocs/com/google/zxing/FormatException.html,FormatException.html,308,258,50,0,0
HTML,android/assets/html-zh-rCN/index.html,index.html,23,23,0,0,0
HTML,android/assets/html-zh-rCN/license.html,license.html,30,20,0,10,0
HTML,android/assets/html-zh-rCN/sharing.html,sharing.html,14,14,0,0,0
