Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Python,python_flask.py,python_flask.py,130,0,121,9,0
Python,python_decorator.py,python_decorator.py,209,134,22,53,15
Python,python_markov_chain.py,python_markov_chain.py,34,23,3,8,9
Python,python_oneline.py,python_oneline.py,90,71,16,3,2
Python,python_coroutine.py,python_coroutine.py,77,52,9,16,2
Python,python_metaclass.py,python_metaclass.py,55,32,7,16,0
Python,python_schedule.py,python_schedule.py,53,13,27,13,1
Python,python_requests.py,python_requests.py,246,101,101,44,4
Python,MyShow/GetData_zhihu.py,GetData_zhihu.py,38,28,1,9,12
Python,python_visual.py,python_visual.py,502,231,160,111,18
Python,python_aiohttp.py,python_aiohttp.py,116,11,83,22,0
Python,python_functional.py,python_functional.py,74,44,15,15,10
Python,python_base.py,python_base.py,1336,1286,37,13,22
Python,python_redis.py,python_redis.py,55,35,9,11,12
Python,python_sqlalchemy.py,python_sqlalchemy.py,190,176,10,4,0
Python,python_visual_animation.py,python_visual_animation.py,161,68,54,39,6
Python,python_datetime.py,python_datetime.py,54,30,6,18,0
Python,python_lda.py,python_lda.py,733,600,92,41,24
Python,python_magic_methods.py,python_magic_methods.py,47,27,8,12,7
Python,python_weibo.py,python_weibo.py,152,128,15,9,2
Python,wxPython/hello_world.py,hello_world.py,93,38,34,21,1
Jupyter,Plotly/bar.ipynb,bar.ipynb,1212,1212,0,0,0
Python,python_numpy.py,python_numpy.py,318,185,71,62,6
Python,python_restful_api.py,python_restful_api.py,185,148,16,21,2
Python,python_context.py,python_context.py,78,42,18,18,6
Python,python_csv.py,python_csv.py,55,45,6,4,0
Python,python_wechat.py,python_wechat.py,447,401,33,13,6
Dockerfile,Docker/Dockerfile,Dockerfile,61,33,16,12,0
CSS,MyShow/static/css/dashboard.css,dashboard.css,105,69,22,14,0
Jupyter,Plotly/sankey.ipynb,sankey.ipynb,323,323,0,0,0
Markdown,README.md,README.md,71,37,0,34,0
Python,python_splash.py,python_splash.py,42,22,10,10,0
Python,python_socket.py,python_socket.py,80,40,22,18,6
Jupyter,Plotly/heatmaps.ipynb,heatmaps.ipynb,3371,3371,0,0,0
HTML,MyShow/templates/index.html,index.html,165,149,0,16,0
Python,python_spider.py,python_spider.py,106,57,19,30,0
Python,MyShow/MyShow.py,MyShow.py,100,71,8,21,15
Plain Text,Text/Obama.txt,Obama.txt,455,223,0,232,0
Python,python_thread_multiprocess.py,python_thread_multiprocess.py,115,90,7,18,42
Jupyter,Plotly/table.ipynb,table.ipynb,3774,3774,0,0,0
Python,python_version36.py,python_version36.py,52,27,10,15,8
Jupyter,Plotly/box.ipynb,box.ipynb,396,396,0,0,0
Python,python_mail.py,python_mail.py,71,57,9,5,0
Jupyter,Plotly/pie.ipynb,pie.ipynb,389,389,0,0,0
Jupyter,Plotly/base.ipynb,base.ipynb,581,581,0,0,0
Jupyter,Plotly/radar.ipynb,radar.ipynb,168,168,0,0,0
Plain Text,Docker/requirements.txt,requirements.txt,49,41,0,8,0
Jupyter,Plotly/candlestick.ipynb,candlestick.ipynb,2699,2699,0,0,0
JavaScript,MyShow/static/js/bootstrap.min.js,bootstrap.min.js,7,2,5,0,3
JavaScript,MyShow/static/js/bootstrap-typeahead.min.js,bootstrap-typeahead.min.js,1,1,0,0,5
HTML,MyShow/templates/error.html,error.html,8,7,0,1,0
Jupyter,Plotly/gantt.ipynb,gantt.ipynb,1511,1511,0,0,0
HTML,MyShow/templates/base.html,base.html,60,51,3,6,0
Jupyter,Plotly/gauge.ipynb,gauge.ipynb,526,526,0,0,0
Jupyter,Plotly/line.ipynb,line.ipynb,828,828,0,0,0
JavaScript,MyShow/static/js/jquery-3.0.0.min.js,jquery-3.0.0.min.js,4,3,1,0,17
Plain Text,Text/Zarathustra.txt,Zarathustra.txt,13149,9204,0,3945,0
Plain Text,Text/Walden.txt,Walden.txt,875,790,0,85,0
Jupyter,Plotly/histogram&distplot.ipynb,histogram&distplot.ipynb,7335,7335,0,0,0
JavaScript,MyShow/static/js/echarts.min.js,echarts.min.js,35,19,16,0,43
Jupyter,Plotly/scatter.ipynb,scatter.ipynb,203361,203361,0,0,0
