Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Jupyter,Text Classification Keras.ipynb,Text Classification Keras.ipynb,694,694,0,0,0
Python,tpot_Mercedes_testing_time_pipeline.py,tpot_Mercedes_testing_time_pipeline.py,22,17,2,3,0
Python,adspy_shared_utilities.py,adspy_shared_utilities.py,263,179,24,60,20
Jupyter,a_tfstart.ipynb,a_tfstart.ipynb,273,273,0,0,0
Jupyter,d_traineval.ipynb,d_traineval.ipynb,1063,1063,0,0,0
Plain Text,fruit_data_with_colors.txt,fruit_data_with_colors.txt,60,60,0,0,0
Jupyter,Logistic Regression in Python - Step by Step.ipynb,Logistic Regression in Python - Step by Step.ipynb,1931,1931,0,0,0
Jupyter,CLV_Non_Contractual.ipynb,CLV_Non_Contractual.ipynb,950,950,0,0,0
Jupyter,NYC taxi fare.ipynb,NYC taxi fare.ipynb,1886,1886,0,0,0
Jupyter,Ease_of_Business.ipynb,Ease_of_Business.ipynb,1041,1041,0,0,0
Jupyter,create_datasets.ipynb,create_datasets.ipynb,2118,2118,0,0,0
Jupyter,Quantile Regression.ipynb,Quantile Regression.ipynb,376,376,0,0,0
Jupyter,Click-Through Rate Prediction.ipynb,Click-Through Rate Prediction.ipynb,4993,4993,0,0,0
Jupyter,a_features.ipynb,a_features.ipynb,738,738,0,0,0
Jupyter,Time Series ANN & LSTM VIX.ipynb,Time Series ANN & LSTM VIX.ipynb,626,626,0,0,0
Jupyter,Regression Plots.ipynb,Regression Plots.ipynb,976,976,0,0,0
Jupyter,Collaborative Filtering Model with TensorFlow.ipynb,Collaborative Filtering Model with TensorFlow.ipynb,1963,1963,0,0,0
Jupyter,LDA.ipynb,LDA.ipynb,127,127,0,0,0
Jupyter,Autoencoder for Customer Churn.ipynb,Autoencoder for Customer Churn.ipynb,2160,2160,0,0,0
Jupyter,Mercari Price Suggestion Lightgbm.ipynb,Mercari Price Suggestion Lightgbm.ipynb,1138,1138,0,0,0
Jupyter,Weather Data Classification using Decision Trees.ipynb,Weather Data Classification using Decision Trees.ipynb,523,523,0,0,0
Jupyter,machine learning spaCy.ipynb,machine learning spaCy.ipynb,595,595,0,0,0
Jupyter,Working with Databases.ipynb,Working with Databases.ipynb,343,343,0,0,0
Jupyter,BOW_TFIDF_Xgboost_update.ipynb,BOW_TFIDF_Xgboost_update.ipynb,647,647,0,0,0
Jupyter,nhanes_hypothesis_testing.ipynb,nhanes_hypothesis_testing.ipynb,629,629,0,0,0
Jupyter,b_estimator.ipynb,b_estimator.ipynb,558,558,0,0,0
Jupyter,Natural Language Processing of Movie Reviews using nltk .ipynb,Natural Language Processing of Movie Reviews using nltk .ipynb,779,779,0,0,0
Jupyter,Build Recommender System in an Hour - Part 2.ipynb,Build Recommender System in an Hour - Part 2.ipynb,1518,1518,0,0,0
Jupyter,Simple Linear Regression.ipynb,Simple Linear Regression.ipynb,156,156,0,0,0
Jupyter,Time Series Forecastings.ipynb,Time Series Forecastings.ipynb,1613,1613,0,0,0
Jupyter,Time Series of Price Anomaly Detection Expedia.ipynb,Time Series of Price Anomaly Detection Expedia.ipynb,2018,2018,0,0,0
Jupyter,Introduction to Data Science in Python - Soccer Data Analysis.ipynb,Introduction to Data Science in Python - Soccer Data Analysis.ipynb,1953,1953,0,0,0
Jupyter,H2O Higgs Boson.ipynb,H2O Higgs Boson.ipynb,2344,2344,0,0,0
Jupyter,Recommender Systems - The Fundamentals.ipynb,Recommender Systems - The Fundamentals.ipynb,1551,1551,0,0,0
CSV,Seattle_Hotels.csv,Seattle_Hotels.csv,157,157,0,0,0
Jupyter,Airbnb Listing Toronto.ipynb,Airbnb Listing Toronto.ipynb,2313,2313,0,0,0
Jupyter,Unsupervised Learning.ipynb,Unsupervised Learning.ipynb,10648,10648,0,0,0
Markdown,README.md,README.md,2,2,0,0,0
Jupyter,Bayesian price Mercari with PyStan.ipynb,Bayesian price Mercari with PyStan.ipynb,1867,1867,0,0,0
CSV,HR.csv,HR.csv,15000,15000,0,0,0
Jupyter,topic_modeling_Gensim.ipynb,topic_modeling_Gensim.ipynb,602,602,0,0,0
Jupyter,Clustering Loyalty members.ipynb,Clustering Loyalty members.ipynb,1767,1767,0,0,0
Jupyter,03_Numpy_Notebook.ipynb,03_Numpy_Notebook.ipynb,1654,1654,0,0,0
Jupyter,Movielens Recommender Metrics.ipynb,Movielens Recommender Metrics.ipynb,429,429,0,0,0
Jupyter,c_batched.ipynb,c_batched.ipynb,240,240,0,0,0
Jupyter,Anomaly_Detection_for_Dummies.ipynb,Anomaly_Detection_for_Dummies.ipynb,2552,2552,0,0,0
Jupyter,European Soccer Regression Analysis using scikit-learn.ipynb,European Soccer Regression Analysis using scikit-learn.ipynb,484,484,0,0,0
Jupyter,CLV_Online_Retail.ipynb,CLV_Online_Retail.ipynb,1115,1115,0,0,0
