Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,LICENSE.md,LICENSE.md,21,17,0,4,0
Plain Text,requirements.txt,requirements.txt,17,17,0,0,0
YAML,.pre-commit-config.yaml,.pre-commit-config.yaml,60,53,7,0,0
Markdown,README.md,README.md,27,19,0,8,0
Markdown,Travis_CI_tests_are_failing.md,Travis_CI_tests_are_failing.md,9,7,0,2,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,167,119,0,48,0
YAML,.travis.yml,.travis.yml,17,17,0,0,0
gitignore,.gitignore,.gitignore,109,65,23,21,0
YAML,.gitpod.yml,.gitpod.yml,2,2,0,0,0
Markdown,DIRECTORY.md,DIRECTORY.md,843,805,0,38,0
Python,linear_algebra/__init__.py,__init__.py,0,0,0,0,0
Python,geodesy/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/karger.py,karger.py,86,76,10,0,1
Markdown,quantum/README.md,README.md,8,6,0,2,0
Python,arithmetic_analysis/bisection.py,bisection.py,55,29,18,8,4
Python,graphs/connected_components.py,connected_components.py,58,21,22,15,9
Python,graphs/breadth_first_search_2.py,breadth_first_search_2.py,44,14,27,3,0
Python,fuzzy_logic/fuzzy_operations.py,fuzzy_operations.py,102,62,23,17,1
Python,arithmetic_analysis/newton_forward_interpolation.py,newton_forward_interpolation.py,56,31,11,14,17
Python,graphs/bfs_shortest_path.py,bfs_shortest_path.py,114,81,29,4,0
Markdown,linear_algebra/README.md,README.md,75,56,0,19,0
Python,graphs/prim.py,prim.py,152,143,8,1,0
Python,matrix/matrix_operation.py,matrix_operation.py,184,90,60,34,56
Python,matrix/spiral_print.py,spiral_print.py,68,45,14,9,23
Python,matrix/rotate_matrix.py,rotate_matrix.py,99,37,39,23,12
Python,graphs/finding_bridges.py,finding_bridges.py,42,36,2,4,9
Python,matrix/sherman_morrison.py,sherman_morrison.py,270,125,117,28,45
Python,fuzzy_logic/__init__.py,__init__.py,0,0,0,0,0
Python,quantum/half_adder.py,half_adder.py,59,29,19,11,3
Python,graphs/page_rank.py,page_rank.py,70,40,12,18,20
Python,geodesy/haversine_distance.py,haversine_distance.py,56,50,4,2,0
Python,arithmetic_analysis/newton_raphson.py,newton_raphson.py,40,28,9,3,1
Python,quantum/quantum_entanglement.py,quantum_entanglement.py,58,28,18,12,3
Python,geodesy/lamberts_ellipsoidal_distance.py,lamberts_ellipsoidal_distance.py,86,60,12,14,3
Python,arithmetic_analysis/__init__.py,__init__.py,0,0,0,0,0
Python,quantum/single_qubit_measure.py,single_qubit_measure.py,34,12,13,9,1
Python,quantum/__init__.py,__init__.py,0,0,0,0,0
Python,quantum/deutsch_jozsa.py,deutsch_jozsa.py,122,77,37,8,20
Python,arithmetic_analysis/gaussian_elimination.py,gaussian_elimination.py,83,28,38,17,10
Python,arithmetic_analysis/secant_method.py,secant_method.py,28,10,10,8,2
Python,arithmetic_analysis/in_static_equilibrium.py,in_static_equilibrium.py,87,34,35,18,2
Python,graphs/minimum_spanning_tree_prims.py,minimum_spanning_tree_prims.py,116,93,4,19,29
Python,arithmetic_analysis/lu_decomposition.py,lu_decomposition.py,34,25,4,5,12
Python,arithmetic_analysis/intersection.py,intersection.py,49,19,24,6,5
Python,quantum/not_gate.py,not_gate.py,41,17,14,10,1
Python,arithmetic_analysis/newton_method.py,newton_method.py,54,54,0,0,1
Python,graphics/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/articulation_points.py,articulation_points.py,55,44,4,7,14
Python,sorts/topological_sort.py,topological_sort.py,35,18,12,5,12
Python,arithmetic_analysis/image_data/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/minimum_spanning_tree_boruvka.py,minimum_spanning_tree_boruvka.py,196,93,90,13,18
Python,web_programming/covid_stats_via_xpath.py,covid_stats_via_xpath.py,23,11,5,7,0
Python,graphs/strongly_connected_components.py,strongly_connected_components.py,92,38,30,24,23
Python,cellular_automata/__init__.py,__init__.py,0,0,0,0,0
Markdown,cellular_automata/README.md,README.md,4,3,0,1,0
Python,matrix/count_islands_in_matrix.py,count_islands_in_matrix.py,36,28,3,5,17
Python,web_programming/fetch_jobs.py,fetch_jobs.py,25,14,4,7,5
Python,web_programming/get_imdb_top_250_movies_csv.py,get_imdb_top_250_movies_csv.py,30,26,0,4,0
Python,graphs/check_bipartite_graph_dfs.py,check_bipartite_graph_dfs.py,34,19,7,8,13
Python,graphics/bezier_curve.py,bezier_curve.py,114,51,46,17,10
Python,cellular_automata/one_dimensional.py,one_dimensional.py,74,30,33,11,15
Python,matrix/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/depth_first_search.py,depth_first_search.py,49,41,5,3,0
Python,sorts/shell_sort.py,shell_sort.py,44,13,26,5,9
Python,linear_algebra/src/__init__.py,__init__.py,0,0,0,0,0
Python,graphics/vector3_for_2d_rendering.py,vector3_for_2d_rendering.py,102,85,12,5,2
Python,linear_algebra/src/polynom_for_points.py,polynom_for_points.py,132,87,30,15,23
Python,sorts/quick_sort_3_partition.py,quick_sort_3_partition.py,54,48,4,2,3
Python,sorts/bucket_sort.py,bucket_sort.py,67,14,46,7,10
Python,linear_algebra/src/power_iteration.py,power_iteration.py,101,33,50,18,5
Markdown,.github/pull_request_template.md,pull_request_template.md,20,16,0,4,0
Python,sorts/odd_even_transposition_parallel.py,odd_even_transposition_parallel.py,144,77,45,22,16
Python,linear_algebra/src/lib.py,lib.py,379,283,81,15,19
Python,linear_algebra/src/transformations_2d.py,transformations_2d.py,63,20,32,11,4
Python,linear_algebra/src/rayleigh_quotient.py,rayleigh_quotient.py,64,18,36,10,1
Python,graphs/dijkstra.py,dijkstra.py,118,82,34,2,0
Python,sorts/unknown_sort.py,unknown_sort.py,40,14,22,4,4
Python,sorts/merge_sort.py,merge_sort.py,53,18,26,9,8
Python,sorts/quick_sort.py,quick_sort.py,39,13,22,4,8
Python,sorts/cycle_sort.py,cycle_sort.py,53,25,17,11,13
Python,linear_algebra/src/test_linear_algebra.py,test_linear_algebra.py,156,85,47,24,1
Python,sorts/pigeonhole_sort.py,pigeonhole_sort.py,45,20,13,12,6
Python,sorts/recursive_insertion_sort.py,recursive_insertion_sort.py,75,42,27,6,2
YAML,.github/workflows/stale.yml,stale.yml,23,23,0,0,0
Python,maths/find_max.py,find_max.py,25,10,9,6,4
Python,compression/peak_signal_to_noise_ratio.py,peak_signal_to_noise_ratio.py,45,25,9,11,2
Python,compression/lempel_ziv.py,lempel_ziv.py,125,115,7,3,2
Python,matrix/matrix_class.py,matrix_class.py,358,301,51,6,12
Python,sorts/insertion_sort.py,insertion_sort.py,60,48,10,2,0
Python,graphs/bidirectional_a_star.py,bidirectional_a_star.py,257,157,56,44,39
Python,web_programming/get_imdbtop.py,get_imdbtop.py,20,16,0,4,3
Python,sorts/odd_even_transposition_single_threaded.py,odd_even_transposition_single_threaded.py,33,10,18,5,6
Python,matrix/nth_fibonacci_using_matrix_exponentiation.py,nth_fibonacci_using_matrix_exponentiation.py,91,53,28,10,18
Python,compression/huffman.py,huffman.py,87,85,0,2,0
Python,scripts/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/basic_graphs.py,basic_graphs.py,283,141,128,14,25
Python,compression/burrows_wheeler.py,burrows_wheeler.py,167,158,9,0,7
Python,scripts/build_directory_md.py,build_directory_md.py,45,34,1,10,20
Python,scripts/validate_solutions.py,validate_solutions.py,52,38,5,9,8
Python,matrix/searching_in_sorted_matrix.py,searching_in_sorted_matrix.py,46,24,14,8,5
Python,web_programming/emails_from_url.py,emails_from_url.py,103,91,7,5,6
Python,blockchain/__init__.py,__init__.py,0,0,0,0,0
JSON,scripts/project_euler_answers.json,project_euler_answers.json,727,727,0,0,0
Python,blockchain/chinese_remainder_theorem.py,chinese_remainder_theorem.py,91,27,49,15,3
Python,web_programming/instagram_crawler.py,instagram_crawler.py,140,125,8,7,1
Python,maths/3n_plus_1.py,3n_plus_1.py,149,133,8,8,6
YAML,.github/workflows/project_euler.yml,project_euler.yml,31,28,1,2,0
Python,maths/jaccard_similarity.py,jaccard_similarity.py,80,46,32,2,0
Python,maths/greatest_common_divisor.py,greatest_common_divisor.py,62,20,32,10,4
Python,maths/miller_rabin.py,miller_rabin.py,50,32,10,8,13
Python,greedy_method/__init__.py,__init__.py,0,0,0,0,0
Python,greedy_method/test_knapsack.py,test_knapsack.py,75,22,42,11,1
Python,maths/sum_of_arithmetic_series.py,sum_of_arithmetic_series.py,23,8,10,5,1
Python,maths/extended_euclidean_algorithm.py,extended_euclidean_algorithm.py,85,65,18,2,1
Python,web_programming/__init__.py,__init__.py,0,0,0,0,0
Python,blockchain/modular_division.py,modular_division.py,152,45,77,30,10
Python,graphs/directed_and_undirected_(weighted)_graph.py,directed_and_undirected_(weighted)_graph.py,496,398,48,50,144
Python,compression/lempel_ziv_decompress.py,lempel_ziv_decompress.py,111,101,7,3,2
Python,scripts/validate_filenames.py,validate_filenames.py,36,27,1,8,21
Python,sorts/pancake_sort.py,pancake_sort.py,39,12,23,4,4
Python,maths/add.py,add.py,19,6,9,4,1
Python,maths/bailey_borwein_plouffe.py,bailey_borwein_plouffe.py,90,78,11,1,0
Python,greedy_method/greedy_knapsack.py,greedy_knapsack.py,98,36,49,13,18
Python,ciphers/playfair_cipher.py,playfair_cipher.py,104,96,4,4,7
Python,maths/basic_maths.py,basic_maths.py,80,52,20,8,15
Python,digital_image_processing/change_contrast.py,change_contrast.py,35,12,19,4,0
Python,digital_image_processing/__init__.py,__init__.py,0,0,0,0,0
Python,maths/zellers_congruence.py,zellers_congruence.py,158,151,4,3,0
Python,graphs/tarjans_scc.py,tarjans_scc.py,83,77,1,5,7
Python,ciphers/elgamal_key_generator.py,elgamal_key_generator.py,71,50,5,16,6
Python,neural_network/perceptron.py,perceptron.py,231,191,37,3,3
Python,web_programming/co2_emission.py,co2_emission.py,25,12,5,8,3
Python,neural_network/back_propagation_neural_network.py,back_propagation_neural_network.py,199,128,38,33,22
Python,blockchain/diophantine_equation.py,diophantine_equation.py,131,39,70,22,11
Python,web_programming/fetch_github_info.py,fetch_github_info.py,26,7,11,8,3
Python,sorts/iterative_merge_sort.py,iterative_merge_sort.py,73,40,28,5,4
Python,graphs/__init__.py,__init__.py,0,0,0,0,0
Python,web_programming/current_stock_price.py,current_stock_price.py,14,10,0,4,3
Python,web_programming/world_covid19_stats.py,world_covid19_stats.py,27,23,3,1,0
Python,ciphers/decrypt_caesar_with_chi_squared.py,decrypt_caesar_with_chi_squared.py,240,187,31,22,14
Python,compression/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/greedy_best_first.py,greedy_best_first.py,174,96,47,31,27
Python,compression/image_data/__init__.py,__init__.py,0,0,0,0,0
Python,web_programming/fetch_bbc_news.py,fetch_bbc_news.py,17,8,3,6,3
YAML,.github/workflows/auto_close_empty_issues.yml,auto_close_empty_issues.yml,20,15,4,1,0
Python,digital_image_processing/sepia.py,sepia.py,50,35,12,3,0
Python,web_programming/crawl_google_results.py,crawl_google_results.py,24,20,1,3,6
YAML,.github/workflows/directory_writer.yml,directory_writer.yml,23,21,2,0,0
Python,web_programming/current_weather.py,current_weather.py,30,29,0,1,0
YAML,.github/workflows/pre-commit.yml,pre-commit.yml,15,13,0,2,0
Python,graphs/frequent_pattern_graph_miner.py,frequent_pattern_graph_miner.py,232,215,15,2,0
Python,graphs/bellman_ford.py,bellman_ford.py,56,38,4,14,25
Python,web_programming/recaptcha_verification.py,recaptcha_verification.py,66,59,5,2,1
Python,web_programming/slack_message.py,slack_message.py,19,11,3,5,2
Python,digital_image_processing/change_brightness.py,change_brightness.py,26,15,8,3,1
Python,web_programming/daily_horoscope.py,daily_horoscope.py,35,31,0,4,1
Python,graphs/check_bipartite_graph_bfs.py,check_bipartite_graph_bfs.py,45,26,7,12,11
Python,graphs/a_star.py,a_star.py,100,75,9,16,40
Python,maths/lucas_lehmer_primality_test.py,lucas_lehmer_primality_test.py,41,13,22,6,4
Python,digital_image_processing/test_digital_image_processing.py,test_digital_image_processing.py,93,76,17,0,1
Python,ciphers/a1z26.py,a1z26.py,33,14,14,5,4
Python,graphs/even_tree.py,even_tree.py,59,24,29,6,9
Python,digital_image_processing/convert_to_negative.py,convert_to_negative.py,29,13,8,8,5
Python,matrix/inverse_of_matrix.py,inverse_of_matrix.py,40,11,25,4,6
Python,maths/factors.py,factors.py,18,6,10,2,4
Python,ciphers/rsa_factorization.py,rsa_factorization.py,57,25,26,6,6
Python,neural_network/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/dinic.py,dinic.py,94,54,26,14,29
Python,sorts/gnome_sort.py,gnome_sort.py,56,7,47,2,0
Python,dynamic_programming/subset_generation.py,subset_generation.py,43,16,21,6,4
Python,digital_image_processing/index_calculation.py,index_calculation.py,576,534,39,3,2
Python,dynamic_programming/fast_fibonacci.py,fast_fibonacci.py,38,24,13,1,4
Python,dynamic_programming/abbreviation.py,abbreviation.py,39,14,24,1,3
Python,dynamic_programming/max_sub_array.py,max_sub_array.py,94,59,25,10,20
Python,neural_network/convolution_neural_network.py,convolution_neural_network.py,355,293,46,16,31
Python,dynamic_programming/max_sum_contiguous_subsequence.py,max_sum_contiguous_subsequence.py,20,13,4,3,5
Python,dynamic_programming/longest_common_subsequence.py,longest_common_subsequence.py,83,79,4,0,0
Python,dynamic_programming/__init__.py,__init__.py,0,0,0,0,0
Python,dynamic_programming/rod_cutting.py,rod_cutting.py,207,146,53,8,7
Python,dynamic_programming/minimum_partition.py,minimum_partition.py,30,18,3,9,17
Python,dynamic_programming/minimum_cost_path.py,minimum_cost_path.py,37,13,14,10,9
Python,ciphers/onepad_cipher.py,onepad_cipher.py,30,25,2,3,6
Python,sorts/bubble_sort.py,bubble_sort.py,52,35,17,0,0
Python,sorts/__init__.py,__init__.py,0,0,0,0,0
Python,dynamic_programming/knapsack.py,knapsack.py,150,64,70,16,27
Python,graphs/eulerian_path_and_circuit_for_undirected_graph.py,eulerian_path_and_circuit_for_undirected_graph.py,71,53,8,10,19
Python,digital_image_processing/resize/__init__.py,__init__.py,0,0,0,0,0
Python,ciphers/simple_keyword_cypher.py,simple_keyword_cypher.py,90,85,5,0,0
Python,matrix/tests/__init__.py,__init__.py,0,0,0,0,0
Python,dynamic_programming/matrix_chain_order.py,matrix_chain_order.py,54,33,9,12,17
Python,maths/quadratic_equations_complex_numbers.py,quadratic_equations_complex_numbers.py,38,17,11,10,8
Python,graphs/dijkstra_2.py,dijkstra_2.py,58,45,0,13,27
Python,matrix/tests/test_matrix_operation.py,test_matrix_operation.py,120,117,3,0,1
Python,dynamic_programming/optimal_binary_search_tree.py,optimal_binary_search_tree.py,144,102,27,15,34
Python,graphs/g_topological_sort.py,g_topological_sort.py,47,34,1,12,12
Python,digital_image_processing/resize/resize.py,resize.py,71,54,9,8,6
Python,ciphers/affine_cipher.py,affine_cipher.py,105,103,0,2,4
Python,graphs/scc_kosaraju.py,scc_kosaraju.py,51,41,2,8,18
Python,maths/runge_kutta.py,runge_kutta.py,44,17,20,7,3
Python,maths/perfect_number.py,perfect_number.py,34,6,24,4,4
Python,ciphers/xor_cipher.py,xor_cipher.py,205,177,24,4,0
Python,ciphers/rsa_cipher.py,rsa_cipher.py,151,136,0,15,19
Python,ciphers/transposition_cipher.py,transposition_cipher.py,70,55,8,7,1
Python,digital_image_processing/rotation/__init__.py,__init__.py,0,0,0,0,0
Python,ciphers/hill_cipher.py,hill_cipher.py,234,228,5,1,0
Python,digital_image_processing/image_data/__init__.py,__init__.py,0,0,0,0,0
Python,graphs/bidirectional_breadth_first_search.py,bidirectional_breadth_first_search.py,181,109,36,36,26
Python,maths/ugly_numbers.py,ugly_numbers.py,54,30,22,2,0
Python,sorts/stooge_sort.py,stooge_sort.py,40,17,13,10,6
Python,other/password_generator.py,password_generator.py,77,62,13,2,1
Python,ciphers/mono_alphabetic_ciphers.py,mono_alphabetic_ciphers.py,59,56,1,2,0
Python,other/scoring_algorithm.py,scoring_algorithm.py,89,36,50,3,6
Python,other/fischer_yates_shuffle.py,fischer_yates_shuffle.py,24,13,7,4,3
Python,maths/binary_exp_mod.py,binary_exp_mod.py,28,16,7,5,4
Python,dynamic_programming/fractional_knapsack.py,fractional_knapsack.py,27,17,4,6,9
Python,maths/fermat_little_theorem.py,fermat_little_theorem.py,31,13,8,10,1
Python,digital_image_processing/dithering/burkes.py,burkes.py,87,76,8,3,7
Python,maths/power_using_recursion.py,power_using_recursion.py,36,10,22,4,4
Python,other/palindrome.py,palindrome.py,66,36,20,10,9
Python,other/lru_cache.py,lru_cache.py,193,79,80,34,12
Python,graphs/multi_heuristic_astar.py,multi_heuristic_astar.py,313,254,13,46,94
