Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
JSON,book.json,book.json,13,13,0,0,0
Markdown,SUMMARY.md,SUMMARY.md,96,93,0,3,0
Markdown,README.md,README.md,169,117,0,52,0
JSON,TwoWater-Python.json,TwoWater-Python.json,6,6,0,0,0
gitignore,.gitignore,.gitignore,16,6,7,3,0
Markdown,Article/PythonBasis/python1/Introduction.md,Introduction.md,25,12,0,13,0
Markdown,Article/django/一个完整的初学者指南Django-part1.md,一个完整的初学者指南Django-part1.md,472,260,0,212,0
Markdown,Article/PythonBasis/python7/2.md,2.md,50,36,0,14,0
Markdown,Article/codeSpecification/codeSpecification_first.md,codeSpecification_first.md,257,182,0,75,0
Markdown,Article/PythonBasis/python10/5.md,5.md,86,60,0,26,0
Markdown,Article/PythonBasis/python10/1.md,1.md,33,19,0,14,0
Markdown,Article/codeSpecification/codeSpecification_second.md,codeSpecification_second.md,128,89,0,39,0
Markdown,Article/PythonBasis/python10/Preface.md,Preface.md,11,5,0,6,0
Markdown,Article/PythonBasis/python10/4.md,4.md,143,87,0,56,0
Markdown,Article/PythonBasis/python8/2.md,2.md,83,42,0,41,0
Markdown,Article/PythonBasis/python10/2.md,2.md,65,43,0,22,0
Markdown,Article/PythonBasis/python16/1.md,1.md,213,130,0,83,0
Markdown,Article/PythonBasis/python10/6.md,6.md,116,82,0,34,0
Markdown,Article/PythonBasis/python10/3.md,3.md,74,58,0,16,0
Markdown,Article/codeSpecification/codeSpecification_Preface.md,codeSpecification_Preface.md,10,5,0,5,0
Markdown,Article/supplement/Python关键字yield.md,Python关键字yield.md,279,209,0,70,0
Markdown,Article/codeSpecification/codeSpecification_third.md,codeSpecification_third.md,82,56,0,26,0
Markdown,Article/PythonBasis/python7/5.md,5.md,102,70,0,32,0
Markdown,Article/PythonBasis/python7/4.md,4.md,207,144,0,63,0
Markdown,Article/PythonBasis/python8/5.md,5.md,171,72,0,99,0
Markdown,Article/PythonBasis/python7/1.md,1.md,65,39,0,26,0
Markdown,Article/PythonBasis/python7/Preface.md,Preface.md,11,5,0,6,0
Markdown,Article/PythonBasis/python8/Preface.md,Preface.md,30,5,0,25,0
Markdown,Article/django/Django.md,Django.md,12,7,0,5,0
Markdown,Article/PythonBasis/python8/4.md,4.md,32,13,0,19,0
Markdown,Article/PythonBasis/python8/3.md,3.md,57,24,0,33,0
Markdown,Article/PythonBasis/python1/IDE.md,IDE.md,9,4,0,5,0
Markdown,Article/PythonBasis/python8/9.md,9.md,118,73,0,45,0
Markdown,Article/PythonBasis/python7/3.md,3.md,110,73,0,37,0
Markdown,Article/PythonBasis/python11/1.md,1.md,52,31,0,21,0
Markdown,Article/PythonBasis/python5/Example.md,Example.md,45,32,0,13,0
Markdown,Article/PythonBasis/python8/1.md,1.md,54,23,0,31,0
Markdown,Article/PythonBasis/python2/print.md,print.md,52,20,0,32,0
Markdown,Article/PythonBasis/python8/7.md,7.md,181,120,0,61,0
Markdown,Article/PythonBasis/python5/Preface.md,Preface.md,16,7,0,9,0
Markdown,Article/PythonBasis/python5/If.md,If.md,178,105,0,73,0
Markdown,Article/PythonBasis/python4/Dict.md,Dict.md,201,126,0,75,0
Markdown,Article/PythonBasis/python4/Set.md,Set.md,141,98,0,43,0
Markdown,Article/PythonBasis/python4/Preface.md,Preface.md,15,6,0,9,0
Markdown,Article/PythonBasis/python5/Cycle.md,Cycle.md,313,187,0,126,0
Markdown,Article/PythonBasis/python2/Variable.md,Variable.md,47,25,0,22,0
Markdown,Article/PythonBasis/python11/4.md,4.md,75,48,0,27,0
Markdown,Article/PythonBasis/python14/5.md,5.md,56,40,0,16,0
Markdown,Article/PythonBasis/python8/6.md,6.md,146,84,0,62,0
Markdown,Article/PythonBasis/python8/8.md,8.md,70,42,0,28,0
Markdown,Article/PythonBasis/python6/5.md,5.md,63,39,0,24,0
Markdown,Article/PythonBasis/python3/List.md,List.md,268,159,0,109,0
Markdown,Article/PythonBasis/python14/1.md,1.md,91,56,0,35,0
Markdown,Article/PythonBasis/python2/Type_conversion.md,Type_conversion.md,69,37,0,32,0
Markdown,Article/PythonBasis/python2/Preface.md,Preface.md,10,5,0,5,0
Markdown,Article/PythonBasis/python14/4.md,4.md,18,13,0,5,0
Markdown,Article/PythonBasis/python2/Grammar.md,Grammar.md,16,8,0,8,0
Markdown,Article/PythonBasis/python2/Type_of_data.md,Type_of_data.md,180,80,0,100,0
Markdown,Article/PythonBasis/python3/tuple.md,tuple.md,196,112,0,84,0
Markdown,Article/PythonBasis/python11/Preface.md,Preface.md,11,5,0,6,0
Markdown,Article/PythonBasis/python14/Preface.md,Preface.md,5,2,0,3,0
Markdown,Article/PythonBasis/python6/1.md,1.md,101,53,0,48,0
Markdown,Article/PythonBasis/python1/The_first_procedure.md,The_first_procedure.md,28,12,0,16,0
Markdown,Article/PythonBasis/python6/4.md,4.md,96,61,0,35,0
Markdown,Article/PythonBasis/python2/StringCoding.md,StringCoding.md,30,16,0,14,0
Markdown,Article/PythonBasis/python14/3.md,3.md,76,47,0,29,0
Markdown,Article/django/一个完整的初学者指南Django-part2.md,一个完整的初学者指南Django-part2.md,1182,692,0,490,0
Markdown,Article/PythonBasis/python14/6.md,6.md,95,63,0,32,0
Markdown,Article/PythonBasis/python1/Preface.md,Preface.md,8,4,0,4,0
Markdown,Article/PythonBasis/python6/Preface.md,Preface.md,13,6,0,7,0
Markdown,Article/PythonBasis/python1/Installation.md,Installation.md,68,36,0,32,0
Markdown,Article/PythonBasis/python6/2.md,2.md,68,42,0,26,0
Markdown,Article/PythonBasis/python11/3.md,3.md,47,31,0,16,0
Markdown,Article/PythonBasis/python11/2.md,2.md,36,25,0,11,0
Markdown,Article/PythonBasis/python6/3.md,3.md,266,160,0,106,0
Markdown,Article/PythonBasis/python0/WhyStudyPython.md,WhyStudyPython.md,43,16,0,27,0
Markdown,Article/PythonBasis/python13/Preface.md,Preface.md,9,4,0,5,0
Markdown,Article/PythonBasis/python13/1.md,1.md,57,29,0,28,0
Markdown,Article/PythonBasis/python15/1.md,1.md,150,94,0,56,0
Markdown,Article/advanced/Python实现收发邮件.md,Python实现收发邮件.md,66,42,0,24,0
Markdown,Article/PythonBasis/python12/5.md,5.md,37,20,0,17,0
Markdown,Article/PythonBasis/python12/1.md,1.md,69,45,0,24,0
Markdown,Article/PythonBasis/python14/常用的正则表达式.md,常用的正则表达式.md,86,76,0,10,0
Markdown,Res/Python博客网站资源.md,Python博客网站资源.md,47,20,0,27,0
Markdown,Article/PythonBasis/python9/5.md,5.md,57,34,0,23,0
Markdown,Article/PythonBasis/python13/3.md,3.md,317,216,0,101,0
Markdown,Article/PythonBasis/python9/3.md,3.md,25,11,0,14,0
Markdown,Article/PythonBasis/python9/Preface.md,Preface.md,9,4,0,5,0
Markdown,Article/PythonBasis/python14/2.md,2.md,81,57,0,24,0
Markdown,Article/PythonBasis/python12/Preface.md,Preface.md,13,6,0,7,0
Markdown,Article/PythonBasis/python9/2.md,2.md,117,65,0,52,0
Markdown,Res/FQ.md,FQ.md,28,11,0,17,0
Markdown,Article/advanced/使用Python虚拟环境.md,使用Python虚拟环境.md,130,80,0,50,0
Markdown,Article/PythonBasis/python12/4.md,4.md,163,110,0,53,0
Markdown,Article/PythonBasis/python3/Preface.md,Preface.md,12,5,0,7,0
Markdown,Article/advanced/advanced.md,advanced.md,2,2,0,0,0
Markdown,Article/PythonBasis/python9/1.md,1.md,50,24,0,26,0
Markdown,Article/PythonBasis/python13/2.md,2.md,394,282,0,112,0
Markdown,Article/PythonBasis/python12/3.md,3.md,102,63,0,39,0
Markdown,Article/PythonBasis/python12/2.md,2.md,115,71,0,44,0
Markdown,Article/advanced/Mac中使用virtualenv和virtualenvwrapper.md,Mac中使用virtualenv和virtualenvwrapper.md,140,84,0,56,0
Markdown,Res/自己搭建ss:ssr服务器.md,自己搭建ss:ssr服务器.md,293,148,0,145,0
Markdown,Article/PythonBasis/python9/4.md,4.md,21,10,0,11,0
Markdown,"Article/Linux/Linux命令-用户,权限管理模块.md","Linux命令-用户,权限管理模块.md",38,14,0,24,0
Markdown,Article/Linux/Linux命令-文件管理模块.md,Linux命令-文件管理模块.md,429,208,0,221,0
