Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,requirements.txt,requirements.txt,15,15,0,0,0
gitignore,.gitignore,.gitignore,102,57,23,22,0
YAML,environment.yml,environment.yml,7,7,0,0,0
Markdown,README.md,README.md,58,34,0,24,0
Python,tools/generate_contents.py,generate_contents.py,54,41,0,13,13
Python,tools/add_book_info.py,add_book_info.py,37,31,0,6,0
Python,tools/add_navigation.py,add_navigation.py,65,58,0,7,2
Python,tools/fix_kernelspec.py,fix_kernelspec.py,19,12,0,7,3
Markdown,tools/README.md,README.md,9,5,0,4,0
Python,website/pelicanconf.py,pelicanconf.py,70,67,2,1,0
Python,notebooks/helpers_05_08.py,helpers_05_08.py,83,60,4,19,6
Jupyter,notebooks/03.10-Working-With-Strings.ipynb,03.10-Working-With-Strings.ipynb,1407,1407,0,0,0
Jupyter,notebooks/03.08-Aggregation-and-Grouping.ipynb,03.08-Aggregation-and-Grouping.ipynb,2660,2660,0,0,0
Jupyter,notebooks/03.03-Operations-in-Pandas.ipynb,03.03-Operations-in-Pandas.ipynb,1038,1038,0,0,0
Jupyter,notebooks/05.15-Learning-More.ipynb,05.15-Learning-More.ipynb,127,127,0,0,0
Jupyter,notebooks/02.01-Understanding-Data-Types.ipynb,02.01-Understanding-Data-Types.ipynb,830,830,0,0,0
Jupyter,notebooks/02.02-The-Basics-Of-NumPy-Arrays.ipynb,02.02-The-Basics-Of-NumPy-Arrays.ipynb,1572,1572,0,0,0
Jupyter,notebooks/02.08-Sorting.ipynb,02.08-Sorting.ipynb,786,786,0,0,0
Jupyter,notebooks/04.08-Multiple-Subplots.ipynb,04.08-Multiple-Subplots.ipynb,439,439,0,0,0
Jupyter,notebooks/02.06-Boolean-Arrays-and-Masks.ipynb,02.06-Boolean-Arrays-and-Masks.ipynb,1283,1283,0,0,0
Jupyter,notebooks/02.03-Computation-on-arrays-ufuncs.ipynb,02.03-Computation-on-arrays-ufuncs.ipynb,1109,1109,0,0,0
Markdown,website/theme/README.md,README.md,4,3,0,1,0
Python,website/fabfile.py,fabfile.py,92,69,10,13,1
Jupyter,notebooks/04.02-Simple-Scatter-Plots.ipynb,04.02-Simple-Scatter-Plots.ipynb,358,358,0,0,0
Python,website/publishconf.py,publishconf.py,24,14,4,6,0
Python,website/copy_notebooks.py,copy_notebooks.py,111,106,4,1,0
Jupyter,notebooks/05.05-Naive-Bayes.ipynb,05.05-Naive-Bayes.ipynb,749,749,0,0,0
gitignore,website/.gitignore,.gitignore,4,4,0,0,0
HTML,website/theme/templates/page.html,page.html,22,18,0,4,0
HTML,website/theme/templates/about.html,about.html,43,39,0,4,0
HTML,website/theme/templates/index.html,index.html,53,42,0,11,0
