Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,29,24,0,5,0
Markdown,README-zh.md,README-zh.md,31,25,0,6,0
Python,main.py,main.py,6,5,0,1,1
Python,source/__init__.py,__init__.py,0,0,0,0,0
JSON,source/data/map/level_2.json,level_2.json,19,19,0,0,0
Python,source/constants.py,constants.py,180,140,11,29,0
Python,source/tool.py,tool.py,176,147,9,20,25
JSON,source/data/entity/zombie.json,zombie.json,25,25,0,0,0
Python,source/state/screen.py,screen.py,59,46,0,13,1
JSON,source/data/entity/plant.json,plant.json,14,14,0,0,0
Python,source/state/__init__.py,__init__.py,0,0,0,0,0
Python,source/main.py,main.py,14,12,0,2,0
Python,source/component/zombie.py,zombie.py,414,344,2,68,48
Python,source/component/__init__.py,__init__.py,0,0,0,0,0
Python,source/component/plant.py,plant.py,971,799,4,168,135
Python,source/component/map.py,map.py,45,36,0,9,9
JSON,source/data/map/level_1.json,level_1.json,19,19,0,0,0
JSON,source/data/map/level_3.json,level_3.json,20,20,0,0,0
Python,source/component/menubar.py,menubar.py,441,364,3,74,75
JSON,source/data/map/level_5.json,level_5.json,33,33,0,0,0
JSON,source/data/map/level_4.json,level_4.json,41,41,0,0,0
JSON,source/data/map/level_0.json,level_0.json,7,7,0,0,0
Python,source/state/level.py,level.py,549,493,1,55,180
Python,source/state/mainmenu.py,mainmenu.py,69,56,0,13,11
