Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,76,57,0,19,0
YAML,environment.yml,environment.yml,10,10,0,0,0
License,LICENSE,LICENSE,21,17,0,4,0
Plain Text,requirements.txt,requirements.txt,5,5,0,0,0
Shell,runtests.sh,runtests.sh,6,3,3,0,0
YAML,.lgtm.yml,.lgtm.yml,4,4,0,0,0
YAML,_config.yml,_config.yml,2,2,0,0,0
YAML,appveyor.yml,appveyor.yml,50,30,12,8,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,23,12,0,11,0
gitignore,.gitignore,.gitignore,73,47,13,13,0
Markdown,users_comments.md,users_comments.md,421,214,0,207,0
Markdown,README.md,README.md,607,325,0,282,0
YAML,.github/FUNDING.yml,FUNDING.yml,4,3,1,0,0
Shell,rundiffstylecheck.sh,rundiffstylecheck.sh,15,14,1,0,1
YAML,.github/dependabot.yml,dependabot.yml,8,8,0,0,0
Markdown,.github/pull_request_template.md,pull_request_template.md,23,18,0,5,0
YAML,.circleci/config.yml,config.yml,26,23,0,3,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,21,16,0,5,0
Python,AerialNavigation/drone_3d_trajectory_following/drone_3d_trajectory_following.py,drone_3d_trajectory_following.py,212,112,65,35,6
YAML,.github/workflows/Linux_CI.yml,Linux_CI.yml,51,41,0,10,0
YAML,.github/codeql/codeql-config.yml,codeql-config.yml,6,4,1,1,0
YAML,.github/workflows/codeql.yml,codeql.yml,54,24,19,11,0
Python,SLAM/iterative_closest_point/iterative_closest_point.py,iterative_closest_point.py,153,89,21,43,13
Python,tests/test_histogram_filter.py,test_histogram_filter.py,25,17,0,8,1
Python,tests/test_lqr_speed_steer_control.py,test_lqr_speed_steer_control.py,15,9,0,6,0
Python,InvertedPendulumCart/inverted_pendulum_mpc_control.py,inverted_pendulum_mpc_control.py,175,117,11,47,11
Python,tests/test_fast_slam2.py,test_fast_slam2.py,24,17,0,7,1
Python,tests/test_raycasting_grid_map.py,test_raycasting_grid_map.py,12,7,0,5,0
Python,tests/test_breadth_first_search.py,test_breadth_first_search.py,26,17,0,9,1
Python,tests/test_particle_filter.py,test_particle_filter.py,12,7,0,5,0
Python,tests/test_dubins_path_planning.py,test_dubins_path_planning.py,60,43,0,17,2
Python,Bipedal/bipedal_planner/bipedal_planner.py,bipedal_planner.py,205,156,19,30,26
Python,docs/jupyternotebook2rst.py,jupyternotebook2rst.py,93,51,16,26,6
Python,tests/test_dynamic_window_approach.py,test_dynamic_window_approach.py,58,48,2,8,1
Python,Bipedal/__init__.py,__init__.py,0,0,0,0,0
Python,PathTracking/move_to_pose/move_to_pose.py,move_to_pose.py,131,124,7,0,0
Python,Bipedal/bipedal_planner/__init__.py,__init__.py,0,0,0,0,0
Python,tests/test_grid_based_sweep_coverage_path_planner.py,test_grid_based_sweep_coverage_path_planner.py,124,105,0,19,0
Python,AerialNavigation/drone_3d_trajectory_following/Quadrotor.py,Quadrotor.py,87,64,6,17,4
Python,SLAM/GraphBasedSLAM/graph_based_slam.py,graph_based_slam.py,318,211,21,86,27
YAML,.github/workflows/MacOS_CI.yml,MacOS_CI.yml,58,41,3,14,0
Python,PathTracking/stanley_controller/stanley_controller.py,stanley_controller.py,220,109,70,41,16
Python,SLAM/GraphBasedSLAM/graphslam/util.py,util.py,78,64,8,6,0
YAML,.github/workflows/circleci-artifacts-redirector.yml,circleci-artifacts-redirector.yml,13,13,0,0,0
ReStructuredText,docs/getting_started.rst,getting_started.rst,49,28,0,21,0
Python,SLAM/GraphBasedSLAM/graphslam/__init__.py,__init__.py,9,0,8,1,0
Python,PathTracking/model_predictive_speed_and_steer_control/model_predictive_speed_and_steer_control.py,model_predictive_speed_and_steer_control.py,624,418,45,161,58
Batch,docs/make.bat,make.bat,36,27,1,8,5
Python,PathTracking/cgmres_nmpc/cgmres_nmpc.py,cgmres_nmpc.py,616,380,204,32,5
Jupyter,docs/notebook_template.ipynb,notebook_template.ipynb,96,96,0,0,0
ReStructuredText,SLAM/GraphBasedSLAM/data/README.rst,README.rst,6,4,0,2,0
Python,SLAM/GraphBasedSLAM/graphslam/vertex.py,vertex.py,67,48,14,5,1
Python,SLAM/GraphBasedSLAM/graphslam/graph.py,graph.py,265,259,5,1,0
ReStructuredText,docs/modules/arm_navigation.rst,arm_navigation.rst,31,18,0,13,0
Jupyter,PathTracking/model_predictive_speed_and_steer_control/Model_predictive_speed_and_steering_control.ipynb,Model_predictive_speed_and_steering_control.ipynb,333,333,0,0,0
Python,AerialNavigation/rocket_powered_landing/rocket_powered_landing.py,rocket_powered_landing.py,669,661,8,0,4
Python,SLAM/GraphBasedSLAM/graphslam/load.py,load.py,66,32,21,13,9
Jupyter,PathTracking/cgmres_nmpc/cgmres_nmpc.ipynb,cgmres_nmpc.ipynb,208,208,0,0,0
Jupyter,AerialNavigation/rocket_powered_landing/rocket_powered_landing.ipynb,rocket_powered_landing.ipynb,482,482,0,0,0
Python,AerialNavigation/drone_3d_trajectory_following/TrajectoryGenerator.py,TrajectoryGenerator.py,76,58,5,13,0
Python,SLAM/GraphBasedSLAM/graphslam/edge/edge_odometry.py,edge_odometry.py,180,174,5,1,0
LaTeX,SLAM/GraphBasedSLAM/LaTeX/graphSLAM_formulation.tex,graphSLAM_formulation.tex,175,125,25,25,0
Python,SLAM/GraphBasedSLAM/graphslam/edge/__init__.py,__init__.py,5,0,5,0,0
