Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,12,9,0,3,0
License,LICENSE,LICENSE,279,225,0,54,0
Shell,install-sh,install-sh,518,339,110,69,53
TOML,netlify.toml,netlify.toml,4,4,0,0,0
gitignore,.gitignore,.gitignore,126,110,9,7,0
ReStructuredText,README.rst,README.rst,270,189,0,81,0
Autoconf,pyconfig.h.in,pyconfig.h.in,1670,578,557,535,499
YAML,.travis.yml,.travis.yml,220,177,34,9,0
Autoconf,Makefile.pre.in,Makefile.pre.in,1919,1432,264,223,78
m4,m4/ax_check_openssl.m4,ax_check_openssl.m4,124,70,43,11,0
YAML,.github/workflows/coverage.yml,coverage.yml,94,82,9,3,0
YAML,.github/FUNDING.yml,FUNDING.yml,2,2,0,0,0
YAML,.github/codecov.yml,codecov.yml,30,30,0,0,0
C,Modules/atexitmodule.c,atexitmodule.c,355,278,19,58,37
ReStructuredText,.github/CONTRIBUTING.rst,CONTRIBUTING.rst,67,48,0,19,0
ReStructuredText,Doc/reference/index.rst,index.rst,29,25,0,4,0
Python,PCbuild/urlretrieve.py,urlretrieve.py,39,33,3,3,4
ReStructuredText,Doc/reference/grammar.rst,grammar.rst,19,16,0,3,0
ReStructuredText,Doc/reference/import.rst,import.rst,1062,829,0,233,0
Python,setup.py,setup.py,2622,1981,426,215,369
ReStructuredText,Doc/reference/executionmodel.rst,executionmodel.rst,268,197,0,71,0
ReStructuredText,Doc/about.rst,about.rst,39,28,0,11,0
ReStructuredText,Doc/reference/compound_stmts.rst,compound_stmts.rst,895,682,0,213,0
C,Programs/python.c,python.c,17,14,1,2,0
ReStructuredText,Doc/reference/introduction.rst,introduction.rst,132,103,0,29,0
YAML,.github/workflows/build_msi.yml,build_msi.yml,36,33,0,3,0
YAML,.github/workflows/doc.yml,doc.yml,44,34,8,2,0
ReStructuredText,Doc/reference/toplevel_components.rst,toplevel_components.rst,107,71,0,36,0
m4,m4/ax_c_float_words_bigendian.m4,ax_c_float_words_bigendian.m4,83,34,38,11,0
ReStructuredText,Doc/reference/expressions.rst,expressions.rst,1923,1440,0,483,0
Shell,.github/workflows/posix-deps-apt.sh,posix-deps-apt.sh,21,19,1,1,0
C,Programs/_freeze_importlib.c,_freeze_importlib.c,167,134,12,21,28
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,30,19,0,11,0
ReStructuredText,Doc/reference/datamodel.rst,datamodel.rst,2815,2139,0,676,0
YAML,.github/workflows/build.yml,build.yml,123,102,16,5,0
Plain Text,Doc/runtime.txt,runtime.txt,1,1,0,0,0
Markdown,.github/SECURITY.md,SECURITY.md,18,13,0,5,0
m4,aclocal.m4,aclocal.m4,414,317,48,49,0
JSON,.github/problem-matchers/sphinx.json,sphinx.json,40,40,0,0,0
ReStructuredText,Doc/howto/index.rst,index.rst,32,27,0,5,0
Batch,PCbuild/prepare_libffi.bat,prepare_libffi.bat,205,164,4,37,54
ReStructuredText,Doc/howto/unicode.rst,unicode.rst,764,585,0,179,0
ReStructuredText,Doc/c-api/import.rst,import.rst,302,199,0,103,0
ReStructuredText,Doc/reference/simple_stmts.rst,simple_stmts.rst,1013,760,0,253,0
Batch,PCbuild/get_externals.bat,get_externals.bat,117,99,0,18,46
ReStructuredText,Doc/c-api/stable.rst,stable.rst,38,31,0,7,0
ReStructuredText,Doc/howto/functional.rst,functional.rst,1262,956,0,306,0
ReStructuredText,Doc/howto/regex.rst,regex.rst,1393,1099,0,294,0
ReStructuredText,Doc/howto/curses.rst,curses.rst,552,439,0,113,0
ReStructuredText,Doc/howto/clinic.rst,clinic.rst,1740,1292,0,448,0
YAML,.github/dependabot.yml,dependabot.yml,9,9,0,0,0
JSON,.github/problem-matchers/gcc.json,gcc.json,18,18,0,0,0
