Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Jupyter,2.1-a-first-look-at-a-neural-network.ipynb,2.1-a-first-look-at-a-neural-network.ipynb,451,451,0,0,0
License,LICENSE,LICENSE,21,17,0,4,0
Jupyter,6.2-understanding-recurrent-neural-networks.ipynb,6.2-understanding-recurrent-neural-networks.ipynb,487,487,0,0,0
Markdown,README.md,README.md,34,30,0,4,0
Jupyter,3.7-predicting-house-prices.ipynb,3.7-predicting-house-prices.ipynb,709,709,0,0,0
Jupyter,4.4-overfitting-and-underfitting.ipynb,4.4-overfitting-and-underfitting.ipynb,980,980,0,0,0
Jupyter,3.5-classifying-movie-reviews.ipynb,3.5-classifying-movie-reviews.ipynb,1051,1051,0,0,0
Jupyter,8.1-text-generation-with-lstm.ipynb,8.1-text-generation-with-lstm.ipynb,2345,2345,0,0,0
Jupyter,6.1-one-hot-encoding-of-words-or-characters.ipynb,6.1-one-hot-encoding-of-words-or-characters.ipynb,243,243,0,0,0
Jupyter,3.6-classifying-newswires.ipynb,3.6-classifying-newswires.ipynb,984,984,0,0,0
Jupyter,8.5-introduction-to-gans.ipynb,8.5-introduction-to-gans.ipynb,783,783,0,0,0
Jupyter,6.3-advanced-usage-of-recurrent-neural-networks.ipynb,6.3-advanced-usage-of-recurrent-neural-networks.ipynb,1676,1676,0,0,0
Jupyter,5.2-using-convnets-with-small-datasets.ipynb,5.2-using-convnets-with-small-datasets.ipynb,1275,1275,0,0,0
Jupyter,8.2-deep-dream.ipynb,8.2-deep-dream.ipynb,437,437,0,0,0
Jupyter,5.3-using-a-pretrained-convnet.ipynb,5.3-using-a-pretrained-convnet.ipynb,1417,1417,0,0,0
Jupyter,5.1-introduction-to-convnets.ipynb,5.1-introduction-to-convnets.ipynb,330,330,0,0,0
Jupyter,8.4-generating-images-with-vaes.ipynb,8.4-generating-images-with-vaes.ipynb,494,494,0,0,0
Jupyter,6.4-sequence-processing-with-convnets.ipynb,6.4-sequence-processing-with-convnets.ipynb,720,720,0,0,0
Jupyter,6.1-using-word-embeddings.ipynb,6.1-using-word-embeddings.ipynb,946,946,0,0,0
Jupyter,8.3-neural-style-transfer.ipynb,8.3-neural-style-transfer.ipynb,723,723,0,0,0
Jupyter,5.4-visualizing-what-convnets-learn.ipynb,5.4-visualizing-what-convnets-learn.ipynb,1152,1152,0,0,0
