Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,43,35,0,8,0
Python,synth.py,synth.py,30,6,19,5,0
Python,describe.py,describe.py,474,445,21,8,4
License,LICENSE,LICENSE,22,16,0,6,0
ReStructuredText,CONTRIBUTING.rst,CONTRIBUTING.rst,61,46,0,15,0
JSON,renovate.json,renovate.json,5,5,0,0,0
JSON,.repo-metadata.json,.repo-metadata.json,11,10,0,1,0
Makefile,Makefile,Makefile,46,38,0,8,1
Markdown,CHANGELOG.md,CHANGELOG.md,664,456,0,208,0
Autoconf,MANIFEST.in,MANIFEST.in,8,8,0,0,0
Markdown,README.md,README.md,71,46,0,25,0
gitignore,.gitignore,.gitignore,17,10,4,3,0
Python,setup.py,setup.py,82,54,18,10,2
Python,sitecustomize.py,sitecustomize.py,12,3,8,1,0
Python,expandsymlinks.py,expandsymlinks.py,58,22,21,15,2
Python,noxfile.py,noxfile.py,79,56,14,9,1
Python,samples-index.py,samples-index.py,253,183,58,12,12
Markdown,docs/logging.md,logging.md,51,37,0,14,0
Markdown,docs/mocks.md,mocks.md,106,87,0,19,0
Python,tests/test_protobuf_model.py,test_protobuf_model.py,102,68,19,15,2
Shell,.kokoro/trampoline.sh,trampoline.sh,23,5,14,4,2
Markdown,.github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,7,6,0,1,0
Markdown,samples/README.md,README.md,400,316,0,84,0
Shell,.kokoro/test-samples.sh,test-samples.sh,104,48,35,21,5
Shell,.kokoro/build.sh,build.sh,39,10,20,9,0
YAML,.github/release-please.yml,release-please.yml,1,1,0,0,0
Shell,.kokoro/release.sh,release.sh,32,9,18,5,0
Python,samples/plus/plus.py,plus.py,61,42,18,1,0
Shell,tools/gae-zip-creator.sh,gae-zip-creator.sh,68,37,20,11,1
JSON,samples/plus/client_secrets.json,client_secrets.json,9,9,0,0,0
Markdown,.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,18,14,0,4,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,43,28,0,15,0
JSON,tests/data/bad_request.json,bad_request.json,13,13,0,0,0
JSON,tests/data/latitude.json,latitude.json,242,242,0,0,0
Python,tests/test__helpers.py,test__helpers.py,154,103,20,31,4
JSON,tests/data/certs.json,certs.json,3,3,0,0,0
Markdown,.github/ISSUE_TEMPLATE/support_request.md,support_request.md,7,5,0,2,0
Markdown,docs/thread_safety.md,thread_safety.md,22,16,0,6,0
Python,samples/analytics/hello_analytics_api_v3.py,hello_analytics_api_v3.py,178,147,23,8,9
Python,samples/analytics/core_reporting_v3_reference.py,core_reporting_v3_reference.py,262,105,115,42,12
Python,tests/__init__.py,__init__.py,24,5,13,6,0
JSON,tests/data/plus.json,plus.json,1221,1221,0,0,0
Python,tests/test_discovery_cache.py,test_discovery_cache.py,63,32,20,11,0
JSON,samples/analytics/client_secrets.json,client_secrets.json,9,9,0,0,0
YAML,samples/storage_serviceaccount_appengine/app.yaml,app.yaml,13,11,0,2,0
Python,tests/test_errors.py,test_errors.py,114,89,17,8,0
Python,tests/test_json_model.py,test_json_model.py,318,288,19,11,2
Extensible Stylesheet Language Transformations,samples/storage_serviceaccount_appengine/listing.xsl,listing.xsl,32,31,0,1,0
Python,samples/blogger/blogger.py,blogger.py,83,32,36,15,12
Python,samples/storage_serviceaccount_appengine/main.py,main.py,97,75,22,0,0
JSON,samples/blogger/client_secrets.json,client_secrets.json,9,9,0,0,0
Python,samples/coordinate/coordinate.py,coordinate.py,103,52,40,11,0
Python,tests/test__auth.py,test__auth.py,191,125,13,53,0
Python,samples/analytics/management_v3_reference.py,management_v3_reference.py,418,386,29,3,13
Python,samples/service_account/tasks.py,tasks.py,61,17,34,10,1
JSON,tests/data/logging.json,logging.json,2091,2091,0,0,0
