Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,83,53,0,30,0
Python,preamble.py,preamble.py,24,20,0,4,0
Python,mglearn/plot_interactive_tree.py,plot_interactive_tree.py,95,88,1,6,0
Python,mglearn/plot_knn_classification.py,plot_knn_classification.py,27,20,0,7,4
Python,mglearn/plot_improper_preprocessing.py,plot_improper_preprocessing.py,76,71,0,5,2
Python,mglearn/plot_pca.py,plot_pca.py,130,95,11,24,8
Python,mglearn/plot_scaling.py,plot_scaling.py,42,34,0,8,8
Python,mglearn/plot_ridge.py,plot_ridge.py,28,21,0,7,0
YAML,environment.yml,environment.yml,12,12,0,0,0
Python,mglearn/plot_animal_tree.py,plot_animal_tree.py,27,25,0,2,1
Python,mglearn/plot_2d_separator.py,plot_2d_separator.py,146,102,21,23,18
Python,mglearn/plot_metrics.py,plot_metrics.py,90,74,0,16,0
Jupyter,06-algorithm-chains-and-pipelines.ipynb,06-algorithm-chains-and-pipelines.ipynb,823,823,0,0,0
Python,mglearn/tools.py,tools.py,128,95,23,10,12
Python,mglearn/plot_cross_validation.py,plot_cross_validation.py,238,228,2,8,10
Python,mglearn/plot_decomposition.py,plot_decomposition.py,31,24,0,7,3
Python,mglearn/plot_kneighbors_regularization.py,plot_kneighbors_regularization.py,30,23,0,7,3
Python,mglearn/plot_rbf_svm_parameters.py,plot_rbf_svm_parameters.py,30,23,3,4,1
Python,mglearn/plot_helpers.py,plot_helpers.py,108,78,21,9,0
Python,mglearn/plot_kmeans.py,plot_kmeans.py,129,105,4,20,4
Python,mglearn/plot_knn_regression.py,plot_knn_regression.py,38,29,0,9,4
Python,mglearn/plot_grid_search.py,plot_grid_search.py,93,88,0,5,5
Python,mglearn/datasets.py,datasets.py,64,46,4,14,0
Python,mglearn/plot_linear_regression.py,plot_linear_regression.py,32,24,2,6,0
Python,mglearn/plot_tree_nonmonotonous.py,plot_tree_nonmonotonous.py,26,19,3,4,0
Python,mglearn/__init__.py,__init__.py,7,6,0,1,0
Python,mglearn/plot_nmf.py,plot_nmf.py,87,59,12,16,8
Python,mglearn/plot_agglomerative.py,plot_agglomerative.py,89,67,1,21,12
Python,mglearn/make_blobs.py,make_blobs.py,100,35,54,11,8
Jupyter,01-introduction.ipynb,01-introduction.ipynb,976,976,0,0,0
Python,mglearn/plot_linear_svc_regularization.py,plot_linear_svc_regularization.py,37,29,1,7,3
Python,mglearn/plots.py,plots.py,69,67,0,2,0
Python,mglearn/plot_nn_graphs.py,plot_nn_graphs.py,116,84,0,32,24
Jupyter,08-conclusion.ipynb,08-conclusion.ipynb,129,129,0,0,0
CSV,data/ram_price.csv,ram_price.csv,334,334,0,0,0
gitignore,.gitignore,.gitignore,3,3,0,0,0
Python,mglearn/plot_dbscan.py,plot_dbscan.py,47,36,5,6,6
CSV,data/citibike.csv,citibike.csv,4213,4213,0,0,0
SVG,images/overfitting_underfitting_cartoon.svg,overfitting_underfitting_cartoon.svg,505,505,0,0,0
SVG,images/bag_of_words.svg,bag_of_words.svg,813,813,0,0,0
SVG,images/pipeline.svg,pipeline.svg,854,852,1,1,0
Jupyter,07-working-with-text-data.ipynb,07-working-with-text-data.ipynb,1405,1405,0,0,0
Jupyter,04-representing-data-feature-engineering.ipynb,04-representing-data-feature-engineering.ipynb,2500,2500,0,0,0
Jupyter,05-model-evaluation-and-improvement.ipynb,05-model-evaluation-and-improvement.ipynb,3057,3057,0,0,0
Jupyter,02-supervised-learning.ipynb,02-supervised-learning.ipynb,4682,4682,0,0,0
Jupyter,03-unsupervised-learning.ipynb,03-unsupervised-learning.ipynb,3175,3175,0,0,0
SVG,images/iris_petal_sepal.svg,iris_petal_sepal.svg,91756,91754,1,1,0
