Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,34,22,0,12,0
Plain Text,requirements.txt,requirements.txt,16,16,0,0,0
License,LICENSE,LICENSE,21,17,0,4,0
Markdown,README.pt-BR.md,README.pt-BR.md,215,161,0,54,0
Markdown,README.md,README.md,220,166,0,54,0
gitignore,.gitignore,.gitignore,7,7,0,0,0
YAML,_config.yml,_config.yml,1,1,0,0,0
Markdown,src/getting_started/what_is_python.md,what_is_python.md,37,25,0,12,0
Markdown,src/getting_started/python_syntax.md,python_syntax.md,49,31,0,18,0
YAML,.travis.yml,.travis.yml,17,11,3,3,0
Python,src/functions/test_function_default_arguments.py,test_function_default_arguments.py,26,6,15,5,0
Python,src/modules/test_packages.py,test_packages.py,61,7,46,8,0
Python,src/additions/test_generators.py,test_generators.py,39,25,14,0,2
Python,src/functions/test_function_arbitrary_arguments.py,test_function_arbitrary_arguments.py,33,17,13,3,0
Plain Text,src/files/multi_line_file.txt,multi_line_file.txt,3,3,0,0,0
Python,src/modules/fibonacci_module.py,fibonacci_module.py,43,17,20,6,3
Python,src/control_flow/test_if.py,test_if.py,28,14,11,3,2
Python,src/modules/sound_package/__init__.py,__init__.py,0,0,0,0,0
Python,src/control_flow/test_try.py,test_try.py,66,62,4,0,0
Python,src/operators/test_identity.py,test_identity.py,35,7,20,8,1
Python,src/operators/test_assigment.py,test_assigment.py,94,49,25,20,0
Python,src/classes/test_class_objects.py,test_class_objects.py,78,27,33,18,0
Plain Text,src/standard_libraries/glob_files/second_file.txt,second_file.txt,0,0,0,0,0
Python,src/files/test_file_reading.py,test_file_reading.py,77,59,16,2,0
Python,src/classes/test_class_definition.py,test_class_definition.py,46,40,6,0,0
Python,src/operators/test_arithmetic.py,test_arithmetic.py,44,20,15,9,0
Python,src/modules/test_modules.py,test_modules.py,97,26,58,13,0
Python,src/classes/test_method_objects.py,test_method_objects.py,60,14,33,13,0
Python,src/classes/test_instance_objects.py,test_instance_objects.py,30,7,17,6,0
Python,src/files/test_file_methods.py,test_file_methods.py,50,16,25,9,0
YAML,.github/FUNDING.yml,FUNDING.yml,3,2,1,0,0
Python,src/classes/test_inheritance.py,test_inheritance.py,81,23,44,14,2
Python,src/classes/test_multiple_inheritance.py,test_multiple_inheritance.py,68,13,44,11,0
Python,src/modules/sound_package/effects/reverse.py,reverse.py,6,2,2,2,0
Python,src/getting_started/test_variables.py,test_variables.py,38,32,6,0,0
Python,src/control_flow/test_while.py,test_while.py,31,8,17,6,1
Python,src/additions/test_pass.py,test_pass.py,46,35,9,2,0
Python,src/control_flow/test_continue.py,test_continue.py,29,10,12,7,3
Python,src/exceptions/test_handle_exceptions.py,test_handle_exceptions.py,106,42,49,15,1
Python,src/classes/test_class_and_instance_variables.py,test_class_and_instance_variables.py,86,35,29,22,0
Python,src/functions/test_lambda_expressions.py,test_lambda_expressions.py,34,10,16,8,0
Python,src/modules/sound_package/effects/__init__.py,__init__.py,0,0,0,0,0
Python,src/functions/test_function_unpacking_arguments.py,test_function_unpacking_arguments.py,30,8,15,7,0
Python,src/functions/test_function_definition.py,test_function_definition.py,123,39,53,31,1
Python,src/functions/test_function_decorators.py,test_function_decorators.py,91,80,11,0,2
Python,src/data_types/test_numbers.py,test_numbers.py,120,93,21,6,0
Python,src/data_types/test_type_casting.py,test_type_casting.py,45,13,23,9,0
Python,src/functions/test_function_keyword_arguments.py,test_function_keyword_arguments.py,119,60,39,20,0
Python,src/data_types/test_dictionaries.py,test_dictionaries.py,79,31,34,14,5
Python,src/data_types/test_tuples.py,test_tuples.py,88,31,40,17,0
Python,src/modules/sound_package/effects/echo.py,echo.py,6,2,2,2,0
Python,src/standard_libraries/test_datetime.py,test_datetime.py,34,15,11,8,0
Python,src/standard_libraries/test_re.py,test_re.py,25,9,10,6,0
Python,src/standard_libraries/test_json.py,test_json.py,38,12,16,10,0
Python,src/data_types/test_sets.py,test_sets.py,70,26,25,19,11
Python,src/functions/test_function_scopes.py,test_function_scopes.py,107,47,54,6,1
Python,src/standard_libraries/test_glob.py,test_glob.py,21,6,11,4,0
Plain Text,src/standard_libraries/glob_files/first_file.txt,first_file.txt,0,0,0,0,0
Python,src/data_types/test_lists.py,test_lists.py,338,160,115,63,41
Python,src/standard_libraries/test_math.py,test_math.py,58,22,23,13,3
Python,src/functions/test_function_documentation_string.py,test_function_documentation_string.py,42,18,22,2,0
Python,src/data_types/test_strings.py,test_strings.py,310,303,7,0,0
Python,src/exceptions/test_raise_exceptions.py,test_raise_exceptions.py,49,18,21,10,0
Python,src/standard_libraries/test_zlib.py,test_zlib.py,23,9,8,6,0
Python,src/functions/test_function_annotations.py,test_function_annotations.py,27,4,18,5,0
Python,src/operators/test_bitwise.py,test_bitwise.py,57,11,38,8,0
Python,src/operators/test_membership.py,test_membership.py,25,4,14,7,3
Python,src/modules/sound_package/formats/wav.py,wav.py,6,2,2,2,0
Python,src/operators/test_logical.py,test_logical.py,28,7,15,6,3
Python,src/modules/sound_package/formats/__init__.py,__init__.py,0,0,0,0,0
Python,src/operators/test_comparison.py,test_comparison.py,36,15,13,8,0
Python,src/modules/sound_package/formats/aif.py,aif.py,6,2,2,2,0
Python,src/control_flow/test_break.py,test_break.py,25,21,4,0,0
Python,src/control_flow/test_for.py,test_for.py,134,97,25,12,7
