Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,.meeseeksdev.yml,.meeseeksdev.yml,4,4,0,0,0
ReStructuredText,INSTALL.rst,INSTALL.rst,290,209,0,81,0
Autoconf,MANIFEST.in,MANIFEST.in,23,23,0,0,0
YAML,.lgtm.yml,.lgtm.yml,14,4,10,0,0
Python,setup.py,setup.py,299,289,7,3,2
YAML,.appveyor.yml,.appveyor.yml,118,69,29,20,0
gitignore,.gitignore,.gitignore,107,66,29,12,0
YAML,azure-pipelines.yml,azure-pipelines.yml,117,100,4,13,0
Python,setupext.py,setupext.py,688,653,24,11,12
ReStructuredText,README.rst,README.rst,102,64,0,38,0
Python,tests.py,tests.py,34,19,9,6,3
ReStructuredText,doc/contents.rst,contents.rst,28,18,0,10,0
Python,versioneer.py,versioneer.py,1704,1471,129,104,109
Python,tutorials/intermediate/imshow_extent.py,imshow_extent.py,261,116,112,33,28
C++,extern/agg24-svn/src/agg_vpgen_segmentator.cpp,agg_vpgen_segmentator.cpp,67,45,14,8,7
C++,extern/agg24-svn/src/agg_trans_warp_magnifier.cpp,agg_trans_warp_magnifier.cpp,70,37,24,9,2
C Header,src/_contour.h,_contour.h,530,189,283,58,0
Makefile,doc/Makefile,Makefile,33,20,7,6,0
C++,extern/agg24-svn/src/agg_line_profile_aa.cpp,agg_line_profile_aa.cpp,116,76,17,23,14
Python,tutorials/intermediate/artists.py,artists.py,720,155,530,35,20
Plain Text,extern/libqhull/COPYING.txt,COPYING.txt,38,28,0,10,0
Python,tutorials/text/text_intro.py,text_intro.py,422,167,192,63,9
C++,extern/agg24-svn/src/agg_vcgen_dash.cpp,agg_vcgen_dash.cpp,235,179,27,29,16
C,extern/libqhull/usermem.c,usermem.c,94,20,65,9,1
C++,extern/agg24-svn/src/agg_gsv_text.cpp,agg_gsv_text.cpp,675,621,30,24,20
Python,doc/conf.py,conf.py,400,348,30,22,4
JSON,doc/missing-references.json,missing-references.json,1383,1383,0,0,0
C,extern/libqhull/qset.c,qset.c,1340,641,592,107,135
C,extern/libqhull/user.c,user.c,536,341,166,29,85
YAML,.circleci/config.yml,config.yml,199,153,13,33,0
C Header,extern/agg24-svn/include/agg_span_interpolator_linear.h,agg_span_interpolator_linear.h,232,162,28,42,3
C Header,extern/agg24-svn/include/agg_conv_clip_polygon.h,agg_conv_clip_polygon.h,63,28,26,9,0
C Header,extern/agg24-svn/include/agg_rasterizer_sl_clip.h,agg_rasterizer_sl_clip.h,351,264,37,50,14
C,extern/libqhull/poly.c,poly.c,1205,729,417,59,182
C,extern/libqhull/mem.c,mem.c,576,351,173,52,63
C Header,extern/agg24-svn/include/agg_conv_contour.h,agg_conv_contour.h,65,37,19,9,0
C Header,extern/agg24-svn/include/agg_rasterizer_compound_aa.h,agg_rasterizer_compound_aa.h,663,500,73,90,59
C Header,extern/agg24-svn/include/agg_span_pattern_rgba.h,agg_span_pattern_rgba.h,94,53,27,14,0
C Header,extern/libqhull/qhull_a.h,qhull_a.h,150,83,50,17,3
YAML,.travis.yml,.travis.yml,208,164,27,17,0
C Header,extern/agg24-svn/include/agg_path_storage.h,agg_path_storage.h,1545,1174,152,219,80
C Header,src/numpy_cpp.h,numpy_cpp.h,578,476,30,72,38
C Header,extern/agg24-svn/include/agg_span_interpolator_trans.h,agg_span_interpolator_trans.h,92,56,25,11,0
Objective C,src/_macosx.m,_macosx.m,2454,2151,62,241,183
Markdown,SECURITY.md,SECURITY.md,31,23,0,8,0
C Header,extern/libqhull/merge.h,merge.h,178,89,71,18,0
C,extern/libqhull/random.c,random.c,245,148,77,20,23
C Header,extern/agg24-svn/include/agg_config.h,agg_config.h,44,3,36,5,0
C,extern/libqhull/userprintf.c,userprintf.c,66,24,34,8,6
C,extern/libqhull/userprintf_rbox.c,userprintf_rbox.c,53,16,31,6,3
C Header,src/_image.h,_image.h,198,155,15,28,46
C Header,extern/agg24-svn/include/agg_pixfmt_amask_adaptor.h,agg_pixfmt_amask_adaptor.h,240,173,31,36,3
Python,tutorials/colors/colorbar_only.py,colorbar_only.py,133,122,11,0,0
C Header,extern/agg24-svn/include/agg_scanline_p.h,agg_scanline_p.h,329,233,51,45,26
C Header,extern/libqhull/libqhull.h,libqhull.h,1140,509,546,85,7
C,extern/libqhull/io.c,io.c,4062,3956,82,24,65
C,extern/libqhull/geom.c,geom.c,1234,757,429,48,216
ReStructuredText,doc/citing.rst,citing.rst,135,123,0,12,0
Python,tutorials/colors/colormaps.py,colormaps.py,427,116,249,62,24
Python,tutorials/introductory/usage.py,usage.py,789,31,739,19,0
C,extern/libqhull/rboxlib.c,rboxlib.c,870,751,75,44,257
C++,src/ft2font_wrapper.cpp,ft2font_wrapper.cpp,1627,1383,22,222,93
ReStructuredText,doc/index.rst,index.rst,222,175,0,47,0
Python,tutorials/intermediate/constrainedlayout_guide.py,constrainedlayout_guide.py,672,376,240,56,20
C Header,extern/libqhull/io.h,io.h,159,92,54,13,0
Python,tutorials/introductory/sample_plots.py,sample_plots.py,437,382,5,50,18
C Header,extern/libqhull/qset.h,qset.h,490,94,360,36,11
C Header,extern/libqhull/poly.h,poly.h,296,101,166,29,13
C Header,extern/libqhull/mem.h,mem.h,222,96,106,20,4
C++,src/mplutils.cpp,mplutils.cpp,21,15,1,5,3
Python,tutorials/colors/colormapnorms.py,colormapnorms.py,307,296,8,3,1
C Header,extern/libqhull/user.h,user.h,909,167,660,82,20
Shell,.circleci/deploy-docs.sh,deploy-docs.sh,33,23,1,9,8
C,extern/libqhull/stat.c,stat.c,717,557,119,41,88
C++,extern/agg24-svn/src/agg_bspline.cpp,agg_bspline.cpp,284,201,41,42,28
Python,tutorials/introductory/images.py,images.py,266,67,171,28,9
Plain Text,tutorials/introductory/README.txt,README.txt,8,6,0,2,0
Python,tutorials/intermediate/color_cycle.py,color_cycle.py,124,21,95,8,2
C++,src/_backend_agg.cpp,_backend_agg.cpp,175,142,4,29,13
Python,tutorials/text/mathtext.py,mathtext.py,362,362,0,0,0
C Header,src/_tkmini.h,_tkmini.h,100,22,70,8,0
C Header,extern/libqhull/random.h,random.h,34,12,13,9,0
Python,tutorials/intermediate/tight_layout_guide.py,tight_layout_guide.py,365,230,86,49,2
C Header,extern/libqhull/stat.h,stat.h,543,392,128,23,0
Python,tutorials/introductory/pyplot.py,pyplot.py,465,90,332,43,0
C Header,extern/libqhull/geom.h,geom.h,176,83,73,20,2
C++,extern/agg24-svn/src/agg_vpgen_clip_polygon.cpp,agg_vpgen_clip_polygon.cpp,133,81,36,16,15
Python,tutorials/intermediate/gridspec.py,gridspec.py,271,126,115,30,28
C++,extern/agg24-svn/src/agg_color_rgba.cpp,agg_color_rgba.cpp,17,0,16,1,0
C,extern/libqhull/global.c,global.c,2217,1741,416,60,543
C,extern/libqhull/libqhull.c,libqhull.c,1403,971,393,39,294
License,extern/agg24-svn/src/copying,copying,11,9,0,2,0
C++,extern/agg24-svn/src/agg_sqrt_tables.cpp,agg_sqrt_tables.cpp,115,92,18,5,0
Python,tutorials/text/text_props.py,text_props.py,234,218,16,0,0
Python,tutorials/text/pgf.py,pgf.py,199,199,0,0,0
C Header,extern/agg24-svn/include/agg_arrowhead.h,agg_arrowhead.h,82,49,22,11,0
C Header,src/_image_resample.h,_image_resample.h,1013,755,95,163,51
Plain Text,tutorials/provisional/README.txt,README.txt,14,12,0,2,0
C++,extern/agg24-svn/src/agg_rounded_rect.cpp,agg_rounded_rect.cpp,164,113,27,24,17
C,extern/libqhull/geom2.c,geom2.c,2094,1218,774,102,298
Python,tutorials/provisional/mosaic.py,mosaic.py,302,222,66,14,6
Plain Text,tutorials/toolkits/README.txt,README.txt,7,5,0,2,0
Python,tutorials/introductory/customizing.py,customizing.py,205,195,10,0,0
Python,tutorials/toolkits/axisartist.py,axisartist.py,603,603,0,0,0
Python,tutorials/toolkits/axes_grid.py,axes_grid.py,407,407,0,0,0
Python,tutorials/intermediate/legend_guide.py,legend_guide.py,292,246,46,0,1
Plain Text,tutorials/README.txt,README.txt,12,9,0,3,0
Python,tutorials/toolkits/mplot3d.py,mplot3d.py,225,209,16,0,0
Plain Text,tutorials/intermediate/README.txt,README.txt,8,6,0,2,0
Plain Text,tutorials/colors/README.txt,README.txt,11,8,0,3,0
Python,tutorials/advanced/path_tutorial.py,path_tutorial.py,230,81,126,23,0
Python,tutorials/advanced/patheffects_guide.py,patheffects_guide.py,118,45,64,9,1
C++,extern/agg24-svn/src/agg_vcgen_stroke.cpp,agg_vcgen_stroke.cpp,213,169,23,21,14
Python,tutorials/advanced/transforms_tutorial.py,transforms_tutorial.py,560,475,79,6,30
Python,tutorials/colors/colormap-manipulation.py,colormap-manipulation.py,272,87,144,41,6
C++,extern/ttconv/ttutil.cpp,ttutil.cpp,82,61,8,13,10
Python,tutorials/advanced/blitting.py,blitting.py,224,219,5,0,0
Plain Text,tutorials/advanced/README.txt,README.txt,7,5,0,2,0
Python,tutorials/colors/colors.py,colors.py,137,80,44,13,21
