Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Jupyter,generate index.ipynb,generate index.ipynb,355,355,0,0,0
Jupyter,generate_static_files.ipynb,generate_static_files.ipynb,314,314,0,0,0
Python,generate_static_files.py,generate_static_files.py,92,40,14,38,15
gitignore,.gitignore,.gitignore,9,9,0,0,0
Markdown,README.md,README.md,231,200,0,31,0
Markdown,index.md,index.md,153,153,0,0,0
Jupyter,index.ipynb,index.ipynb,262,262,0,0,0
Jupyter,05-advanced-python/05.07-object-relational-mappers.ipynb,05.07-object-relational-mappers.ipynb,272,272,0,0,0
Jupyter,07-interfacing-with-other-languages/07.04-cython-part-2.ipynb,07.04-cython-part-2.ipynb,572,572,0,0,0
Jupyter,05-advanced-python/05.08-functions.ipynb,05.08-functions.ipynb,888,888,0,0,0
Jupyter,05-advanced-python/05.06-sql-databases.ipynb,05.06-sql-databases.ipynb,253,253,0,0,0
Jupyter,07-interfacing-with-other-languages/07.02-python-extension-modules.ipynb,07.02-python-extension-modules.ipynb,596,596,0,0,0
Jupyter,04-scipy/04.07-ODEs.ipynb,04.07-ODEs.ipynb,258,258,0,0,0
Jupyter,02-python-essentials/02.20-warnings.ipynb,02.20-warnings.ipynb,109,109,0,0,0
Jupyter,02-python-essentials/02.12-frozen-sets.ipynb,02.12-frozen-sets.ipynb,153,153,0,0,0
Jupyter,01-python-tools/01.01-python-overview.ipynb,01.01-python-overview.ipynb,243,243,0,0,0
Jupyter,02-python-essentials/02.02-python-data-types.ipynb,02.02-python-data-types.ipynb,74,74,0,0,0
Jupyter,02-python-essentials/02.16-list-comprehension.ipynb,02.16-list-comprehension.ipynb,274,274,0,0,0
Jupyter,02-python-essentials/02.09-speed-comparison-between-list-&-tuple.ipynb,02.09-speed-comparison-between-list-&-tuple.ipynb,217,217,0,0,0
Jupyter,02-python-essentials/02.18-modules-and-packages.ipynb,02.18-modules-and-packages.ipynb,659,659,0,0,0
Jupyter,02-python-essentials/02.14-if-statement.ipynb,02.14-if-statement.ipynb,387,387,0,0,0
Jupyter,02-python-essentials/02.03-numbers.ipynb,02.03-numbers.ipynb,1546,1546,0,0,0
Jupyter,02-python-essentials/02.06-lists.ipynb,02.06-lists.ipynb,1248,1248,0,0,0
Jupyter,02-python-essentials/02.01-a-tour-of-python.ipynb,02.01-a-tour-of-python.ipynb,1935,1935,0,0,0
Jupyter,11-useful-tools/11.02-pickle-and-cPickle.ipynb,11.02-pickle-and-cPickle.ipynb,348,348,0,0,0
Jupyter,05-advanced-python/05.05-datetime.ipynb,05.05-datetime.ipynb,371,371,0,0,0
Jupyter,05-advanced-python/05.04-regular-expression.ipynb,05.04-regular-expression.ipynb,519,519,0,0,0
Jupyter,09-theano/09.08-linear-regression.ipynb,09.08-linear-regression.ipynb,459,459,0,0,0
Jupyter,02-python-essentials/02.08-tuples.ipynb,02.08-tuples.ipynb,313,313,0,0,0
Jupyter,08-object-oriented-programming/08.01-oop-introduction.ipynb,08.01-oop-introduction.ipynb,233,233,0,0,0
Jupyter,12-pandas/12.02-series-in-pandas.ipynb,12.02-series-in-pandas.ipynb,774,774,0,0,0
Plain Text,10-something-interesting/names.txt,names.txt,30,30,0,0,0
