Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,3,3,0,0,0
gitignore,.gitignore,.gitignore,6,6,0,0,0
Python,jupyter/pandas_tutorial_on_stock_price.py,pandas_tutorial_on_stock_price.py,16,5,8,3,0
CSV,pandas/21_sql/customers.csv,customers.csv,7,7,0,0,0
Plain Text,pandas/contents.txt,contents.txt,48,38,0,10,0
Markdown,TechTopics/CodingBestPractices/coding_best_practices.md,coding_best_practices.md,371,306,0,65,0
Plain Text,DataScience/CelebrityFaceRecognition/model/requirements.txt,requirements.txt,3,3,0,0,0
Python,DataScience/CelebrityFaceRecognition/server/util.py,util.py,102,67,13,22,10
Markdown,DataScience/CelebrityFaceRecognition/readme.md,readme.md,27,22,0,5,0
Jupyter,matpltlib/10_subplots.ipynb,10_subplots.ipynb,86,86,0,0,0
Jupyter,jupyter/pandas_tutorial_on_stock_price.ipynb,pandas_tutorial_on_stock_price.ipynb,491,491,0,0,0
Python,TechTopics/LogicBuilding/triange_area.py,triange_area.py,0,0,0,0,0
Python,Modules/urllib_demo.py,urllib_demo.py,5,5,0,0,2
HTML,DataScience/BangloreHomePrices/client/app.html,app.html,53,53,0,0,0
Markdown,DataScience/BangloreHomePrices/readme.md,readme.md,75,68,0,7,0
Python,unittesting_pytest/custom_markers/mathlib.py,mathlib.py,12,4,0,8,0
CSS,DataScience/BangloreHomePrices/client/app.css,app.css,133,119,0,14,0
Python,unittesting_pytest/custom_markers/test_mathlib.py,test_mathlib.py,18,14,0,4,0
Python,TechTopics/LogicBuilding/ds.py,ds.py,0,0,0,0,0
JavaScript,DataScience/BangloreHomePrices/client/app.js,app.js,62,54,2,6,6
Jupyter,pandas/21_sql/pandas_sql.ipynb,pandas_sql.ipynb,783,783,0,0,0
Python,Modules/pandas_tutorial.py,pandas_tutorial.py,18,8,7,3,0
Python,Modules/argparse_tutorial.py,argparse_tutorial.py,27,21,0,6,2
XML,DataScience/CelebrityFaceRecognition/model/opencv/haarcascades/haarcascade_smile.xml,haarcascade_smile.xml,6729,6684,45,0,0
XML,DataScience/CelebrityFaceRecognition/model/opencv/haarcascades/haarcascade_lefteye_2splits.xml,haarcascade_lefteye_2splits.xml,7390,7346,44,0,0
XML,DataScience/CelebrityFaceRecognition/model/opencv/haarcascades/haarcascade_fullbody.xml,haarcascade_fullbody.xml,17030,16893,137,0,0
JSON,DataScience/BangloreHomePrices/model/columns.json,columns.json,1,1,0,0,0
XML,DataScience/CelebrityFaceRecognition/model/opencv/haarcascades/haarcascade_eye.xml,haarcascade_eye.xml,12213,12170,43,0,0
Python,unittesting_pytest/fixtures/mydb.py,mydb.py,31,22,0,9,1
CSS,DataScience/CelebrityFaceRecognition/UI/dropzone.min.css,dropzone.min.css,1,1,0,0,0
HTML,DataScience/CelebrityFaceRecognition/UI/app.html,app.html,144,131,1,12,0
JavaScript,DataScience/CelebrityFaceRecognition/UI/app.js,app.js,101,63,29,9,7
Python,DataScience/BangloreHomePrices/server/server.py,server.py,32,25,0,7,1
Plain Text,DataScience/BangloreHomePrices/server/requirements.txt,requirements.txt,3,3,0,0,0
Python,unittesting_pytest/init.py,init.py,0,0,0,0,0
Python,unittesting_pytest/fixtures/__init__.py,__init__.py,0,0,0,0,0
Python,DataScience/CelebrityFaceRecognition/google_image_scrapping/image_download.py,image_download.py,168,113,16,39,31
Jupyter,DataScience/BangloreHomePrices/model/banglore_home_prices_final.ipynb,banglore_home_prices_final.ipynb,3567,3567,0,0,0
JavaScript,DataScience/CelebrityFaceRecognition/UI/dropzone.min.js,dropzone.min.js,1,1,0,0,3
Python,DataScience/CelebrityFaceRecognition/server/server.py,server.py,20,13,0,7,1
CSS,DataScience/CelebrityFaceRecognition/UI/app.css,app.css,55,44,1,10,0
Jupyter,matpltlib/7_save_chart/7_saving_chart_to_file.ipynb,7_saving_chart_to_file.ipynb,137,137,0,0,0
Jupyter,matpltlib/3_legends_grid_axes_labels/3_legends_grid_axes_labels.ipynb,3_legends_grid_axes_labels.ipynb,261,261,0,0,0
JSON,DataScience/BangloreHomePrices/server/artifacts/columns.json,columns.json,1,1,0,0,0
Jupyter,matpltlib/4_bar_chart/4_bar_chart.ipynb,4_bar_chart.ipynb,218,218,0,0,0
Python,DataScience/BangloreHomePrices/server/util.py,util.py,52,41,0,11,3
CSV,DataScience/BangloreHomePrices/model/bengaluru_house_prices.csv,bengaluru_house_prices.csv,13321,13321,0,0,0
Jupyter,matpltlib/2_format_strings/2_matplotlib_format_strings.ipynb,2_matplotlib_format_strings.ipynb,197,197,0,0,0
Python,DataScience/CelebrityFaceRecognition/server/wavelet.py,wavelet.py,25,15,6,4,0
Markdown,TechTopics/HowToLearnProgramming/how_to_learn_programming.md,how_to_learn_programming.md,142,89,0,53,0
Jupyter,matpltlib/1_intro/1_matplotlib_introduction.ipynb,1_matplotlib_introduction.ipynb,82,82,0,0,0
Markdown,TechTopics/DataScienceRoadMap2020/data_science_roadmap_2020.md,data_science_roadmap_2020.md,83,59,0,24,0
CSV,pandas/5_handling_missing_data_fillna_dropna_interpolate/weather_data.csv,weather_data.csv,10,10,0,0,0
Jupyter,matpltlib/5_histogram/5_histogram.ipynb,5_histogram.ipynb,320,320,0,0,0
Jupyter,pandas/8_concat/pandas_concat.ipynb,pandas_concat.ipynb,835,835,0,0,0
Jupyter,jupyter/jupyter_stocks.ipynb,jupyter_stocks.ipynb,262,262,0,0,0
CSV,pandas/11_melt/weather.csv,weather.csv,8,8,0,0,0
Jupyter,matpltlib/6_pie_chart/6_pie_chart.ipynb,6_pie_chart.ipynb,215,215,0,0,0
CSV,pandas/10_pivot/weather2.csv,weather2.csv,9,9,0,0,0
CSV,pandas/10_pivot/weather3.csv,weather3.csv,7,7,0,0,0
Jupyter,pandas/9_merge/pandas_merge.ipynb,pandas_merge.ipynb,1133,1133,0,0,0
Jupyter,pandas/5_handling_missing_data_fillna_dropna_interpolate/handling_missing_data_fillna_dropna_interpolate.ipynb,handling_missing_data_fillna_dropna_interpolate.ipynb,1604,1604,0,0,0
CSV,pandas/10_pivot/weather.csv,weather.csv,10,10,0,0,0
XML,DataScience/CelebrityFaceRecognition/model/opencv/haarcascades/haarcascade_eye_tree_eyeglasses.xml,haarcascade_eye_tree_eyeglasses.xml,22619,22576,43,0,0
CSV,pandas/2_dataframe_basics/weather_data.csv,weather_data.csv,7,7,0,0,0
Python,unittesting_pytest/fixtures/test_mydb.py,test_mydb.py,22,18,0,4,0
CSV,pandas/19_ts_timezone/msft.csv,msft.csv,8,8,0,0,0
Jupyter,pandas/10_pivot/pandas_pivot.ipynb,pandas_pivot.ipynb,1143,1143,0,0,0
Jupyter,pandas/19_ts_timezone/pandas_timezone_handling.ipynb,pandas_timezone_handling.ipynb,869,869,0,0,0
Jupyter,pandas/2_dataframe_basics/dataframe_basics.ipynb,dataframe_basics.ipynb,1279,1279,0,0,0
