Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
gitignore,.gitignore,.gitignore,58,35,13,10,0
Markdown,README.md,README.md,27,20,0,7,0
License,LICENSE,LICENSE,22,17,0,5,0
Markdown,houshengandt/readme.md,readme.md,28,21,0,7,0
Python,deng47/problem 0000/solution for problem 0000.py,solution for problem 0000.py,13,11,0,2,1
Python,neo1218/0023/web/app/auth/forms.py,forms.py,37,26,2,9,2
Python,llluiop/0013/pictures.py,pictures.py,43,26,1,16,8
Python,neo1218/0023/web/app/main/views.py,views.py,22,16,2,4,1
Python,ddkangfu/0014/0014.py,0014.py,49,42,4,3,0
gitignore,llluiop/.gitignore,.gitignore,32,5,13,14,0
Python,neo1218/0023/web/app/auth/views.py,views.py,42,34,2,6,6
Python,neo1218/0023/web/app/auth/__init__.py,__init__.py,5,3,0,2,0
Python,llluiop/0014/student.py,student.py,31,17,1,13,5
Plain Text,llluiop/0014/student.txt,student.txt,5,5,0,0,0
HTML,neo1218/0023/web/app/templates/index.html,index.html,25,23,0,2,0
Plain Text,ailurus1991/0006/diaries/3.txt,3.txt,19,19,0,0,0
Plain Text,ailurus1991/0006/diaries/2.txt,2.txt,20,20,0,0,0
Plain Text,ailurus1991/0006/diaries/1.txt,1.txt,16,15,0,1,0
Python,llluiop/0012/replacefilterwords.py,replacefilterwords.py,26,16,1,9,7
Python,ailurus1991/0006/main.py,main.py,31,23,2,6,8
Python,neo1218/0023/web/config.py,config.py,47,25,7,15,4
Plain Text,llluiop/0012/filtered_words.txt,filtered_words.txt,11,11,0,0,0
HTML,neo1218/0023/web/app/templates/base.html,base.html,55,49,0,6,0
Python,llluiop/0015/city.py,city.py,30,17,1,12,3
Python,ddkangfu/0013/0013.py,0013.py,56,29,5,22,8
Plain Text,ddkangfu/requirements.txt,requirements.txt,2,2,0,0,0
Python,llluiop/0006/MostWords.py,MostWords.py,36,24,1,11,17
Python,ddkangfu/0008/0008.py,0008.py,21,9,4,8,3
Plain Text,llluiop/0015/city.txt,city.txt,5,5,0,0,0
Python,llluiop/0023/MyDjango/manage.py,manage.py,10,6,1,3,1
HTML,neo1218/0023/web/app/templates/_posts.html,_posts.html,18,17,0,1,0
HTML,neo1218/0023/web/app/templates/_macros.html,_macros.html,29,29,0,0,0
Python,llluiop/0023/MyDjango/MyDjango/__init__.py,__init__.py,0,0,0,0,0
Python,llluiop/0001/InvitationCode.py,InvitationCode.py,28,24,1,3,1
Plain Text,ailurus1991/0001/codes.txt,codes.txt,200,200,0,0,0
Mako,neo1218/0023/web/migrations/script.py.mako,script.py.mako,22,15,0,7,0
Plain Text,ddkangfu/0014/student.txt,student.txt,5,5,0,0,0
HTML,llluiop/0023/MyDjango/templates/index.html,index.html,86,58,13,15,0
Python,neo1218/0023/web/migrations/env.py,env.py,73,52,13,8,0
Plain Text,neo1218/0023/web/requirements.txt,requirements.txt,18,18,0,0,0
Plain Text,llluiop/0006/diary/diary3.txt,diary3.txt,20,17,0,3,0
Markdown,neo1218/0023/web/README.md,README.md,6,4,0,2,0
Plain Text,llluiop/0006/diary/diary2.txt,diary2.txt,11,9,0,2,0
Python,ailurus1991/0001/main.py,main.py,22,18,2,2,3
Python,GitRangerLiu/0014/json_to_excel.py,json_to_excel.py,35,24,5,6,7
Python,neo1218/0023/web/app/models.py,models.py,40,30,3,7,0
Python,neo1218/0023/web/manage.py,manage.py,39,22,6,11,2
Python,neo1218/0023/web/app/__init__.py,__init__.py,43,28,4,11,0
Plain Text,GitRangerLiu/0014/student.txt,student.txt,5,5,0,0,0
Python,ddkangfu/0009/0009.py,0009.py,21,9,4,8,3
Python,neo1218/0023/web/tests/test_basics.py,test_basics.py,22,17,0,5,0
Python,neo1218/0023/web/app/main/forms.py,forms.py,11,6,2,3,0
Python,neo1218/0023/web/tests/__init__.py,__init__.py,0,0,0,0,0
Plain Text,ddkangfu/0015/city.txt,city.txt,5,5,0,0,0
Plain Text,llluiop/0006/diary/diary1.txt,diary1.txt,3,2,0,1,0
Python,neo1218/0023/web/app/main/errors.py,errors.py,12,8,0,4,0
Python,neo1218/0023/web/app/main/__init__.py,__init__.py,5,3,0,2,0
Python,neo1218/0023/web/tests/test_user_model.py,test_user_model.py,35,28,0,7,1
Python,neo1218/0023/web/wsgi.py,wsgi.py,8,3,2,3,1
Python,ddkangfu/0015/0015.py,0015.py,47,40,4,3,0
Plain Text,llluiop/0006/diary/diary5.txt,diary5.txt,38,33,0,5,0
HTML,neo1218/0023/web/app/templates/500.html,500.html,9,7,0,2,0
Plain Text,llluiop/0006/diary/diary.txt,diary.txt,38,33,0,5,0
Python,GitRangerLiu/0013/crawler.py,crawler.py,47,35,3,9,5
Plain Text,llluiop/0006/diary/diary4.txt,diary4.txt,34,29,0,5,0
HTML,neo1218/0023/web/app/templates/404.html,404.html,9,7,0,2,0
Python,neo1218/0023/web/migrations/versions/3277cb11e991_initial_migration.py,3277cb11e991_initial_migration.py,47,29,12,6,0
Python,ddkangfu/0001/0001.py,0001.py,22,15,4,3,2
HTML,neo1218/0023/web/app/templates/auth/register.html,register.html,13,11,0,2,0
Python,llluiop/0008/MianText.py,MianText.py,43,33,1,9,2
Python,llluiop/0009/FindLinks.py,FindLinks.py,37,31,1,5,5
Python,llluiop/0023/MyDjango/web/models.py,models.py,16,10,1,5,0
Python,llluiop/0023/MyDjango/MyDjango/settings.py,settings.py,114,77,11,26,0
Python,llluiop/0023/MyDjango/web/__init__.py,__init__.py,0,0,0,0,0
HTML,llluiop/0023/MyDjango/templates/board.html,board.html,63,52,0,11,0
Python,llluiop/0023/MyDjango/web/admin.py,admin.py,10,5,2,3,0
Python,llluiop/0023/MyDjango/web/tests.py,tests.py,3,1,1,1,0
Python,llluiop/0023/MyDjango/MyDjango/urls.py,urls.py,34,27,7,0,0
Python,llluiop/0023/MyDjango/MyDjango/wsgi.py,wsgi.py,16,4,8,4,0
Python,llluiop/0023/MyDjango/web/views.py,views.py,48,31,1,16,2
Python,llluiop/0023/MyDjango/web/migrations/__init__.py,__init__.py,0,0,0,0,0
Python,llluiop/0021/password.py,password.py,23,13,2,8,3
Python,llluiop/0023/MyDjango/web/migrations/0002_message.py,0002_message.py,23,17,1,5,0
Python,llluiop/0023/MyDjango/web/migrations/0001_initial.py,0001_initial.py,21,15,1,5,0
