Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,21,17,0,4,0
ReStructuredText,PYPIREADME.rst,PYPIREADME.rst,150,105,0,45,0
Plain Text,requirements.txt,requirements.txt,8,8,0,0,0
Plain Text,test-requirements.txt,test-requirements.txt,9,9,0,0,0
gitignore,.gitignore,.gitignore,7,7,0,0,0
ReStructuredText,README.rst,README.rst,164,114,0,50,0
YAML,.travis.yml,.travis.yml,18,14,0,4,0
Python,setup.py,setup.py,28,26,1,1,0
Python,tests/__init__.py,__init__.py,0,0,0,0,0
Python,binance/enums.py,enums.py,50,41,1,8,0
Python,examples/save_historical_data.py,save_historical_data.py,156,151,2,3,0
Python,binance/__init__.py,__init__.py,5,0,5,0,0
Python,binance/helpers.py,helpers.py,52,45,3,4,0
Python,binance/depthcache.py,depthcache.py,273,200,63,10,2
Python,tests/test_depth_cache.py,test_depth_cache.py,42,24,4,14,4
ReStructuredText,docs/withdraw.rst,withdraw.rst,65,47,0,18,0
Python,tests/test_historical_klines.py,test_historical_klines.py,247,209,7,31,10
ReStructuredText,docs/index.rst,index.rst,32,25,0,7,0
ReStructuredText,docs/faqs.rst,faqs.rst,28,16,0,12,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,26,20,0,6,0
ReStructuredText,docs/account.rst,account.rst,217,135,0,82,0
Python,binance/exceptions.py,exceptions.py,83,53,1,29,1
ReStructuredText,docs/websockets.rst,websockets.rst,207,124,0,83,0
Python,binance/websockets.py,websockets.py,599,542,29,28,6
Python,tests/test_api_request.py,test_api_request.py,50,28,6,16,0
Makefile,docs/Makefile,Makefile,23,12,6,5,0
ReStructuredText,docs/depth_cache.rst,depth_cache.rst,94,65,0,29,0
ReStructuredText,docs/helpers.rst,helpers.rst,6,5,0,1,0
ReStructuredText,docs/general.rst,general.rst,57,34,0,23,0
ReStructuredText,docs/overview.rst,overview.rst,122,74,0,48,0
ReStructuredText,docs/market_data.rst,market_data.rst,122,73,0,49,0
ReStructuredText,docs/exceptions.rst,exceptions.rst,33,23,0,10,0
ReStructuredText,docs/constants.rst,constants.rst,79,61,0,18,0
ReStructuredText,docs/margin.rst,margin.rst,189,111,0,78,0
ReStructuredText,docs/binance.rst,binance.rst,42,32,0,10,0
ReStructuredText,docs/sub_accounts.rst,sub_accounts.rst,36,23,0,13,0
ReStructuredText,docs/changelog.rst,changelog.rst,606,360,0,246,0
Python,docs/conf.py,conf.py,185,52,92,41,1
Python,binance/client.py,client.py,3704,3600,50,54,27
