Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,4,3,0,1,0
Plain Text,src/4/generators_with_state/somefile.txt,somefile.txt,4,4,0,0,0
Python,src/4/generators_with_state/example.py,example.py,29,22,2,5,8
Python,src/14/raising_an_exception_in_response_to_another_exception/example.py,example.py,50,34,6,10,1
Python,src/10/monkeypatching_modules_on_import/postimport.py,postimport.py,40,31,1,8,6
Python,src/14/logging_test_output_to_a_file/test.py,test.py,36,25,4,7,1
Python,src/14/testing_for_exceptional_conditions_in_unit_tests/test.py,test.py,29,19,4,6,1
Python,src/3/determining_last_fridays_date/example.py,example.py,15,12,0,3,2
Python,src/10/monkeypatching_modules_on_import/example1.py,example1.py,8,6,0,2,1
Python,src/10/monkeypatching_modules_on_import/example2.py,example2.py,22,16,1,5,1
Python,src/4/delegating-iteration/example.py,example.py,26,18,3,5,3
Python,src/10/splitting_a_module_into_multiple_files/mymodule/a.py,a.py,6,3,1,2,0
Python,src/10/splitting_a_module_into_multiple_files/mymodule/b.py,b.py,8,4,1,3,0
Python,src/4/iterating_on_items_in_separate_containers/example.py,example.py,8,5,1,2,2
Python,src/10/splitting_a_module_into_multiple_files/mymodule/__init__.py,__init__.py,5,2,1,2,0
Python,src/10/splitting_a_module_into_multiple_files/example.py,example.py,6,5,0,1,0
Python,src/2/reformatting_text_to_fixed_number_of_columns/example.py,example.py,23,12,4,7,0
Python,src/13/prompting_for_a_password_at_runtime/example.py,example.py,7,5,0,2,0
Python,src/13/simple_logging_for_scripts/example1.py,example1.py,24,17,3,4,1
Python,src/5/reading_and_writing_text_data/example.py,example.py,30,21,6,3,2
Python,src/14/profiling_and_timing_your_program/timethis.py,timethis.py,23,17,1,5,2
Python,src/5/iterating_over_fixed-sized_records/example.py,example.py,13,7,4,2,0
Python,src/13/making_a_stopwatch/stopwatch.py,stopwatch.py,50,38,0,12,6
Python,src/5/getting_a_directory_listing/example.py,example.py,19,11,3,5,8
Python,src/5/wrapping_an_existing_file_descriptor_as_a_file_object/echo.py,echo.py,26,19,2,5,4
Python,src/13/simple_logging_for_scripts/example2.py,example2.py,22,15,3,4,1
Plain Text,src/5/reading_and_writing_text_data/sample.txt,sample.txt,2,2,0,0,0
Python,src/13/adding_logging_to_libraries/somelib.py,somelib.py,10,6,2,2,0
Python,src/13/putting_limits_on_memory_and_cpu_usage/example.py,example.py,18,14,1,3,2
Python,src/14/make_your_programs_run_faster/example.py,example.py,35,31,0,4,10
Python,src/13/generating_a_range_of_ip_addresses_from_a_cidr_address/example.py,example.py,26,17,3,6,10
Python,src/13/finding_files/modified_within.py,modified_within.py,27,17,1,9,8
Python,src/14/testing_output_sent_to_stdout/testmymodule.py,testmymodule.py,19,16,0,3,1
Python,src/1/extracting_a_subset_of_a_dictionary/example.py,example.py,23,15,3,5,7
Python,src/12/simple_parallel_programming/findrobots.py,findrobots.py,37,25,7,5,8
Python,src/13/executing_an_external_command_and_getting_its_output/example2.py,example2.py,20,18,1,1,0
Python,src/1/working_with_multiple_mappings_as_a_single_mapping/example.py,example.py,51,28,11,12,0
Python,src/8/creating_a_new_kind_of_class_or_instance_attribute/example1.py,example1.py,34,28,1,5,4
Python,src/12/how_to_create_a_thread_pool/example1.py,example1.py,27,21,3,3,4
Python,src/8/creating_cached_instances/example1.py,example1.py,26,18,2,6,4
Makefile,src/15/Makefile,Makefile,5,4,0,1,0
Python,src/12/how_to_create_a_thread_pool/example3.py,example3.py,16,11,2,3,0
Python,src/8/creating_cached_instances/example3.py,example3.py,24,18,1,5,3
Python,src/8/creating_a_new_kind_of_class_or_instance_attribute/example2.py,example2.py,45,35,4,6,6
Python,src/12/how_to_lock_critical_sections/example1.py,example1.py,45,30,9,6,5
Python,src/12/how_to_determine_if_a_thread_has_started/example1.py,example1.py,23,15,4,4,1
Python,src/12/storing_thread_specific_state/example1.py,example1.py,45,38,2,5,1
Python,src/12/simple_parallel_programming/findrobots_par.py,findrobots_par.py,38,27,7,4,8
C,src/15/sample.c,sample.c,53,40,7,6,4
Python,src/12/launching_a_daemon_process_on_unix/daemon.py,daemon.py,94,66,9,19,8
Python,src/12/storing_thread_specific_state/example2.py,example2.py,60,54,1,5,2
Python,src/14/skipping_or_anticipating_test_failures/test.py,test.py,26,20,0,6,1
Python,src/12/locking_with_deadlock_avoidance/example2.py,example2.py,34,25,0,9,2
Python,src/12/how_to_start_and_stop_threads/example.py,example.py,26,20,0,6,2
Python,src/12/using_generators_as_an_alternative_to_threads/simple.py,simple.py,49,31,11,7,3
Python,src/12/how_to_communicate_between_threads/example1.py,example1.py,43,27,7,9,4
Python,src/12/using_generators_as_an_alternative_to_threads/netsched.py,netsched.py,159,125,20,14,13
Python,src/8/customized_formatting/example1.py,example1.py,19,17,0,2,1
Python,src/12/how_to_communicate_between_threads/example2.py,example2.py,49,42,0,7,4
Python,src/12/using_generators_as_an_alternative_to_threads/actorsched.py,actorsched.py,59,36,15,8,6
Python,src/12/defining_an_actor_task/actor.py,actor.py,75,45,18,12,4
Python,src/12/polling_multiple_thread_queues/pqueue.py,pqueue.py,63,45,8,10,5
Python,src/8/delegation_and_proxies/example4.py,example4.py,22,17,0,5,1
Python,src/8/delegation_and_proxies/example1.py,example1.py,22,16,1,5,1
Python,src/13/reading_configuration_files/example1.py,example1.py,9,9,0,0,0
Python,src/8/delegation_and_proxies/example2.py,example2.py,45,29,8,8,3
Python,src/8/delegation_and_proxies/example3.py,example3.py,24,20,1,3,1
Python,src/12/how_to_create_a_thread_pool/example2.py,example2.py,36,27,5,4,6
Python,src/12/defining_an_actor_task/worker.py,worker.py,36,28,1,7,2
Python,src/8/implementing_stateful_objects_or_state_machines/example1.py,example1.py,59,43,1,15,1
Python,src/12/defining_an_actor_task/tagged.py,tagged.py,24,17,2,5,2
Python,src/8/implementing_the_visitor_pattern/example.py,example.py,118,78,7,33,3
Python,src/14/testing_output_sent_to_stdout/mymodule.py,mymodule.py,5,3,1,1,0
Python,src/5/writing_bytes_to_a_text_file/example.py,example.py,9,3,3,3,0
Python,src/8/implementing_stateful_objects_or_state_machines/example2.py,example2.py,87,64,4,19,1
Python,src/13/executing_an_external_command_and_getting_its_output/example1.py,example1.py,9,8,0,1,0
Python,src/8/how_to_define_more_than_one_constructor_in_a_class/example.py,example.py,28,21,2,5,1
Python,src/8/how_to_define_more_than_one_constructor_in_a_class/example2.py,example2.py,32,25,2,5,1
Python,src/8/calling_a_method_on_a_parent_class/example5.py,example5.py,25,17,3,5,1
C Header,src/15/sample.h,sample.h,12,8,1,3,0
Python,src/8/extending_a_property_in_a_subclass/example.py,example.py,60,46,4,10,3
Python,src/12/implementing_publish_subscribe_messaging/exchange2.py,exchange2.py,55,37,4,14,7
Python,src/8/creating_cached_instances/example2.py,example2.py,28,23,0,5,4
Python,src/8/calling_a_method_on_a_parent_class/example1.py,example1.py,12,10,0,2,1
Python,src/12/implementing_publish_subscribe_messaging/exchange1.py,exchange1.py,46,30,3,13,3
Python,src/8/creating_managed_attributes/example.py,example.py,27,20,3,4,3
Python,src/8/extending_a_property_in_a_subclass/example2.py,example2.py,46,37,1,8,4
Python,src/8/implementing_the_visitor_pattern_without_recursion/example1.py,example1.py,74,48,5,21,3
Python,src/15/defining_and_exporting_c_apis_from_extension_modules/ptsetup.py,ptsetup.py,11,9,1,1,0
C,src/15/defining_and_exporting_c_apis_from_extension_modules/pysample.c,pysample.c,87,68,7,12,7
Python,src/8/creating_an_instance_without_invoking_init/example.py,example.py,35,27,1,7,0
Python,src/15/defining_and_exporting_c_apis_from_extension_modules/setup.py,setup.py,11,9,1,1,0
C,src/15/defining_and_exporting_c_apis_from_extension_modules/ptexample.c,ptexample.c,50,36,6,8,5
Python,src/15/defining_and_exporting_c_apis_from_extension_modules/example.py,example.py,4,4,0,0,0
C Header,src/15/defining_and_exporting_c_apis_from_extension_modules/pysample.h,pysample.h,31,21,5,5,1
Plain Text,src/15/defining_and_exporting_c_apis_from_extension_modules/README.txt,README.txt,4,3,0,1,0
Python,src/15/managing_opaque_pointers_in_c_extension_modules/setup.py,setup.py,11,9,1,1,0
C,src/15/managing_opaque_pointers_in_c_extension_modules/pysample.c,pysample.c,70,54,6,10,4
Python,src/8/implementing_the_visitor_pattern_without_recursion/node.py,node.py,38,29,4,5,3
