Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,19,16,0,3,0
Dockerfile,Dockerfile,Dockerfile,112,75,24,13,17
Makefile,Makefile,Makefile,82,63,1,18,6
Autoconf,MANIFEST.in,MANIFEST.in,13,8,0,5,0
Markdown,CHANGELOG.md,CHANGELOG.md,1495,1412,0,83,0
TOML,.deepsource.toml,.deepsource.toml,12,8,0,4,0
Markdown,README.md,README.md,139,96,0,43,0
Shell,distribute.sh,distribute.sh,35,19,6,10,0
gitignore,.gitignore,.gitignore,40,27,5,8,0
Python,setup.py,setup.py,126,121,1,4,0
Docker ignore,.dockerignore,.dockerignore,8,8,0,0,0
Markdown,.github/ISSUE_TEMPLATE.md,ISSUE_TEMPLATE.md,45,34,0,11,0
YAML,.travis.yml,.travis.yml,69,53,11,5,0
Makefile,doc/Makefile,Makefile,192,156,6,30,3
Python,tests/test_build.py,test_build.py,50,41,5,4,1
YAML,.github/workflows/push.yml,push.yml,101,93,2,6,0
ReStructuredText,testapps/on_device_unit_tests/README.rst,README.rst,51,36,0,15,0
Python,tests/recipes/test_openssl.py,test_openssl.py,65,51,6,8,4
Python,testapps/testapp_sqlite_openssl/main.py,main.py,235,212,0,23,1
Python,tests/test_archs.py,test_archs.py,420,410,5,5,0
Python,pythonforandroid/util.py,util.py,106,99,3,4,0
Python,tests/recipes/test_openal.py,test_openal.py,62,50,7,5,0
Python,tests/recipes/test_libsecp256k1.py,test_libsecp256k1.py,10,5,3,2,0
Python,tests/recipes/test_libiconv.py,test_libiconv.py,10,5,3,2,0
Python,tests/recipes/test_libmysqlclient.py,test_libmysqlclient.py,32,23,6,3,0
Python,tests/recipes/test_python3.py,test_python3.py,211,172,19,20,6
Python,tests/recipes/test_jpeg.py,test_jpeg.py,9,4,3,2,0
Python,pythonforandroid/graph.py,graph.py,341,238,61,42,116
Python,testapps/testlauncher_setup/sdl2.py,sdl2.py,30,28,0,2,0
Python,tests/recipes/recipe_lib_test.py,recipe_lib_test.py,156,107,31,18,6
Python,testapps/setup_testapp_python3_sqlite_openssl.py,setup_testapp_python3_sqlite_openssl.py,24,21,0,3,0
Python,testapps/setup_vispy.py,setup_vispy.py,33,30,0,3,0
Python,ci/rebuild_updated_recipes.py,rebuild_updated_recipes.py,96,64,29,3,2
Python,tests/test_toolchain.py,test_toolchain.py,145,112,18,15,5
Python,pythonforandroid/bdistapk.py,bdistapk.py,161,137,8,16,31
Makefile,ci/makefiles/osx.mk,osx.mk,23,14,3,6,0
Makefile,ci/makefiles/android.mk,android.mk,72,51,7,14,5
Python,tests/test_distribution.py,test_distribution.py,274,196,56,22,0
Python,tests/test_util.py,test_util.py,138,114,18,6,1
Python,ci/constants.py,constants.py,38,21,12,5,0
Python,testapps/on_device_unit_tests/setup.py,setup.py,95,51,38,6,7
Python,pythonforandroid/build.py,build.py,1070,828,94,148,211
Python,tests/recipes/test_libffi.py,test_libffi.py,15,9,3,3,0
Python,tests/test_pythonpackage_basic.py,test_pythonpackage_basic.py,316,287,27,2,3
Python,tests/recipes/recipe_ctx.py,recipe_ctx.py,54,44,5,5,0
Python,tests/recipes/test_libcurl.py,test_libcurl.py,10,5,3,2,0
Python,testapps/on_device_unit_tests/test_app/tools.py,tools.py,162,136,18,8,3
Python,tests/recipes/test_liblzma.py,test_liblzma.py,35,20,10,5,0
Python,tests/recipes/test_pyicu.py,test_pyicu.py,52,37,9,6,2
Python,pythonforandroid/recommendations.py,recommendations.py,232,193,31,8,7
Python,pythonforandroid/__init__.py,__init__.py,1,1,0,0,0
Python,tests/recipes/test_snappy.py,test_snappy.py,9,4,3,2,0
Python,testapps/on_device_unit_tests/test_app/constants.py,constants.py,9,5,1,3,7
Python,tests/recipes/test_icu.py,test_icu.py,124,101,9,14,7
Python,tests/recipes/test_hostpython3.py,test_hostpython3.py,164,115,31,18,0
Python,ci/__init__.py,__init__.py,0,0,0,0,0
Python,tests/recipes/test_harfbuzz.py,test_harfbuzz.py,10,5,3,2,0
Python,tests/recipes/test_reportlab.py,test_reportlab.py,41,26,10,5,0
Python,tests/recipes/test_libx264.py,test_libx264.py,10,5,3,2,0
Python,testapps/testapp_vispy/main.py,main.py,83,60,6,17,6
Python,tests/recipes/test_libvorbis.py,test_libvorbis.py,31,22,6,3,0
Python,tests/recipes/test_pandas.py,test_pandas.py,51,35,9,7,0
Python,tests/recipes/test_libxslt.py,test_libxslt.py,15,10,3,2,0
Python,tests/recipes/test_png.py,test_png.py,10,5,3,2,0
Python,tests/recipes/test_libshine.py,test_libshine.py,10,5,3,2,0
Python,tests/test_bootstrap.py,test_bootstrap.py,657,597,39,21,2
Python,tests/recipes/test_libbz2.py,test_libbz2.py,33,17,10,6,0
Python,pythonforandroid/bootstrap.py,bootstrap.py,439,436,0,3,4
Python,pythonforandroid/patching.py,patching.py,89,59,0,30,5
Python,testapps/testlauncherreboot_setup/sdl2.py,sdl2.py,105,103,2,0,0
Python,tests/test_graph.py,test_graph.py,236,157,40,39,20
Python,pythonforandroid/logger.py,logger.py,232,211,3,18,9
Batch,doc/make.bat,make.bat,263,227,2,34,82
Python,tests/test_recipe.py,test_recipe.py,360,277,50,33,4
Python,tests/test_logger.py,test_logger.py,18,10,5,3,0
Python,tests/test_pythonpackage.py,test_pythonpackage.py,111,84,17,10,13
Python,tests/recipes/test_libexpat.py,test_libexpat.py,10,5,3,2,0
Python,pythonforandroid/entrypoints.py,entrypoints.py,20,9,7,4,0
Python,pythonforandroid/distribution.py,distribution.py,287,228,31,28,56
Python,tests/test_recommendations.py,test_recommendations.py,249,229,9,11,0
Python,pythonforandroid/archs.py,archs.py,313,305,2,6,0
Python,tests/test_androidmodule_ctypes_finder.py,test_androidmodule_ctypes_finder.py,130,105,10,15,9
Python,testapps/on_device_unit_tests/test_app/app_service.py,app_service.py,30,25,2,3,0
Python,tests/recipes/test_libxml2.py,test_libxml2.py,14,9,3,2,0
Python,testapps/on_device_unit_tests/test_app/widgets.py,widgets.py,29,18,1,10,0
Python,tests/recipes/test_libpq.py,test_libpq.py,30,21,6,3,0
Python,testapps/on_device_unit_tests/test_app/app_flask.py,app_flask.py,138,129,0,9,0
Python,tests/recipes/test_leveldb.py,test_leveldb.py,9,4,3,2,0
Python,tests/recipes/test_freetype.py,test_freetype.py,10,5,3,2,0
Python,tests/recipes/test_gevent.py,test_gevent.py,67,59,4,4,0
ReStructuredText,doc/source/docker.rst,docker.rst,68,51,0,17,0
Python,testapps/on_device_unit_tests/test_app/app_kivy.py,app_kivy.py,163,147,2,14,6
Python,pythonforandroid/pythonpackage.py,pythonpackage.py,787,769,16,2,5
Python,pythonforandroid/recipe.py,recipe.py,1186,1130,27,29,62
Python,pythonforandroid/toolchain.py,toolchain.py,1266,1200,29,37,60
Python,testapps/on_device_unit_tests/test_app/main.py,main.py,96,58,36,2,4
Python,pythonforandroid/bootstraps/__init__.py,__init__.py,0,0,0,0,0
ReStructuredText,doc/source/apis.rst,apis.rst,246,169,0,77,0
ReStructuredText,doc/source/launcher.rst,launcher.rst,101,74,0,27,0
ReStructuredText,doc/source/index.rst,index.rst,49,40,0,9,0
Python,pythonforandroid/tools/biglink,biglink,51,36,2,13,21
Python,pythonforandroid/tools/liblink,liblink,81,60,2,19,18
Python,tests/recipes/test_libgeos.py,test_libgeos.py,29,20,6,3,0
ReStructuredText,doc/source/contribute.rst,contribute.rst,232,175,0,57,0
Python,doc/source/conf.py,conf.py,296,43,178,75,0
Python,tests/recipes/test_libogg.py,test_libogg.py,10,5,3,2,0
ReStructuredText,doc/source/recipes.rst,recipes.rst,492,355,0,137,0
Plain Text,pythonforandroid/bootstraps/common/build/whitelist.txt,whitelist.txt,1,1,0,0,0
Properties File,pythonforandroid/bootstraps/common/build/ant.properties,ant.properties,22,3,13,6,0
Python,pythonforandroid/bootstraps/sdl2/__init__.py,__init__.py,56,38,2,16,6
C Header,pythonforandroid/bootstraps/sdl2/build/jni/application/src/bootstrap_name.h,bootstrap_name.h,5,2,0,3,0
XML,pythonforandroid/bootstraps/sdl2/build/src/main/res/layout/project_chooser.xml,project_chooser.xml,22,17,0,5,0
Python,pythonforandroid/recipes/__init__.py,__init__.py,0,0,0,0,0
Java,pythonforandroid/bootstraps/common/build/src/main/java/org/kamranzafar/jtar/TarInputStream.java,TarInputStream.java,249,138,71,40,32
Batch,pythonforandroid/bootstraps/common/build/gradlew.bat,gradlew.bat,90,66,0,24,22
Java,pythonforandroid/bootstraps/common/build/src/main/java/org/kamranzafar/jtar/TarOutputStream.java,TarOutputStream.java,163,88,54,21,15
Java,pythonforandroid/bootstraps/common/build/src/main/java/org/kamranzafar/jtar/TarUtils.java,TarUtils.java,96,55,27,14,18
Java,pythonforandroid/bootstraps/common/build/src/main/java/org/kamranzafar/jtar/Octal.java,Octal.java,141,53,71,17,16
XML,pythonforandroid/bootstraps/common/build/templates/lottie.xml,lottie.xml,22,20,0,2,0
Properties File,pythonforandroid/bootstraps/common/build/templates/build.properties,build.properties,21,4,13,4,0
Java,pythonforandroid/bootstraps/sdl2/build/src/main/java/org/kivy/android/GenericBroadcastReceiverCallback.java,GenericBroadcastReceiverCallback.java,8,6,0,2,0
