Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
YAML,codecov.yml,codecov.yml,10,7,2,1,0
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,47,29,0,18,0
Plain Text,requirements.txt,requirements.txt,6,6,0,0,0
License,LICENSE,LICENSE,619,512,0,107,0
YAML,.pre-commit-config.yaml,.pre-commit-config.yaml,25,25,0,0,0
Makefile,Makefile,Makefile,58,48,0,10,0
TOML,pyproject.toml,pyproject.toml,11,7,3,1,0
Autoconf,MANIFEST.in,MANIFEST.in,1,1,0,0,0
YAML,.readthedocs.yml,.readthedocs.yml,10,6,1,3,0
Plain Text,requirements-dev.txt,requirements-dev.txt,12,12,0,0,0
Python,setup.py,setup.py,68,53,4,11,8
ReStructuredText,README.rst,README.rst,213,137,0,76,0
ReStructuredText,AUTHORS.rst,AUTHORS.rst,98,91,0,7,0
YAML,.github/workflows/example_notifier.yml,example_notifier.yml,14,14,0,0,0
ReStructuredText,CHANGES.rst,CHANGES.rst,1478,1066,0,412,0
Python,examples/conversationbot2.py,conversationbot2.py,152,91,24,37,5
YAML,.github/workflows/test.yml,test.yml,117,114,0,3,0
Markdown,.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,24,19,0,5,0
Python,telegram/replymarkup.py,replymarkup.py,32,3,25,4,0
Python,telegram/error.py,error.py,130,53,46,31,2
Python,telegram/__main__.py,__main__.py,54,29,18,7,2
Python,telegram/userprofilephotos.py,userprofilephotos.py,74,37,29,8,4
Python,telegram/keyboardbuttonpolltype.py,keyboardbuttonpolltype.py,42,6,32,4,0
Python,telegram/base.py,base.py,120,69,27,24,22
Shell,contrib/build-debian.sh,build-debian.sh,7,4,1,2,0
License,contrib/debian/copyright,copyright,30,26,0,4,0
gitignore,.gitignore,.gitignore,86,57,16,13,0
Python,telegram/vendor/__init__.py,__init__.py,0,0,0,0,0
Python,telegram/games/callbackgame.py,callbackgame.py,25,2,20,3,0
Python,telegram/callbackquery.py,callbackquery.py,372,128,224,20,11
Python,telegram/games/gamehighscore.py,gamehighscore.py,63,18,35,10,3
Python,telegram/dice.py,dice.py,65,41,22,2,0
Python,telegram/games/game.py,game.py,175,74,82,19,18
Python,telegram/messageentity.py,messageentity.py,125,46,68,11,3
Python,telegram/chatmember.py,chatmember.py,191,159,26,6,10
Python,telegram/version.py,version.py,20,1,18,1,0
Python,telegram/user.py,user.py,391,357,28,6,16
Python,telegram/keyboardbutton.py,keyboardbutton.py,83,48,32,3,1
Python,telegram/forcereply.py,forcereply.py,58,21,30,7,5
Python,telegram/parsemode.py,parsemode.py,39,6,29,4,0
Python,telegram/constants.py,constants.py,221,151,50,20,3
Python,telegram/webhookinfo.py,webhookinfo.py,90,30,55,5,0
Python,telegram/chataction.py,chataction.py,47,13,31,3,0
Python,telegram/replykeyboardmarkup.py,replykeyboardmarkup.py,264,159,94,11,6
Python,telegram/choseninlineresult.py,choseninlineresult.py,96,29,57,10,3
Python,telegram/replykeyboardremove.py,replykeyboardremove.py,61,24,33,4,3
Python,telegram/update.py,update.py,262,195,61,6,12
Python,telegram/__init__.py,__init__.py,271,249,19,3,0
ReStructuredText,.github/CONTRIBUTING.rst,CONTRIBUTING.rst,256,150,0,106,0
Python,telegram/games/__init__.py,__init__.py,0,0,0,0,0
YAML,.github/stale.yml,stale.yml,14,8,6,0,0
Python,telegram/files/venue.py,venue.py,82,48,30,4,1
Makefile,docs/Makefile,Makefile,192,156,6,30,3
Python,telegram/files/inputfile.py,inputfile.py,101,41,46,14,11
Python,telegram/files/sticker.py,sticker.py,260,227,28,5,11
Python,telegram/poll.py,poll.py,265,109,125,31,19
Python,telegram/files/__init__.py,__init__.py,0,0,0,0,0
Python,telegram/files/photosize.py,photosize.py,97,64,28,5,8
Python,telegram/files/videonote.py,videonote.py,113,80,28,5,10
Python,telegram/inline/inlinequeryresultvoice.py,inlinequeryresultvoice.py,91,61,26,4,1
Python,telegram/files/animation.py,animation.py,125,92,28,5,9
Python,telegram/files/voice.py,voice.py,97,64,28,5,9
Python,telegram/botcommand.py,botcommand.py,46,7,35,4,0
Python,telegram/files/location.py,location.py,47,7,35,5,0
Python,telegram/chatpermissions.py,chatpermissions.py,111,33,73,5,0
Python,telegram/loginurl.py,loginurl.py,85,33,50,2,0
Python,telegram/files/document.py,document.py,115,80,29,6,8
Python,telegram/files/chatphoto.py,chatphoto.py,124,89,31,4,15
Python,telegram/files/file.py,file.py,179,138,34,7,8
Python,telegram/files/audio.py,audio.py,124,90,28,6,11
Python,telegram/files/contact.py,contact.py,65,37,25,3,0
Python,telegram/files/video.py,video.py,120,87,28,5,9
Python,telegram/inline/inlinequeryresultarticle.py,inlinequeryresultarticle.py,92,65,22,5,5
Python,telegram/inline/inlinequeryresultcontact.py,inlinequeryresultcontact.py,94,64,25,5,4
Python,telegram/passport/passportfile.py,passportfile.py,127,91,29,7,9
Python,telegram/files/inputmedia.py,inputmedia.py,386,332,46,8,16
Python,telegram/message.py,message.py,1717,1549,148,20,25
Python,telegram/utils/deprecate.py,deprecate.py,49,16,23,10,0
Python,telegram/inline/inlinequeryresultcacheddocument.py,inlinequeryresultcacheddocument.py,91,62,25,4,1
Markdown,.github/ISSUE_TEMPLATE/question.md,question.md,29,22,0,7,0
Plain Text,docs/requirements-docs.txt,requirements-docs.txt,3,3,0,0,0
Python,telegram/passport/credentials.py,credentials.py,435,296,106,33,14
Python,telegram/chat.py,chat.py,478,417,55,6,2
Python,telegram/inline/inlinequeryresultvideo.py,inlinequeryresultvideo.py,120,86,30,4,1
Python,telegram/inline/__init__.py,__init__.py,0,0,0,0,0
Python,telegram/inline/inlinequeryresultmpeg4gif.py,inlinequeryresultmpeg4gif.py,111,81,26,4,1
Python,telegram/ext/handler.py,handler.py,212,74,125,13,14
Python,telegram/ext/inlinequeryhandler.py,inlinequeryhandler.py,197,79,104,14,11
Python,telegram/ext/choseninlineresulthandler.py,choseninlineresulthandler.py,98,8,84,6,1
ReStructuredText,docs/source/telegram.passportelementerrorfrontside.rst,telegram.passportelementerrorfrontside.rst,6,5,0,1,0
Python,telegram/inline/inputcontactmessagecontent.py,inputcontactmessagecontent.py,63,34,25,4,1
ReStructuredText,docs/source/telegram.userprofilephotos.rst,telegram.userprofilephotos.rst,6,5,0,1,0
Python,telegram/ext/conversationhandler.py,conversationhandler.py,600,515,75,10,14
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,43,29,0,14,0
Python,telegram/inline/inputlocationmessagecontent.py,inputlocationmessagecontent.py,55,8,42,5,0
Python,examples/inlinekeyboard.py,inlinekeyboard.py,66,32,14,20,1
YAML,.github/ISSUE_TEMPLATE/config.yml,config.yml,8,8,0,0,0
Python,telegram/ext/stringcommandhandler.py,stringcommandhandler.py,136,48,78,10,5
Python,telegram/ext/shippingqueryhandler.py,shippingqueryhandler.py,95,6,84,5,1
Python,telegram/payment/shippingaddress.py,shippingaddress.py,75,27,43,5,0
Python,examples/echobot.py,echobot.py,74,22,32,20,1
