Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Makefile,Makefile,Makefile,177,143,6,28,3
Markdown,README.md,README.md,141,93,0,48,0
gitignore,.gitignore,.gitignore,3,3,0,0,0
Plain Text,requirements_.txt,requirements_.txt,15,15,0,0,0
YAML,.travis.yml,.travis.yml,16,14,2,0,0
Batch,make.bat,make.bat,242,212,1,29,77
Markdown,README_en.md,README_en.md,131,85,0,46,0
Python,cookbook/__init__.py,__init__.py,7,0,6,1,0
Plain Text,cookbook/somefile.txt,somefile.txt,19,16,0,3,0
ReStructuredText,source/index.rst,index.rst,20,16,0,4,0
Python,notebook/fetch_cookbook.py,fetch_cookbook.py,175,159,6,10,15
ReStructuredText,source/aboutme.rst,aboutme.rst,19,12,0,7,0
Python,exts/chinese_search.py,chinese_search.py,6,4,1,1,0
ReStructuredText,source/copyright.rst,copyright.rst,15,12,0,3,0
Python,cookbook/c10/__init__.py,__init__.py,7,0,6,1,0
Python,cookbook/c04/__init__.py,__init__.py,7,0,6,1,0
Python,cookbook/c04/p16_iterate_while.py,p16_iterate_while.py,35,25,6,4,2
Python,cookbook/c04/p10_iterate_index.py,p10_iterate_index.py,48,29,10,9,15
Python,cookbook/c04/p14_flatten_sequence.py,p14_flatten_sequence.py,28,16,7,5,10
Python,cookbook/c04/p07_iterator_slice.py,p07_iterator_slice.py,25,11,6,8,4
Python,cookbook/c04/p13_process_pipline.py,p13_process_pipline.py,76,43,19,14,20
Python,cookbook/c04/p11_iterate_simultaneous.py,p11_iterate_simultaneous.py,35,21,6,8,11
Python,cookbook/c04/p05_reverse_iterate.py,p05_reverse_iterate.py,48,23,14,11,9
Python,cookbook/c04/p06_generator_extrastate.py,p06_generator_extrastate.py,36,24,6,6,8
Python,cookbook/c11/p05_.py,p05_.py,6,0,6,0,0
ReStructuredText,source/preface.rst,preface.rst,135,105,0,30,0
Python,cookbook/c04/p15_merge_sorted.py,p15_merge_sorted.py,27,13,7,7,5
Python,cookbook/c11/p07_.py,p07_.py,6,0,6,0,0
Python,cookbook/c10/p02_control_import.py,p02_control_import.py,20,6,8,6,0
Python,cookbook/c11/p08_.py,p08_.py,6,0,6,0,0
ReStructuredText,source/roadmap.rst,roadmap.rst,85,40,0,45,0
Python,cookbook/c11/p09_.py,p09_.py,6,0,6,0,0
Python,source/conf.py,conf.py,136,75,41,20,0
Python,cookbook/c10/p12_import_patch.py,p12_import_patch.py,67,42,7,18,6
Python,cookbook/c03/p16_timezone.py,p16_timezone.py,50,26,13,11,1
Python,cookbook/c02/p01_splitstr.py,p01_splitstr.py,21,13,6,2,0
Python,cookbook/c11/p06_.py,p06_.py,6,0,6,0,0
Python,cookbook/c02/p07_shortest_match.py,p07_shortest_match.py,25,11,8,6,1
Jupyter,notebook/ipynb/第七章：函数.ipynb,第七章：函数.ipynb,2065,2065,0,0,0
Python,cookbook/c05/p14_bypass_encode.py,p14_bypass_encode.py,15,5,6,4,1
Python,cookbook/c05/p13_dir_listfile.py,p13_dir_listfile.py,48,25,10,13,21
ReStructuredText,source/c11/p04_generate_range_of_ip_addresses_from_cidr_address.rst,p04_generate_range_of_ip_addresses_from_cidr_address.rst,111,91,0,20,0
Python,cookbook/c05/p21_serialize_object.py,p21_serialize_object.py,37,20,9,8,1
Python,cookbook/c02/p20_byte_str.py,p20_byte_str.py,38,20,9,9,1
Jupyter,notebook/ipynb/第十四章：测试、调试和异常.ipynb,第十四章：测试、调试和异常.ipynb,2360,2360,0,0,0
ReStructuredText,source/c11/p01_interact_with_http_services_as_client.rst,p01_interact_with_http_services_as_client.rst,208,140,0,68,0
Python,cookbook/c04/p08_skip_iterable.py,p08_skip_iterable.py,24,8,10,6,3
Python,cookbook/c04/p03_generator_pattern.py,p03_generator_pattern.py,38,22,8,8,5
Python,cookbook/c11/p12_.py,p12_.py,6,0,6,0,0
Python,cookbook/c04/p02_delegate_iter.py,p02_delegate_iter.py,32,18,8,6,3
Python,cookbook/c11/p03_.py,p03_.py,6,0,6,0,0
Python,cookbook/c11/p04_.py,p04_.py,6,0,6,0,0
Python,cookbook/c04/p12_iterate_separate.py,p12_iterate_separate.py,18,8,6,4,3
Python,cookbook/c11/p01_.py,p01_.py,6,0,6,0,0
Python,cookbook/c11/p10_.py,p10_.py,6,0,6,0,0
Python,cookbook/c11/p11_.py,p11_.py,6,0,6,0,0
Python,cookbook/c11/p02_.py,p02_.py,6,0,6,0,0
Python,cookbook/c03/p06_complex.py,p06_complex.py,23,10,7,6,1
Python,cookbook/c04/p04_iterator_protocol.py,p04_iterator_protocol.py,92,58,14,20,6
Python,cookbook/c02/p02_str_start.py,p02_str_start.py,48,30,8,10,9
Python,cookbook/c02/p12_translate.py,p12_translate.py,55,46,7,2,0
Jupyter,notebook/ipynb/第十三章：脚本编程与系统管理.ipynb,第十三章：脚本编程与系统管理.ipynb,2114,2114,0,0,0
Python,cookbook/c02/p19_descent_parser.py,p19_descent_parser.py,132,102,24,6,8
Python,cookbook/c02/p06_case_insensitive.py,p06_case_insensitive.py,32,20,7,5,2
Python,cookbook/c03/p13_last_friday.py,p13_last_friday.py,51,29,12,10,3
Jupyter,notebook/ipynb/第四章：迭代器与生成器.ipynb,第四章：迭代器与生成器.ipynb,1920,1920,0,0,0
Python,cookbook/c11/p13_.py,p13_.py,6,0,6,0,0
Python,cookbook/c02/p11_strip.py,p11_strip.py,37,24,8,5,0
Python,cookbook/c03/p08_fraction.py,p08_fraction.py,23,12,6,5,1
Python,cookbook/c04/p01_manual_iterator.py,p01_manual_iterator.py,28,20,6,2,1
Python,cookbook/c02/p08_multiline_match.py,p08_multiline_match.py,29,21,6,2,0
Jupyter,notebook/ipynb/第九章：元编程.ipynb,第九章：元编程.ipynb,4660,4660,0,0,0
Python,cookbook/c02/__init__.py,__init__.py,7,0,6,1,0
