Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
JSON,package.nls.fr.json,package.nls.fr.json,30,30,0,0,0
MSBuild,vscode-python-signing.csproj,vscode-python-signing.csproj,20,20,0,0,0
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,6,6,0,0,0
License,LICENSE,LICENSE,21,17,0,4,0
Plain Text,requirements.txt,requirements.txt,14,14,0,0,0
JSON,package.datascience-ui.dependencies.json,package.datascience-ui.dependencies.json,307,307,0,0,0
Plain Text,ThirdPartyNotices-Repository.txt,ThirdPartyNotices-Repository.txt,1198,980,0,218,0
JSON,package.nls.es.json,package.nls.es.json,31,31,0,0,0
Properties File,.sonarcloud.properties,.sonarcloud.properties,5,5,0,0,0
JSON,experiments.json,experiments.json,182,182,0,0,0
JSON,tsconfig.datascience-ui.json,tsconfig.datascience-ui.json,24,24,0,0,0
Markdown,README.md,README.md,94,60,0,34,0
Markdown,PYTHON_INTERACTIVE_TROUBLESHOOTING.md,PYTHON_INTERACTIVE_TROUBLESHOOTING.md,66,40,0,26,0
JSON,package.nls.ko-kr.json,package.nls.ko-kr.json,26,26,0,0,0
JSON,tsfmt.json,tsfmt.json,17,17,0,0,0
JSON,tslint.json,tslint.json,57,57,0,0,0
JSON,package.nls.tr.json,package.nls.tr.json,33,33,0,0,0
JSON,package.nls.ja.json,package.nls.ja.json,26,26,0,0,0
Markdown,CODING_STANDARDS.md,CODING_STANDARDS.md,55,38,0,17,0
gitignore,.gitignore,.gitignore,43,43,0,0,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,358,254,0,104,0
JSON,package.nls.pt-br.json,package.nls.pt-br.json,31,31,0,0,0
JSON,package.nls.zh-tw.json,package.nls.zh-tw.json,159,159,0,0,0
JSON,package.nls.nl.json,package.nls.nl.json,153,153,0,0,0
JSON,package.json,package.json,3790,3790,0,0,0
JavaScript,.prettierrc.js,.prettierrc.js,21,21,0,0,0
JSON,tsconfig.extension.json,tsconfig.extension.json,27,27,0,0,0
JSON,package.nls.pl.json,package.nls.pl.json,46,46,0,0,0
