Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Plain Text,Contributor Notes.txt,Contributor Notes.txt,15,9,0,6,0
gitignore,.gitignore,.gitignore,6,6,0,0,0
YAML,.travis.yml,.travis.yml,29,13,13,3,0
ReStructuredText,README.rst,README.rst,216,135,0,81,0
Batch,python2/run.bat,run.bat,45,32,4,9,3
Batch,python3/run.bat,run.bat,44,32,4,8,3
Plain Text,python2/koans.txt,koans.txt,41,41,0,0,0
Plain Text,python3/koans.txt,koans.txt,40,40,0,0,0
Plain Text,python3/example_file.txt,example_file.txt,4,4,0,0,0
Shell,python3/run.sh,run.sh,4,1,1,2,0
Shell,python2/run.sh,run.sh,7,5,1,1,1
Plain Text,python2/example_file.txt,example_file.txt,4,4,0,0,0
Python,python3/_runner_tests.py,_runner_tests.py,26,18,2,6,1
Python,python3/contemplate_koans.py,contemplate_koans.py,35,20,10,5,3
Python,python3/scent.py,scent.py,12,9,0,3,2
Python,python2/contemplate_koans.py,contemplate_koans.py,36,20,10,6,3
Python,python2/_runner_tests.py,_runner_tests.py,26,18,2,6,1
Python,python3/libs/colorama/__init__.py,__init__.py,7,4,1,2,0
Python,python2/scent.py,scent.py,12,9,0,3,2
Python,python3/libs/__init__.py,__init__.py,4,0,3,1,0
Python,python3/libs/mock.py,mock.py,271,191,15,65,54
Python,python3/libs/colorama/ansitowin32.py,ansitowin32.py,189,179,3,7,3
Plain Text,python2/koans/GREEDS_RULES.txt,GREEDS_RULES.txt,66,50,0,16,0
Python,python3/koans/about_monkey_patching.py,about_monkey_patching.py,48,25,9,14,0
Python,python3/libs/colorama/ansi.py,ansi.py,50,37,5,8,4
Python,python3/koans/about_lists.py,about_lists.py,109,68,12,29,0
Python,python3/koans/about_inheritance.py,about_inheritance.py,89,56,8,25,0
Python,python3/koans/about_triangle_project.py,about_triangle_project.py,23,15,3,5,0
Python,python3/koans/about_iteration.py,about_iteration.py,137,77,19,41,8
Python,python3/koans/about_string_manipulation.py,about_string_manipulation.py,74,51,4,19,0
Python,python3/koans/about_attribute_access.py,about_attribute_access.py,210,117,29,64,4
Python,python3/koans/jims.py,jims.py,6,3,2,1,0
Python,python3/koans/about_control_statements.py,about_control_statements.py,80,65,2,13,12
Python,python3/libs/colorama/initialise.py,initialise.py,56,35,1,20,7
Python,python2/koans/about_dictionaries.py,about_dictionaries.py,59,41,5,13,4
Python,python2/koans/about_iteration.py,about_iteration.py,115,66,15,34,7
Python,python2/koans/about_method_bindings.py,about_method_bindings.py,98,63,8,27,0
Python,python2/koans/about_decorating_with_functions.py,about_decorating_with_functions.py,32,20,3,9,0
Python,python2/koans/about_attribute_access.py,about_attribute_access.py,225,132,29,64,4
Python,python2/koans/about_asserts.py,about_asserts.py,79,20,42,17,0
Python,python2/koans/about_dice_project.py,about_dice_project.py,71,43,9,19,3
Python,python2/runner/sensei.py,sensei.py,269,248,4,17,20
Python,python3/libs/colorama/winterm.py,winterm.py,120,84,19,17,13
Python,python2/koans/about_comprehension.py,about_comprehension.py,61,37,2,22,18
Python,python2/koans/local_module_with_all_defined.py,local_module_with_all_defined.py,25,16,2,7,0
Python,python2/runner/path_to_enlightenment.py,path_to_enlightenment.py,62,58,3,1,0
Python,python2/koans/about_scoring_project.py,about_scoring_project.py,74,29,31,14,0
Python,python3/koans/local_module.py,local_module.py,10,6,2,2,0
Python,python2/koans/about_none.py,about_none.py,51,32,12,7,1
Python,python2/koans/about_class_attributes.py,about_class_attributes.py,165,108,11,46,0
Python,python3/koans/about_dictionaries.py,about_dictionaries.py,57,38,5,14,4
Python,python2/koans/about_triangle_project.py,about_triangle_project.py,24,15,3,6,0
Python,python2/koans/about_new_style_classes.py,about_new_style_classes.py,68,36,17,15,0
Python,python3/koans/about_none.py,about_none.py,51,34,11,6,1
Python,python3/libs/colorama/win32.py,win32.py,134,107,12,15,2
Python,python2/koans/about_string_manipulation.py,about_string_manipulation.py,76,51,5,20,0
Python,python2/koans/about_deleting_objects.py,about_deleting_objects.py,127,88,6,33,0
Python,python2/koans/about_true_and_false.py,about_true_and_false.py,43,32,2,9,1
Python,python2/koans/jims.py,jims.py,7,3,2,2,0
Python,python2/koans/__init__.py,__init__.py,4,0,3,1,0
Python,python2/libs/colorama/ansi.py,ansi.py,50,37,5,8,4
Python,python2/koans/about_monkey_patching.py,about_monkey_patching.py,50,26,9,15,0
Python,python2/koans/about_control_statements.py,about_control_statements.py,82,66,2,14,12
Python,python2/koans/about_methods.py,about_methods.py,169,90,29,50,0
Python,python2/koans/local_module.py,local_module.py,11,6,2,3,0
Python,python2/koans/about_lists.py,about_lists.py,107,68,10,29,0
Python,python2/libs/colorama/winterm.py,winterm.py,120,84,19,17,13
Python,python3/koans/about_true_and_false.py,about_true_and_false.py,43,32,2,9,1
Python,python2/libs/mock.py,mock.py,271,191,15,65,54
Python,python3/koans/__init__.py,__init__.py,4,0,3,1,0
Python,python3/koans/about_deleting_objects.py,about_deleting_objects.py,124,84,6,34,0
Python,python3/koans/about_methods.py,about_methods.py,162,87,26,49,0
Plain Text,python3/koans/GREEDS_RULES.txt,GREEDS_RULES.txt,66,50,0,16,0
Python,python3/koans/about_decorating_with_functions.py,about_decorating_with_functions.py,32,20,3,9,0
Python,python2/runner/__init__.py,__init__.py,5,0,3,2,0
