Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,CODE_OF_CONDUCT.md,CODE_OF_CONDUCT.md,16,10,0,6,0
YAML,.codecov.yml,.codecov.yml,31,18,10,3,0
YAML,.pre-commit-config.yaml,.pre-commit-config.yaml,20,18,2,0,0
Python,conftest.py,conftest.py,105,75,12,18,21
Makefile,Makefile,Makefile,68,46,5,17,0
TOML,pyproject.toml,pyproject.toml,15,14,1,0,2
Markdown,PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,32,24,0,8,0
Autoconf,MANIFEST.in,MANIFEST.in,32,30,1,1,0
License,COPYING,COPYING,29,23,0,6,0
YAML,azure-pipelines.yml,azure-pipelines.yml,188,160,21,7,0
gitignore,.gitignore,.gitignore,81,68,3,10,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,42,32,0,10,0
YAML,.travis.yml,.travis.yml,58,45,6,7,0
Python,setup.py,setup.py,290,222,34,34,26
ReStructuredText,README.rst,README.rst,185,128,0,57,0
YAML,lgtm.yml,lgtm.yml,8,8,0,0,0
YAML,.circleci/config.yml,config.yml,165,155,4,6,0
YAML,.github/workflows/unassign.yml,unassign.yml,15,13,1,1,0
YAML,.github/labeler.yml,labeler.yml,5,5,0,0,0
Markdown,.github/ISSUE_TEMPLATE/feature_request.md,feature_request.md,22,16,0,6,0
Markdown,.github/ISSUE_TEMPLATE/doc_improvement.md,doc_improvement.md,20,15,0,5,0
YAML,.github/labeler-module.yml,labeler-module.yml,80,54,0,26,0
Shell,maint_tools/whats_missing.sh,whats_missing.sh,61,50,3,8,2
Python,benchmarks/bench_plot_parallel_pairwise.py,bench_plot_parallel_pairwise.py,46,32,2,12,2
Python,benchmarks/bench_plot_fastkmeans.py,bench_plot_fastkmeans.py,136,108,1,27,28
Python,maint_tools/check_pxd_in_installation.py,check_pxd_in_installation.py,59,45,9,5,4
YAML,.github/FUNDING.yml,FUNDING.yml,12,10,1,1,0
ReStructuredText,doc/getting_started.rst,getting_started.rst,232,194,0,38,0
Python,benchmarks/bench_plot_ward.py,bench_plot_ward.py,43,42,1,0,0
Python,sklearn/conftest.py,conftest.py,46,19,20,7,0
gitignore,benchmarks/.gitignore,.gitignore,4,4,0,0,0
Python,maint_tools/test_docstrings.py,test_docstrings.py,222,150,40,32,35
Python,benchmarks/bench_plot_lasso_path.py,bench_plot_lasso_path.py,115,102,5,8,4
Python,benchmarks/bench_tree.py,bench_tree.py,124,105,15,4,2
Python,maint_tools/sort_whats_new.py,sort_whats_new.py,45,35,4,6,1
Python,benchmarks/bench_plot_incremental_pca.py,bench_plot_incremental_pca.py,150,114,11,25,19
Python,benchmarks/bench_multilabel_metrics.py,bench_multilabel_metrics.py,188,128,40,20,40
YAML,.github/ISSUE_TEMPLATE/config.yml,config.yml,11,11,0,0,0
Plain Text,.binder/requirements.txt,requirements.txt,8,7,0,1,0
Python,doc/conftest.py,conftest.py,99,77,2,20,17
Python,benchmarks/bench_plot_nmf.py,bench_plot_nmf.py,422,282,87,53,41
JSON,asv_benchmarks/asv.conf.json,asv.conf.json,162,140,0,22,0
Shell,build_tools/shared.sh,shared.sh,16,13,3,0,4
gitignore,asv_benchmarks/.gitignore,.gitignore,6,6,0,0,0
Makefile,build_tools/Makefile,Makefile,4,2,1,1,0
Markdown,.github/ISSUE_TEMPLATE/bug_report.md,bug_report.md,71,60,0,11,0
Python,build_tools/generate_authors_table.py,generate_authors_table.py,156,145,10,1,3
Python,asv_benchmarks/benchmarks/neighbors.py,neighbors.py,42,26,3,13,5
Python,asv_benchmarks/benchmarks/model_selection.py,model_selection.py,86,53,6,27,3
ReStructuredText,doc/install.rst,install.rst,296,212,0,84,0
Python,asv_benchmarks/benchmarks/__init__.py,__init__.py,1,0,1,0,0
JSON,asv_benchmarks/benchmarks/config.json,config.json,33,29,0,4,0
Python,asv_benchmarks/benchmarks/utils.py,utils.py,44,29,0,15,0
ReStructuredText,doc/tune_toc.rst,tune_toc.rst,131,115,0,16,0
Python,asv_benchmarks/benchmarks/datasets.py,datasets.py,146,112,2,32,1
BASH,.binder/postBuild,postBuild,40,19,13,8,3
