Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Jupyter,00-Python Object and Data Structure Basics/01-Numbers.ipynb,01-Numbers.ipynb,564,564,0,0,0
Jupyter,04-Milestone Project - 1/02-Milestone Project 1 - Walkthrough Steps Workbook.ipynb,02-Milestone Project 1 - Walkthrough Steps Workbook.ipynb,371,371,0,0,0
Jupyter,04-Milestone Project - 1/00-Warm-Up-Project-Exercises.ipynb,00-Warm-Up-Project-Exercises.ipynb,1028,1028,0,0,0
Jupyter,04-Milestone Project - 1/01-Milestone Project 1 - Assignment.ipynb,01-Milestone Project 1 - Assignment.ipynb,73,73,0,0,0
CSV,15-PDFs-and-Spreadsheets/example.csv,example.csv,1001,1001,0,0,0
Jupyter,04-Milestone Project - 1/03-Milestone Project 1 - Complete Walkthrough Solution.ipynb,03-Milestone Project 1 - Complete Walkthrough Solution.ipynb,496,496,0,0,0
Jupyter,00-Python Object and Data Structure Basics/03-Print Formatting with Strings.ipynb,03-Print Formatting with Strings.ipynb,724,724,0,0,0
Jupyter,00-Python Object and Data Structure Basics/.ipynb_checkpoints/01-Numbers-checkpoint.ipynb,01-Numbers-checkpoint.ipynb,564,564,0,0,0
Jupyter,00-Python Object and Data Structure Basics/.ipynb_checkpoints/03-Print Formatting with Strings-checkpoint.ipynb,03-Print Formatting with Strings-checkpoint.ipynb,724,724,0,0,0
Plain Text,00-Python Object and Data Structure Basics/test.txt,test.txt,2,2,0,0,0
Jupyter,00-Python Object and Data Structure Basics/05-Dictionaries.ipynb,05-Dictionaries.ipynb,467,467,0,0,0
Jupyter,00-Python Object and Data Structure Basics/.ipynb_checkpoints/01-Variable Assignment-checkpoint.ipynb,01-Variable Assignment-checkpoint.ipynb,466,466,0,0,0
Jupyter,00-Python Object and Data Structure Basics/.ipynb_checkpoints/09-Objects and Data Structures Assessment Test-checkpoint.ipynb,09-Objects and Data Structures Assessment Test-checkpoint.ipynb,581,581,0,0,0
Jupyter,00-Python Object and Data Structure Basics/09-Objects and Data Structures Assessment Test.ipynb,09-Objects and Data Structures Assessment Test.ipynb,581,581,0,0,0
Jupyter,00-Python Object and Data Structure Basics/10-Objects and Data Structures Assessment Test-Solution.ipynb,10-Objects and Data Structures Assessment Test-Solution.ipynb,971,971,0,0,0
Jupyter,00-Python Object and Data Structure Basics/07-Sets and Booleans.ipynb,07-Sets and Booleans.ipynb,322,322,0,0,0
Jupyter,00-Python Object and Data Structure Basics/04-Lists.ipynb,04-Lists.ipynb,793,793,0,0,0
Jupyter,.ipynb_checkpoints/Untitled-checkpoint.ipynb,Untitled-checkpoint.ipynb,6,6,0,0,0
Jupyter,Jupyter (iPython) Notebooks Guide.ipynb,Jupyter (iPython) Notebooks Guide.ipynb,37,37,0,0,0
Jupyter,13-Web-Scraping/.ipynb_checkpoints/00-Guide-to-Web-Scraping-checkpoint.ipynb,00-Guide-to-Web-Scraping-checkpoint.ipynb,1927,1927,0,0,0
Jupyter,05-Object Oriented Programming/04-OOP Challenge.ipynb,04-OOP Challenge.ipynb,202,202,0,0,0
Jupyter,00-Python Object and Data Structure Basics/02-Strings.ipynb,02-Strings.ipynb,1020,1020,0,0,0
Jupyter,00-Python Object and Data Structure Basics/.ipynb_checkpoints/05-Dictionaries-checkpoint.ipynb,05-Dictionaries-checkpoint.ipynb,467,467,0,0,0
Markdown,README.md,README.md,8,5,0,3,0
Jupyter,00-Python Object and Data Structure Basics/01-Variable Assignment.ipynb,01-Variable Assignment.ipynb,466,466,0,0,0
Jupyter,05-Object Oriented Programming/01-Object Oriented Programming.ipynb,01-Object Oriented Programming.ipynb,815,815,0,0,0
Jupyter,13-Web-Scraping/01-Web-Scraping-Exercises.ipynb,01-Web-Scraping-Exercises.ipynb,296,296,0,0,0
Jupyter,10-Python Decorators/.ipynb_checkpoints/01-Decorators-checkpoint.ipynb,01-Decorators-checkpoint.ipynb,691,691,0,0,0
Jupyter,05-Object Oriented Programming/05-OOP Challenge - Solution.ipynb,05-OOP Challenge - Solution.ipynb,218,218,0,0,0
Jupyter,10-Python Decorators/.ipynb_checkpoints/02-Decorators Homework-checkpoint.ipynb,02-Decorators Homework-checkpoint.ipynb,53,53,0,0,0
Jupyter,13-Web-Scraping/02-Web-Scraping-Exercise-Solutions.ipynb,02-Web-Scraping-Exercise-Solutions.ipynb,724,724,0,0,0
Jupyter,05-Object Oriented Programming/03-Object Oriented Programming Homework - Solution.ipynb,03-Object Oriented Programming Homework - Solution.ipynb,214,214,0,0,0
Jupyter,10-Python Decorators/01-Decorators.ipynb,01-Decorators.ipynb,691,691,0,0,0
Jupyter,05-Object Oriented Programming/02-Object Oriented Programming Homework.ipynb,02-Object Oriented Programming Homework.ipynb,210,210,0,0,0
Jupyter,00-Python Object and Data Structure Basics/.ipynb_checkpoints/08-Files-checkpoint.ipynb,08-Files-checkpoint.ipynb,567,567,0,0,0
