Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
Markdown,README.md,README.md,33,17,0,16,0
Markdown,README_ZH.md,README_ZH.md,34,17,0,17,0
YAML,_config.yml,_config.yml,1,1,0,0,0
Markdown,ServletAjax/readme.md,readme.md,41,26,0,15,0
Markdown,woss/readme.md,readme.md,23,16,0,7,0
Markdown,tomcatServer3.0/readme.md,readme.md,18,11,0,7,0
HTML,tomcatServer3.0/src/source/login.html,login.html,14,14,0,0,0
HTML,tomcatServer3.0/src/source/post.html,post.html,14,14,0,0,0
Properties File,tomcatServer3.0/src/source/property.properties,property.properties,2,2,0,0,0
HTML,tomcatServer3.0/src/source/success.html,success.html,10,10,0,0,0
XML,estore/src/mybatis-config.xml,mybatis-config.xml,49,34,12,3,0
HTML,tomcatServer3.0/src/source/error.html,error.html,10,10,0,0,0
XML,estore/build/classes/mybatis-config.xml,mybatis-config.xml,49,34,12,3,0
XML,Kaptcha/.settings/org.eclipse.wst.common.project.facet.core.xml,org.eclipse.wst.common.project.facet.core.xml,10,10,0,0,0
JavaServer Pages,Kaptcha/WebContent/check.jsp,check.jsp,22,19,1,2,1
Properties File,estore/src/log4j.properties,log4j.properties,10,9,1,0,0
XML,estore/.settings/org.eclipse.wst.common.project.facet.core.xml,org.eclipse.wst.common.project.facet.core.xml,10,10,0,0,0
JavaServer Pages,estore/WebContent/login.jsp,login.jsp,108,101,0,7,0
JavaServer Pages,estore/WebContent/shopcart.jsp,shopcart.jsp,116,113,0,3,1
Java,tomcatServer3.0/src/com/hjy/GetPosyTest.java,GetPosyTest.java,107,79,24,4,5
Java,woss/src/com/briup/main/ClientMain.java,ClientMain.java,25,18,4,3,0
Java,woss/src/com/briup/main/ServerMain.java,ServerMain.java,18,11,4,3,0
Java,woss/src/com/briup/client/imp/ClientImp.java,ClientImp.java,67,60,0,7,1
Java,tomcatServer3.0/src/com/hjy/serverThread/ServerThread.java,ServerThread.java,23,19,0,4,0
Java,tomcatServer3.0/src/com/hjy/util/GetParm.java,GetParm.java,22,17,1,4,1
Java,tomcatServer3.0/src/com/hjy/request/Request.java,Request.java,102,83,7,12,5
Java,tomcatServer3.0/src/com/hjy/server/Server.java,Server.java,67,54,8,5,0
SQL,woss/src/com/briup/data/boss.sql,boss.sql,438,341,0,97,0
Java,woss/src/com/briup/model/BIDR.java,BIDR.java,82,54,22,6,0
JavaScript,estore/WebContent/js/main.js,main.js,105,99,0,6,54
XML,woss/src/config.xml,config.xml,32,31,0,1,0
Java,woss/src/com/briup/server/DBStore.java,DBStore.java,19,7,10,2,0
Java,estore/src/com/briup/dao/IOrderDao.java,IOrderDao.java,22,13,5,4,0
Java,tomcatServer3.0/src/com/hjy/response/Response.java,Response.java,86,70,8,8,11
Java,estore/src/com/briup/dao/ICustomerDao.java,ICustomerDao.java,12,7,3,2,0
Java,estore/src/com/briup/dao/impl/CustomerDaoImpl.java,CustomerDaoImpl.java,32,26,0,6,0
Java,estore/src/com/briup/dao/impl/OrderDaoImpl.java,OrderDaoImpl.java,63,52,0,11,1
Java,estore/src/com/briup/bean/OrderLineMapper.java,OrderLineMapper.java,5,4,0,1,0
