Language,Location,Filename,Lines,Code,Comments,Blanks,Complexity
License,LICENSE,LICENSE,20,16,0,4,0
Jade,garden.jade,garden.jade,95,76,0,19,5
JavaScript,build.js,build.js,106,92,0,14,7
Markdown,README.md,README.md,43,33,0,10,0
gitignore,.gitignore,.gitignore,16,14,0,2,0
Markdown,CONTRIBUTING.md,CONTRIBUTING.md,19,13,0,6,0
JSON,package.json,package.json,16,16,0,0,0
Shell,deploy.sh,deploy.sh,33,33,0,0,5
JSON,doc/language.json,language.json,4,4,0,0,0
Markdown,doc/fr/function/constructors.md,constructors.md,109,75,0,34,0
Markdown,doc/es/object/hasownproperty.md,hasownproperty.md,53,38,0,15,0
Markdown,doc/fi/object/hasownproperty.md,hasownproperty.md,41,26,0,15,0
Markdown,doc/fr/object/hasownproperty.md,hasownproperty.md,46,30,0,16,0
Markdown,doc/es/other/timeouts.md,timeouts.md,155,113,0,42,0
Markdown,doc/en/object/hasownproperty.md,hasownproperty.md,58,41,0,17,0
Markdown,doc/tr/function/this.md,this.md,115,75,0,40,0
Markdown,doc/es/array/general.md,general.md,58,41,0,17,0
Markdown,doc/es/intro/index.md,index.md,46,35,0,11,0
Markdown,doc/es/array/constructor.md,constructor.md,35,25,0,10,0
Markdown,doc/es/function/general.md,general.md,48,32,0,16,0
Markdown,doc/es/function/constructors.md,constructors.md,129,95,0,34,0
Markdown,doc/es/function/closures.md,closures.md,98,74,0,24,0
Markdown,doc/es/function/scopes.md,scopes.md,231,171,0,60,0
Markdown,doc/es/function/arguments.md,arguments.md,119,83,0,36,0
JSON,doc/en/index.json,index.json,69,69,0,0,0
Markdown,doc/tr/function/constructors.md,constructors.md,124,92,0,32,0
JSON,doc/es/index.json,index.json,68,68,0,0,0
Markdown,doc/tr/function/general.md,general.md,49,33,0,16,0
Markdown,doc/en/object/forinloop.md,forinloop.md,66,51,0,15,0
Markdown,doc/es/object/forinloop.md,forinloop.md,51,37,0,14,0
Markdown,doc/fi/intro/license.md,license.md,9,6,0,3,0
JSON,doc/fr/index.json,index.json,69,69,0,0,0
Markdown,doc/fr/object/forinloop.md,forinloop.md,44,28,0,16,0
Markdown,doc/fi/array/general.md,general.md,40,23,0,17,0
JSON,doc/zhtw/index.json,index.json,69,69,0,0,0
Markdown,doc/es/object/general.md,general.md,99,70,0,29,0
Markdown,doc/fr/function/general.md,general.md,38,22,0,16,0
Markdown,doc/zhtw/object/forinloop.md,forinloop.md,40,25,0,15,0
Markdown,doc/zhtw/object/general.md,general.md,85,55,0,30,0
Markdown,doc/zhtw/object/prototype.md,prototype.md,87,56,0,31,0
Markdown,doc/fr/object/prototype.md,prototype.md,85,54,0,31,0
JSON,doc/fi/index.json,index.json,73,73,0,0,0
Markdown,doc/zhtw/object/hasownproperty.md,hasownproperty.md,45,30,0,15,0
Markdown,doc/tr/function/closures.md,closures.md,100,76,0,24,0
JSON,doc/tr/index.json,index.json,69,69,0,0,0
Markdown,doc/zhtw/function/general.md,general.md,43,26,0,17,0
Markdown,doc/zhtw/function/constructors.md,constructors.md,101,72,0,29,0
Markdown,doc/tr/function/scopes.md,scopes.md,232,173,0,59,0
Markdown,doc/zhtw/function/closures.md,closures.md,85,62,0,23,0
Markdown,doc/fi/object/forinloop.md,forinloop.md,37,23,0,14,0
Markdown,doc/en/object/general.md,general.md,99,70,0,29,0
Markdown,doc/zhtw/function/scopes.md,scopes.md,199,140,0,59,0
Markdown,doc/tr/function/arguments.md,arguments.md,124,87,0,37,0
Markdown,doc/zhtw/function/this.md,this.md,105,65,0,40,0
Markdown,doc/fi/object/general.md,general.md,82,53,0,29,0
Markdown,doc/zhtw/other/timeouts.md,timeouts.md,135,90,0,45,0
Markdown,doc/tr/object/hasownproperty.md,hasownproperty.md,56,41,0,15,0
Markdown,doc/tr/object/prototype.md,prototype.md,116,85,0,31,0
Markdown,doc/tr/object/forinloop.md,forinloop.md,49,35,0,14,0
Markdown,doc/zhtw/function/arguments.md,arguments.md,103,65,0,38,0
Markdown,doc/zhtw/array/constructor.md,constructor.md,28,19,0,9,0
Markdown,doc/es/core/undefined.md,undefined.md,74,50,0,24,0
Markdown,doc/es/function/this.md,this.md,111,72,0,39,0
Markdown,doc/fi/object/prototype.md,prototype.md,80,49,0,31,0
Markdown,doc/zhtw/array/general.md,general.md,46,29,0,17,0
Markdown,doc/fi/other/timeouts.md,timeouts.md,114,73,0,41,0
Markdown,doc/en/object/prototype.md,prototype.md,118,87,0,31,0
Markdown,doc/fi/function/closures.md,closures.md,78,54,0,24,0
Markdown,doc/fi/function/arguments.md,arguments.md,94,59,0,35,0
Markdown,doc/zhtw/core/semicolon.md,semicolon.md,103,67,0,36,0
Markdown,doc/zhtw/intro/index.md,index.md,53,38,0,15,0
Markdown,doc/zhtw/core/eval.md,eval.md,42,29,0,13,0
Markdown,doc/zhtw/core/undefined.md,undefined.md,53,34,0,19,0
Markdown,doc/fi/types/casting.md,casting.md,61,38,0,23,0
Markdown,doc/en/function/this.md,this.md,120,79,0,41,0
Markdown,doc/en/array/general.md,general.md,58,41,0,17,0
Markdown,doc/en/array/constructor.md,constructor.md,33,23,0,10,0
Markdown,doc/zhtw/types/equality.md,equality.md,60,41,0,19,0
Markdown,doc/en/core/semicolon.md,semicolon.md,114,78,0,36,0
Markdown,doc/en/core/eval.md,eval.md,47,35,0,12,0
Markdown,doc/en/core/delete.md,delete.md,85,61,0,24,0
Markdown,doc/en/types/casting.md,casting.md,71,48,0,23,0
Markdown,doc/en/types/equality.md,equality.md,71,52,0,19,0
Markdown,doc/en/types/typeof.md,typeof.md,84,62,0,22,0
Markdown,doc/en/types/instanceof.md,instanceof.md,38,26,0,12,0
Markdown,doc/fr/other/timeouts.md,timeouts.md,130,88,0,42,0
Markdown,doc/en/intro/index.md,index.md,49,36,0,13,0
Markdown,doc/fi/types/instanceof.md,instanceof.md,33,21,0,12,0
Markdown,doc/fi/function/this.md,this.md,91,53,0,38,0
Markdown,doc/en/core/undefined.md,undefined.md,74,52,0,22,0
Markdown,doc/zhtw/types/casting.md,casting.md,62,40,0,22,0
Markdown,doc/fr/intro/index.md,index.md,36,24,0,12,0
Markdown,doc/fr/array/constructor.md,constructor.md,27,17,0,10,0
Markdown,doc/fr/array/general.md,general.md,46,29,0,17,0
Markdown,doc/fr/core/undefined.md,undefined.md,55,34,0,21,0
Markdown,doc/en/function/arguments.md,arguments.md,132,94,0,38,0
Markdown,doc/fr/core/semicolon.md,semicolon.md,100,64,0,36,0
Markdown,doc/es/core/delete.md,delete.md,87,63,0,24,0
Markdown,doc/fr/core/eval.md,eval.md,42,30,0,12,0
Markdown,doc/fi/function/constructors.md,constructors.md,101,69,0,32,0
Markdown,doc/fr/core/delete.md,delete.md,76,51,0,25,0
Markdown,doc/es/types/casting.md,casting.md,70,47,0,23,0
Markdown,doc/fr/types/casting.md,casting.md,62,40,0,22,0
Markdown,doc/tr/array/general.md,general.md,58,41,0,17,0
Markdown,doc/en/function/general.md,general.md,48,32,0,16,0
Markdown,doc/zhtw/types/typeof.md,typeof.md,74,49,0,25,0
Markdown,doc/tr/other/timeouts.md,timeouts.md,160,119,0,41,0
Markdown,doc/zhtw/core/delete.md,delete.md,78,52,0,26,0
Markdown,doc/en/function/scopes.md,scopes.md,234,174,0,60,0
Markdown,doc/tr/object/general.md,general.md,102,73,0,29,0
Markdown,doc/zhtw/types/instanceof.md,instanceof.md,32,21,0,11,0
Markdown,doc/es/types/equality.md,equality.md,71,52,0,19,0
Markdown,doc/es/types/typeof.md,typeof.md,87,64,0,23,0
Markdown,doc/en/function/constructors.md,constructors.md,127,92,0,35,0
Markdown,doc/tr/intro/index.md,index.md,47,35,0,12,0
Markdown,doc/fi/function/general.md,general.md,38,22,0,16,0
Markdown,doc/es/types/instanceof.md,instanceof.md,38,26,0,12,0
Markdown,doc/en/function/closures.md,closures.md,116,88,0,28,0
Markdown,doc/es/object/prototype.md,prototype.md,116,85,0,31,0
Markdown,doc/en/other/timeouts.md,timeouts.md,172,129,0,43,0
Markdown,doc/es/core/semicolon.md,semicolon.md,114,78,0,36,0
Markdown,doc/es/core/eval.md,eval.md,47,35,0,12,0
Markdown,doc/tr/core/undefined.md,undefined.md,71,50,0,21,0
Markdown,doc/fi/types/typeof.md,typeof.md,64,42,0,22,0
Markdown,doc/fi/function/scopes.md,scopes.md,190,131,0,59,0
Markdown,doc/fr/object/general.md,general.md,85,55,0,30,0
Markdown,doc/fi/types/equality.md,equality.md,58,39,0,19,0
Markdown,doc/tr/core/eval.md,eval.md,48,36,0,12,0
Markdown,doc/tr/core/semicolon.md,semicolon.md,118,82,0,36,0
Markdown,doc/tr/core/delete.md,delete.md,84,62,0,22,0
JSON,doc/de/index.json,index.json,16,16,0,0,0
Markdown,doc/fi/core/eval.md,eval.md,39,27,0,12,0
Markdown,doc/tr/array/constructor.md,constructor.md,35,25,0,10,0
Markdown,doc/fi/core/semicolon.md,semicolon.md,100,64,0,36,0
Markdown,doc/fi/intro/authors.md,authors.md,8,5,0,3,0
Markdown,doc/tr/types/casting.md,casting.md,72,49,0,23,0
JSON,doc/ko/index.json,index.json,69,69,0,0,0
Markdown,doc/fi/array/constructor.md,constructor.md,25,15,0,10,0
Markdown,doc/fr/types/equality.md,equality.md,58,39,0,19,0
Markdown,doc/tr/types/equality.md,equality.md,75,56,0,19,0
JSON,doc/hu/index.json,index.json,69,69,0,0,0
Markdown,doc/fi/core/undefined.md,undefined.md,54,32,0,22,0
Markdown,doc/fr/function/scopes.md,scopes.md,204,144,0,60,0
Markdown,doc/de/intro/license.md,license.md,12,9,0,3,0
Markdown,doc/de/intro/authors.md,authors.md,8,5,0,3,0
Markdown,doc/de/intro/index.md,index.md,42,30,0,12,0
Markdown,doc/de/intro/contributors.md,contributors.md,8,5,0,3,0
Markdown,doc/fr/function/closures.md,closures.md,97,68,0,29,0
Markdown,doc/fr/types/instanceof.md,instanceof.md,35,23,0,12,0
Markdown,doc/fr/types/typeof.md,typeof.md,66,44,0,22,0
Markdown,doc/fi/intro/index.md,index.md,8,4,0,4,0
Markdown,doc/fi/intro/translators.md,translators.md,5,3,0,2,0
Markdown,doc/fr/function/this.md,this.md,100,61,0,39,0
Markdown,doc/fi/intro/contributors.md,contributors.md,3,2,0,1,0
Markdown,doc/tr/types/typeof.md,typeof.md,87,65,0,22,0
Markdown,doc/tr/types/instanceof.md,instanceof.md,40,28,0,12,0
Markdown,doc/fr/function/arguments.md,arguments.md,118,81,0,37,0
Markdown,doc/hu/object/forinloop.md,forinloop.md,53,39,0,14,0
Markdown,doc/ko/object/forinloop.md,forinloop.md,36,23,0,13,0
JSON,doc/zh/index.json,index.json,72,72,0,0,0
Markdown,doc/ko/function/constructors.md,constructors.md,104,71,0,33,0
Markdown,doc/ko/other/timeouts.md,timeouts.md,123,81,0,42,0
Markdown,doc/hu/object/hasownproperty.md,hasownproperty.md,61,45,0,16,0
Markdown,doc/zh/object/forinloop.md,forinloop.md,40,26,0,14,0
Markdown,doc/zh/object/general.md,general.md,93,63,0,30,0
Markdown,doc/zh/object/prototype.md,prototype.md,96,64,0,32,0
